"b1_10"     "a1"     "c1"     "b2_10"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_9"     "k2_9"     "ktype1_9"     "ktype2_9"
-2.19146     114.86     1.67288     1.30463     169.58     1.65452     1.24818     0.00227433     -1364.82     -2.19146     1.30463     0     0
-2.22292     114.86     1.68089     1.25541     187.781     1.65433     3.28094     0.00135175     -1361.75     -2.22292     1.25541     0     0
-2.20673     114.536     1.69948     1.46353     153.036     1.65119     6.15653     0.000436665     -1369.43     -2.20673     1.46353     0     0
-2.27845     114.771     1.70434     1.35227     159.113     1.65119     4.16271     0.00037055     -1369.08     -2.27845     1.35227     0     0
-2.27845     114.482     1.70434     1.54426     162.29     1.70022     1.63896     0.00194133     -1370.38     -2.27845     1.54426     0     0
-2.24631     115.144     1.7151     1.50179     146.774     1.70022     2.37007     0.00225335     -1372.23     -2.24631     1.50179     0     0
-2.18738     115.348     1.70494     1.37358     149.288     1.68473     1.16721     0.00225335     -1367.07     -2.18738     1.37358     0     0
-2.05086     116.29     1.68756     1.16833     153.417     1.68473     2.9901     0.00547038     -1368.02     -2.05086     1.16833     0     0
-2.20095     118.308     1.68843     1.25176     155.581     1.67963     7.69583     0.00127736     -1364.42     -2.20095     1.25176     0     0
-2.1315     118.308     1.69247     1.26843     169.1     1.67499     14.3252     0.00141794     -1369.32     -2.1315     1.26843     0     0
-2.20204     118.554     1.68937     1.17169     156.344     1.63953     2.59268     0.000571159     -1370.98     -2.20204     1.17169     0     0
-2.12405     118.053     1.68884     1.28657     157.196     1.7103     2.59268     0.0039139     -1369.57     -2.12405     1.28657     0     0
-2.01245     118.38     1.6873     1.16757     161.361     1.7016     1.00456     0.0100854     -1370.2     -2.01245     1.16757     0     0
-2.24951     118.053     1.69476     1.73327     173.282     1.62627     1.00456     0.00544629     -1366.1     -2.24951     1.73327     0     0
-2.14213     116.736     1.70339     1.30439     173.899     1.61834     7.06446     0.00429676     -1369     -2.14213     1.30439     0     0
-2.08636     117.852     1.70035     1.28464     185.642     1.62995     4.19917     0.00134241     -1366.87     -2.08636     1.28464     0     0
-2.11877     117.852     1.69655     1.41575     183.274     1.62241     1.50188     0.00338196     -1367.07     -2.11877     1.41575     0     0
-2.11877     118.353     1.69655     1.35383     172.163     1.60385     1.8468     0.00770228     -1369.36     -2.11877     1.35383     0     0
-2.07033     117.04     1.69322     1.22589     175.731     1.65658     5.92672     0.00127919     -1370.43     -2.07033     1.22589     0     0
-2.05474     117.021     1.69326     1.22687     192.965     1.65658     6.26134     0.0046982     -1373.92     -2.05474     1.22687     0     0
-2.05474     117.254     1.69276     1.19128     183.393     1.62495     2.53645     0.00771019     -1366.08     -2.05474     1.19128     0     0
-2.05933     117.433     1.68445     1.18427     184.639     1.62495     0.85743     0.00593011     -1367.88     -2.05933     1.18427     0     0
-2.19971     118.561     1.67329     1.3828     186.615     1.68562     0.85743     0.00489454     -1369.16     -2.19971     1.3828     0     0
-2.02675     118.752     1.66788     1.29137     174.953     1.64772     2.11996     0.00016869     -1377.15     -2.02675     1.29137     0     0
-2.10462     120.049     1.66637     1.04159     179.172     1.66466     3.20929     0.00547814     -1372.18     -2.10462     1.04159     0     0
-2.06171     120.102     1.65586     1.07363     182.901     1.64118     3.17074     0.00236629     -1365.98     -2.06171     1.07363     0     0
-2.18372     121.362     1.65784     1.48545     182.12     1.67857     1.82065     0.00606029     -1372.96     -2.18372     1.48545     0     0
-2.28431     121.597     1.64902     1.19703     183.452     1.64287     0.739352     0.00705901     -1365.16     -2.28431     1.19703     0     0
-2.10422     120.453     1.65755     1.19076     176.752     1.65358     1.3408     0.00214333     -1365.84     -2.10422     1.19076     0     0
-2.31959     118.691     1.65988     1.33057     176.752     1.64358     8.6573     0.00170534     -1363.17     -2.31959     1.33057     0     0
-2.05492     121.911     1.64659     1.11636     167.37     1.70628     4.25843     0.00467066     -1370.93     -2.05492     1.11636     0     0
-2.05492     122.234     1.64381     1.14875     168.738     1.69297     0.616379     0.00183009     -1370.65     -2.05492     1.14875     0     0
-2.20368     123.296     1.64083     1.18735     171.627     1.69297     0.914908     0.0100434     -1372.34     -2.20368     1.18735     0     0
-2.20368     122.607     1.63972     1.32725     188.71     1.63667     0.253554     0.000152264     -1370.22     -2.20368     1.32725     0     0
-2.27539     122.607     1.64473     1.25744     177.945     1.6426     1.69638     0.00128466     -1362.26     -2.27539     1.25744     0     0
-2.33665     122.279     1.64447     1.24095     181.088     1.6581     1.50598     0.00225755     -1370.6     -2.33665     1.24095     0     0
-2.32017     122.279     1.65415     1.51008     189.74     1.62656     2.6143     0.00383162     -1363.87     -2.32017     1.51008     0     0
-2.06222     120.32     1.6597     1.2147     188.844     1.63633     2.63628     0.00256804     -1364.13     -2.06222     1.2147     0     0
-2.30353     122.249     1.64978     1.37164     179.5     1.69588     0.301147     0.00342349     -1366.97     -2.30353     1.37164     0     0
-2.2292     121.392     1.6608     1.36761     188.71     1.65076     1.56853     0.00245542     -1366.52     -2.2292     1.36761     0     0
-2.22318     120.491     1.66159     1.3205     159.948     1.69002     0.162704     0.000952744     -1368.8     -2.22318     1.3205     0     0
-2.22823     120.297     1.64381     1.21147     170.903     1.66705     1.82931     0.00335247     -1372.49     -2.22823     1.21147     0     0
-2.1825     121.07     1.64942     1.33123     182.748     1.62195     7.04124     0.00315328     -1374.47     -2.1825     1.33123     0     0
-2.06792     120.259     1.65123     0.99757     156.512     1.67401     0.161449     0.00171792     -1371.56     -2.06792     0.99757     0     0
-1.99656     120.625     1.65551     1.06862     168.656     1.66511     10.2757     0.00046957     -1373.55     -1.99656     1.06862     0     0
-2.09467     119.992     1.65586     1.06862     168.656     1.66511     3.09182     0.00046957     -1367.07     -2.09467     1.06862     0     0
