               b1             a1             c1             b2             a2             c2             Y1_gamma1      Y1_gamma2      k1             k2             ktype1         ktype2         
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.276719E+01   0.951746E+02   0.161037E+01   0.719280E+00   0.137239E+03   0.157742E+01   0.258097E-02   0.183956E-05  -0.276719E+01   0.719280E+00   0.000000E+00   0.000000E+00
Maximum          -0.171556E+01   0.145192E+03   0.173141E+01   0.207157E+01   0.220817E+03   0.174408E+01   0.207215E+02   0.156182E-01  -0.171556E+01   0.207157E+01   0.000000E+00   0.000000E+00
Range             0.105163E+01   0.500174E+02   0.121040E+00   0.135229E+01   0.835780E+02   0.166660E+00   0.207189E+02   0.156164E-01   0.105163E+01   0.135229E+01   0.000000E+00   0.000000E+00
Mean             -0.225280E+01   0.116852E+03   0.167312E+01   0.134337E+01   0.176073E+03   0.165447E+01   0.337083E+01   0.337280E-02  -0.225280E+01   0.134337E+01   0.000000E+00   0.000000E+00
Median           -0.225950E+01   0.115361E+03   0.167389E+01   0.133907E+01   0.175618E+03   0.165355E+01   0.274383E+01   0.274161E-02  -0.225950E+01   0.133907E+01   0.000000E+00   0.000000E+00
Q10%             -0.247900E+01   0.102769E+03   0.164404E+01   0.110399E+01   0.159152E+03   0.162449E+01   0.452257E+00   0.411727E-03  -0.247900E+01   0.110399E+01   0.000000E+00   0.000000E+00
Q25%             -0.238136E+01   0.107942E+03   0.165712E+01   0.121624E+01   0.167092E+03   0.163826E+01   0.115578E+01   0.113646E-02  -0.238136E+01   0.121624E+01   0.000000E+00   0.000000E+00
Q75%             -0.211994E+01   0.124364E+03   0.168880E+01   0.146340E+01   0.184906E+03   0.166992E+01   0.489438E+01   0.494248E-02  -0.211994E+01   0.146340E+01   0.000000E+00   0.000000E+00
Q90%             -0.201784E+01   0.132702E+03   0.170186E+01   0.159242E+01   0.193020E+03   0.168583E+01   0.710665E+01   0.729942E-02  -0.201784E+01   0.159242E+01   0.000000E+00   0.000000E+00
St.Dev.           0.177485E+00   0.110979E+02   0.222133E-01   0.189953E+00   0.131814E+02   0.241694E-01   0.274820E+01   0.278185E-02   0.177485E+00   0.189953E+00   0.000000E+00   0.000000E+00
Variance          0.315009E-01   0.123164E+03   0.493431E-03   0.360821E-01   0.173749E+03   0.584158E-03   0.755260E+01   0.773868E-05   0.315009E-01   0.360821E-01   0.000000E+00   0.000000E+00
CV                0.787842E-01   0.949745E-01   0.132765E-01   0.141400E+00   0.748630E-01   0.146085E-01   0.815288E+00   0.824788E+00   0.787842E-01   0.141400E+00   0.179769+309   0.179769+309
Skewness          0.759116E-02   0.378946E+00  -0.901704E-01   0.863284E-01   0.136959E+00   0.658175E-01   0.125147E+01   0.115897E+01   0.759116E-02   0.863284E-01   0.000000E+00   0.000000E+00
Kurtosis         -0.436810E+00  -0.613913E+00  -0.311267E+00   0.735200E-01  -0.152149E+00   0.138442E+00   0.203981E+01   0.131285E+01  -0.436810E+00   0.735200E-01   0.000000E+00   0.000000E+00
MaxPost          -0.213270E+01   0.123126E+03   0.167674E+01   0.152234E+01   0.172311E+03   0.165069E+01   0.869589E+00   0.129558E-02  -0.213270E+01   0.152234E+01   0.000000E+00   0.000000E+00
