X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.600000E+00   0.600000E+00   0.532100E+03   0.532100E+03   0.689952E+03  -0.157852E+03  -0.151520E+01
   0.530000E+00   0.530000E+00   0.531970E+03   0.531970E+03   0.658916E+03  -0.126946E+03  -0.121901E+01
   0.600000E+00   0.600000E+00   0.520880E+03   0.520880E+03   0.689952E+03  -0.169072E+03  -0.162511E+01
   0.632000E+01   0.632000E+01   0.499844E+04   0.499844E+04   0.501377E+04  -0.153280E+02  -0.798253E-01
   0.139000E+01   0.139000E+01   0.109107E+04   0.109107E+04   0.108099E+04   0.100824E+02   0.947739E-01
   0.280000E+00   0.280000E+00   0.397010E+03   0.397010E+03   0.553052E+03  -0.156042E+03  -0.153810E+01
   0.280000E+00   0.280000E+00   0.383410E+03   0.383410E+03   0.553052E+03  -0.169642E+03  -0.165730E+01
   0.510000E+00   0.510000E+00   0.508780E+03   0.508780E+03   0.650160E+03  -0.141380E+03  -0.137650E+01
   0.239000E+01   0.239000E+01   0.180352E+04   0.180352E+04   0.167810E+04   0.125422E+03   0.108639E+01
   0.235000E+01   0.235000E+01   0.169312E+04   0.169312E+04   0.165211E+04   0.410069E+02   0.360012E+00
   0.153000E+01   0.153000E+01   0.125138E+04   0.125138E+04   0.115788E+04   0.935044E+02   0.865361E+00
