               b1             a1             c1             b2             a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1             k2             k3             ktype1         ktype2         ktype3         
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.504270E+01   0.760251E+01   0.160516E+01  -0.230053E+01   0.115923E+03   0.168128E+01   0.712404E+01   0.255649E+02   0.160362E+01   0.740530E+02   0.376641E-04  -0.504270E+01  -0.205804E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum          -0.233551E+01   0.248198E+02   0.171398E+01  -0.178967E+01   0.145996E+03   0.176272E+01   0.919723E+01   0.204216E+03   0.172736E+01   0.128604E+03   0.119725E-01  -0.233551E+01  -0.684411E+00   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.270719E+01   0.172173E+02   0.108820E+00   0.510860E+00   0.300730E+02   0.814400E-01   0.207319E+01   0.178651E+03   0.123740E+00   0.545510E+02   0.119348E-01   0.270719E+01   0.137363E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.381489E+01   0.144825E+02   0.165926E+01  -0.207793E+01   0.128343E+03   0.172609E+01   0.821843E+01   0.771218E+02   0.166735E+01   0.977457E+02   0.262851E-02  -0.381489E+01  -0.142539E+01   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.381180E+01   0.144012E+02   0.165905E+01  -0.208013E+01   0.127840E+03   0.172710E+01   0.821439E+01   0.741368E+02   0.166759E+01   0.975697E+02   0.220205E-02  -0.381180E+01  -0.143185E+01   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.428510E+01   0.113197E+02   0.163745E+01  -0.218067E+01   0.122226E+03   0.170756E+01   0.782125E+01   0.498429E+02   0.164528E+01   0.881157E+02   0.706241E-03  -0.428510E+01  -0.165492E+01   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.406742E+01   0.128183E+02   0.164792E+01  -0.213406E+01   0.124594E+03   0.171794E+01   0.801582E+01   0.608188E+02   0.165568E+01   0.926667E+02   0.127948E-02  -0.406742E+01  -0.154947E+01   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.356609E+01   0.160440E+02   0.167076E+01  -0.202303E+01   0.131231E+03   0.173570E+01   0.843222E+01   0.904930E+02   0.167888E+01   0.102725E+03   0.358368E-02  -0.356609E+01  -0.130603E+01   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.334345E+01   0.176229E+02   0.168107E+01  -0.197087E+01   0.135471E+03   0.174272E+01   0.860675E+01   0.108746E+03   0.168959E+01   0.107691E+03   0.506086E-02  -0.334345E+01  -0.118530E+01   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00
St.Dev.           0.369127E+00   0.244910E+01   0.170889E-01   0.823293E-01   0.518821E+01   0.137434E-01   0.304282E+00   0.232368E+02   0.174651E-01   0.752511E+01   0.181976E-02   0.369127E+00   0.183840E+00   0.304282E+00   0.000000E+00   0.000000E+00   0.000000E+00
Variance          0.136255E+00   0.599810E+01   0.292031E-03   0.677812E-02   0.269176E+02   0.188880E-03   0.925873E-01   0.539948E+03   0.305031E-03   0.566273E+02   0.331151E-05   0.136255E+00   0.337971E-01   0.925873E-01   0.000000E+00   0.000000E+00   0.000000E+00
CV                0.967595E-01   0.169108E+00   0.102991E-01   0.396209E-01   0.404247E-01   0.796214E-02   0.370243E-01   0.301300E+00   0.104748E-01   0.769866E-01   0.692315E+00   0.967595E-01   0.128975E+00   0.370243E-01   0.179769+309   0.000000E+00   0.179769+309
Skewness          0.321407E-01   0.203762E+00  -0.603453E-01   0.160280E+00   0.532626E+00  -0.408421E+00  -0.542052E-01   0.728443E+00   0.317823E-01   0.164422E+00   0.127481E+01   0.321407E-01   0.138218E+00  -0.542052E-01   0.000000E+00   0.000000E+00   0.000000E+00
Kurtosis         -0.592385E-02   0.675761E-01  -0.502946E-01   0.117099E-02   0.117988E+00   0.529927E-01  -0.112391E+00   0.873394E+00   0.907459E-01   0.949864E-01   0.205164E+01  -0.592385E-02   0.291987E-01  -0.112391E+00   0.000000E+00   0.000000E+00   0.000000E+00
MaxPost          -0.348162E+01   0.140337E+02   0.167765E+01  -0.206926E+01   0.125991E+03   0.173193E+01   0.822588E+01   0.871074E+02   0.165978E+01   0.998438E+02   0.127604E-02  -0.348162E+01  -0.153145E+01   0.822588E+01   0.000000E+00   0.300000E+01   0.000000E+00
