X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.600000E+00   0.600000E+00   0.532100E+03   0.532100E+03   0.604988E+03  -0.728882E+02  -0.897097E+00
   0.530000E+00   0.530000E+00   0.531970E+03   0.531970E+03   0.572901E+03  -0.409309E+02  -0.504249E+00
   0.600000E+00   0.600000E+00   0.520880E+03   0.520880E+03   0.604988E+03  -0.841082E+02  -0.103751E+01
   0.632000E+01   0.632000E+01   0.499844E+04   0.499844E+04   0.496165E+04   0.367916E+02   0.201796E+00
   0.139000E+01   0.139000E+01   0.109107E+04   0.109107E+04   0.101002E+04   0.810460E+02   0.960543E+00
   0.280000E+00   0.280000E+00   0.397010E+03   0.397010E+03   0.463718E+03  -0.667083E+02  -0.859593E+00
   0.280000E+00   0.280000E+00   0.383410E+03   0.383410E+03   0.463718E+03  -0.803083E+02  -0.101928E+01
   0.510000E+00   0.510000E+00   0.508780E+03   0.508780E+03   0.563853E+03  -0.550730E+02  -0.694286E+00
   0.239000E+01   0.239000E+01   0.180352E+04   0.180352E+04   0.162563E+04   0.177890E+03   0.185328E+01
   0.235000E+01   0.235000E+01   0.169312E+04   0.169312E+04   0.159896E+04   0.941577E+02   0.100057E+01
   0.153000E+01   0.153000E+01   0.125138E+04   0.125138E+04   0.108959E+04   0.161794E+03   0.186978E+01
