               b1             a1             c1             b2             a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1             k2             k3             ktype1         ktype2         ktype3         
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.179297E+01   0.164023E+03   0.156975E+01  -0.742878E+00   0.191068E+03   0.160897E+01   0.860436E+01   0.200102E+02   0.159796E+01   0.595192E+02   0.428754E-04  -0.179297E+01   0.363429E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum          -0.134364E+01   0.200278E+03   0.164192E+01   0.706494E+00   0.258231E+03   0.170442E+01   0.999002E+01   0.211092E+03   0.172256E+01   0.102950E+03   0.141446E-01  -0.134364E+01   0.993623E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.449330E+00   0.362550E+02   0.721700E-01   0.144937E+01   0.671630E+02   0.954500E-01   0.138566E+01   0.191082E+03   0.124600E+00   0.434308E+02   0.141017E-01   0.449330E+00   0.630194E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.154279E+01   0.180666E+03   0.160563E+01  -0.565357E-01   0.217666E+03   0.166461E+01   0.938922E+01   0.687472E+02   0.166399E+01   0.795169E+02   0.327928E-02  -0.154279E+01   0.716388E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.154310E+01   0.180111E+03   0.160606E+01  -0.553520E-01   0.214541E+03   0.166584E+01   0.939184E+01   0.656536E+02   0.166408E+01   0.793884E+02   0.283291E-02  -0.154310E+01   0.715343E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.162799E+01   0.172213E+03   0.158662E+01  -0.361300E+00   0.203814E+03   0.164421E+01   0.910388E+01   0.402234E+02   0.164078E+01   0.716445E+02   0.100040E-02  -0.162799E+01   0.559564E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.158763E+01   0.175724E+03   0.159535E+01  -0.216299E+00   0.208019E+03   0.165426E+01   0.924104E+01   0.509924E+02   0.165197E+01   0.752070E+02   0.167600E-02  -0.158763E+01   0.619432E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.149716E+01   0.185554E+03   0.161577E+01   0.106587E+00   0.225823E+03   0.167659E+01   0.954031E+01   0.827411E+02   0.167640E+01   0.838281E+02   0.447550E-02  -0.149716E+01   0.815588E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.145507E+01   0.190048E+03   0.162291E+01   0.241204E+00   0.235433E+03   0.168422E+01   0.966053E+01   0.101222E+03   0.168649E+01   0.875739E+02   0.606038E-02  -0.145507E+01   0.879339E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00
St.Dev.           0.671429E-01   0.660606E+01   0.138288E-01   0.230808E+00   0.125628E+02   0.171040E-01   0.216232E+00   0.244384E+02   0.178496E-01   0.630927E+01   0.211159E-02   0.671429E-01   0.119935E+01   0.216232E+00   0.000000E+00   0.000000E+00   0.000000E+00
Variance          0.450817E-02   0.436401E+02   0.191236E-03   0.532724E-01   0.157823E+03   0.292547E-03   0.467562E-01   0.597235E+03   0.318609E-03   0.398069E+02   0.445882E-05   0.450817E-02   0.143844E+01   0.467562E-01   0.000000E+00   0.000000E+00   0.000000E+00
CV                0.435203E-01   0.365651E-01   0.861269E-02   0.408252E+01   0.577158E-01   0.102751E-01   0.230298E-01   0.355482E+00   0.107270E-01   0.793450E-01   0.643920E+00   0.435203E-01   0.167416E+00   0.230298E-01   0.179769+309   0.000000E+00   0.179769+309
Skewness         -0.271210E-01   0.165825E+00  -0.590017E-01   0.205307E-01   0.843638E+00  -0.604358E+00  -0.109701E+00   0.950401E+00  -0.134957E-01   0.118782E+00   0.114854E+01  -0.271210E-01  -0.343238E-01  -0.109701E+00   0.000000E+00   0.000000E+00   0.000000E+00
Kurtosis          0.114948E-01  -0.530400E+00  -0.571152E+00  -0.207410E+00   0.354886E+00   0.679711E+00  -0.116386E+00   0.171919E+01  -0.443876E-01   0.902465E-01   0.162965E+01   0.114948E-01  -0.878913E+00  -0.116386E+00   0.000000E+00   0.000000E+00   0.000000E+00
MaxPost          -0.148036E+01   0.188456E+03   0.159219E+01   0.486391E-01   0.213915E+03   0.164726E+01   0.920336E+01   0.516578E+02   0.166991E+01   0.752790E+02   0.246381E-02  -0.148036E+01   0.911542E+01   0.920336E+01   0.000000E+00   0.300000E+01   0.000000E+00
