X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.600000E+00   0.600000E+00   0.532100E+03   0.532100E+03   0.958519E+03  -0.426419E+03  -0.309704E+01
   0.530000E+00   0.530000E+00   0.531970E+03   0.531970E+03   0.924213E+03  -0.392243E+03  -0.285032E+01
   0.600000E+00   0.600000E+00   0.520880E+03   0.520880E+03   0.958519E+03  -0.437639E+03  -0.318101E+01
   0.632000E+01   0.632000E+01   0.499844E+04   0.499844E+04   0.544831E+04  -0.449874E+03  -0.208627E+01
   0.139000E+01   0.139000E+01   0.109107E+04   0.109107E+04   0.138295E+04  -0.291880E+03  -0.208671E+01
   0.280000E+00   0.280000E+00   0.397010E+03   0.397010E+03   0.806180E+03  -0.409170E+03  -0.302099E+01
   0.280000E+00   0.280000E+00   0.383410E+03   0.383410E+03   0.806180E+03  -0.422770E+03  -0.310576E+01
   0.510000E+00   0.510000E+00   0.508780E+03   0.508780E+03   0.914511E+03  -0.405731E+03  -0.297189E+01
   0.239000E+01   0.239000E+01   0.180352E+04   0.180352E+04   0.201508E+04  -0.211558E+03  -0.143325E+01
   0.235000E+01   0.235000E+01   0.169312E+04   0.169312E+04   0.198782E+04  -0.294695E+03  -0.201334E+01
   0.153000E+01   0.153000E+01   0.125138E+04   0.125138E+04   0.146517E+04  -0.213789E+03  -0.151359E+01
