               b1             a1             c1             b2             a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1             k2             k3             ktype1         ktype2         ktype3         
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.533857E+01   0.901808E+01   0.159750E+01  -0.315993E+01   0.906602E+02   0.174174E+01   0.692272E+01   0.268400E+02   0.159787E+01   0.111859E+03   0.278554E-04  -0.533857E+01  -0.240810E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum          -0.407664E+01   0.276735E+02   0.171681E+01  -0.284021E+01   0.113663E+03   0.183075E+01   0.895873E+01   0.229262E+03   0.172625E+01   0.179664E+03   0.101915E-01  -0.407664E+01  -0.132994E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.126193E+01   0.186554E+02   0.119310E+00   0.319720E+00   0.230028E+02   0.890100E-01   0.203601E+01   0.202422E+03   0.128380E+00   0.678050E+02   0.101636E-01   0.126193E+01   0.107816E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.468038E+01   0.184699E+02   0.165940E+01  -0.288885E+01   0.100793E+03   0.179291E+01   0.800140E+01   0.100716E+03   0.166558E+01   0.139998E+03   0.220614E-02  -0.468038E+01  -0.188225E+01   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.468122E+01   0.184948E+02   0.165974E+01  -0.287480E+01   0.100611E+03   0.179239E+01   0.801694E+01   0.974896E+02   0.166548E+01   0.139748E+03   0.181558E-02  -0.468122E+01  -0.188587E+01   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.490667E+01   0.151618E+02   0.163626E+01  -0.295700E+01   0.957891E+02   0.177527E+01   0.760903E+01   0.649870E+02   0.164321E+01   0.128579E+03   0.553524E-03  -0.490667E+01  -0.208108E+01   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.479881E+01   0.165634E+02   0.164793E+01  -0.291079E+01   0.978882E+02   0.178403E+01   0.778965E+01   0.797131E+02   0.165398E+01   0.133180E+03   0.103432E-02  -0.479881E+01  -0.199472E+01   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.455251E+01   0.201228E+02   0.167093E+01  -0.285070E+01   0.103492E+03   0.180351E+01   0.821198E+01   0.118372E+03   0.167702E+01   0.146145E+03   0.301371E-02  -0.455251E+01  -0.177534E+01   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.445594E+01   0.218171E+02   0.168164E+01  -0.284381E+01   0.106031E+03   0.181068E+01   0.839674E+01   0.140147E+03   0.168779E+01   0.151817E+03   0.431836E-02  -0.445594E+01  -0.167291E+01   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00
St.Dev.           0.178236E+00   0.260332E+01   0.176499E-01   0.484983E-01   0.411584E+01   0.141959E-01   0.309098E+00   0.298262E+02   0.175706E-01   0.933169E+01   0.157287E-02   0.178236E+00   0.161453E+00   0.309098E+00   0.000000E+00   0.000000E+00   0.000000E+00
Variance          0.317681E-01   0.677726E+01   0.311518E-03   0.235209E-02   0.169402E+02   0.201525E-03   0.955415E-01   0.889603E+03   0.308727E-03   0.870805E+02   0.247394E-05   0.317681E-01   0.260671E-01   0.955415E-01   0.000000E+00   0.000000E+00   0.000000E+00
CV                0.380815E-01   0.140949E+00   0.106363E-01   0.167881E-01   0.408347E-01   0.791782E-02   0.386305E-01   0.296142E+00   0.105493E-01   0.666561E-01   0.712954E+00   0.380815E-01   0.857765E-01   0.386305E-01   0.179769+309   0.000000E+00   0.179769+309
Skewness         -0.851003E-01   0.157235E+00  -0.482836E-01  -0.147534E+01   0.281968E+00  -0.213366E+00  -0.177828E+00   0.694967E+00   0.908929E-01   0.228117E+00   0.128639E+01  -0.851003E-01   0.134796E+00  -0.177828E+00   0.000000E+00   0.000000E+00   0.000000E+00
Kurtosis          0.193281E-01   0.373019E-01   0.946156E-01   0.227286E+01  -0.615378E-01   0.248410E-01   0.373096E-01   0.743610E+00   0.133343E+00   0.161103E+00   0.205551E+01   0.193281E-01   0.867528E-01   0.373096E-01   0.000000E+00   0.000000E+00   0.000000E+00
MaxPost          -0.466611E+01   0.192804E+02   0.167131E+01  -0.284743E+01   0.106323E+03   0.177671E+01   0.783742E+01   0.864706E+02   0.166166E+01   0.133057E+03   0.212223E-02  -0.466611E+01  -0.182642E+01   0.783742E+01   0.000000E+00   0.300000E+01   0.000000E+00
