X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.600000E+00   0.600000E+00   0.532100E+03   0.532100E+03   0.615809E+03  -0.837086E+02  -0.990551E+00
   0.530000E+00   0.530000E+00   0.531970E+03   0.531970E+03   0.583910E+03  -0.519401E+02  -0.615572E+00
   0.600000E+00   0.600000E+00   0.520880E+03   0.520880E+03   0.615809E+03  -0.949286E+02  -0.112565E+01
   0.632000E+01   0.632000E+01   0.499844E+04   0.499844E+04   0.501573E+04  -0.172916E+02  -0.919650E-01
   0.139000E+01   0.139000E+01   0.109107E+04   0.109107E+04   0.101926E+04   0.718116E+02   0.814050E+00
   0.280000E+00   0.280000E+00   0.397010E+03   0.397010E+03   0.475422E+03  -0.784119E+02  -0.971025E+00
   0.280000E+00   0.280000E+00   0.383410E+03   0.383410E+03   0.475422E+03  -0.920119E+02  -0.112359E+01
   0.510000E+00   0.510000E+00   0.508780E+03   0.508780E+03   0.574917E+03  -0.661368E+02  -0.800846E+00
   0.239000E+01   0.239000E+01   0.180352E+04   0.180352E+04   0.163534E+04   0.168177E+03   0.167575E+01
   0.235000E+01   0.235000E+01   0.169312E+04   0.169312E+04   0.160859E+04   0.845330E+02   0.858058E+00
   0.153000E+01   0.153000E+01   0.125138E+04   0.125138E+04   0.109869E+04   0.152689E+03   0.168873E+01
