               b1             a1             c1             b2             a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1             k2             k3             ktype1         ktype2         ktype3         
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.653069E+01   0.651958E+01   0.155435E+01  -0.185462E+01   0.149058E+03   0.158574E+01   0.694057E+01   0.149846E+02   0.158041E+01   0.640023E+02   0.309835E-06  -0.653069E+01  -0.119250E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum          -0.327290E+01   0.513681E+02   0.167443E+01  -0.136748E+01   0.194783E+03   0.168380E+01   0.973287E+01   0.447309E+03   0.174526E+01   0.114665E+03   0.132729E-01  -0.327290E+01   0.653645E+00   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.325779E+01   0.448485E+02   0.120080E+00   0.487140E+00   0.457250E+02   0.980600E-01   0.279230E+01   0.432324E+03   0.164850E+00   0.506627E+02   0.132726E-01   0.325779E+01   0.184614E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.489195E+01   0.240379E+02   0.162619E+01  -0.161177E+01   0.167420E+03   0.164111E+01   0.838975E+01   0.817949E+02   0.166988E+01   0.844462E+02   0.204311E-02  -0.489195E+01  -0.199965E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.488764E+01   0.236913E+02   0.162765E+01  -0.161406E+01   0.166651E+03   0.164194E+01   0.838259E+01   0.762442E+02   0.167005E+01   0.845028E+02   0.151665E-02  -0.488764E+01  -0.192347E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.550874E+01   0.153442E+02   0.160028E+01  -0.170836E+01   0.157050E+03   0.161521E+01   0.788328E+01   0.440216E+02   0.163921E+01   0.763982E+02   0.228011E-03  -0.550874E+01  -0.649878E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.521651E+01   0.192153E+02   0.161397E+01  -0.166589E+01   0.160770E+03   0.163112E+01   0.812331E+01   0.584351E+02   0.165345E+01   0.799113E+02   0.625923E-03  -0.521651E+01  -0.458662E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.457178E+01   0.283639E+02   0.163944E+01  -0.156065E+01   0.172244E+03   0.165457E+01   0.866621E+01   0.995708E+02   0.168615E+01   0.886505E+02   0.291939E-02  -0.457178E+01   0.671735E-01   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.427296E+01   0.330066E+02   0.165016E+01  -0.151018E+01   0.180718E+03   0.166352E+01   0.889048E+01   0.125078E+03   0.170108E+01   0.926080E+02   0.457001E-02  -0.427296E+01   0.252436E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00
St.Dev.           0.484618E+00   0.679724E+01   0.188322E-01   0.766152E-01   0.866052E+01   0.180667E-01   0.392849E+00   0.349765E+02   0.246292E-01   0.644024E+01   0.186447E-02   0.484618E+00   0.343148E+00   0.392849E+00   0.000000E+00   0.000000E+00   0.000000E+00
Variance          0.234855E+00   0.462025E+02   0.354652E-03   0.586989E-02   0.750046E+02   0.326406E-03   0.154330E+00   0.122336E+04   0.606599E-03   0.414767E+02   0.347626E-05   0.234855E+00   0.117751E+00   0.154330E+00   0.000000E+00   0.000000E+00   0.000000E+00
CV                0.990644E-01   0.282772E+00   0.115806E-01   0.475349E-01   0.517292E-01   0.110089E-01   0.468248E-01   0.427612E+00   0.147491E-01   0.762644E-01   0.912565E+00   0.990644E-01   0.171604E+01   0.468248E-01   0.179769+309   0.000000E+00   0.179769+309
Skewness          0.109289E-02   0.388272E+00  -0.342895E+00   0.112479E+00   0.602143E+00  -0.471730E+00  -0.130068E-01   0.179818E+01  -0.100201E+00   0.166167E+00   0.157346E+01   0.109289E-02  -0.110552E+00  -0.130068E-01   0.000000E+00   0.000000E+00   0.000000E+00
Kurtosis          0.513398E-01   0.818163E-01  -0.967295E-01  -0.198151E+00   0.143701E+00   0.542832E-02  -0.288834E-01   0.986277E+01   0.107307E+00   0.229724E+00   0.335687E+01   0.513398E-01  -0.648198E+00  -0.288834E-01   0.000000E+00   0.000000E+00   0.000000E+00
MaxPost          -0.524225E+01   0.183953E+02   0.162282E+01  -0.157786E+01   0.173420E+03   0.162810E+01   0.847154E+01   0.922393E+02   0.165623E+01   0.776028E+02   0.423356E-02  -0.524225E+01  -0.351354E+00   0.847154E+01   0.000000E+00   0.300000E+01   0.000000E+00
