"h" "Q" "uQ" "Period"
0.72 1108.88 110.888 2
3 2841 284.1 2
0.9 1107.44 110.744 2
2.88 2807.28 280.728 2
0.63 577 57.7 3
4 3943 394.3 3
1.44 1207 120.7 3
1.89 1417 141.7 3
0.53 562 56.2 3
0.19 398 39.8 3
0.7 1021 102.1 4
0.52 961 96.1 4
0.5 899 89.9 4
0.12 738 73.8 4
0.25 772 77.2 4
0.67 1055 105.5 4
-0.17 740 74 4
0.23 865 86.5 4
0.26 874 87.4 4
0.1 799 79.9 4
0.05 704 70.4 4
-0.03 686 68.6 4
-0.04 658 65.8 4
0.2 838 83.8 4
0.6 876 87.6 4
0.4 956 95.6 4
0.15 827 82.7 4
1.31 1327 132.7 4
1.27 1358 135.8 4
0.42 869 86.9 4
1.12 1226 122.6 4
1.13 1242 124.2 4
0.29 799 79.9 4
0.25 801 80.1 4
-0.03 707 70.7 4
0.35 837 83.7 4
0.3 800 80 4
1.33 1355 135.5 4
1.05 1230 123 4
0.75 1031 103.1 4
0.15 832 83.2 4
0.12 809 80.9 4
-0.44 549 54.9 4
-0.35 572 57.2 4
0.37 854 85.4 4
0.38 858 85.8 4
0.12 646 64.6 4
-0.13 620 62 4
0.15 621 62.1 4
1.25 1329 132.9 4
0.08 757 75.7 4
0.01 681 68.1 4
0.98 1205 120.5 4
1.22 1198 119.8 4
2.54 3291 411.375 4
2.57 3439 429.875 4
1.42 1495 149.5 4
3.99 4610 461 4
4.2 4853 485.3 4
1.15 1354 135.4 4
1 1075 107.5 4
0.86 1086 108.6 4
0.53 930 93 4
0.47 941 94.1 4
3.31 3532 353.2 4
1.22 1309 130.9 4
5.16 5301 530.1 4
6.56 7444 744.4 4
4.04 4223 422.3 5
0.33 729 72.9 5
0.67 830 83 5
1.06 1069 106.9 5
0.6 914 91.4 5
1.7 2109 316.35 5
0.38 872 87.2 5
0.24 712 71.2 5
-0.5 452 45.2 5
0.7 853 85.3 5
1.68 1725 258.75 5
0.98 961 96.1 5
0.63 840 84 5
0.55 785 78.5 5
1.58 1599 239.85 5
0.5 778 77.8 5
1 998 99.8 5
0.62 859 85.9 5
0.15 645 64.5 5
1.3 1378 137.8 5
1.05 1053 105.3 5
0.12 655 65.5 5
1.1 1055 105.5 6
1.15 1173 58.65 7
2.69 2386 119.3 7
3.37 2856 142.8 7
0.47 693 34.65 8
0.52 708 35.4 8
0.35 621 31.05 8
2.35 1815 90.75 8
2.18 1697 84.85 8
2.58 2086 104.3 8
2.09 1602 80.1 8
1.14 979 48.95 8
0.1 551 27.55 8
3.25 2867 143.35 8
1.88 1520 76 8
2 1590 119.25 8
1.96 1575 78.75 8
2.2 1755 87.75 8
2.6 2260 113 8
2.56 2148 107.4 8
2.76 2280 171 8
2.72 2270 113.5 8
2.5 2110 105.5 8
2.46 1970 98.5 8
3.85 3560 178 8
3.86 3650 182.5 8
3.86 3570 178.5 8
3.86 3620 181 8
1.95 1520 76 8
1.89 1440 72 8
1.87 1390 69.5 8
1.42 1162 58.1 8
1.58 1263 63.15 8
1.6 1225 61.25 8
1.9 1470 73.5 8
1.9 1475 73.75 8
1.66 1275 63.75 8
1.64 1255 62.75 8
1.58 1255 62.75 8
1.58 1260 63 8
1.19 995 49.75 8
1.2 1020 51 8
1.34 1085 54.25 8
1.29 1035 51.75 8
0.78 820 41 8
0.8 815 40.75 8
0.55 733 36.65 8
0.8 825 41.25 8
0.23 565 28.25 8
0.26 590 29.5 8
0.25 572 28.6 8
0.38 627 31.35 8
0.25 585 29.25 8
0.3 595 29.75 8
2.54 2040 102 8
2.42 1920 96 8
2.52 2000 100 8
2.5 1990 149.25 8
4.5 4370 327.75 8
4.47 4390 329.25 8
4.42 4370 327.75 8
4.4 4270 320.25 8
4.38 4270 320.25 8
3.09 2680 201 8
3.07 2550 127.5 8
3.04 2580 129 8
3.04 2540 127 8
3.1 2680 134 8
3.08 2690 134.5 8
1.2 1040 52 8
1.16 1020 51 8
0.78 845 42.25 8
0.82 865 43.25 8
0.08 528 26.4 8
0 508 25.4 8
-0.07 507 25.35 8
-0.04 495 24.75 8
0.88 875 43.75 8
1 930 46.5 8
3.8 3460 173 8
3.84 3500 175 8
2.48 2050 102.5 8
2.47 1990 99.5 8
3.28 2890 144.5 8
3.38 3010 150.5 8
4.31 4060 203 8
4.22 3910 195.5 8
1.54 1260 63 8
1.58 1295 64.75 8
0.64 795 39.75 8
0.57 762 38.1 8
6.62 7100 532.5 8
6.62 7100 532.5 8
4.9 4640 232 8
4.25 4130 206.5 8
3.1 2745 137.25 9
3.04 2620 131 9
2.27 1840 92 9
2.2 1745 87.25 9
0.96 975 48.75 9
1.05 1000 50 9
0.27 655 32.75 9
0.22 630 31.5 9
0.84 890 44.5 9
0.5 730 36.5 9
0.39 693 34.65 9
0.32 675 33.75 9
2.26 1860 93 9
2.16 1765 88.25 9
2 1635 81.75 9
2.02 1620 81 9
0.42 720 36 9
0.7 860 43 9
1.45 1230 61.5 9
1.46 1220 61 9
1.7 1390 69.5 9
1.82 1440 72 9
2.46 2030 101.5 9
2.52 2130 106.5 9
3.09 2760 138 9
3.17 2825 141.25 9
3.52 3300 165 9
3.63 3360 168 9
4.82 4625 231.25 9
4.78 4545 227.25 9
2.08 1720 86 9
2.24 1780 89 9
3.2 2910 145.5 9
3.2 2900 217.5 9
3.2 2900 145 9
0.85 944 47.2 9
0.89 925 46.25 9
0.38 670 50.25 9
0.33 675 33.75 9
0.25 650 32.5 9
0.4 727 36.35 9
0.19 635 31.75 9
0.25 650 32.5 9
3.3 2735 136.75 10
3.33 2775 138.75 10
2.45 1730 86.5 10
2.09 1385 69.25 10
1.96 1320 66 10
