X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.720000E+00   0.720000E+00   0.110888E+04   0.110888E+04   0.936216E+03   0.172664E+03   0.155683E+01
   0.300000E+01   0.300000E+01   0.284100E+04   0.284100E+04   0.290008E+04  -0.590799E+02  -0.207927E+00
   0.900000E+00   0.900000E+00   0.110744E+04   0.110744E+04   0.103106E+04   0.763836E+02   0.689594E+00
   0.288000E+01   0.288000E+01   0.280728E+04   0.280728E+04   0.276371E+04   0.435750E+02   0.155202E+00
   0.630000E+00   0.630000E+00   0.577000E+03   0.577000E+03   0.618869E+03  -0.418692E+02  -0.725331E+00
   0.400000E+01   0.400000E+01   0.394300E+04   0.394300E+04   0.360194E+04   0.341062E+03   0.864896E+00
   0.144000E+01   0.144000E+01   0.120700E+04   0.120700E+04   0.103789E+04   0.169114E+03   0.140087E+01
   0.189000E+01   0.189000E+01   0.141700E+04   0.141700E+04   0.136990E+04   0.471026E+02   0.332353E+00
   0.530000E+00   0.530000E+00   0.562000E+03   0.562000E+03   0.579770E+03  -0.177695E+02  -0.316053E+00
   0.190000E+00   0.190000E+00   0.398000E+03   0.398000E+03   0.454667E+03  -0.566665E+02  -0.142283E+01
   0.700000E+00   0.700000E+00   0.102100E+04   0.102100E+04   0.101382E+04   0.718380E+01   0.703443E-01
   0.520000E+00   0.520000E+00   0.961000E+03   0.961000E+03   0.925194E+03   0.358064E+02   0.372509E+00
   0.500000E+00   0.500000E+00   0.899000E+03   0.899000E+03   0.915894E+03  -0.168939E+02  -0.187869E+00
   0.120000E+00   0.120000E+00   0.738000E+03   0.738000E+03   0.746498E+03  -0.849805E+01  -0.115114E+00
   0.250000E+00   0.250000E+00   0.772000E+03   0.772000E+03   0.802874E+03  -0.308740E+02  -0.399801E+00
   0.670000E+00   0.670000E+00   0.105500E+04   0.105500E+04   0.997796E+03   0.572044E+02   0.542108E+00
  -0.170000E+00  -0.170000E+00   0.740000E+03   0.740000E+03   0.626784E+03   0.113216E+03   0.152954E+01
   0.230000E+00   0.230000E+00   0.865000E+03   0.865000E+03   0.794093E+03   0.709068E+02   0.819535E+00
   0.260000E+00   0.260000E+00   0.874000E+03   0.874000E+03   0.807279E+03   0.667209E+02   0.763214E+00
   0.100000E+00   0.100000E+00   0.799000E+03   0.799000E+03   0.737972E+03   0.610277E+02   0.763602E+00
   0.500000E-01   0.500000E-01   0.704000E+03   0.704000E+03   0.716831E+03  -0.128312E+02  -0.182202E+00
  -0.300000E-01  -0.300000E-01   0.686000E+03   0.686000E+03   0.683523E+03   0.247664E+01   0.360909E-01
  -0.400000E-01  -0.400000E-01   0.658000E+03   0.658000E+03   0.679405E+03  -0.214049E+02  -0.325188E+00
   0.200000E+00   0.200000E+00   0.838000E+03   0.838000E+03   0.780995E+03   0.570049E+02   0.680079E+00
   0.600000E+00   0.600000E+00   0.876000E+03   0.876000E+03   0.962771E+03  -0.867707E+02  -0.990245E+00
   0.400000E+00   0.400000E+00   0.956000E+03   0.956000E+03   0.869966E+03   0.860341E+02   0.899742E+00
   0.150000E+00   0.150000E+00   0.827000E+03   0.827000E+03   0.759361E+03   0.676393E+02   0.817682E+00
   0.131000E+01   0.131000E+01   0.132700E+04   0.132700E+04   0.141774E+04  -0.907387E+02  -0.683646E+00
   0.127000E+01   0.127000E+01   0.135800E+04   0.135800E+04   0.138743E+04  -0.294328E+02  -0.216694E+00
   0.420000E+00   0.420000E+00   0.869000E+03   0.869000E+03   0.879075E+03  -0.100751E+02  -0.115909E+00
   0.112000E+01   0.112000E+01   0.122600E+04   0.122600E+04   0.127817E+04  -0.521672E+02  -0.425417E+00
   0.113000E+01   0.113000E+01   0.124200E+04   0.124200E+04   0.128523E+04  -0.432306E+02  -0.348000E+00
   0.290000E+00   0.290000E+00   0.799000E+03   0.799000E+03   0.820552E+03  -0.215525E+02  -0.269664E+00
   0.250000E+00   0.250000E+00   0.801000E+03   0.801000E+03   0.802874E+03  -0.187404E+01  -0.233897E-01
  -0.300000E-01  -0.300000E-01   0.707000E+03   0.707000E+03   0.683523E+03   0.234766E+02   0.331958E+00
   0.350000E+00   0.350000E+00   0.837000E+03   0.837000E+03   0.847361E+03  -0.103607E+02  -0.123750E+00
   0.300000E+00   0.300000E+00   0.800000E+03   0.800000E+03   0.824996E+03  -0.249964E+02  -0.312363E+00
   0.133000E+01   0.133000E+01   0.135500E+04   0.135500E+04   0.143307E+04  -0.780710E+02  -0.576053E+00
   0.105000E+01   0.105000E+01   0.123000E+04   0.123000E+04   0.122964E+04   0.359306E+00   0.292060E-02
   0.750000E+00   0.750000E+00   0.103100E+04   0.103100E+04   0.104155E+04  -0.105467E+02  -0.102273E+00
   0.150000E+00   0.150000E+00   0.832000E+03   0.832000E+03   0.759361E+03   0.726393E+02   0.872852E+00
   0.120000E+00   0.120000E+00   0.809000E+03   0.809000E+03   0.746498E+03   0.625019E+02   0.772384E+00
  -0.440000E+00  -0.440000E+00   0.549000E+03   0.549000E+03   0.523042E+03   0.259583E+02   0.472641E+00
  -0.350000E+00  -0.350000E+00   0.572000E+03   0.572000E+03   0.556780E+03   0.152202E+02   0.265984E+00
   0.370000E+00   0.370000E+00   0.854000E+03   0.854000E+03   0.856374E+03  -0.237398E+01  -0.277909E-01
   0.380000E+00   0.380000E+00   0.858000E+03   0.858000E+03   0.860895E+03  -0.289503E+01  -0.337325E-01
   0.120000E+00   0.120000E+00   0.646000E+03   0.646000E+03   0.746498E+03  -0.100498E+03  -0.155507E+01
  -0.130000E+00  -0.130000E+00   0.620000E+03   0.620000E+03   0.642793E+03  -0.227929E+02  -0.367488E+00
   0.150000E+00   0.150000E+00   0.621000E+03   0.621000E+03   0.759361E+03  -0.138361E+03  -0.222704E+01
   0.125000E+01   0.125000E+01   0.132900E+04   0.132900E+04   0.137246E+04  -0.434609E+02  -0.326955E+00
