X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.284000E+01   0.284000E+01   0.126500E+04   0.126500E+04   0.127883E+04  -0.138330E+02  -0.115686E+00
   0.280000E+01   0.280000E+01   0.125500E+04   0.125500E+04   0.125568E+04  -0.680194E+00  -0.570226E-02
   0.275000E+01   0.275000E+01   0.120500E+04   0.120500E+04   0.122699E+04  -0.219911E+02  -0.186432E+00
   0.509000E+01   0.509000E+01   0.353100E+04   0.353100E+04   0.354357E+04  -0.125697E+02  -0.612886E-01
   0.517000E+01   0.517000E+01   0.365000E+04   0.365000E+04   0.361538E+04   0.346162E+02   0.164620E+00
   0.508000E+01   0.508000E+01   0.351500E+04   0.351500E+04   0.353464E+04  -0.196358E+02  -0.692552E-01
   0.516000E+01   0.516000E+01   0.366000E+04   0.366000E+04   0.360637E+04   0.536262E+02   0.182589E+00
   0.494000E+01   0.494000E+01   0.336500E+04   0.336500E+04   0.341056E+04  -0.455635E+02  -0.230234E+00
   0.497000E+01   0.497000E+01   0.347900E+04   0.347900E+04   0.343699E+04   0.420074E+02   0.207151E+00
   0.496000E+01   0.496000E+01   0.335000E+04   0.335000E+04   0.342817E+04  -0.781733E+02  -0.287394E+00
   0.725000E+01   0.725000E+01   0.564500E+04   0.564500E+04   0.569092E+04  -0.459165E+02  -0.152098E+00
   0.719000E+01   0.719000E+01   0.561100E+04   0.561100E+04   0.562556E+04  -0.145561E+02  -0.484767E-01
   0.725000E+01   0.725000E+01   0.566000E+04   0.566000E+04   0.569092E+04  -0.309165E+02  -0.706174E-01
   0.726000E+01   0.726000E+01   0.551000E+04   0.551000E+04   0.570184E+04  -0.191841E+03  -0.449373E+00
   0.425000E+01   0.425000E+01   0.278900E+04   0.278900E+04   0.282672E+04  -0.377206E+02  -0.217244E+00
   0.443000E+01   0.443000E+01   0.293200E+04   0.293200E+04   0.297455E+04  -0.425542E+02  -0.237025E+00
   0.443000E+01   0.443000E+01   0.292500E+04   0.292500E+04   0.297455E+04  -0.495542E+02  -0.204243E+00
