"h" "Q" "uQ" "Period"
2.84 1265 63.25 1
2.8 1255 62.75 1
2.75 1205 60.25 1
5.09 3531 176.55 2
5.17 3650 182.5 2
5.08 3515 263.625 2
5.16 3660 274.5 2
4.94 3365 168.25 2
4.97 3479 173.95 2
4.96 3350 251.25 2
7.25 5645 282.25 2
7.19 5611 280.55 2
7.25 5660 424.5 2
7.26 5510 413.25 2
4.25 2789 139.45 2
4.43 2932 146.6 2
4.43 2925 219.375 2
4.28 2825 211.875 2
4.08 2624 131.2 2
4.02 2555 127.75 2
4.08 2650 198.75 2
5.1 3700 277.5 2
5.23 3870 290.25 2
5.39 3850 288.75 2
5.96 4475 335.625 2
6.09 4570 342.75 2
6.25 4700 352.5 2
6.46 4900 367.5 2
6.43 4695 234.75 2
6.36 4400 330 2
3.72 2370 118.5 2
3.62 2385 119.25 2
3.64 2370 177.75 2
3.64 2332 116.6 2
8.53 7520 376 2
8.52 7500 562.5 2
8.53 7510 563.25 2
3.14 1744 87.2 2
3.04 1845 138.375 2
3.14 1975 98.75 2
2.98 1770 132.75 2
2.9 1776 88.8 2
2.97 1846 92.3 2
4.4 3034 151.7 2
4.23 2851 142.55 2
0.99 679 33.95 2
1.01 679 33.95 2
1.37 959 47.95 2
1.43 985 73.875 2
0.6 453 22.65 2
0.48 472 23.6 2
6.07 4395 219.75 2
6.08 4376 218.8 2
6.06 4334 325.05 2
3.03 1882 94.1 2
3.02 1845 92.25 2
3.13 1962 98.1 2
2.85 1631 81.55 2
4.08 2783 139.15 2
4.09 2615 130.75 2
1.99 1264 63.2 2
2.18 1366 68.3 2
1.37 938 46.9 2
1.23 878 43.9 2
2.77 1688 84.4 2
2.93 1864 93.2 2
4.3 2905 145.25 2
4.36 2868 143.4 2
6.1 4460 223 2
2.26 1416 70.8 2
4.02 2875 143.75 2
4.09 2670 133.5 2
5.59 4019 200.95 2
5.67 4133 206.65 2
6.57 4962 248.1 2
6.66 5072 253.6 2
5.44 3960 198 2
6.18 4626 231.3 2
7.4 5897 294.85 2
1.64 1047 52.35 2
1.99 1263 63.15 2
1.56 1068 53.4 2
1.46 944 47.2 2
3.98 2641 132.05 2
4.15 2871 143.55 2
3.96 2686 201.45 2
3.98 2745 205.875 2
4 2739 205.425 2
5.94 4411 330.825 2
3.33 2156 161.7 2
3.2 2082 156.15 2
0.53 413 20.65 2
0.38 395 19.75 2
8.11 6838 512.85 2
3.09 1964 147.3 2
5.55 3900 292.5 2
0.65 560 42 2
0.8 650 48.75 2
0.5 470 35.25 2
4.9 3310 248.25 2
4.92 3320 249 2
4.95 3420 256.5 2
5 3480 261 2
2.18 1360 102 2
1.39 928 32.48 2
3.73 2437 85.295 2
6.4 4657 162.995 2
6.4 4748 356.1 2
7.2 5407 189.245 2
7.2 5435 407.625 2
6.85 5502 192.57 2
7.4 5930 207.55 2
7.7 6278 470.85 2
7.72 6423 481.725 2
7.85 6148 215.18 2
7.86 6187 464.025 2
9.64 9302 465.1 2
9.72 9555 477.75 2
9.9 9578 718.35 2
9.84 9233 692.475 2
7.17 5950 446.25 2
7.35 6093 213.255 2
7.65 6178 463.35 2
10.5 11029 551.45 2
10.38 10883 544.15 2
3.25 1974 69.09 3
3.28 1974 148.05 3
3.29 2128 74.48 3
3.31 2220 55.5 3
5.01 3570 124.95 3
5 3532 123.62 3
5 3532 88.3 3
3.55 2429 60.725 3
3.57 2421 60.525 3
5.2 3822 95.55 3
3.96 2785 69.625 3
4.16 3053 76.325 3
2.8 1866 46.65 3
1.64 1100 27.5 3
1.63 1089 27.225 3
1.49 1035 25.875 3
3.73 2406 60.15 3
3.69 2286 57.15 3
1.98 1303 32.575 3
1.96 1260 31.5 3
8.42 6759 168.975 3
8.31 6520 163 3
3.01 1950 48.75 3
1.03 762 19.05 3
7.46 5918 147.95 3
4.24 3032 75.8 3
2.08 1327 33.175 3
6.35 4850 121.25 3
6.19 4630 115.75 3
6.2 4630 115.75 3
5.81 4295 107.375 3
5.02 3630 90.75 3
2.01 1394 34.85 3
2.03 1414 35.35 3
1.57 1090 27.25 3
3.48 2198 54.95 3
3.36 2082 52.05 3
3.91 2809 70.225 3
4.33 3205 80.125 3
4.37 3221 80.525 3
6.77 5451 136.275 3
8.32 7124 178.1 3
4.98 3477 86.925 3
2.07 1477 36.925 3
7.35 5772 144.3 3
7.4 5854 146.35 3
7.47 5865 146.625 3
1.6 1098 27.45 3
1.44 1088 27.2 3
1.37 954 23.85 3
0.99 785 19.625 3
4.4 3182 79.55 3
4.4 3164 79.1 3
2.72 1758 43.95 3
2.7 1766 44.15 3
6.82 5457 136.425 3
6.81 5353 133.825 3
7.5 6269 156.725 3
7.52 6201 155.025 3
8.6 7435 185.875 3
8.59 7353 183.825 3
9.55 8537 213.425 3
9.55 8399 209.975 3
9.76 8637 215.925 3
9.71 8638 215.95 3
1.48 965 24.125 4
1.47 1014 25.35 4
2.36 1724 43.1 4
2.44 1778 44.45 4
2.55 1834 45.85 4
0.86 434 32.55 4
0.87 522 39.15 4
0.87 559 13.975 4
0.89 596 14.9 4
10.88 10881 272.025 4
10.92 10863 271.575 4
11.1 11051 276.275 4
10.75 10614 265.35 4
10.87 10810 270.25 4
10.74 10401 260.025 4
10.49 9851 246.275 4
9.93 9001 225.025 4
1.36 1041 26.025 5
1.9 1030 25.75 6
1.83 1095 27.375 6
2.41 1601 40.025 7
2.33 1512 37.8 7
2.61 1812 45.3 7
5.62 4364 109.1 7
5.51 4289 107.225 7
5.53 4281 107.025 7
5.5 4293 107.325 7
5.51 4290 107.25 7
0.52 470 11.75 7
0.52 453 11.325 7
0.5 445 11.125 7
0.79 575 14.375 7
0.81 567 14.175 7
0.82 588 14.7 7
1.3 1081 27.025 8
1.34 1055 26.375 8
4.4 3273 81.825 8
3.46 2437 60.925 8
3.47 2452 61.3 8
1.09 807 20.175 8
4.01 2933 73.325 8
3.82 2651 66.275 8
3.78 2749 68.725 8
5.06 3754 93.85 8
5.05 3791 94.775 8
4.93 3649 91.225 8
4.93 3635 90.875 8
3.63 2559 63.975 8
3.6 2501 62.525 8
0.9 755 18.875 8
0.88 759 18.975 8
1.01 829 20.725 8
1.06 785 19.625 8
0.93 800 20 8
1.98 1492 37.3 8
1.98 1465 36.625 8
1.99 1422 35.55 8
1.99 1462 36.55 8
4.93 3659 91.475 8
4.95 3716 92.9 8
4.96 3731 93.275 8
5.76 4414 110.35 8
4.1 2563 64.075 9
4.02 2502 62.55 9
7.15 5745 143.625 9
7.13 5707 142.675 9
7.11 5673 141.825 9
5.91 4507 112.675 9
5.91 4630 115.75 9
1.12 569 14.225 10
1.13 586 14.65 10
1.18 604 15.1 10
1.64 1197 29.925 10
1.73 1254 31.35 10
4.3 3255 81.375 10
4.01 2970 74.25 10
4.02 2973 74.325 10
3.29 2372 59.3 10
1.63 1136 28.4 10
4.48 3421 85.525 10
0.99 819 20.475 10
3.4 2421 60.525 10
3.4 2421 60.525 10
4.61 3447 86.175 10
4.64 3447 86.175 10
5.43 4158 103.95 10
1.54 1121 28.025 10
3.43 2462 61.55 10
3.01 2122 53.05 10
1.35 1108 27.7 10
0.47 538 13.45 10
4.45 3248 81.2 10
1.31 1021 25.525 10
7.68 6654.65 399.279 10
9.3 8006 800.6 10
0.6 532.1 26.605 11
0.53 531.97 26.5985 11
0.6 520.88 26.044 11
6.32 4998.44 159.95008 11
1.39 1091.07 32.7321 11
0.28 397.01 13.49834 11
0.28 383.41 19.1705 11
0.51 508.78 20.3512 11
2.39 1803.52 54.1056 11
2.35 1693.12 50.7936 11
1.53 1251.38 37.5414 11
