X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.284000E+01   0.284000E+01   0.126500E+04   0.126500E+04   0.126739E+04  -0.239134E+01  -0.237391E-01
   0.280000E+01   0.280000E+01   0.125500E+04   0.125500E+04   0.123916E+04   0.158414E+02   0.157835E+00
   0.275000E+01   0.275000E+01   0.120500E+04   0.120500E+04   0.120422E+04   0.779884E+00   0.789718E-02
   0.509000E+01   0.509000E+01   0.353100E+04   0.353100E+04   0.357230E+04  -0.413006E+02  -0.211203E+00
   0.517000E+01   0.517000E+01   0.365000E+04   0.365000E+04   0.364427E+04   0.573050E+01   0.285083E-01
   0.508000E+01   0.508000E+01   0.351500E+04   0.351500E+04   0.356334E+04  -0.483421E+02  -0.174708E+00
   0.516000E+01   0.516000E+01   0.366000E+04   0.366000E+04   0.363524E+04   0.247558E+02   0.862169E-01
   0.494000E+01   0.494000E+01   0.336500E+04   0.336500E+04   0.343880E+04  -0.738039E+02  -0.392694E+00
   0.497000E+01   0.497000E+01   0.347900E+04   0.347900E+04   0.346535E+04   0.136482E+02   0.706828E-01
   0.496000E+01   0.496000E+01   0.335000E+04   0.335000E+04   0.345649E+04  -0.106494E+03  -0.402084E+00
   0.725000E+01   0.725000E+01   0.564500E+04   0.564500E+04   0.569526E+04  -0.502591E+02  -0.169769E+00
   0.719000E+01   0.719000E+01   0.561100E+04   0.561100E+04   0.563143E+04  -0.204294E+02  -0.693991E-01
   0.725000E+01   0.725000E+01   0.566000E+04   0.566000E+04   0.569526E+04  -0.352591E+02  -0.812808E-01
   0.726000E+01   0.726000E+01   0.551000E+04   0.551000E+04   0.570624E+04  -0.196240E+03  -0.464147E+00
   0.425000E+01   0.425000E+01   0.278900E+04   0.278900E+04   0.284950E+04  -0.604973E+02  -0.373614E+00
   0.443000E+01   0.443000E+01   0.293200E+04   0.293200E+04   0.299925E+04  -0.672452E+02  -0.399550E+00
   0.443000E+01   0.443000E+01   0.292500E+04   0.292500E+04   0.299925E+04  -0.742452E+02  -0.316699E+00
   0.428000E+01   0.428000E+01   0.282500E+04   0.282500E+04   0.287426E+04  -0.492569E+02  -0.216686E+00
   0.408000E+01   0.408000E+01   0.262400E+04   0.262400E+04   0.271070E+04  -0.867047E+02  -0.560488E+00
   0.402000E+01   0.402000E+01   0.255500E+04   0.255500E+04   0.266234E+04  -0.107337E+03  -0.707487E+00
   0.408000E+01   0.408000E+01   0.265000E+04   0.265000E+04   0.271070E+04  -0.607047E+02  -0.282367E+00
   0.510000E+01   0.510000E+01   0.370000E+04   0.370000E+04   0.358127E+04   0.118732E+03   0.409472E+00
   0.523000E+01   0.523000E+01   0.387000E+04   0.387000E+04   0.369860E+04   0.171404E+03   0.567057E+00
   0.539000E+01   0.539000E+01   0.385000E+04   0.385000E+04   0.384492E+04   0.507818E+01   0.168749E-01
   0.596000E+01   0.596000E+01   0.447500E+04   0.447500E+04   0.438315E+04   0.918543E+02   0.265101E+00
   0.609000E+01   0.609000E+01   0.457000E+04   0.457000E+04   0.450954E+04   0.604595E+02   0.171046E+00
   0.625000E+01   0.625000E+01   0.470000E+04   0.470000E+04   0.466693E+04   0.330695E+02   0.910946E-01
   0.646000E+01   0.646000E+01   0.490000E+04   0.490000E+04   0.487654E+04   0.234636E+02   0.621182E-01
   0.643000E+01   0.643000E+01   0.469500E+04   0.469500E+04   0.484638E+04  -0.151383E+03  -0.604495E+00
   0.636000E+01   0.636000E+01   0.440000E+04   0.440000E+04   0.477630E+04  -0.376297E+03  -0.110258E+01
   0.372000E+01   0.372000E+01   0.237000E+04   0.237000E+04   0.242540E+04  -0.553972E+02  -0.385554E+00
   0.362000E+01   0.362000E+01   0.238500E+04   0.238500E+04   0.234825E+04   0.367453E+02   0.254832E+00
   0.364000E+01   0.364000E+01   0.237000E+04   0.237000E+04   0.236361E+04   0.639106E+01   0.327112E-01
   0.364000E+01   0.364000E+01   0.233200E+04   0.233200E+04   0.236361E+04  -0.316089E+02  -0.222548E+00
   0.853000E+01   0.853000E+01   0.752000E+04   0.752000E+04   0.742172E+04   0.982781E+02   0.253643E+00
   0.852000E+01   0.852000E+01   0.750000E+04   0.750000E+04   0.740753E+04   0.924705E+02   0.162166E+00
   0.853000E+01   0.853000E+01   0.751000E+04   0.751000E+04   0.742172E+04   0.882781E+02   0.154611E+00
   0.314000E+01   0.314000E+01   0.174400E+04   0.174400E+04   0.199108E+04  -0.247076E+03  -0.208569E+01
   0.304000E+01   0.304000E+01   0.184500E+04   0.184500E+04   0.191945E+04  -0.744492E+02  -0.465772E+00
   0.314000E+01   0.314000E+01   0.197500E+04   0.197500E+04   0.199108E+04  -0.160760E+02  -0.126379E+00
   0.298000E+01   0.298000E+01   0.177000E+04   0.177000E+04   0.187694E+04  -0.106943E+03  -0.690213E+00
   0.290000E+01   0.290000E+01   0.177600E+04   0.177600E+04   0.182082E+04  -0.448212E+02  -0.375498E+00
   0.297000E+01   0.297000E+01   0.184600E+04   0.184600E+04   0.186989E+04  -0.238933E+02  -0.195735E+00
   0.440000E+01   0.440000E+01   0.303400E+04   0.303400E+04   0.297409E+04   0.599106E+02   0.346839E+00
   0.423000E+01   0.423000E+01   0.285100E+04   0.285100E+04   0.283304E+04   0.179648E+02   0.109155E+00
