X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.284000E+01   0.284000E+01   0.126500E+04   0.126500E+04   0.140360E+04  -0.138602E+03  -0.923885E+00
   0.280000E+01   0.280000E+01   0.125500E+04   0.125500E+04   0.138034E+04  -0.125342E+03  -0.836919E+00
   0.275000E+01   0.275000E+01   0.120500E+04   0.120500E+04   0.135151E+04  -0.146506E+03  -0.985379E+00
   0.509000E+01   0.509000E+01   0.353100E+04   0.353100E+04   0.352189E+04   0.911253E+01   0.403831E-01
   0.517000E+01   0.517000E+01   0.365000E+04   0.365000E+04   0.359199E+04   0.580057E+02   0.251730E+00
   0.508000E+01   0.508000E+01   0.351500E+04   0.351500E+04   0.351317E+04   0.183340E+01   0.613722E-02
   0.516000E+01   0.516000E+01   0.366000E+04   0.366000E+04   0.358320E+04   0.768020E+02   0.249001E+00
   0.494000E+01   0.494000E+01   0.336500E+04   0.336500E+04   0.339207E+04  -0.270685E+02  -0.123576E+00
   0.497000E+01   0.497000E+01   0.347900E+04   0.347900E+04   0.341786E+04   0.611383E+02   0.273568E+00
   0.496000E+01   0.496000E+01   0.335000E+04   0.335000E+04   0.340925E+04  -0.592545E+02  -0.205913E+00
   0.725000E+01   0.725000E+01   0.564500E+04   0.564500E+04   0.562254E+04   0.224631E+02   0.707917E-01
   0.719000E+01   0.719000E+01   0.561100E+04   0.561100E+04   0.555846E+04   0.525356E+02   0.166390E+00
   0.725000E+01   0.725000E+01   0.566000E+04   0.566000E+04   0.562254E+04   0.374631E+02   0.835152E-01
   0.726000E+01   0.726000E+01   0.551000E+04   0.551000E+04   0.563325E+04  -0.123247E+03  -0.281415E+00
   0.425000E+01   0.425000E+01   0.278900E+04   0.278900E+04   0.282258E+04  -0.335812E+02  -0.170526E+00
   0.443000E+01   0.443000E+01   0.293200E+04   0.293200E+04   0.296673E+04  -0.347270E+02  -0.171691E+00
   0.443000E+01   0.443000E+01   0.292500E+04   0.292500E+04   0.296673E+04  -0.417270E+02  -0.160554E+00
   0.428000E+01   0.428000E+01   0.282500E+04   0.282500E+04   0.284639E+04  -0.213874E+02  -0.843835E-01
   0.408000E+01   0.408000E+01   0.262400E+04   0.262400E+04   0.268933E+04  -0.653340E+02  -0.342119E+00
