X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.284000E+01   0.284000E+01   0.126500E+04   0.126500E+04   0.129159E+04  -0.265942E+02  -0.254711E+00
   0.280000E+01   0.280000E+01   0.125500E+04   0.125500E+04   0.126718E+04  -0.121789E+02  -0.117077E+00
   0.275000E+01   0.275000E+01   0.120500E+04   0.120500E+04   0.123691E+04  -0.319132E+02  -0.311553E+00
   0.509000E+01   0.509000E+01   0.353100E+04   0.353100E+04   0.356553E+04  -0.345336E+02  -0.173182E+00
   0.517000E+01   0.517000E+01   0.365000E+04   0.365000E+04   0.363833E+04   0.116689E+02   0.569681E-01
   0.508000E+01   0.508000E+01   0.351500E+04   0.351500E+04   0.355647E+04  -0.414739E+02  -0.148421E+00
   0.516000E+01   0.516000E+01   0.366000E+04   0.366000E+04   0.362920E+04   0.307996E+02   0.106273E+00
   0.494000E+01   0.494000E+01   0.336500E+04   0.336500E+04   0.343057E+04  -0.655739E+02  -0.341849E+00
   0.497000E+01   0.497000E+01   0.347900E+04   0.347900E+04   0.345741E+04   0.215950E+02   0.109679E+00
   0.496000E+01   0.496000E+01   0.335000E+04   0.335000E+04   0.344845E+04  -0.984524E+02  -0.367862E+00
   0.725000E+01   0.725000E+01   0.564500E+04   0.564500E+04   0.572297E+04  -0.779694E+02  -0.259848E+00
   0.719000E+01   0.719000E+01   0.561100E+04   0.561100E+04   0.565784E+04  -0.468365E+02  -0.156977E+00
   0.725000E+01   0.725000E+01   0.566000E+04   0.566000E+04   0.572297E+04  -0.629694E+02  -0.144246E+00
   0.726000E+01   0.726000E+01   0.551000E+04   0.551000E+04   0.573385E+04  -0.223853E+03  -0.525942E+00
   0.425000E+01   0.425000E+01   0.278900E+04   0.278900E+04   0.283604E+04  -0.470393E+02  -0.283781E+00
   0.443000E+01   0.443000E+01   0.293200E+04   0.293200E+04   0.298692E+04  -0.549158E+02  -0.318996E+00
   0.443000E+01   0.443000E+01   0.292500E+04   0.292500E+04   0.298692E+04  -0.619158E+02  -0.261013E+00
   0.428000E+01   0.428000E+01   0.282500E+04   0.282500E+04   0.286098E+04  -0.359756E+02  -0.156357E+00
   0.408000E+01   0.408000E+01   0.262400E+04   0.262400E+04   0.269633E+04  -0.723310E+02  -0.456207E+00
   0.402000E+01   0.402000E+01   0.255500E+04   0.255500E+04   0.264767E+04  -0.926743E+02  -0.595639E+00
   0.408000E+01   0.408000E+01   0.265000E+04   0.265000E+04   0.269633E+04  -0.463310E+02  -0.212747E+00
   0.510000E+01   0.510000E+01   0.370000E+04   0.370000E+04   0.357460E+04   0.125398E+03   0.428585E+00
   0.523000E+01   0.523000E+01   0.387000E+04   0.387000E+04   0.369330E+04   0.176699E+03   0.579611E+00
   0.539000E+01   0.539000E+01   0.385000E+04   0.385000E+04   0.384144E+04   0.856354E+01   0.282045E-01
   0.596000E+01   0.596000E+01   0.447500E+04   0.447500E+04   0.438722E+04   0.877819E+02   0.251428E+00
   0.609000E+01   0.609000E+01   0.457000E+04   0.457000E+04   0.451558E+04   0.544180E+02   0.152802E+00
   0.625000E+01   0.625000E+01   0.470000E+04   0.470000E+04   0.467552E+04   0.244786E+02   0.669347E-01
   0.646000E+01   0.646000E+01   0.490000E+04   0.490000E+04   0.488869E+04   0.113143E+02   0.297418E-01
   0.643000E+01   0.643000E+01   0.469500E+04   0.469500E+04   0.485801E+04  -0.163009E+03  -0.640634E+00
   0.636000E+01   0.636000E+01   0.440000E+04   0.440000E+04   0.478672E+04  -0.386722E+03  -0.112352E+01
   0.372000E+01   0.372000E+01   0.237000E+04   0.237000E+04   0.240956E+04  -0.395584E+02  -0.268220E+00
   0.362000E+01   0.362000E+01   0.238500E+04   0.238500E+04   0.233212E+04   0.528785E+02   0.357544E+00
   0.364000E+01   0.364000E+01   0.237000E+04   0.237000E+04   0.234753E+04   0.224693E+02   0.113402E+00
   0.364000E+01   0.364000E+01   0.233200E+04   0.233200E+04   0.234753E+04  -0.155307E+02  -0.106517E+00
   0.853000E+01   0.853000E+01   0.752000E+04   0.752000E+04   0.718058E+04   0.339416E+03   0.867619E+00
   0.852000E+01   0.852000E+01   0.750000E+04   0.750000E+04   0.716849E+04   0.331510E+03   0.578788E+00
   0.853000E+01   0.853000E+01   0.751000E+04   0.751000E+04   0.718058E+04   0.329416E+03   0.574385E+00
   0.314000E+01   0.314000E+01   0.174400E+04   0.174400E+04   0.197419E+04  -0.230194E+03  -0.187996E+01
   0.304000E+01   0.304000E+01   0.184500E+04   0.184500E+04   0.190255E+04  -0.575459E+02  -0.353603E+00
   0.314000E+01   0.314000E+01   0.197500E+04   0.197500E+04   0.197419E+04   0.806463E+00   0.615983E-02
   0.298000E+01   0.298000E+01   0.177000E+04   0.177000E+04   0.186005E+04  -0.900492E+02  -0.570332E+00
   0.290000E+01   0.290000E+01   0.177600E+04   0.177600E+04   0.180396E+04  -0.279650E+02  -0.227190E+00
   0.297000E+01   0.297000E+01   0.184600E+04   0.184600E+04   0.185300E+04  -0.700251E+01  -0.556727E-01
   0.440000E+01   0.440000E+01   0.303400E+04   0.303400E+04   0.296156E+04   0.724396E+02   0.410515E+00
   0.423000E+01   0.423000E+01   0.285100E+04   0.285100E+04   0.281946E+04   0.315381E+02   0.187350E+00
   0.990000E+00   0.990000E+00   0.679000E+03   0.679000E+03   0.675108E+03   0.389161E+01   0.445620E-01
   0.101000E+01   0.101000E+01   0.679000E+03   0.679000E+03   0.684674E+03  -0.567397E+01  -0.649438E-01
   0.137000E+01   0.137000E+01   0.959000E+03   0.959000E+03   0.865566E+03   0.934342E+02   0.990202E+00
   0.143000E+01   0.143000E+01   0.985000E+03   0.985000E+03   0.897285E+03   0.877153E+02   0.797949E+00
   0.600000E+00   0.600000E+00   0.453000E+03   0.453000E+03   0.499194E+03  -0.461938E+02  -0.557415E+00
   0.480000E+00   0.480000E+00   0.472000E+03   0.472000E+03   0.449259E+03   0.227405E+02   0.274202E+00
   0.607000E+01   0.607000E+01   0.439500E+04   0.439500E+04   0.449574E+04  -0.100741E+03  -0.419649E+00
   0.608000E+01   0.608000E+01   0.437600E+04   0.437600E+04   0.450566E+04  -0.129657E+03  -0.542029E+00
   0.606000E+01   0.606000E+01   0.433400E+04   0.433400E+04   0.448583E+04  -0.151833E+03  -0.447754E+00
   0.303000E+01   0.303000E+01   0.188200E+04   0.188200E+04   0.189544E+04  -0.134374E+02  -0.105617E+00
   0.302000E+01   0.302000E+01   0.184500E+04   0.184500E+04   0.188834E+04  -0.433392E+02  -0.344386E+00
   0.313000E+01   0.313000E+01   0.196200E+04   0.196200E+04   0.196698E+04  -0.498284E+01  -0.382081E-01
   0.285000E+01   0.285000E+01   0.163100E+04   0.163100E+04   0.176925E+04  -0.138250E+03  -0.117299E+01
   0.408000E+01   0.408000E+01   0.278300E+04   0.278300E+04   0.269633E+04   0.866690E+02   0.524671E+00
   0.409000E+01   0.409000E+01   0.261500E+04   0.261500E+04   0.270447E+04  -0.894736E+02  -0.565588E+00
   0.199000E+01   0.199000E+01   0.126400E+04   0.126400E+04   0.121403E+04   0.499695E+02   0.479932E+00
   0.218000E+01   0.218000E+01   0.136600E+04   0.136600E+04   0.132972E+04   0.362803E+02   0.336963E+00
   0.137000E+01   0.137000E+01   0.938000E+03   0.938000E+03   0.865566E+03   0.724342E+02   0.771977E+00
   0.123000E+01   0.123000E+01   0.878000E+03   0.878000E+03   0.793281E+03   0.847187E+02   0.919882E+00
   0.277000E+01   0.277000E+01   0.168800E+04   0.168800E+04   0.171425E+04  -0.262480E+02  -0.219308E+00
   0.293000E+01   0.293000E+01   0.186400E+04   0.186400E+04   0.182492E+04   0.390811E+02   0.309280E+00
   0.430000E+01   0.430000E+01   0.290500E+04   0.290500E+04   0.287765E+04   0.273535E+02   0.160187E+00
   0.436000E+01   0.436000E+01   0.286800E+04   0.286800E+04   0.292788E+04  -0.598833E+02  -0.353706E+00
   0.610000E+01   0.610000E+01   0.446000E+04   0.446000E+04   0.452552E+04  -0.655152E+02  -0.269512E+00
   0.226000E+01   0.226000E+01   0.141600E+04   0.141600E+04   0.137964E+04   0.363616E+02   0.332274E+00
   0.402000E+01   0.402000E+01   0.287500E+04   0.287500E+04   0.264767E+04   0.227326E+03   0.134534E+01
   0.409000E+01   0.409000E+01   0.267000E+04   0.267000E+04   0.270447E+04  -0.344736E+02  -0.214821E+00
   0.559000E+01   0.559000E+01   0.401900E+04   0.401900E+04   0.402975E+04  -0.107498E+02  -0.483941E-01
   0.567000E+01   0.567000E+01   0.413300E+04   0.413300E+04   0.410605E+04   0.269546E+02   0.118516E+00
   0.657000E+01   0.657000E+01   0.496200E+04   0.496200E+04   0.500180E+04  -0.398012E+02  -0.149045E+00
   0.666000E+01   0.666000E+01   0.507200E+04   0.507200E+04   0.509509E+04  -0.230910E+02  -0.847995E-01
   0.544000E+01   0.544000E+01   0.396000E+04   0.396000E+04   0.388819E+04   0.718114E+02   0.327596E+00
   0.618000E+01   0.618000E+01   0.462600E+04   0.462600E+04   0.460528E+04   0.207163E+02   0.825828E-01
   0.740000E+01   0.740000E+01   0.589700E+04   0.589700E+04   0.588706E+04   0.994331E+01   0.318526E-01
   0.164000E+01   0.164000E+01   0.104700E+04   0.104700E+04   0.101173E+04   0.352681E+02   0.362879E+00
   0.199000E+01   0.199000E+01   0.126300E+04   0.126300E+04   0.121403E+04   0.489695E+02   0.470464E+00
   0.156000E+01   0.156000E+01   0.106800E+04   0.106800E+04   0.967509E+03   0.100491E+03   0.102960E+01
   0.146000E+01   0.146000E+01   0.944000E+03   0.944000E+03   0.913309E+03   0.306912E+02   0.325966E+00
   0.398000E+01   0.398000E+01   0.264100E+04   0.264100E+04   0.261543E+04   0.255733E+02   0.160776E+00
   0.415000E+01   0.415000E+01   0.287100E+04   0.287100E+04   0.275353E+04   0.117472E+03   0.694943E+00
   0.396000E+01   0.396000E+01   0.268600E+04   0.268600E+04   0.259936E+04   0.866398E+02   0.393682E+00
