               b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.890185E+01  -0.942539E+01  -0.961257E+01  -0.100271E+02  -0.991672E+01  -0.913563E+01  -0.874161E+01  -0.927914E+01  -0.836004E+01  -0.772004E+01  -0.653069E+01   0.651958E+01   0.155435E+01  -0.102746E+01  -0.155164E+01  -0.164385E+01  -0.171362E+01  -0.204329E+01  -0.167058E+01  -0.178837E+01  -0.187546E+01  -0.174640E+01  -0.185901E+01  -0.185462E+01   0.149058E+03   0.158574E+01   0.694057E+01   0.149846E+02   0.158041E+01   0.640023E+02   0.309835E-06  -0.890185E+01  -0.804732E+00   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.942539E+01  -0.148668E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.961257E+01  -0.156192E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.100271E+02  -0.168168E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.991672E+01  -0.195050E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.913563E+01  -0.147723E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.874161E+01  -0.167246E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.927914E+01  -0.167163E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.836004E+01  -0.143192E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.772004E+01  -0.146432E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.653069E+01  -0.119250E+01   0.694057E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum          -0.534104E+00  -0.134414E+01  -0.138688E+01  -0.141674E+01  -0.139927E+01  -0.129359E+01  -0.156351E+01  -0.179291E+01  -0.139207E+01  -0.172011E+01  -0.327290E+01   0.513681E+02   0.167443E+01  -0.277184E+00  -0.113219E+01  -0.123777E+01  -0.121673E+01  -0.109044E+01  -0.872728E+00  -0.128547E+01  -0.141793E+01  -0.109104E+01  -0.138975E+01  -0.136748E+01   0.194783E+03   0.168380E+01   0.973287E+01   0.447309E+03   0.174526E+01   0.114665E+03   0.132729E-01  -0.534104E+00   0.247552E+01   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.134414E+01   0.800022E+00   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.138688E+01   0.134444E+01   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.141674E+01   0.101613E+01   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139927E+01   0.182680E+01   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.129359E+01   0.191835E+01   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156351E+01   0.709150E+00   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.179291E+01   0.101479E+01   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139207E+01   0.227920E+01   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.172011E+01   0.960694E+00   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.327290E+01   0.653645E+00   0.973287E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.836775E+01   0.808125E+01   0.822569E+01   0.861036E+01   0.851745E+01   0.784204E+01   0.717810E+01   0.748623E+01   0.696797E+01   0.599993E+01   0.325779E+01   0.448485E+02   0.120080E+00   0.750276E+00   0.419450E+00   0.406080E+00   0.496890E+00   0.952850E+00   0.797852E+00   0.502900E+00   0.457530E+00   0.655360E+00   0.469260E+00   0.487140E+00   0.457250E+02   0.980600E-01   0.279230E+01   0.432324E+03   0.164850E+00   0.506627E+02   0.132726E-01   0.836775E+01   0.328025E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.808125E+01   0.228670E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.822569E+01   0.290636E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.861036E+01   0.269781E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.851745E+01   0.377730E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.784204E+01   0.339558E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.717810E+01   0.238161E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.748623E+01   0.268642E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.696797E+01   0.371112E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.599993E+01   0.242501E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.325779E+01   0.184614E+01   0.279230E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.329898E+01  -0.403073E+01  -0.428891E+01  -0.437122E+01  -0.450072E+01  -0.425226E+01  -0.440079E+01  -0.457885E+01  -0.434670E+01  -0.483161E+01  -0.489195E+01   0.240379E+02   0.162619E+01  -0.671713E+00  -0.136797E+01  -0.147061E+01  -0.148200E+01  -0.158476E+01  -0.128647E+01  -0.155027E+01  -0.165766E+01  -0.142015E+01  -0.163660E+01  -0.161177E+01   0.167420E+03   0.164111E+01   0.838975E+01   0.817949E+02   0.166988E+01   0.844462E+02   0.204311E-02  -0.329898E+01   0.424997E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.403073E+01  -0.258139E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.428891E+01  -0.293290E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.437122E+01  -0.273368E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.450072E+01  -0.364104E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.425226E+01  -0.422841E-01   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.440079E+01  -0.353562E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.457885E+01  -0.422173E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.434670E+01  -0.177159E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.483161E+01  -0.275799E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.489195E+01  -0.199965E+00   0.838975E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.321809E+01  -0.395481E+01  -0.424346E+01  -0.431510E+01  -0.441345E+01  -0.416060E+01  -0.437094E+01  -0.455286E+01  -0.432597E+01  -0.481432E+01  -0.488764E+01   0.236913E+02   0.162765E+01  -0.672689E+00  -0.137197E+01  -0.147329E+01  -0.148366E+01  -0.158870E+01  -0.128761E+01  -0.155154E+01  -0.166216E+01  -0.142244E+01  -0.163915E+01  -0.161406E+01   0.166651E+03   0.164194E+01   0.838259E+01   0.762442E+02   0.167005E+01   0.845028E+02   0.151665E-02  -0.321809E+01   0.424190E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.395481E+01  -0.248673E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.424346E+01  -0.287662E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.431510E+01  -0.277973E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.441345E+01  -0.381251E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.416060E+01  -0.599888E-01   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.437094E+01  -0.350788E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.455286E+01  -0.454950E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.432597E+01  -0.204466E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.481432E+01  -0.284635E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.488764E+01  -0.192347E+00   0.838259E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.521176E+01  -0.570010E+01  -0.598327E+01  -0.602286E+01  -0.622942E+01  -0.589147E+01  -0.589555E+01  -0.608212E+01  -0.567481E+01  -0.591273E+01  -0.550874E+01   0.153442E+02   0.160028E+01  -0.814665E+00  -0.145554E+01  -0.156091E+01  -0.158180E+01  -0.176423E+01  -0.143660E+01  -0.165019E+01  -0.174981E+01  -0.153413E+01  -0.172917E+01  -0.170836E+01   0.157050E+03   0.161521E+01   0.788328E+01   0.440216E+02   0.163921E+01   0.763982E+02   0.228011E-03  -0.521176E+01  -0.338854E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.570010E+01  -0.940589E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.598327E+01  -0.972877E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.602286E+01  -0.963438E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.622942E+01  -0.106200E+01   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.589147E+01  -0.687432E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.589555E+01  -0.984384E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.608212E+01  -0.101948E+01   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.567481E+01  -0.758251E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.591273E+01  -0.799636E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.550874E+01  -0.649878E+00   0.788328E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.422594E+01  -0.491483E+01  -0.515689E+01  -0.521008E+01  -0.533300E+01  -0.507085E+01  -0.518347E+01  -0.530492E+01  -0.501751E+01  -0.539729E+01  -0.521651E+01   0.192153E+02   0.161397E+01  -0.750082E+00  -0.141731E+01  -0.152140E+01  -0.153527E+01  -0.168135E+01  -0.136841E+01  -0.160365E+01  -0.170908E+01  -0.148604E+01  -0.168911E+01  -0.166589E+01   0.160770E+03   0.163112E+01   0.812331E+01   0.584351E+02   0.165345E+01   0.799113E+02   0.625923E-03  -0.422594E+01  -0.168592E-02   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.491483E+01  -0.638280E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.515689E+01  -0.665902E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.521008E+01  -0.631095E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.533300E+01  -0.728313E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.507085E+01  -0.389569E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.518347E+01  -0.678957E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.530492E+01  -0.763654E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.501751E+01  -0.506575E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.539729E+01  -0.563758E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.521651E+01  -0.458662E+00   0.812331E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.219983E+01  -0.306194E+01  -0.334983E+01  -0.343910E+01  -0.358959E+01  -0.337789E+01  -0.359141E+01  -0.376353E+01  -0.363290E+01  -0.426151E+01  -0.457178E+01   0.283639E+02   0.163944E+01  -0.594215E+00  -0.132663E+01  -0.142856E+01  -0.143192E+01  -0.148875E+01  -0.120682E+01  -0.150051E+01  -0.161171E+01  -0.135773E+01  -0.159159E+01  -0.156065E+01   0.172244E+03   0.165457E+01   0.866621E+01   0.995708E+02   0.168615E+01   0.886505E+02   0.291939E-02  -0.219983E+01   0.835182E+00   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.306194E+01   0.140334E+00   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.334983E+01   0.587953E-01   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.343910E+01   0.875111E-01   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.358959E+01  -0.586140E-02   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.337789E+01   0.306592E+00   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.359141E+01  -0.834048E-02   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.376353E+01  -0.931838E-01   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.363290E+01   0.125283E+00   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.426151E+01   0.446647E-02   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.457178E+01   0.671735E-01   0.866621E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.142705E+01  -0.235871E+01  -0.260720E+01  -0.272245E+01  -0.286651E+01  -0.267423E+01  -0.287967E+01  -0.315657E+01  -0.302006E+01  -0.374365E+01  -0.427296E+01   0.330066E+02   0.165016E+01  -0.527589E+00  -0.126937E+01  -0.136667E+01  -0.137615E+01  -0.140118E+01  -0.112980E+01  -0.144400E+01  -0.155766E+01  -0.129855E+01  -0.153699E+01  -0.151018E+01   0.180718E+03   0.166352E+01   0.889048E+01   0.125078E+03   0.170108E+01   0.926080E+02   0.457001E-02  -0.142705E+01   0.116567E+01   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.235871E+01   0.377871E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.260720E+01   0.365533E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.272245E+01   0.406455E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.286651E+01   0.350174E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.267423E+01   0.630745E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.287967E+01   0.276844E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.315657E+01   0.222819E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.302006E+01   0.435880E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.374365E+01   0.282888E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.427296E+01   0.252436E+00   0.889048E+01   0.000000E+00   0.300000E+01   0.000000E+00
