"Date";"H";"Q";"ICQ";"Datenum"
1974-07-10;2.84;1265;10;1651
1974-07-10;2.8;1255;10;1651.1
1974-07-11;2.75;1205;10;1652
1977-02-02;5.09;3531;10;2589
1977-02-02;5.17;3650;10;2589.1
1977-02-02;5.08;3515;15;2589.2
1977-02-02;5.16;3660;15;2589.3
1977-02-04;4.94;3365;10;2591
1977-02-04;4.97;3479;10;2591.1
1977-02-04;4.96;3350;15;2591.2
1977-02-23;7.25;5645;10;2610
1977-02-23;7.19;5611;10;2610.1
1977-02-23;7.25;5660;15;2610.2
1977-02-23;7.26;5510;15;2610.3
1977-05-10;4.25;2789;10;2686
1977-05-10;4.43;2932;10;2686.1
1977-05-10;4.43;2925;15;2686.2
1977-05-10;4.28;2825;15;2686.3
1977-06-01;4.08;2624;10;2708
1977-06-01;4.02;2555;10;2708.1
1977-06-01;4.08;2650;15;2708.2
1977-10-27;5.1;3700;15;2856
1977-10-27;5.23;3870;15;2856.1
1977-10-27;5.39;3850;15;2856.2
1977-10-27;5.96;4475;15;2856.3
1977-10-27;6.09;4570;15;2856.4
1977-10-27;6.25;4700;15;2856.5
1977-10-27;6.46;4900;15;2856.6
1977-10-28;6.43;4695;10;2857
1977-10-28;6.36;4400;15;2857.1
1977-10-26;3.72;2370;10;2855
1977-11-16;3.62;2385;10;2876
1977-11-16;3.64;2370;15;2876.1
1977-11-16;3.64;2332;10;2876.2
1977-12-09;8.53;7520;10;2899
1977-12-09;8.52;7500;15;2899.1
1977-12-09;8.53;7510;15;2899.2
1977-12-07;3.14;1744;10;2897
1977-12-07;3.04;1845;15;2897.1
1977-12-07;3.14;1975;10;2897.2
1977-12-07;2.98;1770;15;2897.3
1978-04-25;2.9;1776;10;3036
1978-04-25;2.97;1846;10;3036.1
1978-05-26;4.4;3034;10;3067
1978-05-26;4.23;2851;10;3067.1
1978-09-04;0.99;679;10;3168
1978-09-04;1.01;679;10;3168.1
1978-09-04;1.37;959;10;3168.2
1978-09-04;1.43;985;15;3168.3
1978-11-13;0.6;453;10;3238
1978-11-13;0.48;472;10;3238.1
1979-02-15;6.07;4395;10;3332
1979-02-15;6.08;4376;10;3332.1
1979-02-15;6.06;4334;15;3332.2
1979-06-12;3.03;1882;10;3449
1979-06-12;3.02;1845;10;3449.1
1980-10-30;3.13;1962;10;3955
1980-10-30;2.85;1631;10;3955.1
1981-03-20;4.08;2783;10;4096
1981-03-20;4.09;2615;10;4096.1
1981-07-08;1.99;1264;10;4206
1981-07-08;2.18;1366;10;4206.1
1981-09-15;1.37;938;10;4275
1981-09-15;1.23;878;10;4275.1
1981-10-08;2.77;1688;10;4298
1981-10-08;2.93;1864;10;4298.1
1981-10-20;4.3;2905;10;4310
1981-10-20;4.36;2868;10;4310.1
1981-12-12;6.1;4460;10;4363
1982-06-02;2.26;1416;10;4535
1982-11-19;4.02;2875;10;4705
1982-11-19;4.09;2670;10;4705.1
1982-12-14;5.59;4019;10;4730
1982-12-14;5.67;4133;10;4730.1
1982-12-22;6.57;4962;10;4738
1982-12-22;6.66;5072;10;4738.1
1983-04-14;5.44;3960;10;4851
1983-04-29;6.18;4626;10;4866
1983-05-20;7.4;5897;10;4887
1984-03-14;1.64;1047;10;5186
1984-03-14;1.99;1263;10;5186.1
1984-09-12;1.56;1068;10;5368
1984-09-12;1.46;944;10;5368.1
1984-10-10;3.98;2641;10;5396
1984-10-10;4.15;2871;10;5396.1
1985-04-19;3.96;2686;15;5587
1985-04-19;3.98;2745;15;5587.1
1985-04-19;4;2739;15;5587.2
1985-05-14;5.94;4411;15;5612
1985-06-11;3.33;2156;15;5640
1985-06-11;3.2;2082;15;5640.1
1985-11-25;0.53;413;10;5807
1985-11-25;0.38;395;10;5807.1
1986-04-09;8.11;6838;15;5942
1986-06-11;3.09;1964;15;6005
1988-01-01;5.55;3900;15;6574
1989-02-01;0.65;560;15;6971
1989-02-01;0.8;650;15;6971.1
