"Date";"H";"Q";"ICQ";"DateNum"
"1845-10-29";0,72;1108,88;0;"10759"
"1845-11-17";3;2841;0;"10778"
"1846-02-23";0,9;1107,44;0;"10876"
"1846-04-01";2,88;2807,28;0;"10913"
"1874-10-27";0,63;577;0;"21349"
"1875-01-24";4;3943;0;"21438"
"1875-06-12";1,44;1207;0;"21577"
"1875-10-14";1,89;1417;0;"21701"
"1876-02-07";0,53;562;0;"21817"
"1876-11-10";0,19;398;0;"22094"
"1893-05-09";0,7;1021;0;"28118"
"1893-06-12";0,52;961;0;"28152"
"1893-08-19";0,5;899;0;"28220"
"1893-09-11";0,12;738;0;"28243"
"1893-09-12";0,25;772;0;"28244"
"1894-09-08";0,67;1055;0;"28605"
"1895-10-02";-0,17;740;0;"28994"
"1897-11-08";0,23;865;0;"29762"
"1897-11-13";0,26;874;0;"29767"
"1897-11-24";0,1;799;0;"29778"
"1897-11-27";0,05;704;0;"29781"
"1897-12-01";-0,03;686;0;"29785"
"1897-12-09";-0,04;658;0;"29793"
"1897-12-11";0,2;838;0;"29795"
"1897-12-28";0,6;876;0;"29812"
"1898-01-29";0,4;956;0;"29844"
"1898-02-03";0,15;827;0;"29849"
"1902-09-08";1,31;1327;0;"31526"
"1902-09-09";1,27;1358;0;"31527"
"1902-09-24";0,42;869;0;"31542"
"1903-02-05";1,12;1226;0;"31676"
"1903-02-06";1,13;1242;0;"31677"
"1903-09-21";0,29;799;0;"31904"
"1903-09-24";0,25;801;0;"31907"
"1903-09-30";-0,03;707;0;"31913"
"1904-09-12";0,35;837;0;"32261"
"1904-09-13";0,3;800;0;"32262"
"1904-09-28";1,33;1355;0;"32277"
"1904-09-29";1,05;1230;0;"32278"
"1904-10-14";0,75;1031;0;"32293"
"1906-09-07";0,15;832;0;"32986"
"1906-09-14";0,12;809;0;"32993"
"1906-09-27";-0,44;549;0;"33006"
"1906-10-12";-0,35;572;0;"33021"
"1907-09-11";0,37;854;0;"33355"
"1907-09-12";0,38;858;0;"33356"
"1907-09-23";0,12;646;0;"33367"
"1907-09-23";-0,13;620;0;"33367.1"
"1908-10-27";0,15;621;0;"33767"
"1909-08-25";1,25;1329;0;"34069"
"1909-09-07";0,08;757;0;"34082"
"1909-09-08";0,01;681;0;"34083"
"1909-09-14";0,98;1205;0;"34089"
"1909-09-20";1,22;1198;0;"34095"
"1909-10-07";2,54;3291;0;"34112"
"1909-10-12";2,57;3439;0;"34117"
"1909-10-19";1,42;1495;0;"34124"
"1910-02-06";3,99;4610;0;"34234"
"1910-02-12";4,2;4853;0;"34240"
"1910-09-08";1,15;1354;0;"34448"
"1910-09-15";1;1075;0;"34455"
"1910-09-19";0,86;1086;0;"34459"
"1910-09-29";0,53;930;0;"34469"
"1910-10-03";0,47;941;0;"34473"
"1910-10-24";3,31;3532;0;"34494"
"1910-10-27";1,22;1309;0;"34497"
"1910-11-15";5,16;5301;0;"34516"
"1910-12-02";6,56;7444;0;"34533"
"1911-11-25";4,04;4223;0;"34891"
"1914-02-05";0,33;729;0;"35694"
"1919-09-09";0,67;830;0;"37736"
"1919-09-26";1,06;1069;0;"37753"
"1920-11-23";0,6;914;0;"38177"
"1920-12-01";1,7;2109;0;"38185"
"1921-03-22";0,38;872;0;"38296"
"1921-07-13";0,24;712;0;"38409"
"1921-11-03";-0,5;452;0;"38522"
"1922-10-19";0,7;853;0;"38872"
"1924-07-03";1,68;1725;0;"39495"
"1924-08-09";0,98;961;0;"39532"
"1924-09-09";0,63;840;0;"39563"
"1924-09-22";0,55;785;0;"39576"
"1927-10-10";1,58;1599;0;"40689"
"1928-09-18";0,5;778;0;"41033"
"1929-01-29";1;998;0;"41166"
"1929-09-25";0,62;859;0;"41405"
"1929-10-02";0,15;645;0;"41412"
"1930-09-05";1,3;1378;0;"41750"
"1931-10-07";1,05;1053;0;"42147"
"1934-10-12";0,12;655;0;"43248"
"1936-11-09";1,1;1055;0;"44007"
"1954-02-24";1,15;1173;0;"50323"
"1954-03-25";2,69;2386;0;"50352"
"1954-12-03";3,37;2856;0;"50605"
"1955-10-29";0,47;693;0;"50935"
"1955-11-23";0,52;708;0;"50960"
"1955-11-28";0,35;621;0;"50965"
"1956-01-27";2,35;1815;0;"51025"
"1956-06-06";2,18;1697;0;"51156"
"1956-06-14";2,58;2086;0;"51164"
"1956-06-21";2,09;1602;0;"51171"
"1956-11-21";1,14;979;0;"51324"
"1957-12-07";0,1;551;0;"51705"
"1959-01-28";3,25;2867;0;"52122"
"1960-05-18";1,88;1520;0;"52598"
"1960-05-19";2;1590;0;"52599"
"1960-05-19";1,96;1575;0;"52599.1"
"1960-05-20";2,2;1755;0;"52600"
"1960-08-24";2,6;2260;0;"52696"
"1960-08-24";2,56;2148;0;"52696.1"
"1961-01-18";2,76;2280;0;"52843"
"1961-01-18";2,72;2270;0;"52843.1"
"1961-01-19";2,5;2110;0;"52844"
"1961-01-19";2,46;1970;0;"52844.1"
"1961-02-08";3,85;3560;0;"52864"
"1961-02-08";3,86;3650;0;"52864.1"
"1961-02-09";3,86;3570;0;"52865"
"1961-02-09";3,86;3620;0;"52865.1"
"1961-03-14";1,95;1520;0;"52898"
"1961-03-15";1,89;1440;0;"52899"
"1961-03-15";1,87;1390;0;"52899.1"
"1961-04-11";1,42;1162;0;"52926"
"1961-04-12";1,58;1263;0;"52927"
"1961-04-12";1,6;1225;0;"52927.1"
"1961-05-03";1,9;1470;0;"52948"
"1961-05-03";1,9;1475;0;"52948.1"
"1961-08-02";1,66;1275;0;"53039"
"1961-08-02";1,64;1255;0;"53039.1"
"1961-08-03";1,58;1255;0;"53040"
"1961-08-03";1,58;1260;0;"53040.1"
"1961-08-09";1,19;995;0;"53046"
"1961-08-09";1,2;1020;0;"53046.1"
"1961-08-10";1,34;1085;0;"53047"
"1961-08-10";1,29;1035;0;"53047.1"
"1961-08-31";0,78;820;0;"53068"
"1961-08-31";0,8;815;0;"53068.1"
"1961-09-05";0,55;733;0;"53073"
"1961-09-05";0,8;825;0;"53073.1"
"1961-09-26";0,23;565;0;"53094"
"1961-09-26";0,26;590;0;"53094.1"
"1961-09-27";0,25;572;0;"53095"
"1961-09-27";0,38;627;0;"53095.1"
"1961-10-17";0,25;585;0;"53115"
"1961-10-17";0,3;595;0;"53115.1"
"1961-11-29";2,54;2040;0;"53158"
"1961-11-29";2,42;1920;0;"53158.1"
"1961-11-30";2,52;2000;0;"53159"
"1961-11-30";2,5;1990;0;"53159.1"
"1961-12-15";4,5;4370;0;"53174"
"1961-12-15";4,47;4390;0;"53174.1"
"1961-12-15";4,42;4370;0;"53174.2"
"1961-12-15";4,4;4270;0;"53174.3"
"1961-12-15";4,38;4270;0;"53174.4"
"1961-12-19";3,09;2680;0;"53178"
"1961-12-19";3,07;2550;0;"53178.1"
"1961-12-20";3,04;2580;0;"53179"
"1961-12-20";3,04;2540;0;"53179.1"
"1962-04-25";3,1;2680;0;"53305"
"1962-04-25";3,08;2690;0;"53305.1"
"1962-06-13";1,2;1040;0;"53354"
"1962-06-13";1,16;1020;0;"53354.1"
"1962-07-25";0,78;845;0;"53396"
"1962-07-25";0,82;865;0;"53396.1"
"1962-09-04";0,08;528;0;"53437"
