"Date";"H";"Datenum"
"1816-05-15";2.5;1
"1816-05-16";2.41;2
"1816-05-17";2.33;3
"1816-05-18";2.36;4
"1816-05-19";2.5;5
"1816-05-20";2.67;6
"1816-05-21";2.67;7
"1816-05-22";3.08;8
"1816-05-23";3;9
"1816-05-24";3;10
"1816-05-25";3;11
"1816-05-26";3;12
"1816-05-27";3;13
"1816-05-28";3.19;14
"1816-05-29";3.19;15
"1816-05-30";3;16
"1816-05-31";2.75;17
"1816-06-01";2.67;18
"1816-06-02";2.47;19
"1816-06-03";2.33;20
"1816-06-04";2.17;21
"1816-06-05";2.08;22
"1816-06-06";2.08;23
"1816-06-07";2.08;24
"1816-06-08";1.92;25
"1816-06-09";1.75;26
"1816-06-10";1.58;27
"1816-06-11";2;28
"1816-06-12";2.17;29
"1816-06-13";2.41;30
"1816-06-14";2.33;31
"1816-06-15";2.33;32
"1816-06-16";2.5;33
"1816-06-17";2.84;34
"1816-06-18";3.17;35
"1816-06-19";3.39;36
"1816-06-20";3.39;37
"1816-06-21";3.08;38
"1816-06-22";2.89;39
"1816-06-23";2.84;40
"1816-06-24";2.84;41
"1816-06-25";2.98;42
"1816-06-26";3.08;43
"1816-06-27";2.95;44
"1816-06-28";2.84;45
"1816-06-29";3.39;46
"1816-06-30";3.84;47
"1816-07-01";4.03;48
"1816-07-02";3.73;49
"1816-07-03";3.73;50
"1816-07-04";3.98;51
"1816-07-05";3.75;52
"1816-07-06";3.25;53
"1816-07-07";3.03;54
"1816-07-08";3;55
"1816-07-09";3.03;56
"1816-07-10";3.22;57
"1816-07-11";3.25;58
"1816-07-12";3.5;59
"1816-07-13";3.39;60
"1816-07-14";3.5;61
"1816-07-15";3.47;62
"1816-07-16";3.19;63
"1816-07-17";3.06;64
"1816-07-18";3.67;65
"1816-07-19";3.92;66
"1816-07-20";3.75;67
"1816-07-21";3.33;68
"1816-07-22";3.08;69
"1816-07-23";3.11;70
"1816-07-24";3.17;71
"1816-07-25";3.33;72
"1816-07-26";3.64;73
"1816-07-27";3.55;74
"1816-07-28";2.84;75
"1816-07-29";2.52;76
"1816-07-30";2.5;77
"1816-07-31";3.7;78
"1816-08-01";4.25;79
