"tMAP"	"treal"	"t2"	"t10"	"t90"	"t97"
1497.67	1497.67	1314.7035	1389.81	2112.55	2195.5015
8561.52	8561.52	3579.59975	4167.76	8665.79	8890.46575
11904.6	11904.6	9971.15225	11140.7	11944.9	11961.6275
11969.6	11969.6	11967.4	11968.1	11976.3	11976.8
12099	12099	12009.4725	12034	12147.6	12158.255
12249.8	12249.8	12168.345	12185.4	12361.1	12380.8
12389.9	12389.9	11991.4175	12017	12501.4	12516.5825
12602.4	12602.4	12305.1475	12534.7	12637.7	12645.1275
12776.4	12776.4	2511.90575	3453.77	12729.3	12799.965
13693.6	13693.6	5329.79925	7793.04	14179.3	14353.9225
14172.3	14172.3	12366.37	12693.2	16878.3	17645.5925
16761.5	16761.5	14380.525	14742.5	17003.4	17416.2975
17573.1	17573.1	16365.985	17465.3	17578	17682.9125
