Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.000000E+00;  0.690499E+00; -0.100521E+04;  0.000000E+00; -0.100452E+04
  0.597360E+04;  0.101662E+04;  0.303435E-02;  0.690384E+00; -0.995908E+03;  0.000000E+00; -0.995217E+03
  0.597360E+04;  0.101662E+04;  0.351354E-02;  0.690345E+00; -0.995723E+03;  0.000000E+00; -0.995033E+03
  0.586290E+04;  0.103030E+04;  0.634631E-02;  0.689996E+00; -0.981045E+03;  0.000000E+00; -0.980355E+03
  0.581515E+04;  0.104933E+04;  0.467982E-02;  0.690226E+00; -0.974360E+03;  0.000000E+00; -0.973670E+03
  0.574524E+04;  0.105368E+04;  0.962371E-02;  0.689342E+00; -0.968370E+03;  0.000000E+00; -0.967681E+03
  0.574524E+04;  0.105043E+04;  0.774292E-02;  0.689750E+00; -0.969203E+03;  0.000000E+00; -0.968513E+03
  0.569333E+04;  0.104902E+04;  0.123299E-01;  0.688599E+00; -0.965910E+03;  0.000000E+00; -0.965221E+03
  0.561437E+04;  0.104193E+04;  0.166595E-01;  0.687030E+00; -0.962871E+03;  0.000000E+00; -0.962184E+03
  0.557313E+04;  0.107109E+04;  0.158030E-01;  0.687378E+00; -0.958563E+03;  0.000000E+00; -0.957875E+03
  0.547787E+04;  0.107893E+04;  0.142668E-01;  0.687955E+00; -0.956031E+03;  0.000000E+00; -0.955343E+03
  0.548154E+04;  0.109038E+04;  0.158794E-01;  0.687347E+00; -0.955067E+03;  0.000000E+00; -0.954379E+03
  0.548154E+04;  0.111346E+04;  0.150025E-01;  0.687686E+00; -0.953538E+03;  0.000000E+00; -0.952850E+03
  0.543832E+04;  0.112028E+04;  0.186038E-01;  0.686173E+00; -0.952453E+03;  0.000000E+00; -0.951767E+03
  0.537203E+04;  0.111289E+04;  0.174559E-01;  0.686691E+00; -0.952641E+03;  0.000000E+00; -0.951954E+03
  0.541099E+04;  0.110126E+04;  0.171258E-01;  0.686833E+00; -0.953508E+03;  0.000000E+00; -0.952821E+03
  0.541171E+04;  0.113244E+04;  0.154521E-01;  0.687515E+00; -0.951833E+03;  0.000000E+00; -0.951146E+03
  0.545688E+04;  0.112128E+04;  0.189213E-01;  0.686024E+00; -0.952522E+03;  0.000000E+00; -0.951836E+03
  0.543267E+04;  0.112117E+04;  0.195404E-01;  0.685727E+00; -0.952306E+03;  0.000000E+00; -0.951621E+03
  0.547110E+04;  0.112999E+04;  0.220626E-01;  0.684415E+00; -0.951948E+03;  0.000000E+00; -0.951264E+03
  0.539976E+04;  0.113574E+04;  0.216729E-01;  0.684628E+00; -0.951280E+03;  0.000000E+00; -0.950596E+03
  0.527488E+04;  0.112752E+04;  0.182722E-01;  0.686326E+00; -0.952122E+03;  0.000000E+00; -0.951436E+03
