Q	iVar	cType	cWidth
4936.85	1	0	0
8985.81	1	0	0
4409.42	1	0	0
4841.08	1	0	0
6139.49	1	0	0
7440.14	1	0	0
5204.25	1	0	0
5557.84	1	0	0
7570.74	1	0	0
5854.63	1	0	0
8006.78	1	0	0
4619.44	1	0	0
2181.95	1	0	0
5323.48	1	0	0
6943.56	1	0	0
7692.46	1	0	0
6137.55	1	0	0
7417.7	1	0	0
5316.97	1	0	0
6932.89	1	0	0
3237.98	1	0	0
6433.55	1	0	0
6047.91	1	0	0
5820.92	1	0	0
7066.76	1	0	0
4682.06	1	0	0
9628.45	1	0	0
8235.35	1	0	0
6459.99	1	0	0
4909.59	1	0	0
5145.2	1	0	0
6067.91	1	0	0
6738.9	1	0	0
5545.27	1	0	0
5491.08	1	0	0
7084.56	1	0	0
5058.03	1	0	0
4671.58	1	0	0
5502.67	1	0	0
7113.72	1	0	0
5307.98	1	0	0
5920.89	1	0	0
9603.54	1	0	0
4862.47	1	0	0
5181.17	1	0	0
7498.85	1	0	0
7625.72	1	0	0
5369.08	1	0	0
6025.95	1	0	0
8021.22	1	0	0
6523.36	1	0	0
8113.25	1	0	0
5121.92	1	0	0
4682.45	1	0	0
7357.23	1	0	0
5967.23	1	0	0
4983.72	1	0	0
5243.22	1	0	0
4041.93	1	0	0
5086.29	1	0	0
5252.03	1	0	0
6150.55	1	0	0
5773.55	1	0	0
6084.37	1	0	0
5042.71	1	0	0
3876.69	1	0	0
3446.33	1	0	0
8400.26	1	0	0
7693.06	1	0	0
7144.56	1	0	0
6511.73	1	0	0
4647.48	1	0	0
6029.26	1	0	0
7359.38	1	0	0
6575.56	1	0	0
5513.97	1	0	0
4504.46	1	0	0
6661.11	1	0	0
6619.95	1	0	0
6552.12	1	0	0
5219.38	1	0	0
5373.39	1	0	0
5011.88	1	0	0
5681.31	1	0	0
9079.46	1	0	0
10112.4	1	0	0
6689.35	1	0	0
8541.13	1	0	0
7584.03	1	0	0
4362.8	1	0	0
6097.62	1	0	0
6863.33	1	0	0
6726.85	1	0	0
9655.39	1	0	0
11735.5	1	0	0
5874.23	1	0	0
4246.46	1	0	0
5672.46	1	0	0
4095.24	1	0	0
6972.54	1	0	0
6809.61	1	0	0
6283.23	1	0	0
7360.51	1	0	0
5163.95	1	0	0
6987.39	1	0	0
7661.35	1	0	0
4388.88	1	0	0
8766.63	1	0	0
4609.86	1	0	0
6177.42	1	0	0
6887.99	1	0	0
4102.39	1	0	0
