Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.000000E+00;  0.690499E+00; -0.112642E+04;  0.000000E+00; -0.112573E+04
  0.597360E+04;  0.101662E+04;  0.303435E-02;  0.690384E+00; -0.111759E+04;  0.000000E+00; -0.111690E+04
  0.597360E+04;  0.101662E+04;  0.351354E-02;  0.690345E+00; -0.111742E+04;  0.000000E+00; -0.111673E+04
  0.586290E+04;  0.103030E+04;  0.634631E-02;  0.689996E+00; -0.110364E+04;  0.000000E+00; -0.110295E+04
  0.581515E+04;  0.104933E+04;  0.467982E-02;  0.690226E+00; -0.109730E+04;  0.000000E+00; -0.109661E+04
  0.574524E+04;  0.105368E+04;  0.962371E-02;  0.689342E+00; -0.109194E+04;  0.000000E+00; -0.109125E+04
  0.574524E+04;  0.105043E+04;  0.774292E-02;  0.689750E+00; -0.109271E+04;  0.000000E+00; -0.109202E+04
  0.569333E+04;  0.104902E+04;  0.123299E-01;  0.688599E+00; -0.108991E+04;  0.000000E+00; -0.108922E+04
  0.561437E+04;  0.104193E+04;  0.166595E-01;  0.687030E+00; -0.108757E+04;  0.000000E+00; -0.108688E+04
  0.557313E+04;  0.107109E+04;  0.158030E-01;  0.687378E+00; -0.108354E+04;  0.000000E+00; -0.108286E+04
  0.551194E+04;  0.107893E+04;  0.142668E-01;  0.687955E+00; -0.108202E+04;  0.000000E+00; -0.108134E+04
  0.551561E+04;  0.109038E+04;  0.158794E-01;  0.687347E+00; -0.108101E+04;  0.000000E+00; -0.108032E+04
  0.558214E+04;  0.111346E+04;  0.150025E-01;  0.687686E+00; -0.108016E+04;  0.000000E+00; -0.107947E+04
  0.553893E+04;  0.112028E+04;  0.186038E-01;  0.686173E+00; -0.107888E+04;  0.000000E+00; -0.107820E+04
  0.547263E+04;  0.111289E+04;  0.174559E-01;  0.686691E+00; -0.107900E+04;  0.000000E+00; -0.107831E+04
  0.539980E+04;  0.110126E+04;  0.171258E-01;  0.686833E+00; -0.107974E+04;  0.000000E+00; -0.107905E+04
  0.545180E+04;  0.113244E+04;  0.154521E-01;  0.687515E+00; -0.107787E+04;  0.000000E+00; -0.107719E+04
  0.549696E+04;  0.112128E+04;  0.189213E-01;  0.686024E+00; -0.107849E+04;  0.000000E+00; -0.107781E+04
  0.547275E+04;  0.112117E+04;  0.195404E-01;  0.685727E+00; -0.107837E+04;  0.000000E+00; -0.107769E+04
  0.551118E+04;  0.112999E+04;  0.220626E-01;  0.684415E+00; -0.107786E+04;  0.000000E+00; -0.107718E+04
  0.547465E+04;  0.113574E+04;  0.216729E-01;  0.684628E+00; -0.107742E+04;  0.000000E+00; -0.107674E+04
  0.534976E+04;  0.112752E+04;  0.182722E-01;  0.686326E+00; -0.107846E+04;  0.000000E+00; -0.107777E+04
  0.529281E+04;  0.111235E+04;  0.139025E-01;  0.688083E+00; -0.108002E+04;  0.000000E+00; -0.107933E+04
