Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.000000E+00;  0.690499E+00; -0.935951E+03;  0.000000E+00; -0.935261E+03
  0.597360E+04;  0.101662E+04;  0.303435E-02;  0.690384E+00; -0.927171E+03;  0.000000E+00; -0.926481E+03
  0.597360E+04;  0.101662E+04;  0.351354E-02;  0.690345E+00; -0.926996E+03;  0.000000E+00; -0.926305E+03
  0.586290E+04;  0.103030E+04;  0.634631E-02;  0.689996E+00; -0.913444E+03;  0.000000E+00; -0.912754E+03
  0.581515E+04;  0.104933E+04;  0.467982E-02;  0.690226E+00; -0.907169E+03;  0.000000E+00; -0.906479E+03
  0.574524E+04;  0.105368E+04;  0.962371E-02;  0.689342E+00; -0.901679E+03;  0.000000E+00; -0.900989E+03
  0.574524E+04;  0.105043E+04;  0.774292E-02;  0.689750E+00; -0.902484E+03;  0.000000E+00; -0.901794E+03
  0.569333E+04;  0.104902E+04;  0.123299E-01;  0.688599E+00; -0.899516E+03;  0.000000E+00; -0.898827E+03
  0.561437E+04;  0.104193E+04;  0.166595E-01;  0.687030E+00; -0.896880E+03;  0.000000E+00; -0.896192E+03
  0.557313E+04;  0.107109E+04;  0.158030E-01;  0.687378E+00; -0.892709E+03;  0.000000E+00; -0.892022E+03
  0.547787E+04;  0.107893E+04;  0.142668E-01;  0.687955E+00; -0.890435E+03;  0.000000E+00; -0.889747E+03
  0.548154E+04;  0.109038E+04;  0.158794E-01;  0.687347E+00; -0.889451E+03;  0.000000E+00; -0.888763E+03
  0.554808E+04;  0.111346E+04;  0.150025E-01;  0.687686E+00; -0.888734E+03;  0.000000E+00; -0.888047E+03
  0.550486E+04;  0.112028E+04;  0.186038E-01;  0.686173E+00; -0.887413E+03;  0.000000E+00; -0.886727E+03
  0.543856E+04;  0.111289E+04;  0.174559E-01;  0.686691E+00; -0.887399E+03;  0.000000E+00; -0.886712E+03
  0.536574E+04;  0.110126E+04;  0.171258E-01;  0.686833E+00; -0.887902E+03;  0.000000E+00; -0.887215E+03
  0.536646E+04;  0.113244E+04;  0.154521E-01;  0.687515E+00; -0.886199E+03;  0.000000E+00; -0.885512E+03
  0.541162E+04;  0.112128E+04;  0.189213E-01;  0.686024E+00; -0.886690E+03;  0.000000E+00; -0.886004E+03
  0.538742E+04;  0.112117E+04;  0.195404E-01;  0.685727E+00; -0.886618E+03;  0.000000E+00; -0.885933E+03
  0.542585E+04;  0.112999E+04;  0.220626E-01;  0.684415E+00; -0.886080E+03;  0.000000E+00; -0.885396E+03
  0.538931E+04;  0.113574E+04;  0.216729E-01;  0.684628E+00; -0.885737E+03;  0.000000E+00; -0.885052E+03
  0.526443E+04;  0.112752E+04;  0.182722E-01;  0.686326E+00; -0.886804E+03;  0.000000E+00; -0.886117E+03
  0.520748E+04;  0.111235E+04;  0.139025E-01;  0.688083E+00; -0.888261E+03;  0.000000E+00; -0.887573E+03
  0.527675E+04;  0.111384E+04;  0.132195E-01;  0.688315E+00; -0.887594E+03;  0.000000E+00; -0.886906E+03
  0.527848E+04;  0.110174E+04;  0.131259E-01;  0.688346E+00; -0.888267E+03;  0.000000E+00; -0.887579E+03
  0.529112E+04;  0.112544E+04;  0.959378E-02;  0.689349E+00; -0.887046E+03;  0.000000E+00; -0.886357E+03
  0.527169E+04;  0.113232E+04;  0.549978E-02;  0.690121E+00; -0.886984E+03;  0.000000E+00; -0.886294E+03
  0.539065E+04;  0.114749E+04;  0.738010E-02;  0.689819E+00; -0.885846E+03;  0.000000E+00; -0.885156E+03
  0.538254E+04;  0.116878E+04;  0.441119E-02;  0.690256E+00; -0.885000E+03;  0.000000E+00; -0.884310E+03
  0.553795E+04;  0.117945E+04; -0.113258E-02;  0.690483E+00; -0.885770E+03;  0.000000E+00; -0.885080E+03
  0.545083E+04;  0.119279E+04;  0.316338E-02;  0.690374E+00; -0.884191E+03;  0.000000E+00; -0.883501E+03
  0.528914E+04;  0.117136E+04;  0.547631E-02;  0.690125E+00; -0.885164E+03;  0.000000E+00; -0.884474E+03
  0.534813E+04;  0.118098E+04;  0.115934E-01;  0.688819E+00; -0.884244E+03;  0.000000E+00; -0.883555E+03
  0.530446E+04;  0.115930E+04;  0.879656E-02;  0.689532E+00; -0.885426E+03;  0.000000E+00; -0.884736E+03
  0.539358E+04;  0.115391E+04;  0.996215E-02;  0.689259E+00; -0.885401E+03;  0.000000E+00; -0.884712E+03
