Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.000000E+00;  0.690499E+00; -0.933336E+03;  0.000000E+00; -0.932645E+03
  0.597360E+04;  0.101662E+04;  0.303435E-02;  0.690384E+00; -0.924944E+03;  0.000000E+00; -0.924254E+03
  0.597360E+04;  0.101662E+04;  0.351354E-02;  0.690345E+00; -0.924777E+03;  0.000000E+00; -0.924087E+03
  0.586290E+04;  0.103030E+04;  0.634631E-02;  0.689996E+00; -0.911932E+03;  0.000000E+00; -0.911242E+03
  0.581515E+04;  0.104933E+04;  0.467982E-02;  0.690226E+00; -0.905970E+03;  0.000000E+00; -0.905280E+03
  0.574524E+04;  0.105368E+04;  0.962371E-02;  0.689342E+00; -0.900824E+03;  0.000000E+00; -0.900135E+03
  0.574524E+04;  0.105043E+04;  0.774292E-02;  0.689750E+00; -0.901599E+03;  0.000000E+00; -0.900909E+03
  0.569333E+04;  0.104902E+04;  0.123299E-01;  0.688599E+00; -0.898853E+03;  0.000000E+00; -0.898165E+03
  0.561437E+04;  0.104193E+04;  0.166595E-01;  0.687030E+00; -0.896496E+03;  0.000000E+00; -0.895809E+03
  0.557313E+04;  0.107109E+04;  0.158030E-01;  0.687378E+00; -0.892535E+03;  0.000000E+00; -0.891848E+03
  0.551194E+04;  0.107893E+04;  0.142668E-01;  0.687955E+00; -0.890951E+03;  0.000000E+00; -0.890263E+03
  0.551561E+04;  0.109038E+04;  0.158794E-01;  0.687347E+00; -0.889945E+03;  0.000000E+00; -0.889258E+03
  0.558214E+04;  0.111346E+04;  0.150025E-01;  0.687686E+00; -0.889226E+03;  0.000000E+00; -0.888538E+03
  0.553893E+04;  0.112028E+04;  0.186038E-01;  0.686173E+00; -0.887864E+03;  0.000000E+00; -0.887178E+03
  0.547263E+04;  0.111289E+04;  0.174559E-01;  0.686691E+00; -0.887836E+03;  0.000000E+00; -0.887149E+03
  0.539980E+04;  0.110126E+04;  0.171258E-01;  0.686833E+00; -0.888325E+03;  0.000000E+00; -0.887639E+03
  0.540052E+04;  0.113244E+04;  0.154521E-01;  0.687515E+00; -0.886589E+03;  0.000000E+00; -0.885901E+03
