Q	iVar	cType	cWidth
8440.06	1	0	0
4735.61	1	0	0
2220.48	1	0	0
5632.24	1	0	0
7265.74	1	0	0
7910.9	1	0	0
6397.63	1	0	0
7549.09	1	0	0
5542.25	1	0	0
7344.54	1	0	0
3552.64	1	0	0
6541.23	1	0	0
6228.73	1	0	0
6269.21	1	0	0
7531.04	1	0	0
4783.71	1	0	0
9919.84	1	0	0
8487.23	1	0	0
6964.07	1	0	0
5006.97	1	0	0
5351.83	1	0	0
6278.83	1	0	0
6747.64	1	0	0
5934.2	1	0	0
5964.85	1	0	0
7513.81	1	0	0
5504.38	1	0	0
4757.98	1	0	0
6055.02	1	0	0
7322.58	1	0	0
5616.35	1	0	0
5861.35	1	0	0
10198.7	1	0	0
5045.56	1	0	0
5404.37	1	0	0
7598.8	1	0	0
7688.39	1	0	0
5611.17	1	0	0
5897.37	1	0	0
8162.47	1	0	0
6529.77	1	0	0
8186.55	1	0	0
4851.14	1	0	0
4554.88	1	0	0
7794.88	1	0	0
6154.7	1	0	0
5150.86	1	0	0
5357.51	1	0	0
4381.41	1	0	0
4363.7	1	0	0
5273.39	1	0	0
5429.68	1	0	0
5241.41	1	0	0
5938.83	1	0	0
5144.37	1	0	0
3934.03	1	0	0
3317.93	1	0	0
8489.75	1	0	0
7729.59	1	0	0
7347.16	1	0	0
6711.14	1	0	0
4849.35	1	0	0
6134.16	1	0	0
7492.68	1	0	0
6454.69	1	0	0
5512.31	1	0	0
4707.87	1	0	0
6842.78	1	0	0
6459.68	1	0	0
6631.72	1	0	0
5343.78	1	0	0
5273.62	1	0	0
5165.79	1	0	0
5705	1	0	0
8786.11	1	0	0
9678.27	1	0	0
6830.04	1	0	0
8778.43	1	0	0
7894.92	1	0	0
4558.75	1	0	0
6309.63	1	0	0
7063.73	1	0	0
6776.51	1	0	0
9671.87	1	0	0
11294.7	1	0	0
5548.73	1	0	0
4075.35	1	0	0
5678.96	1	0	0
3825.87	1	0	0
7115.68	1	0	0
6429.69	1	0	0
6171.72	1	0	0
7267.1	1	0	0
5120.15	1	0	0
7368.89	1	0	0
7644.83	1	0	0
4465.58	1	0	0
8603.11	1	0	0
4745.89	1	0	0
5982.48	1	0	0
