Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.000000E+00;  0.690499E+00; -0.944360E+03;  0.000000E+00; -0.943669E+03
  0.597360E+04;  0.101662E+04;  0.303435E-02;  0.690384E+00; -0.935598E+03;  0.000000E+00; -0.934908E+03
  0.597360E+04;  0.101662E+04;  0.351354E-02;  0.690345E+00; -0.935422E+03;  0.000000E+00; -0.934732E+03
  0.586290E+04;  0.103030E+04;  0.634631E-02;  0.689996E+00; -0.921947E+03;  0.000000E+00; -0.921257E+03
  0.581515E+04;  0.104933E+04;  0.467982E-02;  0.690226E+00; -0.915708E+03;  0.000000E+00; -0.915018E+03
  0.574524E+04;  0.105368E+04;  0.962371E-02;  0.689342E+00; -0.910263E+03;  0.000000E+00; -0.909574E+03
  0.574524E+04;  0.105043E+04;  0.774292E-02;  0.689750E+00; -0.911070E+03;  0.000000E+00; -0.910380E+03
  0.569333E+04;  0.104902E+04;  0.123299E-01;  0.688599E+00; -0.908137E+03;  0.000000E+00; -0.907448E+03
  0.561437E+04;  0.104193E+04;  0.166595E-01;  0.687030E+00; -0.905557E+03;  0.000000E+00; -0.904870E+03
  0.557313E+04;  0.107109E+04;  0.158030E-01;  0.687378E+00; -0.901413E+03;  0.000000E+00; -0.900725E+03
  0.547787E+04;  0.107893E+04;  0.142668E-01;  0.687955E+00; -0.899208E+03;  0.000000E+00; -0.898520E+03
  0.548154E+04;  0.109038E+04;  0.158794E-01;  0.687347E+00; -0.898218E+03;  0.000000E+00; -0.897530E+03
  0.554808E+04;  0.111346E+04;  0.150025E-01;  0.687686E+00; -0.897450E+03;  0.000000E+00; -0.896762E+03
  0.550486E+04;  0.112028E+04;  0.186038E-01;  0.686173E+00; -0.896156E+03;  0.000000E+00; -0.895470E+03
  0.543856E+04;  0.111289E+04;  0.174559E-01;  0.686691E+00; -0.896191E+03;  0.000000E+00; -0.895504E+03
  0.536574E+04;  0.110126E+04;  0.171258E-01;  0.686833E+00; -0.896751E+03;  0.000000E+00; -0.896064E+03
  0.541773E+04;  0.113244E+04;  0.154521E-01;  0.687515E+00; -0.895068E+03;  0.000000E+00; -0.894380E+03
  0.546290E+04;  0.112128E+04;  0.189213E-01;  0.686024E+00; -0.895722E+03;  0.000000E+00; -0.895036E+03
  0.543869E+04;  0.112117E+04;  0.195404E-01;  0.685727E+00; -0.895561E+03;  0.000000E+00; -0.894875E+03
  0.547712E+04;  0.112999E+04;  0.220626E-01;  0.684415E+00; -0.895103E+03;  0.000000E+00; -0.894419E+03
  0.544058E+04;  0.113574E+04;  0.216729E-01;  0.684628E+00; -0.894621E+03;  0.000000E+00; -0.893937E+03
  0.531570E+04;  0.112752E+04;  0.182722E-01;  0.686326E+00; -0.895346E+03;  0.000000E+00; -0.894659E+03
  0.525875E+04;  0.111235E+04;  0.139025E-01;  0.688083E+00; -0.896701E+03;  0.000000E+00; -0.896013E+03
  0.532802E+04;  0.111384E+04;  0.132195E-01;  0.688315E+00; -0.896246E+03;  0.000000E+00; -0.895558E+03
  0.524117E+04;  0.110174E+04;  0.131259E-01;  0.688346E+00; -0.897473E+03;  0.000000E+00; -0.896784E+03
  0.525381E+04;  0.112544E+04;  0.959378E-02;  0.689349E+00; -0.896219E+03;  0.000000E+00; -0.895530E+03
  0.523438E+04;  0.113232E+04;  0.549978E-02;  0.690121E+00; -0.896213E+03;  0.000000E+00; -0.895523E+03
  0.535335E+04;  0.114749E+04;  0.738010E-02;  0.689819E+00; -0.894695E+03;  0.000000E+00; -0.894005E+03
  0.534524E+04;  0.116878E+04;  0.441119E-02;  0.690256E+00; -0.893901E+03;  0.000000E+00; -0.893211E+03
  0.550064E+04;  0.117945E+04; -0.113258E-02;  0.690483E+00; -0.894124E+03;  0.000000E+00; -0.893434E+03
  0.541352E+04;  0.119279E+04;  0.316338E-02;  0.690374E+00; -0.892899E+03;  0.000000E+00; -0.892209E+03
  0.525184E+04;  0.117136E+04;  0.547631E-02;  0.690125E+00; -0.894376E+03;  0.000000E+00; -0.893686E+03
  0.531082E+04;  0.118098E+04;  0.115934E-01;  0.688819E+00; -0.893300E+03;  0.000000E+00; -0.892611E+03
  0.531082E+04;  0.115930E+04;  0.879656E-02;  0.689532E+00; -0.894267E+03;  0.000000E+00; -0.893577E+03
  0.539994E+04;  0.115391E+04;  0.996215E-02;  0.689259E+00; -0.894223E+03;  0.000000E+00; -0.893534E+03
  0.533915E+04;  0.116764E+04;  0.118401E-01;  0.688747E+00; -0.893644E+03;  0.000000E+00; -0.892956E+03
  0.540024E+04;  0.117033E+04;  0.162520E-01;  0.687198E+00; -0.893173E+03;  0.000000E+00; -0.892486E+03
  0.544471E+04;  0.113256E+04;  0.128477E-01;  0.688436E+00; -0.895316E+03;  0.000000E+00; -0.894627E+03
  0.546613E+04;  0.113559E+04;  0.125122E-01;  0.688542E+00; -0.895289E+03;  0.000000E+00; -0.894600E+03
  0.550915E+04;  0.115191E+04;  0.183519E-01;  0.686289E+00; -0.894332E+03;  0.000000E+00; -0.893646E+03
  0.550677E+04;  0.115191E+04;  0.131903E-01;  0.688325E+00; -0.894641E+03;  0.000000E+00; -0.893952E+03
  0.557762E+04;  0.115564E+04;  0.968822E-02;  0.689326E+00; -0.895525E+03;  0.000000E+00; -0.894836E+03
  0.546124E+04;  0.118551E+04;  0.957354E-02;  0.689354E+00; -0.892950E+03;  0.000000E+00; -0.892261E+03
  0.538650E+04;  0.119248E+04;  0.922064E-02;  0.689437E+00; -0.892637E+03;  0.000000E+00; -0.891947E+03
  0.550959E+04;  0.120313E+04;  0.124302E-01;  0.688568E+00; -0.892300E+03;  0.000000E+00; -0.891611E+03
  0.551031E+04;  0.121635E+04;  0.994919E-02;  0.689262E+00; -0.891938E+03;  0.000000E+00; -0.891249E+03
  0.552684E+04;  0.122747E+04;  0.129089E-01;  0.688416E+00; -0.891476E+03;  0.000000E+00; -0.890788E+03
  0.539141E+04;  0.121478E+04;  0.138702E-01;  0.688095E+00; -0.891669E+03;  0.000000E+00; -0.890981E+03
  0.539998E+04;  0.121416E+04;  0.162242E-01;  0.687209E+00; -0.891568E+03;  0.000000E+00; -0.890881E+03
  0.541577E+04;  0.123410E+04;  0.191616E-01;  0.685910E+00; -0.890829E+03;  0.000000E+00; -0.890143E+03
  0.544182E+04;  0.122915E+04;  0.249265E-01;  0.682733E+00; -0.890694E+03;  0.000000E+00; -0.890011E+03
  0.545438E+04;  0.123483E+04;  0.253681E-01;  0.682455E+00; -0.890504E+03;  0.000000E+00; -0.889821E+03
  0.545082E+04;  0.124814E+04;  0.267043E-01;  0.681585E+00; -0.890108E+03;  0.000000E+00; -0.889427E+03
  0.549686E+04;  0.124732E+04;  0.236143E-01;  0.683529E+00; -0.890255E+03;  0.000000E+00; -0.889571E+03
  0.555479E+04;  0.124075E+04;  0.287036E-01;  0.680201E+00; -0.890420E+03;  0.000000E+00; -0.889740E+03
  0.557338E+04;  0.120248E+04;  0.362676E-01;  0.674058E+00; -0.891512E+03;  0.000000E+00; -0.890838E+03
  0.545288E+04;  0.122163E+04;  0.277724E-01;  0.680858E+00; -0.890795E+03;  0.000000E+00; -0.890114E+03
  0.559272E+04;  0.123778E+04;  0.289966E-01;  0.679989E+00; -0.890754E+03;  0.000000E+00; -0.890074E+03
  0.562734E+04;  0.121782E+04;  0.320423E-01;  0.677666E+00; -0.891645E+03;  0.000000E+00; -0.890967E+03
  0.552163E+04;  0.119857E+04;  0.330913E-01;  0.676811E+00; -0.891494E+03;  0.000000E+00; -0.890818E+03
  0.557990E+04;  0.122393E+04;  0.308281E-01;  0.678620E+00; -0.891030E+03;  0.000000E+00; -0.890352E+03
  0.547405E+04;  0.123432E+04;  0.323927E-01;  0.677383E+00; -0.890243E+03;  0.000000E+00; -0.889566E+03
  0.551029E+04;  0.123308E+04;  0.286928E-01;  0.680208E+00; -0.890473E+03;  0.000000E+00; -0.889792E+03
  0.545988E+04;  0.123366E+04;  0.349213E-01;  0.675256E+00; -0.890180E+03;  0.000000E+00; -0.889505E+03
  0.556770E+04;  0.122701E+04;  0.346912E-01;  0.675456E+00; -0.890656E+03;  0.000000E+00; -0.889981E+03
  0.562737E+04;  0.123370E+04;  0.323085E-01;  0.677451E+00; -0.891042E+03;  0.000000E+00; -0.890365E+03
  0.573373E+04;  0.123065E+04;  0.299609E-01;  0.679279E+00; -0.892853E+03;  0.000000E+00; -0.892174E+03
  0.574329E+04;  0.122439E+04;  0.365823E-01;  0.673771E+00; -0.892871E+03;  0.000000E+00; -0.892197E+03
  0.574096E+04;  0.124399E+04;  0.328444E-01;  0.677015E+00; -0.892247E+03;  0.000000E+00; -0.891570E+03
  0.576438E+04;  0.125001E+04;  0.288956E-01;  0.680062E+00; -0.892711E+03;  0.000000E+00; -0.892031E+03
  0.579827E+04;  0.123384E+04;  0.252115E-01;  0.682554E+00; -0.894452E+03;  0.000000E+00; -0.893770E+03
  0.577619E+04;  0.125737E+04;  0.229806E-01;  0.683898E+00; -0.893064E+03;  0.000000E+00; -0.892380E+03
  0.569993E+04;  0.125038E+04;  0.218633E-01;  0.684524E+00; -0.892002E+03;  0.000000E+00; -0.891318E+03
  0.553239E+04;  0.125381E+04;  0.247538E-01;  0.682840E+00; -0.890127E+03;  0.000000E+00; -0.889444E+03
  0.539027E+04;  0.125236E+04;  0.253171E-01;  0.682487E+00; -0.890262E+03;  0.000000E+00; -0.889579E+03
  0.538010E+04;  0.126631E+04;  0.176979E-01;  0.686584E+00; -0.890274E+03;  0.000000E+00; -0.889588E+03
  0.537091E+04;  0.124708E+04;  0.206699E-01;  0.685159E+00; -0.890641E+03;  0.000000E+00; -0.889956E+03
  0.537866E+04;  0.126340E+04;  0.162467E-01;  0.687200E+00; -0.890390E+03;  0.000000E+00; -0.889703E+03
  0.523325E+04;  0.125470E+04;  0.169716E-01;  0.686899E+00; -0.891928E+03;  0.000000E+00; -0.891241E+03
  0.523325E+04;  0.124951E+04;  0.136231E-01;  0.688180E+00; -0.892117E+03;  0.000000E+00; -0.891428E+03
  0.534221E+04;  0.121542E+04;  0.178328E-01;  0.686524E+00; -0.891739E+03;  0.000000E+00; -0.891052E+03
  0.539913E+04;  0.122610E+04;  0.204294E-01;  0.685282E+00; -0.891053E+03;  0.000000E+00; -0.890368E+03
  0.536396E+04;  0.123725E+04;  0.202513E-01;  0.685373E+00; -0.890932E+03;  0.000000E+00; -0.890247E+03
  0.535018E+04;  0.123911E+04;  0.280870E-01;  0.680638E+00; -0.890738E+03;  0.000000E+00; -0.890057E+03
  0.535018E+04;  0.123496E+04;  0.236497E-01;  0.683508E+00; -0.890970E+03;  0.000000E+00; -0.890287E+03
  0.537975E+04;  0.120865E+04;  0.194070E-01;  0.685791E+00; -0.891687E+03;  0.000000E+00; -0.891001E+03
  0.534530E+04;  0.121214E+04;  0.201564E-01;  0.685421E+00; -0.891736E+03;  0.000000E+00; -0.891051E+03
  0.534484E+04;  0.123060E+04;  0.193817E-01;  0.685804E+00; -0.891253E+03;  0.000000E+00; -0.890568E+03
  0.529622E+04;  0.121464E+04;  0.180684E-01;  0.686419E+00; -0.892120E+03;  0.000000E+00; -0.891434E+03
  0.536852E+04;  0.120280E+04;  0.153763E-01;  0.687544E+00; -0.892075E+03;  0.000000E+00; -0.891388E+03
  0.536852E+04;  0.119960E+04;  0.119796E-01;  0.688705E+00; -0.892318E+03;  0.000000E+00; -0.891629E+03
  0.540454E+04;  0.119014E+04;  0.174337E-01;  0.686700E+00; -0.892328E+03;  0.000000E+00; -0.891642E+03
  0.534471E+04;  0.118437E+04;  0.976978E-02;  0.689306E+00; -0.893051E+03;  0.000000E+00; -0.892362E+03
  0.503674E+04;  0.118883E+04;  0.578687E-02;  0.690081E+00; -0.897343E+03;  0.000000E+00; -0.896653E+03
  0.503674E+04;  0.119874E+04;  0.101062E-01;  0.689223E+00; -0.896985E+03;  0.000000E+00; -0.896295E+03
  0.505969E+04;  0.123123E+04;  0.890407E-02;  0.689508E+00; -0.895649E+03;  0.000000E+00; -0.894960E+03
  0.513640E+04;  0.127144E+04;  0.475466E-02;  0.690217E+00; -0.893434E+03;  0.000000E+00; -0.892744E+03
  0.524839E+04;  0.128647E+04;  0.100077E-01;  0.689247E+00; -0.891369E+03;  0.000000E+00; -0.890680E+03
  0.521412E+04;  0.129637E+04;  0.872901E-02;  0.689547E+00; -0.891727E+03;  0.000000E+00; -0.891037E+03
  0.530650E+04;  0.131659E+04;  0.100523E-01;  0.689236E+00; -0.890326E+03;  0.000000E+00; -0.889637E+03
  0.543456E+04;  0.130665E+04;  0.833763E-02;  0.689630E+00; -0.889681E+03;  0.000000E+00; -0.888992E+03
  0.545785E+04;  0.132269E+04;  0.438168E-02;  0.690259E+00; -0.889554E+03;  0.000000E+00; -0.888864E+03
  0.549347E+04;  0.130076E+04;  0.733729E-02;  0.689826E+00; -0.889760E+03;  0.000000E+00; -0.889070E+03
  0.541532E+04;  0.131428E+04;  0.634153E-02;  0.689997E+00; -0.889713E+03;  0.000000E+00; -0.889023E+03
  0.539931E+04;  0.131428E+04;  0.550995E-02;  0.690120E+00; -0.889815E+03;  0.000000E+00; -0.889124E+03
  0.550332E+04;  0.127937E+04;  0.105290E-01;  0.689114E+00; -0.890060E+03;  0.000000E+00; -0.889371E+03
  0.555042E+04;  0.128366E+04;  0.157903E-01;  0.687383E+00; -0.889872E+03;  0.000000E+00; -0.889184E+03
  0.555042E+04;  0.128073E+04;  0.225986E-01;  0.684116E+00; -0.889630E+03;  0.000000E+00; -0.888946E+03
  0.546587E+04;  0.128587E+04;  0.248752E-01;  0.682765E+00; -0.889342E+03;  0.000000E+00; -0.888660E+03
  0.555125E+04;  0.127945E+04;  0.285089E-01;  0.680340E+00; -0.889410E+03;  0.000000E+00; -0.888730E+03
  0.563891E+04;  0.129899E+04;  0.315444E-01;  0.678061E+00; -0.889360E+03;  0.000000E+00; -0.888682E+03
  0.558527E+04;  0.130530E+04;  0.273569E-01;  0.681144E+00; -0.889075E+03;  0.000000E+00; -0.888394E+03
  0.550093E+04;  0.132086E+04;  0.246252E-01;  0.682919E+00; -0.888760E+03;  0.000000E+00; -0.888077E+03
  0.559034E+04;  0.129674E+04;  0.315920E-01;  0.678024E+00; -0.889088E+03;  0.000000E+00; -0.888410E+03
  0.562558E+04;  0.131048E+04;  0.344374E-01;  0.675675E+00; -0.888909E+03;  0.000000E+00; -0.888233E+03
  0.547348E+04;  0.126790E+04;  0.335784E-01;  0.676405E+00; -0.889381E+03;  0.000000E+00; -0.888705E+03
  0.537820E+04;  0.126148E+04;  0.307582E-01;  0.678674E+00; -0.889974E+03;  0.000000E+00; -0.889296E+03
  0.548591E+04;  0.129551E+04;  0.310889E-01;  0.678418E+00; -0.888929E+03;  0.000000E+00; -0.888250E+03
  0.542414E+04;  0.132568E+04;  0.343730E-01;  0.675731E+00; -0.888623E+03;  0.000000E+00; -0.887947E+03
  0.552207E+04;  0.136018E+04;  0.349732E-01;  0.675210E+00; -0.887981E+03;  0.000000E+00; -0.887306E+03
  0.549444E+04;  0.133687E+04;  0.331249E-01;  0.676784E+00; -0.888290E+03;  0.000000E+00; -0.887613E+03
  0.536765E+04;  0.134217E+04;  0.350730E-01;  0.675123E+00; -0.888846E+03;  0.000000E+00; -0.888171E+03
  0.540155E+04;  0.134460E+04;  0.351455E-01;  0.675059E+00; -0.888566E+03;  0.000000E+00; -0.887891E+03
  0.548258E+04;  0.132649E+04;  0.291345E-01;  0.679889E+00; -0.888557E+03;  0.000000E+00; -0.887877E+03
  0.539729E+04;  0.133442E+04;  0.274103E-01;  0.681108E+00; -0.888891E+03;  0.000000E+00; -0.888210E+03
  0.539107E+04;  0.131739E+04;  0.281108E-01;  0.680622E+00; -0.889089E+03;  0.000000E+00; -0.888408E+03
  0.541360E+04;  0.133168E+04;  0.270208E-01;  0.681373E+00; -0.888830E+03;  0.000000E+00; -0.888148E+03
  0.556550E+04;  0.134248E+04;  0.297898E-01;  0.679406E+00; -0.888354E+03;  0.000000E+00; -0.887674E+03
  0.553480E+04;  0.135936E+04;  0.300452E-01;  0.679215E+00; -0.888142E+03;  0.000000E+00; -0.887463E+03
  0.556561E+04;  0.135578E+04;  0.300831E-01;  0.679187E+00; -0.888201E+03;  0.000000E+00; -0.887522E+03
  0.556561E+04;  0.133669E+04;  0.195960E-01;  0.685699E+00; -0.888820E+03;  0.000000E+00; -0.888134E+03
  0.558620E+04;  0.137521E+04;  0.205782E-01;  0.685206E+00; -0.888425E+03;  0.000000E+00; -0.887740E+03
  0.552362E+04;  0.141146E+04;  0.229677E-01;  0.683905E+00; -0.888111E+03;  0.000000E+00; -0.887427E+03
  0.540483E+04;  0.140292E+04;  0.239141E-01;  0.683351E+00; -0.888589E+03;  0.000000E+00; -0.887905E+03
  0.528760E+04;  0.138411E+04;  0.292888E-01;  0.679776E+00; -0.889604E+03;  0.000000E+00; -0.888925E+03
  0.535905E+04;  0.136577E+04;  0.274657E-01;  0.681070E+00; -0.888964E+03;  0.000000E+00; -0.888283E+03
  0.543942E+04;  0.134437E+04;  0.282379E-01;  0.680532E+00; -0.888545E+03;  0.000000E+00; -0.887864E+03
  0.535389E+04;  0.134622E+04;  0.347452E-01;  0.675409E+00; -0.888946E+03;  0.000000E+00; -0.888270E+03
  0.537062E+04;  0.133405E+04;  0.378048E-01;  0.672634E+00; -0.888822E+03;  0.000000E+00; -0.888150E+03
  0.525566E+04;  0.133811E+04;  0.381685E-01;  0.672289E+00; -0.890067E+03;  0.000000E+00; -0.889394E+03
  0.526095E+04;  0.133824E+04;  0.410283E-01;  0.669458E+00; -0.889941E+03;  0.000000E+00; -0.889271E+03
  0.537129E+04;  0.134554E+04;  0.376040E-01;  0.672824E+00; -0.888729E+03;  0.000000E+00; -0.888056E+03
  0.537129E+04;  0.137941E+04;  0.363433E-01;  0.673989E+00; -0.888580E+03;  0.000000E+00; -0.887906E+03
  0.539395E+04;  0.140014E+04;  0.375530E-01;  0.672872E+00; -0.888317E+03;  0.000000E+00; -0.887644E+03
  0.552946E+04;  0.140017E+04;  0.410508E-01;  0.669435E+00; -0.887580E+03;  0.000000E+00; -0.886911E+03
  0.554557E+04;  0.136902E+04;  0.436883E-01;  0.666641E+00; -0.887637E+03;  0.000000E+00; -0.886970E+03
  0.545699E+04;  0.139518E+04;  0.408105E-01;  0.669681E+00; -0.887839E+03;  0.000000E+00; -0.887170E+03
  0.544640E+04;  0.137869E+04;  0.447127E-01;  0.665509E+00; -0.887849E+03;  0.000000E+00; -0.887183E+03
  0.550183E+04;  0.139098E+04;  0.437900E-01;  0.666530E+00; -0.887595E+03;  0.000000E+00; -0.886929E+03
  0.543986E+04;  0.139359E+04;  0.539117E-01;  0.654168E+00; -0.887629E+03;  0.000000E+00; -0.886974E+03
  0.562359E+04;  0.142100E+04;  0.508058E-01;  0.658234E+00; -0.887280E+03;  0.000000E+00; -0.886622E+03
  0.554050E+04;  0.141966E+04;  0.532366E-01;  0.655073E+00; -0.887201E+03;  0.000000E+00; -0.886546E+03
  0.539760E+04;  0.139361E+04;  0.521759E-01;  0.656470E+00; -0.887970E+03;  0.000000E+00; -0.887314E+03
  0.533673E+04;  0.135948E+04;  0.543449E-01;  0.653582E+00; -0.888633E+03;  0.000000E+00; -0.887979E+03
  0.544510E+04;  0.138770E+04;  0.476855E-01;  0.662076E+00; -0.887753E+03;  0.000000E+00; -0.887091E+03
  0.543559E+04;  0.139141E+04;  0.627543E-01;  0.641273E+00; -0.887481E+03;  0.000000E+00; -0.886840E+03
  0.545277E+04;  0.135875E+04;  0.572432E-01;  0.649540E+00; -0.887629E+03;  0.000000E+00; -0.886979E+03
  0.553141E+04;  0.136481E+04;  0.506590E-01;  0.658420E+00; -0.887480E+03;  0.000000E+00; -0.886821E+03
  0.550698E+04;  0.137706E+04;  0.474276E-01;  0.662382E+00; -0.887542E+03;  0.000000E+00; -0.886880E+03
  0.546674E+04;  0.137248E+04;  0.516244E-01;  0.657186E+00; -0.887607E+03;  0.000000E+00; -0.886950E+03
  0.561272E+04;  0.138404E+04;  0.519790E-01;  0.656727E+00; -0.887366E+03;  0.000000E+00; -0.886709E+03
  0.543105E+04;  0.137135E+04;  0.526523E-01;  0.655846E+00; -0.887788E+03;  0.000000E+00; -0.887132E+03
  0.561068E+04;  0.132379E+04;  0.541912E-01;  0.653791E+00; -0.887893E+03;  0.000000E+00; -0.887240E+03
  0.549256E+04;  0.131871E+04;  0.593035E-01;  0.646538E+00; -0.887780E+03;  0.000000E+00; -0.887133E+03
  0.554021E+04;  0.129026E+04;  0.667893E-01;  0.634739E+00; -0.887947E+03;  0.000000E+00; -0.887312E+03
  0.560564E+04;  0.132422E+04;  0.593273E-01;  0.646503E+00; -0.887713E+03;  0.000000E+00; -0.887066E+03
  0.561495E+04;  0.132093E+04;  0.624650E-01;  0.641726E+00; -0.887698E+03;  0.000000E+00; -0.887057E+03
  0.544924E+04;  0.130618E+04;  0.644431E-01;  0.638588E+00; -0.888016E+03;  0.000000E+00; -0.887377E+03
  0.549318E+04;  0.128708E+04;  0.729724E-01;  0.623937E+00; -0.887958E+03;  0.000000E+00; -0.887334E+03
  0.554719E+04;  0.126067E+04;  0.718199E-01;  0.626023E+00; -0.888426E+03;  0.000000E+00; -0.887800E+03
  0.554719E+04;  0.124648E+04;  0.739172E-01;  0.622202E+00; -0.888722E+03;  0.000000E+00; -0.888100E+03
  0.558238E+04;  0.126379E+04;  0.748239E-01;  0.620517E+00; -0.888334E+03;  0.000000E+00; -0.887714E+03
  0.555223E+04;  0.126379E+04;  0.765916E-01;  0.617171E+00; -0.888256E+03;  0.000000E+00; -0.887639E+03
  0.549453E+04;  0.127422E+04;  0.883705E-01;  0.592882E+00; -0.887972E+03;  0.000000E+00; -0.887379E+03
  0.545724E+04;  0.131576E+04;  0.868545E-01;  0.596203E+00; -0.887522E+03;  0.000000E+00; -0.886926E+03
  0.540585E+04;  0.130684E+04;  0.854857E-01;  0.599152E+00; -0.888043E+03;  0.000000E+00; -0.887444E+03
  0.552977E+04;  0.133443E+04;  0.837442E-01;  0.602836E+00; -0.887024E+03;  0.000000E+00; -0.886421E+03
  0.564366E+04;  0.132373E+04;  0.811193E-01;  0.608245E+00; -0.887277E+03;  0.000000E+00; -0.886668E+03
  0.559912E+04;  0.135753E+04;  0.840786E-01;  0.602134E+00; -0.886736E+03;  0.000000E+00; -0.886134E+03
  0.545594E+04;  0.143118E+04;  0.938549E-01;  0.580390E+00; -0.886830E+03;  0.000000E+00; -0.886250E+03
  0.558340E+04;  0.147858E+04;  0.100268E+00;  0.564829E+00; -0.886300E+03;  0.000000E+00; -0.885735E+03
  0.573616E+04;  0.142748E+04;  0.111819E+00;  0.534207E+00; -0.886286E+03;  0.000000E+00; -0.885752E+03
  0.543578E+04;  0.145289E+04;  0.108032E+00;  0.544612E+00; -0.886876E+03;  0.000000E+00; -0.886332E+03
  0.559198E+04;  0.145958E+04;  0.109470E+00;  0.540705E+00; -0.886091E+03;  0.000000E+00; -0.885551E+03
  0.555644E+04;  0.150212E+04;  0.108854E+00;  0.542385E+00; -0.886377E+03;  0.000000E+00; -0.885835E+03
  0.575355E+04;  0.152095E+04;  0.109600E+00;  0.540346E+00; -0.886612E+03;  0.000000E+00; -0.886071E+03
  0.580126E+04;  0.151345E+04;  0.104870E+00;  0.553028E+00; -0.886938E+03;  0.000000E+00; -0.886385E+03
  0.569830E+04;  0.152352E+04;  0.110493E+00;  0.537889E+00; -0.886421E+03;  0.000000E+00; -0.885883E+03
  0.557988E+04;  0.154996E+04;  0.113726E+00;  0.528830E+00; -0.886617E+03;  0.000000E+00; -0.886089E+03
