Q	iVar	cType	cWidth
8369.28	1	0	0
4758.25	1	0	0
2172.87	1	0	0
5594.67	1	0	0
7213.4	1	0	0
7826.85	1	0	0
6505.33	1	0	0
7614.16	1	0	0
5594.67	1	0	0
7473.73	1	0	0
3391.2	1	0	0
6521.83	1	0	0
6195.26	1	0	0
6179.12	1	0	0
7508.73	1	0	0
4888.68	1	0	0
10046.67	1	0	0
8281.15	1	0	0
6706.12	1	0	0
4931.77	1	0	0
5243.76	1	0	0
6180.13	1	0	0
6556.35	1	0	0
5579.43	1	0	0
5672.53	1	0	0
7267.43	1	0	0
5334.42	1	0	0
4714.03	1	0	0
5703.71	1	0	0
7146.78	1	0	0
5379.99	1	0	0
5813.41	1	0	0
9834.81	1	0	0
5023.3	1	0	0
5306.39	1	0	0
7577.42	1	0	0
7683.12	1	0	0
5460.78	1	0	0
5991.55	1	0	0
8228.65	1	0	0
6543.26	1	0	0
8310.74	1	0	0
4633.48	1	0	0
4478	1	0	0
7814.4	1	0	0
6056.2	1	0	0
5073.48	1	0	0
5327.09	1	0	0
4175.71	1	0	0
4760	1	0	0
4995	1	0	0
5510	1	0	0
5598.46	1	0	0
6043.88	1	0	0
5197.29	1	0	0
3955.59	1	0	0
3422.26	1	0	0
8335.34	1	0	0
7606.62	1	0	0
7371.02	1	0	0
6601.95	1	0	0
4612.45	1	0	0
6077.63	1	0	0
7549.69	1	0	0
6622.45	1	0	0
5512.35	1	0	0
4607.3	1	0	0
6692.88	1	0	0
6416.69	1	0	0
6710.08	1	0	0
5308.39	1	0	0
5330.56	1	0	0
5112.26	1	0	0
5696.86	1	0	0
9057.65	1	0	0
9908.78	1	0	0
6766.99	1	0	0
8547.9	1	0	0
7789.08	1	0	0
4436.65	1	0	0
6198.61	1	0	0
7106.35	1	0	0
6824.94	1	0	0
9756.63	1	0	0
11522.57	1	0	0
5752.37	1	0	0
4221.66	1	0	0
5492.02	1	0	0
3997.08	1	0	0
6964.19	1	0	0
6613.5	1	0	0
6208.57	1	0	0
7218	1	0	0
5266.11	1	0	0
7141.92	1	0	0
7497.32	1	0	0
4439.9	1	0	0
8620.44	1	0	0
4599.8	1	0	0
6127.06	1	0	0
7198.97	1	0	0
