Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.000000E+00;  0.690499E+00; -0.948679E+03;  0.000000E+00; -0.947989E+03
  0.597360E+04;  0.101662E+04;  0.303435E-02;  0.690384E+00; -0.939795E+03;  0.000000E+00; -0.939104E+03
  0.597360E+04;  0.101662E+04;  0.351354E-02;  0.690345E+00; -0.939620E+03;  0.000000E+00; -0.938930E+03
  0.586290E+04;  0.103030E+04;  0.634631E-02;  0.689996E+00; -0.926021E+03;  0.000000E+00; -0.925331E+03
  0.581515E+04;  0.104933E+04;  0.467982E-02;  0.690226E+00; -0.919645E+03;  0.000000E+00; -0.918955E+03
  0.574524E+04;  0.105368E+04;  0.962371E-02;  0.689342E+00; -0.914174E+03;  0.000000E+00; -0.913485E+03
  0.574524E+04;  0.105043E+04;  0.774292E-02;  0.689750E+00; -0.914994E+03;  0.000000E+00; -0.914304E+03
  0.569333E+04;  0.104902E+04;  0.123299E-01;  0.688599E+00; -0.912075E+03;  0.000000E+00; -0.911387E+03
  0.561437E+04;  0.104193E+04;  0.166595E-01;  0.687030E+00; -0.909542E+03;  0.000000E+00; -0.908855E+03
  0.557313E+04;  0.107109E+04;  0.158030E-01;  0.687378E+00; -0.905225E+03;  0.000000E+00; -0.904537E+03
  0.547787E+04;  0.107893E+04;  0.142668E-01;  0.687955E+00; -0.902964E+03;  0.000000E+00; -0.902277E+03
  0.548154E+04;  0.109038E+04;  0.158794E-01;  0.687347E+00; -0.901923E+03;  0.000000E+00; -0.901236E+03
  0.554808E+04;  0.111346E+04;  0.150025E-01;  0.687686E+00; -0.901039E+03;  0.000000E+00; -0.900351E+03
  0.550486E+04;  0.112028E+04;  0.186038E-01;  0.686173E+00; -0.899725E+03;  0.000000E+00; -0.899038E+03
  0.543856E+04;  0.111289E+04;  0.174559E-01;  0.686691E+00; -0.899791E+03;  0.000000E+00; -0.899104E+03
  0.536574E+04;  0.110126E+04;  0.171258E-01;  0.686833E+00; -0.900404E+03;  0.000000E+00; -0.899717E+03
  0.541773E+04;  0.113244E+04;  0.154521E-01;  0.687515E+00; -0.898568E+03;  0.000000E+00; -0.897880E+03
  0.546290E+04;  0.112128E+04;  0.189213E-01;  0.686024E+00; -0.899287E+03;  0.000000E+00; -0.898601E+03
  0.543869E+04;  0.112117E+04;  0.195404E-01;  0.685727E+00; -0.899130E+03;  0.000000E+00; -0.898444E+03
  0.547712E+04;  0.112999E+04;  0.220626E-01;  0.684415E+00; -0.898640E+03;  0.000000E+00; -0.897955E+03
  0.544058E+04;  0.113574E+04;  0.216729E-01;  0.684628E+00; -0.898131E+03;  0.000000E+00; -0.897446E+03
  0.531570E+04;  0.112752E+04;  0.182722E-01;  0.686326E+00; -0.898882E+03;  0.000000E+00; -0.898195E+03
