Q	iVar	cType	cWidth
8508.34	1	0	0
4662.98	1	0	0
2184.84	1	0	0
5439.38	1	0	0
7355.21	1	0	0
7924.62	1	0	0
6395.6	1	0	0
7622.07	1	0	0
5711.21	1	0	0
7563.23	1	0	0
3410.26	1	0	0
6689.52	1	0	0
6189.87	1	0	0
6190.51	1	0	0
7488.58	1	0	0
4947.64	1	0	0
10224.6	1	0	0
8513.9	1	0	0
6918.8	1	0	0
5050.63	1	0	0
5281.25	1	0	0
6322.85	1	0	0
6621.31	1	0	0
5502.01	1	0	0
5707.66	1	0	0
7403.05	1	0	0
5332.29	1	0	0
4538.47	1	0	0
5793.62	1	0	0
7290.03	1	0	0
5519.46	1	0	0
5927.7	1	0	0
10041.7	1	0	0
5266.26	1	0	0
5539.42	1	0	0
7780.47	1	0	0
7991.95	1	0	0
5528.37	1	0	0
5932.13	1	0	0
8511.57	1	0	0
6681.08	1	0	0
8431.87	1	0	0
4673.34	1	0	0
4748.89	1	0	0
7953.38	1	0	0
6085.82	1	0	0
5477.46	1	0	0
5350.7	1	0	0
4242.71	1	0	0
4344.96	1	0	0
4438.86	1	0	0
5239.41	1	0	0
5460.73	1	0	0
5914.25	1	0	0
4989.13	1	0	0
3824.04	1	0	0
3486.73	1	0	0
8399.45	1	0	0
7540.6	1	0	0
7477.17	1	0	0
6512.58	1	0	0
4591.96	1	0	0
6003.91	1	0	0
7639.03	1	0	0
6832.89	1	0	0
5586.53	1	0	0
4437.76	1	0	0
6779.68	1	0	0
6684.97	1	0	0
6666.55	1	0	0
5466.87	1	0	0
5448.06	1	0	0
5265.97	1	0	0
5790.47	1	0	0
9131.92	1	0	0
9758.38	1	0	0
6850.97	1	0	0
8672.79	1	0	0
7806.62	1	0	0
4510.04	1	0	0
6168.72	1	0	0
7022.72	1	0	0
6770.2	1	0	0
9739.65	1	0	0
11630.9	1	0	0
5741.31	1	0	0
4233.81	1	0	0
5418.93	1	0	0
3976.72	1	0	0
6848.07	1	0	0
6530.64	1	0	0
6218.54	1	0	0
7422.73	1	0	0
5372.66	1	0	0
7236.63	1	0	0
7621.91	1	0	0
4209.84	1	0	0
8392.04	1	0	0
4758.24	1	0	0
5965.5	1	0	0
7310.24	1	0	0
