"Y" "Date" "Hmes" "Hinf" "Hsup" "Hmed"
1816 1816-08-02 5.25 5.31 7.11 5.69
1817 1817-01-21 4.17 4.25 5.88 4.56
1818 1818-04-27 4.33 4.39 6.11 4.72
1819 1819-11-18 4.67 4.74 6.39 5.08
1820 1820-01-19 4.67 4.74 6.71 5.12
1821 1821-12-26 5 5.06 6.62 5.4
1822 1822-12-04 3.08 3.15 4.8 3.48
1823 1823-02-03 5.08 5.15 6.61 5.49
1824 1824-11-25 5.17 5.24 6.87 5.61
1825 1825-11-15 5.86 5.92 7.73 6.26
1826 1826-12-17 4.25 4.32 5.92 4.66
1827 1827-10-11 6.17 6.24 8.19 6.53
1828 1828-04-21 3.58 3.63 5.28 3.97
1829 1829-12-03 5.31 5.39 7.17 5.73
1830 1830-11-12 4.74 4.81 6.47 5.15
1831 1831-03-03 3.82 3.87 5.69 4.24
1832 1832-10-07 3.08 3.16 4.86 3.48
1833 1833-02-06 3.82 3.9 5.63 4.29
1834 1834-08-31 5 5.07 6.86 5.38
1835 1835-10-13 3.85 3.9 5.57 4.24
1836 1836-10-09 6 6.06 7.98 6.39
1837 1837-03-14 3.35 3.42 5.31 3.75
1838 1838-03-23 4.15 4.21 5.87 4.57
1839 1839-10-08 5.47 5.53 7.1 5.86
1840 1840-11-03 8.75 7.79 9.68 8.74
1841 1841-10-27 6.9 5.95 7.84 6.95
1842 1842-09-28 5.9 5.65 5.86 5.75
1843 1843-11-03 6.8 6.56 6.76 6.66
1844 1844-10-25 5.38 5.13 5.34 5.24
1845 1845-11-13 5.05 4.81 5.01 4.9
1846 1846-10-19 6.42 6.17 6.36 6.28
1847 1847-04-16 5.58 5.34 5.53 5.44
1848 1848-04-21 5.85 5.6 5.8 5.7
1849 1849-11-28 4.85 4.64 5.12 4.78
1850 1850-11-28 3.8 3.59 4.07 3.73
1851 1851-02-04 4.8 4.6 5.04 4.75
1852 1852-08-13 5.26 5.01 5.22 5.11
1853 1853-10-30 5.73 5.49 5.68 5.59
1854 1854-06-03 4.5 4.31 4.83 4.45
1855 1855-10-21 5.85 5.6 5.8 5.7
1856 1856-05-31 8.77 8.36 9.15 8.78
1857 1857-11-26 4.9 4.69 5.17 4.85
1858 1858-03-04 4.6 4.38 4.93 4.54
1859 1859-11-05 5.02 4.76 4.97 4.87
1860 1860-12-10 4.76 4.56 5.12 4.71
1861 1861-01-03 4.2 4 4.47 4.14
1862 1862-12-03 4.78 4.59 5.07 4.72
1863 1863-01-08 5.7 5.45 5.67 5.55
1864 1864-10-28 6.12 6.05 6.25 6.15
1865 1865-12-05 5.08 5.02 5.2 5.11
1866 1866-03-20 4.8 4.78 5.29 4.92
1867 1867-03-29 4.75 4.74 5.23 4.87
1868 1868-10-04 5.46 5.4 5.58 5.49
1869 1869-01-02 3.8 3.78 4.26 3.92
1870 1870-11-23 4.74 4.72 5.18 4.85
1871 1871-11-09 3.7 3.68 4.14 3.82
1872 1872-10-21 6.83 6.77 6.96 6.86
1873 1873-03-19 5.7 5.63 5.85 5.73
1874 1874-12-04 3.73 3.7 4.16 3.84
1875 1875-11-13 4.32 4.31 4.75 4.44
1876 1876-03-16 4.63 4.61 5.06 4.75
1877 1877-06-03 5.44 5.37 5.58 5.47
1878 1878-11-29 4.97 4.94 5.45 5.08
1879 1879-04-16 5.42 5.35 5.55 5.45
1880 1880-11-10 3.98 3.96 4.46 4.1
1881 1881-04-19 3.46 3.41 3.86 3.58
1882 1882-10-29 6.6 6.53 6.73 6.63
1883 1883-01-01 5.19 5.13 5.32 5.22
1884 1884-06-04 3.39 3.37 3.83 3.51
1885 1885-11-23 5.02 4.95 5.15 5.05
1886 1886-10-28 7.48 7.42 7.62 7.52
1887 1887-12-14 4.57 4.56 5.03 4.7
1888 1888-12-31 6.41 6.37 6.57 6.47
1889 1889-01-01 6.81 6.78 6.97 6.88
1890 1890-09-23 5.95 5.92 6.11 6.01
1891 1891-10-23 6.28 6.24 6.45 6.34
1892 1892-02-23 5.11 5.06 5.28 5.17
1893 1893-10-08 4.21 4.21 4.73 4.37
1894 1894-11-18 4.15 4.15 4.68 4.3
1895 1895-01-17 4.75 4.77 5.2 4.9
1896 1896-11-02 7 6.96 7.17 7.06
1897 1897-02-07 4.95 4.96 5.43 5.1
1898 1898-11-26 5.06 5.02 5.24 5.13
1899 1899-01-19 5.08 5.05 5.25 5.15
1900 1900-09-30 7.08 7.04 7.24 7.14
1901 1901-03-20 5.56 5.52 5.72 5.62
1902 1902-04-03 5.4 5.37 5.56 5.47
1903 1903-10-30 5.47 5.43 5.63 5.53
1904 1904-02-21 4.68 4.69 5.16 4.83
1905 1905-11-21 4.25 4.25 4.71 4.4
1906 1906-11-08 5.28 5.24 5.44 5.34
1907 1907-11-10 6.83 6.8 6.99 6.9
1908 1908-01-01 3.89 3.9 4.41 4.05
1909 1909-11-12 4.24 4.25 4.75 4.39
1910 1910-12-08 7.02 6.98 7.18 7.08
1911 1911-11-25 4.25 4.25 4.73 4.4
1912 1912-02-10 4.62 4.44 4.99 4.57
1913 1913-05-18 5.63 5.39 5.59 5.49
1914 1914-11-04 6.34 6.11 6.31 6.21
1915 1915-06-25 4.98 4.78 5.33 4.93
1916 1916-03-17 5.3 5.07 5.27 5.17
1917 1917-05-21 6.56 6.33 6.54 6.43
1918 1918-05-07 5.48 5.24 5.45 5.35
1919 1919-01-06 6.8 6.57 6.77 6.67
1920 1920-01-03 4.52 4.32 4.82 4.47
1921 1921-05-25 2.4 2.21 2.68 2.36
1922 1922-04-15 5.16 4.93 5.12 5.03
1923 1923-12-02 6.15 5.91 6.11 6.02
1924 1924-10-06 6.5 6.27 6.46 6.37
1925 1925-02-16 5.73 5.5 5.69 5.6
1926 1926-12-01 6.38 6.15 6.35 6.25
1927 1927-03-14 5.16 4.93 5.13 5.03
1928 1928-10-29 6.3 6.07 6.27 6.17
1929 1929-12-28 3.5 3.32 3.82 3.45
1930 1930-05-08 5.74 5.51 5.71 5.61
1931 1931-03-11 5.54 5.31 5.5 5.41
1932 1932-05-09 5.53 5.3 5.49 5.4
1933 1933-11-20 6.32 6.09 6.28 6.19
1934 1934-05-01 4.6 4.4 4.91 4.56
1935 1935-11-13 7.68 7.45 7.64 7.55
1936 1936-01-02 6.82 6.67 6.85 6.76
1937 1937-03-24 5.92 5.76 5.96 5.86
1938 1938-12-12 4.7 4.57 5.03 4.73
1939 1939-11-06 5 4.83 5.03 4.94
1940 1940-11-18 5.6 5.44 5.64 5.54
1941 1941-06-12 5.84 5.67 5.87 5.77
1942 1942-11-01 5.22 5.06 5.26 5.16
1943 1943-10-26 5.28 5.11 5.31 5.22
1944 1944-11-29 6.25 6.1 6.29 6.19
1945 1945-02-16 5.06 4.89 5.1 5
1946 1946-09-07 4.55 4.41 4.91 4.58
1947 1947-03-08 5.3 5.13 5.34 5.24
1948 1948-01-29 6.18 6.01 6.22 6.12
1949 1949-11-22 5.1 4.95 5.13 5.03
1950 1950-11-21 5.37 5.21 5.41 5.31
1951 1951-11-22 7.64 7.47 7.68 7.58
1952 1952-12-01 4.82 4.7 5.19 4.85
1953 1953-10-15 5.1 4.94 5.14 5.04
1954 1954-12-11 6.49 6.33 6.53 6.43
1955 1955-01-22 6.55 6.39 6.59 6.49
1956 1956-03-22 5.3 5.14 5.33 5.24
1957 1957-03-01 5.64 5.48 5.69 5.58
1958 1958-12-22 6.95 6.78 6.99 6.89
1959 1959-12-11 5.98 5.82 6.02 5.92
1960 1960-10-08 6.9 6.85 7.04 6.93
1961 1961-12-13 4.55 4.54 5.03 4.68
1962 1962-03-07 4.45 4.43 4.91 4.57
1963 1963-11-07 6.62 6.56 6.75 6.66
1964 1964-03-27 5.55 5.5 5.69 5.59
1965 1965-12-09 4.83 4.83 5.27 4.95
1966 1966-02-22 5.08 5.03 5.22 5.12
1967 1967-03-10 4.52 4.51 4.95 4.64
