"Y" "Date" "Hmes" "Hinf" "Hsup" "Hmed"
1971 1971-03-22 7.858 7.729 7.98 7.86
1972 1972-02-19 8.275 8.147 8.397 8.26
1973 1973-12-25 7.475 7.341 7.592 7.48
1974 1974-02-14 6.23 6.115 6.349 6.23
1975 1975-09-16 5.655 5.541 5.779 5.65
1976 1976-11-11 9.41 9.291 9.531 9.41
1977 1977-10-24 8.87 8.745 8.995 8.87
1978 1978-02-27 8.685 8.559 8.804 8.68
1979 1979-10-28 8.04 7.924 8.156 8.04
1980 1980-02-06 6.188 6.068 6.314 6.19
1981 1981-12-19 7.575 7.451 7.7 7.57
1982 1982-11-09 8.83 8.712 8.946 8.82
1983 1983-05-17 8.055 7.936 8.169 8.05
1984 1984-12-02 7.06 6.931 7.169 7.06
1985 1985-05-12 6.18 6.07 6.303 6.18
1986 1986-04-09 8.12 8.001 8.236 8.11
1987 1987-10-30 7.878 7.746 7.995 7.87
1988 1988-10-12 8.125 7.995 8.247 8.13
1989 1989-04-27 6.86 6.749 6.98 6.86
1990 1990-02-18 6.885 6.778 6.991 6.88
1991 1991-03-10 6.679 6.556 6.781 6.68
1992 1992-11-23 7.223 7.096 7.343 7.23
1993 1993-10-10 9.904 9.788 10.027 9.91
1994 1994-01-08 10.469 10.332 10.595 10.47
1995 1995-10-06 8.062 7.943 8.186 8.06
1996 1996-11-13 9.454 9.345 9.579 9.45
1997 1997-12-19 8.897 8.788 9.01 8.9
1998 1998-05-28 5.891 5.779 6.007 5.89
1999 1999-10-21 7.561 7.439 7.675 7.56
2000 2000-11-24 8.35 8.225 8.472 8.35
2001 2001-03-23 8.114 8.006 8.232 8.11
2002 2002-09-10 10.268 10.15 10.385 10.27
2003 2003-12-03 11.349 11.216 11.478 11.35
2004 2004-10-29 7.421 7.307 7.532 7.42
2005 2005-04-20 5.602 5.477 5.703 5.6
2006 2006-11-18 6.741 6.621 6.866 6.74
2007 2007-11-23 5.261 5.148 5.38 5.26
2008 2008-11-02 8.271 8.154 8.411 8.27
2009 2009-02-07 7.972 7.844 8.086 7.97
2010 2010-12-24 7.418 7.289 7.526 7.42
2011 2011-11-06 8.294 8.178 8.409 8.29
2012 2012-11-12 6.555 6.433 6.674 6.55
2013 2013-05-19 8.225 8.103 8.346 8.23
2014 2014-11-15 8.527 8.409 8.638 8.53
2015 2015-05-05 5.743 5.614 5.864 5.74
2016 2016-11-23 9.373 9.25 9.484 9.37
2017 2017-10-23 5.911 5.803 6.028 5.91
2018 2018-01-27 7.345 7.228 7.469 7.35
2019 2019-12-21 8.284 8.156 8.401 8.28
2020 2020-03-07 5.67 5.545 5.793 5.67
