"b1_5"     "a1"     "c1"     "b2_5"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_5"     "k2_5"     "ktype1_5"     "ktype2_5"
-2.69383     114.86     1.67288     0.837615     169.58     1.65452     1.24818     0.00227433     -1364.82     -2.58582     0.82599     0     0
-2.68108     114.86     1.68089     0.826198     187.781     1.65433     3.28094     0.00135175     -1361.75     -2.70237     1.08355     0     0
-2.63729     114.536     1.69948     1.03697     153.036     1.65119     6.15653     0.000436665     -1369.43     -2.49485     1.10699     0     0
-2.63229     114.771     1.70434     0.827361     159.113     1.65119     4.16271     0.00037055     -1369.08     -2.39257     1.16226     0     0
-2.63229     114.482     1.70434     0.827816     162.29     1.70022     1.63896     0.00194133     -1370.38     -2.63669     0.876394     0     0
-2.71209     115.144     1.7151     0.949764     146.774     1.70022     2.37007     0.00225335     -1372.23     -2.60109     1.05835     0     0
-2.61478     115.348     1.70494     0.700949     149.288     1.68473     1.16721     0.00225335     -1367.07     -2.41931     0.719238     0     0
-2.65654     116.29     1.68756     0.752696     153.417     1.68473     2.9901     0.00547038     -1368.02     -2.53732     0.844656     0     0
-2.58519     118.308     1.68843     1.08025     155.581     1.67963     7.69583     0.00127736     -1364.42     -2.46802     1.0921     0     0
-2.58519     118.308     1.69247     0.930889     169.1     1.67499     14.3252     0.00141794     -1369.32     -2.55209     0.858324     0     0
-2.57882     118.554     1.68937     0.661596     156.344     1.63953     2.59268     0.000571159     -1370.98     -2.60682     0.87516     0     0
-2.60627     118.053     1.68884     1.00459     157.196     1.7103     2.59268     0.0039139     -1369.57     -2.84572     0.959444     0     0
-2.67029     118.38     1.6873     0.649498     161.361     1.7016     1.00456     0.0100854     -1370.2     -2.76526     0.78865     0     0
-2.5292     118.053     1.69476     0.527258     173.282     1.62627     1.00456     0.00544629     -1366.1     -2.45903     0.908578     0     0
-2.67712     116.736     1.70339     0.813554     173.899     1.61834     7.06446     0.00429676     -1369     -2.62363     0.689447     0     0
-2.59655     117.852     1.70035     1.03494     185.642     1.62995     4.19917     0.00134241     -1366.87     -2.73814     0.984159     0     0
-2.66639     117.852     1.69655     0.750308     183.274     1.62241     1.50188     0.00338196     -1367.07     -2.4737     0.853271     0     0
-2.62303     118.353     1.69655     1.09607     172.163     1.60385     1.8468     0.00770228     -1369.36     -2.49576     1.21631     0     0
-2.66397     117.04     1.69322     1.14183     175.731     1.65658     5.92672     0.00127919     -1370.43     -2.32169     1.52254     0     0
-2.5864     117.021     1.69326     1.36809     192.965     1.65658     6.26134     0.0046982     -1373.92     -2.62026     1.38998     0     0
-2.64006     117.254     1.69276     0.980029     183.393     1.62495     2.53645     0.00771019     -1366.08     -2.49965     1.36928     0     0
-2.59803     117.433     1.68445     1.18478     184.639     1.62495     0.85743     0.00593011     -1367.88     -2.42277     1.39491     0     0
-2.62027     118.561     1.67329     1.11495     186.615     1.68562     0.85743     0.00489454     -1369.16     -2.54324     0.797006     0     0
-2.62646     118.752     1.66788     1.16832     174.953     1.64772     2.11996     0.00016869     -1377.15     -2.73389     1.27993     0     0
-2.60541     120.049     1.66637     1.01908     179.172     1.66466     3.20929     0.00547814     -1372.18     -2.75731     1.31076     0     0
-2.69743     120.102     1.65586     0.66877     182.901     1.64118     3.17074     0.00236629     -1365.98     -2.69602     0.958741     0     0
-2.63732     121.362     1.65784     0.729741     182.12     1.67857     1.82065     0.00606029     -1372.96     -2.70582     1.23743     0     0
-2.62439     121.597     1.64902     0.601041     183.452     1.64287     0.739352     0.00705901     -1365.16     -2.52683     0.666786     0     0
-2.69751     120.453     1.65755     0.918305     176.752     1.65358     1.3408     0.00214333     -1365.84     -2.82273     0.835204     0     0
-2.69751     118.691     1.65988     0.664584     176.752     1.64358     8.6573     0.00170534     -1363.17     -2.74395     0.801442     0     0
-2.62786     121.911     1.64659     0.705406     167.37     1.70628     4.25843     0.00467066     -1370.93     -2.60593     0.625806     0     0
-2.6404     122.234     1.64381     0.492896     168.738     1.69297     0.616379     0.00183009     -1370.65     -2.4991     0.884004     0     0
-2.68348     123.296     1.64083     0.641933     171.627     1.69297     0.914908     0.0100434     -1372.34     -2.74512     0.840268     0     0
-2.74631     122.607     1.63972     0.747212     188.71     1.63667     0.253554     0.000152264     -1370.22     -2.65957     1.06556     0     0
-2.67715     122.607     1.64473     0.703798     177.945     1.6426     1.69638     0.00128466     -1362.26     -2.5614     1.04224     0     0
-2.62763     122.279     1.64447     0.861624     181.088     1.6581     1.50598     0.00225755     -1370.6     -2.45931     0.926946     0     0
-2.65831     122.279     1.65415     0.96933     189.74     1.62656     2.6143     0.00383162     -1363.87     -2.56536     1.05131     0     0
-2.65831     120.32     1.6597     0.849474     188.844     1.63633     2.63628     0.00256804     -1364.13     -2.18233     1.27389     0     0
-2.63652     122.249     1.64978     0.849474     179.5     1.69588     0.301147     0.00342349     -1366.97     -2.55352     0.811423     0     0
-2.59107     121.392     1.6608     0.694775     188.71     1.65076     1.56853     0.00245542     -1366.52     -2.57969     0.556644     0     0
-2.6182     120.491     1.66159     0.794441     159.948     1.69002     0.162704     0.000952744     -1368.8     -2.60693     0.885572     0     0
-2.6182     120.297     1.64381     0.510585     170.903     1.66705     1.82931     0.00335247     -1372.49     -2.72965     0.532077     0     0
-2.55934     121.07     1.64942     0.358864     182.748     1.62195     7.04124     0.00315328     -1374.47     -2.48872     0.388966     0     0
-2.59602     120.259     1.65123     0.341594     156.512     1.67401     0.161449     0.00171792     -1371.56     -2.40062     0.790724     0     0
-2.51931     120.625     1.65551     0.429586     168.656     1.66511     10.2757     0.00046957     -1373.55     -2.71276     0.423973     0     0
-2.77864     119.992     1.65586     0.627243     168.656     1.66511     3.09182     0.00046957     -1367.07     -2.3472     1.09344     0     0
-2.73978     120.699     1.64498     0.678526     186.291     1.66511     13.0079     0.00207049     -1372.39     -2.49099     0.887015     0     0
-2.68652     122.187     1.64498     0.858807     181.963     1.66881     1.0848     0.00207049     -1368.97     -2.75244     0.998089     0     0
