"an" "mp" "mp2.5" "mp97.5" "param2.5" "param97.5" "tot2.5" "tot97.5"
1816 7248.83 6656.93 9708.37 5630.88 9534.76 5614.51 9526.28
1817 5447.07 4969.51 7879.85 4071.64 7561.91 4068.04 7586.82
1818 5638.82 5205.88 7863.84 4292.35 7920.67 4292.68 7893.71
1819 6255.5 5724.1 8681.05 4728.55 8652.5 4734.34 8666.58
1820 6150.8 5724.1 8553.29 4691.42 8278.4 4680.59 8258.51
1821 6698.5 6238.93 9344.38 5272.86 9153.32 5271.47 9141.74
1822 3901.26 3492.28 6008.71 2762.39 5781.69 2762.68 5777.04
1823 6907.97 6393.55 9438.4 5404.74 9112.87 5392.76 9106.36
1824 6975.58 6524.67 9708.37 5466.38 9291.51 5460.73 9201.53
1825 8312.82 7702.33 9708.37 6616.58 10035.56 6611.68 10028.02
1826 5531.08 5094.11 7628.11 4221.65 7811.53 4211.73 7743.4
1827 8867.66 8266.82 9708.37 7072.08 10312.75 7088.99 10312.15
1828 4539.5 4140.5 6841.48 3302.78 6671.95 3311.39 6684.21
1829 7248.83 6756.87 9699.13 5645.93 9455.91 5646.41 9445.87
1830 6312.18 5833.45 8579.58 4900.08 8592.81 4894.95 8603.99
1831 4874.87 4469.52 6625.45 3612.14 6705.17 3604.43 6706.24
1832 3848.99 3492.28 6089.23 2682.86 5952.65 2687.43 5957.98
1833 4940.3 4469.52 7163.83 3607.42 6872.32 3610.45 6868.07
1834 6807.08 6247.41 8924.92 5288.87 8961.21 5272.12 8994.17
1835 4896.64 4511.45 6950.62 3579.96 6742.65 3579.87 6731.36
1836 8496.1 7969.25 9708.37 6800.22 10102.48 6793.31 10101.96
1837 4248.91 3835.97 6087.55 3103.35 5960.71 3087.4 5923.6
1838 5386.32 4940.3 7711.61 4025.96 7648.98 4030.01 7651.38
1839 7561.56 7026.48 9708.37 5905.39 9572.34 5888.61 9583.8
1840 12664.93 10647.5 14719.73 10811.06 15005.43 10779.11 15044.24
1841 8917.37 7238.44 10568.62 7204.07 10793.82 7218.67 10806.8
1842 7144.23 7007.5 7702.21 6724.95 7993.1 6728.8 8006.3
1843 8757.92 8608.95 9336.05 8265.76 9667.99 8260.86 9653.13
1844 6275.62 6146.24 6888.78 5879.49 7142.39 5887.08 7139.7
1845 5733.77 5624.82 6203.11 5422.78 6469.1 5407.88 6484.71
1846 8059.84 7915.97 8701.93 7639.04 9041.73 7643.8 9031.65
1847 6620.66 6471.82 7161.4 6256.93 7430.85 6237.51 7411.41
1848 7041.58 6922.62 7666.82 6647.65 7940.56 6633.38 7954.62
1849 5440.15 5318.52 6058.37 5102.64 6273.96 5097.98 6280.1
1850 3953.98 3835.31 4382.38 3699.33 4621.63 3718.66 4631.71
1851 5348.82 5243.11 5851.89 5052.87 5989.23 5050.31 6005.68
1852 6065.97 5954.35 6570.89 5736.78 6896.34 5717.95 6868.83
1853 6871.9 6720.68 7455.92 6449.98 7763.73 6473.07 7744
1854 4916.86 4800.49 5409.63 4587.67 5648.23 4602.41 5630.36
1855 7058.65 6922.62 7676.1 6717.84 8007.34 6712.77 7993.32
1856 12664.93 11869.34 13569.8 11614.65 14031.53 11633.2 14026.97
1857 4886.41 4783.92 5413.41 4499.75 5411.96 4495.87 5411.46
1858 4453.71 4355.22 4997.63 4083.39 5007.6 4084.32 5002.62
1859 5079.2 4960.19 5629.46 4656.29 5693.79 4653.2 5694.24
1860 4696.8 4581.72 5207.34 4286.2 5160.96 4284.71 5163.52
1861 3903.8 3810.81 4251.11 3553.41 4265.75 3552 4268.88
1862 4725.77 4610.38 5320.81 4310.93 5283.62 4307.02 5301.36
1863 6138.42 6009.45 6648.94 5657.7 6662.9 5639.86 6655.85
1864 6817.23 6682.46 7384.94 6294.24 7400.89 6292.4 7391.43
1865 5154.19 5034.43 5606.44 4750.26 5664.98 4736.09 5684.78
1866 4725.77 4624.73 5154.19 4327.58 5211.02 4318.76 5202.8
1867 4653.5 4553.14 5177.16 4261.06 5178.75 4258.92 5183.9
1868 5707.76 5613.85 6122.24 5282.5 6239.84 5282.96 6262.48
1869 3373.17 3286 3810.81 3045.83 3849.41 3040.59 3856.93
1870 4624.73 4538.88 5132.03 4241.84 5131.25 4244.39 5129.4
1871 3248.95 3163.24 3725.66 2948.67 3765.22 2938.81 3772.46
1872 8061.77 7917.24 8726.33 7449.66 8796.94 7455.67 8815.48
1873 6106.07 5993.41 6648.94 5639.88 6651.78 5644.97 6667.18
1874 3286 3199.85 3751.87 2970.14 3797.83 2973.95 3799.85
1875 4045.12 3957.38 4532.11 3691.55 4487.68 3685.4 4481.86
1876 4482.02 4383.27 4953.92 4101.85 4995.38 4098.57 4977.9
1877 5692.06 5582.69 6235.9 5266.58 6272.66 5251.86 6263.95
1878 4975 4871.71 5428 4560.35 5516.34 4541.08 5508.97
1879 5660.72 5551.61 6170.84 5208.22 6248.73 5203.69 6271.9
1880 3601.94 3512.19 4024.79 3272.41 4065.13 3266.12 4062.22
1881 2959.37 2877.21 3354.72 2663.78 3385.81 2661.78 3374.29
1882 7631.44 7507.77 8180.45 7090.13 8275.94 7096.64 8292.49
1883 5305.57 5199.41 5786.52 4871.93 5808.88 4876.31 5833.1
1884 2894.73 2796.1 3243.11 2579.09 3265.25 2580.44 3266.14
1885 5049.33 4945.39 5466.89 4628.09 5517.2 4624.9 5524.97
1886 9275.56 9122.41 9968.19 8645.11 10032.83 8610.79 10030.87
1887 5214.62 5110.18 5681.55 4916.97 5667.48 4920.04 5677.14
1888 8515.77 8386.95 9155 8044.72 9176.13 8049.17 9189.85
1889 9286.64 9134.05 9908.45 8774.69 9911.18 8782.01 9919.37
1890 7719.75 7560.98 8258.95 7286.9 8297.42 7265.47 8275.17
1891 8295.44 8149.89 8908.08 7842.85 8893.77 7835.44 8899.52
1892 6260.13 6147.08 6813.73 5915.06 6748.56 5912.72 6736.35
1893 4889.48 4773.53 5381.37 4593.31 5388.83 4586.2 5396.39
1894 4802.4 4687.37 5274.72 4512.81 5297.8 4509.72 5293.21
1895 5579.66 5426.26 5719.3 5255.01 5811.68 5256.78 5826.18
1896 9498.17 9305.79 9692.18 9002.41 9908.25 8991.71 9931.66
1897 6018.95 5891.98 6638.62 5675.39 6569.11 5671.13 6578.01
1898 6195.42 6066.86 6780.14 5843.82 6700.37 5825.02 6693.71
1899 6227.74 6098.89 6855.38 5872.72 6819.22 5865.08 6820.95
1900 9809.36 9653.25 10474.85 9249.52 10510.42 9254.75 10522.38
1901 7007.76 6889.12 7508.36 6628.84 7570.78 6614.7 7577.39
1902 6754.58 6621.16 7291.23 6373.21 7302.41 6365.39 7302.92
1903 6872.24 6737.84 7465.07 6481.19 7435.52 6464.03 7475.76
1904 5595.1 5472.09 6147.08 5263.42 6122.69 5259.96 6107.53
1905 4947.92 4831.35 5449.54 4653.57 5436.38 4645.36 5431.73
1906 6538.35 6423.17 7145.27 6172.19 7155.06 6173.41 7144.82
1907 9324.95 9172.1 9946.82 8804.62 10036.48 8803.42 10040.51
1908 4433.05 4322.04 4897.13 4163.98 4862.59 4162.24 4869.06
1909 4933.28 4816.87 5464.82 4631.55 5430.26 4623.71 5419.5
1910 9692.18 9536.84 10274.45 9157.73 10400.58 9130.7 10400.79
1911 4672.15 4558.43 5102.45 4326.81 5132.2 4317.94 5131.45
1912 5065 4947.15 5532.98 4719.22 5525.37 4701.1 5521.38
1913 6654.45 6538.34 7161.8 6234.78 7122.41 6227.91 7119.26
1914 7880.41 7737.93 8479.59 7377.43 8515.88 7362.51 8536.54
1915 5610.13 5486.91 6091.08 5251.78 6049.19 5256.4 6036.64
1916 6114.74 6002.77 6596.7 5706.71 6599 5703.2 6590.53
1917 8296.08 8150.49 8870.38 7804.47 8912.06 7792.17 8914.79
1918 6406.72 6292.48 6965.88 5987.61 6937.63 5976.38 6946.13
1919 8720.64 8590.49 9325.93 8192.69 9333.02 8191.64 9346.21
1920 4917.88 4801.55 5425.74 4586.34 5376.56 4570.59 5368.5
1921 2273.37 2202.76 2644.14 2055.69 2599.51 2053.36 2602.41
1922 5891.68 5765.82 6439.52 5512.16 6374.28 5518.34 6378.21
1923 7543.8 7403.93 8150.49 7067.36 8142.76 7062.12 8139.63
1924 8186.79 8023.98 8739.3 7629.92 8767.57 7631.6 8755.16
