"h" "inf" "sup" "maxpost" "period"
"1" -3 0 53.07 0 1
"2" -2.99 0 53.67 0 1
"3" -2.98 0 58.43 0 1
"4" -2.97 0 59.85 0 1
"5" -2.96 0 60.78 0 1
"6" -2.95 0 64.69 0 1
"7" -2.94 0 68.4 0 1
"8" -2.93 0 69.57 0 1
"9" -2.92 0 73.66 0 1
"10" -2.91 0 76.72 0 1
"11" -2.9 0 80.46 0 1
"12" -2.89 0 83.32 0 1
"13" -2.88 0 85.21 0 1
"14" -2.87 0 88.39 0 1
"15" -2.86 0 90.17 0 1
"16" -2.85 0 92.51 0 1
"17" -2.84 0 95.03 0 1
"18" -2.83 0 97.64 0 1
"19" -2.82 0 101.26 0 1
"20" -2.81 0 103.31 0 1
"21" -2.8 0 106.97 0 1
"22" -2.79 0 109.63 0 1
"23" -2.78 0 110.85 0 1
"24" -2.77 0 114.66 0 1
"25" -2.76 0 116.24 0 1
"26" -2.75 0 118.45 0 1
"27" -2.74 0 122.35 0 1
"28" -2.73 0 124.51 0 1
"29" -2.72 0 126.31 0 1
"30" -2.71 0 127.99 0 1
"31" -2.7 0 131.31 0 1
"32" -2.69 0 135.33 0 1
"33" -2.68 0 136.07 0 1
"34" -2.67 0 138.37 0 1
"35" -2.66 0 140.74 0 1
"36" -2.65 0 142.78 0 1
"37" -2.64 0 145.92 0 1
"38" -2.63 0 145.43 33.31 1
"39" -2.62 0 145.99 34.53 1
"40" -2.61 0 150.79 35.78 1
"41" -2.6 0 152.64 37.04 1
"42" -2.59 0 156.48 38.32 1
"43" -2.58 0 156.09 39.62 1
"44" -2.57 0 162.31 40.93 1
"45" -2.56 0 161.7 42.27 1
"46" -2.55 0 163.7 43.61 1
"47" -2.54 0 167.19 44.98 1
"48" -2.53 0 169.05 46.36 1
"49" -2.52 0 169.54 47.76 1
"50" -2.51 0 171.76 49.18 1
"51" -2.5 0 176.23 50.62 1
"52" -2.49 0 178.41 52.07 1
"53" -2.48 0 177.66 53.53 1
"54" -2.47 0 181.04 55.02 1
"55" -2.46 0 181.34 56.52 1
"56" -2.45 0 185.15 58.03 1
"57" -2.44 0 186.99 59.56 1
"58" -2.43 0 190.29 61.11 1
"59" -2.42 0 191.3 62.68 1
"60" -2.41 0 191.97 64.26 1
"61" -2.4 0 194.08 65.85 1
"62" -2.39 0 196.16 67.46 1
"63" -2.38 0 200.08 69.09 1
"64" -2.37 0 202.49 70.73 1
"65" -2.36 0 203.64 72.39 1
"66" -2.35 0 208.67 74.07 1
"67" -2.34 0 210.42 75.76 1
"68" -2.33 0 212.72 77.46 1
"69" -2.32 0.06 214.67 79.18 1
"70" -2.31 0 215.56 80.91 1
"71" -2.3 0.2 218.13 82.67 1
"72" -2.29 0.12 222.56 84.43 1
"73" -2.28 0.02 224.05 86.21 1
"74" -2.27 0.73 226.71 88.01 1
"75" -2.26 0.17 226.6 89.82 1
"76" -2.25 0.42 232.68 91.64 1
"77" -2.24 0.56 235.18 93.48 1
"78" -2.23 1.19 237.4 95.34 1
"79" -2.22 0.71 239.27 97.21 1
"80" -2.21 0.99 242.15 99.09 1
"81" -2.2 0.76 243.94 100.99 1
"82" -2.19 0.88 245.5 102.9 1
"83" -2.18 0.88 246.33 104.83 1
"84" -2.17 0.16 253.03 106.77 1
"85" -2.16 1.08 254.65 108.73 1
"86" -2.15 1.16 256.51 110.7 1
"87" -2.14 1.42 259.68 112.68 1
"88" -2.13 0.69 262.59 114.68 1
"89" -2.12 1.12 264.83 116.69 1
"90" -2.11 1.54 264.17 118.72 1
"91" -2.1 0.95 265.84 120.76 1
"92" -2.09 0.86 271.94 122.82 1
"93" -2.08 1.61 276.55 124.89 1
"94" -2.07 2.04 279.25 126.97 1
"95" -2.06 1.83 281.53 129.07 1
"96" -2.05 2.43 283.67 131.18 1
"97" -2.04 2.69 286.09 133.3 1
"98" -2.03 2.24 290.53 135.44 1
"99" -2.02 3.18 289.02 137.6 1
"100" -2.01 3.28 293.17 139.76 1
"101" -2 3.63 296.32 141.94 1
"102" -1.99 3.87 295.64 144.13 1
"103" -1.98 4.05 301.72 146.34 1
"104" -1.97 3.67 305.48 148.56 1
"105" -1.96 4.57 308.18 150.8 1
"106" -1.95 4.69 309.26 153.04 1
"107" -1.94 4.67 308.47 155.3 1
"108" -1.93 4.77 315.34 157.58 1
"109" -1.92 4.54 319.49 159.86 1
"110" -1.91 4.66 318.73 162.16 1
"111" -1.9 5.33 323.82 164.48 1
"112" -1.89 5.79 329.31 166.81 1
"113" -1.88 6.56 329.68 169.15 1
"114" -1.87 7.65 332.33 171.5 1
"115" -1.86 6.71 334.9 173.87 1
"116" -1.85 8.36 341.48 176.25 1
"117" -1.84 8.18 343.31 178.64 1
"118" -1.83 8.99 345.67 181.04 1
"119" -1.82 8.99 346.95 183.46 1
"120" -1.81 10.33 351.1 185.89 1
"121" -1.8 10.78 356.24 188.34 1
"122" -1.79 11.1 357.36 190.8 1
"123" -1.78 11.52 359.44 193.27 1
"124" -1.77 11.86 365.92 195.75 1
"125" -1.76 12.89 366.29 198.24 1
"126" -1.75 13.81 368.7 200.75 1
"127" -1.74 13.55 371.51 203.27 1
"128" -1.73 15.08 376.34 205.81 1
"129" -1.72 14.03 376.83 208.35 1
"130" -1.71 16.92 383.54 210.91 1
"131" -1.7 14.97 386.1 213.49 1
"132" -1.69 18.53 388.62 216.07 1
"133" -1.68 17.63 392.81 218.67 1
"134" -1.67 18.48 393.73 221.28 1
"135" -1.66 19.17 399.11 223.9 1
"136" -1.65 18.7 401.64 226.53 1
"137" -1.64 20.66 403.16 229.18 1
"138" -1.63 19.58 405.21 231.84 1
"139" -1.62 22.34 413.04 234.51 1
"140" -1.61 23.96 414.26 237.19 1
"141" -1.6 25.06 416.5 239.89 1
"142" -1.59 25.83 418.63 242.6 1
"143" -1.58 26.88 424.11 245.32 1
"144" -1.57 26.84 426.46 248.05 1
"145" -1.56 27.33 433.09 250.8 1
"146" -1.55 28.56 432.9 253.55 1
"147" -1.54 30.63 437.02 256.32 1
"148" -1.53 31.23 440.74 259.1 1
"149" -1.52 31.79 446.86 261.9 1
"150" -1.51 34.44 450.35 264.7 1
"151" -1.5 35.5 449.71 267.52 1
"152" -1.49 35.32 455.99 270.35 1
"153" -1.48 36.42 457.58 273.19 1
"154" -1.47 37.96 462.65 276.05 1
