b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          a2             c2             Y1_gamma1      Y1_gamma2      LogPost        k1_1           k2_1           ktype1_1       ktype2_1       k1_2           k2_2           ktype1_2       ktype2_2       k1_3           k2_3           ktype1_3       ktype2_3       k1_4           k2_4           ktype1_4       ktype2_4       k1_5           k2_5           ktype1_5       ktype2_5       k1_6           k2_6           ktype1_6       ktype2_6       k1_7           k2_7           ktype1_7       ktype2_7       k1_8           k2_8           ktype1_8       ktype2_8       k1_9           k2_9           ktype1_9       ktype2_9       
  -0.189084E+01  -0.263458E+01  -0.209571E+01  -0.293088E+01  -0.269383E+01  -0.258582E+01  -0.258386E+01  -0.242953E+01  -0.253645E+01  -0.219146E+01   0.114860E+03   0.167288E+01   0.110882E+01   0.440171E+00   0.881425E+00   0.504189E+00   0.837615E+00   0.825990E+00   0.872021E+00   0.937803E+00   0.958661E+00   0.130463E+01   0.169580E+03   0.165452E+01   0.124818E+01   0.227433E-02  -0.136482E+04  -0.263458E+01   0.440171E+00   0.000000E+00   0.000000E+00  -0.209571E+01   0.881425E+00   0.000000E+00   0.000000E+00  -0.293088E+01   0.504189E+00   0.000000E+00   0.000000E+00  -0.269383E+01   0.837615E+00   0.000000E+00   0.000000E+00  -0.258582E+01   0.825990E+00   0.000000E+00   0.000000E+00  -0.258386E+01   0.872021E+00   0.000000E+00   0.000000E+00  -0.242953E+01   0.937803E+00   0.000000E+00   0.000000E+00  -0.253645E+01   0.958661E+00   0.000000E+00   0.000000E+00  -0.219146E+01   0.130463E+01   0.000000E+00   0.000000E+00
  -0.235559E+01  -0.273097E+01  -0.209408E+01  -0.291575E+01  -0.268108E+01  -0.270237E+01  -0.257647E+01  -0.242777E+01  -0.252993E+01  -0.222292E+01   0.114860E+03   0.168089E+01   0.465387E+00   0.350905E+00   0.955109E+00   0.674417E+00   0.826198E+00   0.108355E+01   0.110189E+01   0.107234E+01   0.108745E+01   0.125541E+01   0.187781E+03   0.165433E+01   0.328094E+01   0.135175E-02  -0.136175E+04  -0.273097E+01   0.350905E+00   0.000000E+00   0.000000E+00  -0.209408E+01   0.955109E+00   0.000000E+00   0.000000E+00  -0.291575E+01   0.674417E+00   0.000000E+00   0.000000E+00  -0.268108E+01   0.826198E+00   0.000000E+00   0.000000E+00  -0.270237E+01   0.108355E+01   0.000000E+00   0.000000E+00  -0.257647E+01   0.110189E+01   0.000000E+00   0.000000E+00  -0.242777E+01   0.107234E+01   0.000000E+00   0.000000E+00  -0.252993E+01   0.108745E+01   0.000000E+00   0.000000E+00  -0.222292E+01   0.125541E+01   0.000000E+00   0.000000E+00
  -0.335743E+01  -0.267363E+01  -0.209408E+01  -0.294272E+01  -0.263729E+01  -0.249485E+01  -0.261531E+01  -0.241298E+01  -0.252294E+01  -0.220673E+01   0.114536E+03   0.169948E+01   0.287737E+00   0.732542E+00   0.897668E+00   0.674417E+00   0.103697E+01   0.110699E+01   0.117697E+01   0.103523E+01   0.108720E+01   0.146353E+01   0.153036E+03   0.165119E+01   0.615653E+01   0.436665E-03  -0.136943E+04  -0.267363E+01   0.732542E+00   0.000000E+00   0.000000E+00  -0.209408E+01   0.897668E+00   0.000000E+00   0.000000E+00  -0.294272E+01   0.674417E+00   0.000000E+00   0.000000E+00  -0.263729E+01   0.103697E+01   0.000000E+00   0.000000E+00  -0.249485E+01   0.110699E+01   0.000000E+00   0.000000E+00  -0.261531E+01   0.117697E+01   0.000000E+00   0.000000E+00  -0.241298E+01   0.103523E+01   0.000000E+00   0.000000E+00  -0.252294E+01   0.108720E+01   0.000000E+00   0.000000E+00  -0.220673E+01   0.146353E+01   0.000000E+00   0.000000E+00
  -0.273138E+01  -0.281912E+01  -0.208932E+01  -0.286879E+01  -0.263229E+01  -0.239257E+01  -0.277953E+01  -0.240711E+01  -0.252676E+01  -0.227845E+01   0.114771E+03   0.170434E+01   0.775680E+00   0.190461E+00   0.772757E+00   0.482993E+00   0.827361E+00   0.116226E+01   0.113669E+01   0.100765E+01   0.114172E+01   0.135227E+01   0.159113E+03   0.165119E+01   0.416271E+01   0.370550E-03  -0.136908E+04  -0.281912E+01   0.190461E+00   0.000000E+00   0.000000E+00  -0.208932E+01   0.772757E+00   0.000000E+00   0.000000E+00  -0.286879E+01   0.482993E+00   0.000000E+00   0.000000E+00  -0.263229E+01   0.827361E+00   0.000000E+00   0.000000E+00  -0.239257E+01   0.116226E+01   0.000000E+00   0.000000E+00  -0.277953E+01   0.113669E+01   0.000000E+00   0.000000E+00  -0.240711E+01   0.100765E+01   0.000000E+00   0.000000E+00  -0.252676E+01   0.114172E+01   0.000000E+00   0.000000E+00  -0.227845E+01   0.135227E+01   0.000000E+00   0.000000E+00
  -0.190347E+01  -0.277947E+01  -0.220826E+01  -0.289285E+01  -0.263229E+01  -0.263669E+01  -0.245649E+01  -0.237940E+01  -0.252059E+01  -0.227845E+01   0.114482E+03   0.170434E+01   0.118820E+01   0.511853E+00   0.687766E+00   0.461376E+00   0.827816E+00   0.876394E+00   0.101120E+01   0.100361E+01   0.117936E+01   0.154426E+01   0.162290E+03   0.170022E+01   0.163896E+01   0.194133E-02  -0.137038E+04  -0.277947E+01   0.511853E+00   0.000000E+00   0.000000E+00  -0.220826E+01   0.687766E+00   0.000000E+00   0.000000E+00  -0.289285E+01   0.461376E+00   0.000000E+00   0.000000E+00  -0.263229E+01   0.827816E+00   0.000000E+00   0.000000E+00  -0.263669E+01   0.876394E+00   0.000000E+00   0.000000E+00  -0.245649E+01   0.101120E+01   0.000000E+00   0.000000E+00  -0.237940E+01   0.100361E+01   0.000000E+00   0.000000E+00  -0.252059E+01   0.117936E+01   0.000000E+00   0.000000E+00  -0.227845E+01   0.154426E+01   0.000000E+00   0.000000E+00
  -0.263820E+01  -0.279225E+01  -0.204590E+01  -0.287609E+01  -0.271209E+01  -0.260109E+01  -0.268958E+01  -0.238692E+01  -0.249032E+01  -0.224631E+01   0.115144E+03   0.171510E+01   0.134928E+01   0.134950E+01   0.126176E+01   0.751812E+00   0.949764E+00   0.105835E+01   0.114752E+01   0.102567E+01   0.124025E+01   0.150179E+01   0.146774E+03   0.170022E+01   0.237007E+01   0.225335E-02  -0.137223E+04  -0.279225E+01   0.134950E+01   0.000000E+00   0.000000E+00  -0.204590E+01   0.126176E+01   0.000000E+00   0.000000E+00  -0.287609E+01   0.751812E+00   0.000000E+00   0.000000E+00  -0.271209E+01   0.949764E+00   0.000000E+00   0.000000E+00  -0.260109E+01   0.105835E+01   0.000000E+00   0.000000E+00  -0.268958E+01   0.114752E+01   0.000000E+00   0.000000E+00  -0.238692E+01   0.102567E+01   0.000000E+00   0.000000E+00  -0.249032E+01   0.124025E+01   0.000000E+00   0.000000E+00  -0.224631E+01   0.150179E+01   0.000000E+00   0.000000E+00
  -0.263820E+01  -0.272469E+01  -0.211332E+01  -0.291758E+01  -0.261478E+01  -0.241931E+01  -0.247747E+01  -0.237584E+01  -0.247712E+01  -0.218738E+01   0.115348E+03   0.170494E+01   0.123366E+01   0.116069E+01   0.955264E+00   0.650631E+00   0.700949E+00   0.719238E+00   0.898527E+00   0.969879E+00   0.969110E+00   0.137358E+01   0.149288E+03   0.168473E+01   0.116721E+01   0.225335E-02  -0.136707E+04  -0.272469E+01   0.116069E+01   0.000000E+00   0.000000E+00  -0.211332E+01   0.955264E+00   0.000000E+00   0.000000E+00  -0.291758E+01   0.650631E+00   0.000000E+00   0.000000E+00  -0.261478E+01   0.700949E+00   0.000000E+00   0.000000E+00  -0.241931E+01   0.719238E+00   0.000000E+00   0.000000E+00  -0.247747E+01   0.898527E+00   0.000000E+00   0.000000E+00  -0.237584E+01   0.969879E+00   0.000000E+00   0.000000E+00  -0.247712E+01   0.969110E+00   0.000000E+00   0.000000E+00  -0.218738E+01   0.137358E+01   0.000000E+00   0.000000E+00
  -0.275833E+01  -0.273074E+01  -0.217682E+01  -0.289697E+01  -0.265654E+01  -0.253732E+01  -0.263365E+01  -0.237618E+01  -0.248388E+01  -0.205086E+01   0.116290E+03   0.168756E+01   0.456033E+00   0.713452E+00   0.653114E+00   0.633623E+00   0.752696E+00   0.844656E+00   0.727375E+00   0.879494E+00   0.939658E+00   0.116833E+01   0.153417E+03   0.168473E+01   0.299010E+01   0.547038E-02  -0.136802E+04  -0.273074E+01   0.713452E+00   0.000000E+00   0.000000E+00  -0.217682E+01   0.653114E+00   0.000000E+00   0.000000E+00  -0.289697E+01   0.633623E+00   0.000000E+00   0.000000E+00  -0.265654E+01   0.752696E+00   0.000000E+00   0.000000E+00  -0.253732E+01   0.844656E+00   0.000000E+00   0.000000E+00  -0.263365E+01   0.727375E+00   0.000000E+00   0.000000E+00  -0.237618E+01   0.879494E+00   0.000000E+00   0.000000E+00  -0.248388E+01   0.939658E+00   0.000000E+00   0.000000E+00  -0.205086E+01   0.116833E+01   0.000000E+00   0.000000E+00
  -0.282507E+01  -0.284401E+01  -0.203926E+01  -0.284702E+01  -0.258519E+01  -0.246802E+01  -0.255120E+01  -0.237618E+01  -0.246579E+01  -0.220095E+01   0.118308E+03   0.168843E+01   0.611554E+00   0.505735E+00   0.107306E+01   0.709785E+00   0.108025E+01   0.109210E+01   0.955101E+00   0.983924E+00   0.101570E+01   0.125176E+01   0.155581E+03   0.167963E+01   0.769583E+01   0.127736E-02  -0.136442E+04  -0.284401E+01   0.505735E+00   0.000000E+00   0.000000E+00  -0.203926E+01   0.107306E+01   0.000000E+00   0.000000E+00  -0.284702E+01   0.709785E+00   0.000000E+00   0.000000E+00  -0.258519E+01   0.108025E+01   0.000000E+00   0.000000E+00  -0.246802E+01   0.109210E+01   0.000000E+00   0.000000E+00  -0.255120E+01   0.955101E+00   0.000000E+00   0.000000E+00  -0.237618E+01   0.983924E+00   0.000000E+00   0.000000E+00  -0.246579E+01   0.101570E+01   0.000000E+00   0.000000E+00  -0.220095E+01   0.125176E+01   0.000000E+00   0.000000E+00
  -0.258512E+01  -0.281638E+01  -0.199003E+01  -0.284702E+01  -0.258519E+01  -0.255209E+01  -0.259452E+01  -0.235673E+01  -0.245080E+01  -0.213150E+01   0.118308E+03   0.169247E+01   0.492438E+00   0.537223E+00   0.697152E+00   0.625572E+00   0.930889E+00   0.858324E+00   0.924740E+00   0.110396E+01   0.944940E+00   0.126843E+01   0.169100E+03   0.167499E+01   0.143252E+02   0.141794E-02  -0.136932E+04  -0.281638E+01   0.537223E+00   0.000000E+00   0.000000E+00  -0.199003E+01   0.697152E+00   0.000000E+00   0.000000E+00  -0.284702E+01   0.625572E+00   0.000000E+00   0.000000E+00  -0.258519E+01   0.930889E+00   0.000000E+00   0.000000E+00  -0.255209E+01   0.858324E+00   0.000000E+00   0.000000E+00  -0.259452E+01   0.924740E+00   0.000000E+00   0.000000E+00  -0.235673E+01   0.110396E+01   0.000000E+00   0.000000E+00  -0.245080E+01   0.944940E+00   0.000000E+00   0.000000E+00  -0.213150E+01   0.126843E+01   0.000000E+00   0.000000E+00
  -0.214910E+01  -0.269455E+01  -0.208989E+01  -0.284702E+01  -0.257882E+01  -0.260682E+01  -0.248449E+01  -0.236020E+01  -0.247599E+01  -0.220204E+01   0.118554E+03   0.168937E+01   0.133700E+01   0.774252E+00   0.669302E+00   0.537073E+00   0.661596E+00   0.875160E+00   0.124980E+01   0.101888E+01   0.925581E+00   0.117169E+01   0.156344E+03   0.163953E+01   0.259268E+01   0.571159E-03  -0.137098E+04  -0.269455E+01   0.774252E+00   0.000000E+00   0.000000E+00  -0.208989E+01   0.669302E+00   0.000000E+00   0.000000E+00  -0.284702E+01   0.537073E+00   0.000000E+00   0.000000E+00  -0.257882E+01   0.661596E+00   0.000000E+00   0.000000E+00  -0.260682E+01   0.875160E+00   0.000000E+00   0.000000E+00  -0.248449E+01   0.124980E+01   0.000000E+00   0.000000E+00  -0.236020E+01   0.101888E+01   0.000000E+00   0.000000E+00  -0.247599E+01   0.925581E+00   0.000000E+00   0.000000E+00  -0.220204E+01   0.117169E+01   0.000000E+00   0.000000E+00
  -0.300339E+01  -0.282051E+01  -0.207481E+01  -0.290890E+01  -0.260627E+01  -0.284572E+01  -0.256966E+01  -0.236020E+01  -0.246138E+01  -0.212405E+01   0.118053E+03   0.168884E+01   0.675099E+00   0.709501E+00   0.101246E+01   0.887017E+00   0.100459E+01   0.959444E+00   0.790711E+00   0.103847E+01   0.976006E+00   0.128657E+01   0.157196E+03   0.171030E+01   0.259268E+01   0.391390E-02  -0.136957E+04  -0.282051E+01   0.709501E+00   0.000000E+00   0.000000E+00  -0.207481E+01   0.101246E+01   0.000000E+00   0.000000E+00  -0.290890E+01   0.887017E+00   0.000000E+00   0.000000E+00  -0.260627E+01   0.100459E+01   0.000000E+00   0.000000E+00  -0.284572E+01   0.959444E+00   0.000000E+00   0.000000E+00  -0.256966E+01   0.790711E+00   0.000000E+00   0.000000E+00  -0.236020E+01   0.103847E+01   0.000000E+00   0.000000E+00  -0.246138E+01   0.976006E+00   0.000000E+00   0.000000E+00  -0.212405E+01   0.128657E+01   0.000000E+00   0.000000E+00
  -0.313990E+01  -0.269845E+01  -0.209211E+01  -0.291045E+01  -0.267029E+01  -0.276526E+01  -0.257991E+01  -0.234723E+01  -0.246138E+01  -0.201245E+01   0.118380E+03   0.168730E+01   0.304494E+00   0.709501E+00   0.852232E+00   0.510546E+00   0.649498E+00   0.788650E+00   0.105399E+01   0.102748E+01   0.996663E+00   0.116757E+01   0.161361E+03   0.170160E+01   0.100456E+01   0.100854E-01  -0.137020E+04  -0.269845E+01   0.709501E+00   0.000000E+00   0.000000E+00  -0.209211E+01   0.852232E+00   0.000000E+00   0.000000E+00  -0.291045E+01   0.510546E+00   0.000000E+00   0.000000E+00  -0.267029E+01   0.649498E+00   0.000000E+00   0.000000E+00  -0.276526E+01   0.788650E+00   0.000000E+00   0.000000E+00  -0.257991E+01   0.105399E+01   0.000000E+00   0.000000E+00  -0.234723E+01   0.102748E+01   0.000000E+00   0.000000E+00  -0.246138E+01   0.996663E+00   0.000000E+00   0.000000E+00  -0.201245E+01   0.116757E+01   0.000000E+00   0.000000E+00
  -0.249993E+01  -0.263720E+01  -0.200030E+01  -0.281954E+01  -0.252920E+01  -0.245903E+01  -0.247488E+01  -0.236177E+01  -0.249320E+01  -0.224951E+01   0.118053E+03   0.169476E+01   0.310301E+00   0.528400E+00   0.863577E+00   0.488117E+00   0.527258E+00   0.908578E+00   0.991041E+00   0.111232E+01   0.111020E+01   0.173327E+01   0.173282E+03   0.162627E+01   0.100456E+01   0.544629E-02  -0.136610E+04  -0.263720E+01   0.528400E+00   0.000000E+00   0.000000E+00  -0.200030E+01   0.863577E+00   0.000000E+00   0.000000E+00  -0.281954E+01   0.488117E+00   0.000000E+00   0.000000E+00  -0.252920E+01   0.527258E+00   0.000000E+00   0.000000E+00  -0.245903E+01   0.908578E+00   0.000000E+00   0.000000E+00  -0.247488E+01   0.991041E+00   0.000000E+00   0.000000E+00  -0.236177E+01   0.111232E+01   0.000000E+00   0.000000E+00  -0.249320E+01   0.111020E+01   0.000000E+00   0.000000E+00  -0.224951E+01   0.173327E+01   0.000000E+00   0.000000E+00
  -0.295623E+01  -0.268660E+01  -0.198261E+01  -0.282622E+01  -0.267712E+01  -0.262363E+01  -0.235891E+01  -0.237245E+01  -0.244845E+01  -0.214213E+01   0.116736E+03   0.170339E+01   0.318180E+00   0.528400E+00   0.757078E+00   0.478709E+00   0.813554E+00   0.689447E+00   0.993015E+00   0.113501E+01   0.105984E+01   0.130439E+01   0.173899E+03   0.161834E+01   0.706446E+01   0.429676E-02  -0.136900E+04  -0.268660E+01   0.528400E+00   0.000000E+00   0.000000E+00  -0.198261E+01   0.757078E+00   0.000000E+00   0.000000E+00  -0.282622E+01   0.478709E+00   0.000000E+00   0.000000E+00  -0.267712E+01   0.813554E+00   0.000000E+00   0.000000E+00  -0.262363E+01   0.689447E+00   0.000000E+00   0.000000E+00  -0.235891E+01   0.993015E+00   0.000000E+00   0.000000E+00  -0.237245E+01   0.113501E+01   0.000000E+00   0.000000E+00  -0.244845E+01   0.105984E+01   0.000000E+00   0.000000E+00  -0.214213E+01   0.130439E+01   0.000000E+00   0.000000E+00
  -0.227529E+01  -0.237218E+01  -0.196618E+01  -0.282817E+01  -0.259655E+01  -0.273814E+01  -0.256316E+01  -0.237383E+01  -0.246854E+01  -0.208636E+01   0.117852E+03   0.170035E+01   0.764575E+00   0.596958E+00   0.757078E+00   0.650472E+00   0.103494E+01   0.984159E+00   0.110375E+01   0.126424E+01   0.123402E+01   0.128464E+01   0.185642E+03   0.162995E+01   0.419917E+01   0.134241E-02  -0.136687E+04  -0.237218E+01   0.596958E+00   0.000000E+00   0.000000E+00  -0.196618E+01   0.757078E+00   0.000000E+00   0.000000E+00  -0.282817E+01   0.650472E+00   0.000000E+00   0.000000E+00  -0.259655E+01   0.103494E+01   0.000000E+00   0.000000E+00  -0.273814E+01   0.984159E+00   0.000000E+00   0.000000E+00  -0.256316E+01   0.110375E+01   0.000000E+00   0.000000E+00  -0.237383E+01   0.126424E+01   0.000000E+00   0.000000E+00  -0.246854E+01   0.123402E+01   0.000000E+00   0.000000E+00  -0.208636E+01   0.128464E+01   0.000000E+00   0.000000E+00
  -0.224138E+01  -0.274969E+01  -0.203935E+01  -0.284856E+01  -0.266639E+01  -0.247370E+01  -0.264586E+01  -0.235960E+01  -0.246854E+01  -0.211877E+01   0.117852E+03   0.169655E+01   0.225238E+00   0.342088E+00   0.961828E+00   0.809907E+00   0.750308E+00   0.853271E+00   0.131265E+01   0.119301E+01   0.116226E+01   0.141575E+01   0.183274E+03   0.162241E+01   0.150188E+01   0.338196E-02  -0.136707E+04  -0.274969E+01   0.342088E+00   0.000000E+00   0.000000E+00  -0.203935E+01   0.961828E+00   0.000000E+00   0.000000E+00  -0.284856E+01   0.809907E+00   0.000000E+00   0.000000E+00  -0.266639E+01   0.750308E+00   0.000000E+00   0.000000E+00  -0.247370E+01   0.853271E+00   0.000000E+00   0.000000E+00  -0.264586E+01   0.131265E+01   0.000000E+00   0.000000E+00  -0.235960E+01   0.119301E+01   0.000000E+00   0.000000E+00  -0.246854E+01   0.116226E+01   0.000000E+00   0.000000E+00  -0.211877E+01   0.141575E+01   0.000000E+00   0.000000E+00
  -0.330787E+01  -0.279380E+01  -0.202493E+01  -0.285992E+01  -0.262303E+01  -0.249576E+01  -0.271461E+01  -0.236432E+01  -0.245710E+01  -0.211877E+01   0.118353E+03   0.169655E+01  -0.349726E+00   0.189772E+00   0.765023E+00   0.615198E+00   0.109607E+01   0.121631E+01   0.125879E+01   0.118873E+01   0.106776E+01   0.135383E+01   0.172163E+03   0.160385E+01   0.184680E+01   0.770228E-02  -0.136936E+04  -0.279380E+01   0.189772E+00   0.000000E+00   0.000000E+00  -0.202493E+01   0.765023E+00   0.000000E+00   0.000000E+00  -0.285992E+01   0.615198E+00   0.000000E+00   0.000000E+00  -0.262303E+01   0.109607E+01   0.000000E+00   0.000000E+00  -0.249576E+01   0.121631E+01   0.000000E+00   0.000000E+00  -0.271461E+01   0.125879E+01   0.000000E+00   0.000000E+00  -0.236432E+01   0.118873E+01   0.000000E+00   0.000000E+00  -0.245710E+01   0.106776E+01   0.000000E+00   0.000000E+00  -0.211877E+01   0.135383E+01   0.000000E+00   0.000000E+00
  -0.390394E+01  -0.292526E+01  -0.210897E+01  -0.285166E+01  -0.266397E+01  -0.232169E+01  -0.256301E+01  -0.236432E+01  -0.248220E+01  -0.207033E+01   0.117040E+03   0.169322E+01   0.114343E+00   0.766651E+00   0.109875E+01   0.632315E+00   0.114183E+01   0.152254E+01   0.148292E+01   0.116499E+01   0.113952E+01   0.122589E+01   0.175731E+03   0.165658E+01   0.592672E+01   0.127919E-02  -0.137043E+04  -0.292526E+01   0.766651E+00   0.000000E+00   0.000000E+00  -0.210897E+01   0.109875E+01   0.000000E+00   0.000000E+00  -0.285166E+01   0.632315E+00   0.000000E+00   0.000000E+00  -0.266397E+01   0.114183E+01   0.000000E+00   0.000000E+00  -0.232169E+01   0.152254E+01   0.000000E+00   0.000000E+00  -0.256301E+01   0.148292E+01   0.000000E+00   0.000000E+00  -0.236432E+01   0.116499E+01   0.000000E+00   0.000000E+00  -0.248220E+01   0.113952E+01   0.000000E+00   0.000000E+00  -0.207033E+01   0.122589E+01   0.000000E+00   0.000000E+00
  -0.357374E+01  -0.272871E+01  -0.205144E+01  -0.288604E+01  -0.258640E+01  -0.262026E+01  -0.261186E+01  -0.236432E+01  -0.248140E+01  -0.205474E+01   0.117021E+03   0.169326E+01  -0.171301E+00   0.600036E+00   0.115508E+01   0.114979E+01   0.136809E+01   0.138998E+01   0.129239E+01   0.119201E+01   0.113478E+01   0.122687E+01   0.192965E+03   0.165658E+01   0.626134E+01   0.469820E-02  -0.137392E+04  -0.272871E+01   0.600036E+00   0.000000E+00   0.000000E+00  -0.205144E+01   0.115508E+01   0.000000E+00   0.000000E+00  -0.288604E+01   0.114979E+01   0.000000E+00   0.000000E+00  -0.258640E+01   0.136809E+01   0.000000E+00   0.000000E+00  -0.262026E+01   0.138998E+01   0.000000E+00   0.000000E+00  -0.261186E+01   0.129239E+01   0.000000E+00   0.000000E+00  -0.236432E+01   0.119201E+01   0.000000E+00   0.000000E+00  -0.248140E+01   0.113478E+01   0.000000E+00   0.000000E+00  -0.205474E+01   0.122687E+01   0.000000E+00   0.000000E+00
  -0.327242E+01  -0.275883E+01  -0.205090E+01  -0.288604E+01  -0.264006E+01  -0.249965E+01  -0.266161E+01  -0.237232E+01  -0.249885E+01  -0.205474E+01   0.117254E+03   0.169276E+01   0.364386E+00   0.899275E+00   0.953101E+00   0.837331E+00   0.980029E+00   0.136928E+01   0.113085E+01   0.114428E+01   0.113478E+01   0.119128E+01   0.183393E+03   0.162495E+01   0.253645E+01   0.771019E-02  -0.136608E+04  -0.275883E+01   0.899275E+00   0.000000E+00   0.000000E+00  -0.205090E+01   0.953101E+00   0.000000E+00   0.000000E+00  -0.288604E+01   0.837331E+00   0.000000E+00   0.000000E+00  -0.264006E+01   0.980029E+00   0.000000E+00   0.000000E+00  -0.249965E+01   0.136928E+01   0.000000E+00   0.000000E+00  -0.266161E+01   0.113085E+01   0.000000E+00   0.000000E+00  -0.237232E+01   0.114428E+01   0.000000E+00   0.000000E+00  -0.249885E+01   0.113478E+01   0.000000E+00   0.000000E+00  -0.205474E+01   0.119128E+01   0.000000E+00   0.000000E+00
  -0.262324E+01  -0.278460E+01  -0.198529E+01  -0.287303E+01  -0.259803E+01  -0.242277E+01  -0.261048E+01  -0.237947E+01  -0.249839E+01  -0.205933E+01   0.117433E+03   0.168445E+01   0.778978E+00   0.728645E+00   0.142454E+01   0.736391E+00   0.118478E+01   0.139491E+01   0.113230E+01   0.111430E+01   0.115854E+01   0.118427E+01   0.184639E+03   0.162495E+01   0.857430E+00   0.593011E-02  -0.136788E+04  -0.278460E+01   0.728645E+00   0.000000E+00   0.000000E+00  -0.198529E+01   0.142454E+01   0.000000E+00   0.000000E+00  -0.287303E+01   0.736391E+00   0.000000E+00   0.000000E+00  -0.259803E+01   0.118478E+01   0.000000E+00   0.000000E+00  -0.242277E+01   0.139491E+01   0.000000E+00   0.000000E+00  -0.261048E+01   0.113230E+01   0.000000E+00   0.000000E+00  -0.237947E+01   0.111430E+01   0.000000E+00   0.000000E+00  -0.249839E+01   0.115854E+01   0.000000E+00   0.000000E+00  -0.205933E+01   0.118427E+01   0.000000E+00   0.000000E+00
  -0.282843E+01  -0.280865E+01  -0.211065E+01  -0.288689E+01  -0.262027E+01  -0.254324E+01  -0.261048E+01  -0.239957E+01  -0.256644E+01  -0.219971E+01   0.118561E+03   0.167329E+01   0.830203E+00   0.866580E+00   0.112450E+01   0.100976E+01   0.111495E+01   0.797006E+00   0.103338E+01   0.116633E+01   0.121803E+01   0.138280E+01   0.186615E+03   0.168562E+01   0.857430E+00   0.489454E-02  -0.136916E+04  -0.280865E+01   0.866580E+00   0.000000E+00   0.000000E+00  -0.211065E+01   0.112450E+01   0.000000E+00   0.000000E+00  -0.288689E+01   0.100976E+01   0.000000E+00   0.000000E+00  -0.262027E+01   0.111495E+01   0.000000E+00   0.000000E+00  -0.254324E+01   0.797006E+00   0.000000E+00   0.000000E+00  -0.261048E+01   0.103338E+01   0.000000E+00   0.000000E+00  -0.239957E+01   0.116633E+01   0.000000E+00   0.000000E+00  -0.256644E+01   0.121803E+01   0.000000E+00   0.000000E+00  -0.219971E+01   0.138280E+01   0.000000E+00   0.000000E+00
  -0.245733E+01  -0.268912E+01  -0.202923E+01  -0.292346E+01  -0.262646E+01  -0.273389E+01  -0.262446E+01  -0.240055E+01  -0.256813E+01  -0.202675E+01   0.118752E+03   0.166788E+01   0.759782E+00   0.739169E+00   0.674318E+00   0.651764E+00   0.116832E+01   0.127993E+01   0.136035E+01   0.112512E+01   0.112771E+01   0.129137E+01   0.174953E+03   0.164772E+01   0.211996E+01   0.168690E-03  -0.137715E+04  -0.268912E+01   0.739169E+00   0.000000E+00   0.000000E+00  -0.202923E+01   0.674318E+00   0.000000E+00   0.000000E+00  -0.292346E+01   0.651764E+00   0.000000E+00   0.000000E+00  -0.262646E+01   0.116832E+01   0.000000E+00   0.000000E+00  -0.273389E+01   0.127993E+01   0.000000E+00   0.000000E+00  -0.262446E+01   0.136035E+01   0.000000E+00   0.000000E+00  -0.240055E+01   0.112512E+01   0.000000E+00   0.000000E+00  -0.256813E+01   0.112771E+01   0.000000E+00   0.000000E+00  -0.202675E+01   0.129137E+01   0.000000E+00   0.000000E+00
  -0.291510E+01  -0.294992E+01  -0.215976E+01  -0.284163E+01  -0.260541E+01  -0.275731E+01  -0.261774E+01  -0.240055E+01  -0.248398E+01  -0.210462E+01   0.120049E+03   0.166637E+01   0.565298E+00   0.620141E+00   0.860914E+00   0.535297E+00   0.101908E+01   0.131076E+01   0.141757E+01   0.108895E+01   0.962205E+00   0.104159E+01   0.179172E+03   0.166466E+01   0.320929E+01   0.547814E-02  -0.137218E+04  -0.294992E+01   0.620141E+00   0.000000E+00   0.000000E+00  -0.215976E+01   0.860914E+00   0.000000E+00   0.000000E+00  -0.284163E+01   0.535297E+00   0.000000E+00   0.000000E+00  -0.260541E+01   0.101908E+01   0.000000E+00   0.000000E+00  -0.275731E+01   0.131076E+01   0.000000E+00   0.000000E+00  -0.261774E+01   0.141757E+01   0.000000E+00   0.000000E+00  -0.240055E+01   0.108895E+01   0.000000E+00   0.000000E+00  -0.248398E+01   0.962205E+00   0.000000E+00   0.000000E+00  -0.210462E+01   0.104159E+01   0.000000E+00   0.000000E+00
