               b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          a2             c2             Y1_gamma1      Y1_gamma2      k1_1           k2_1           ktype1_1       ktype2_1       k1_2           k2_2           ktype1_2       ktype2_2       k1_3           k2_3           ktype1_3       ktype2_3       k1_4           k2_4           ktype1_4       ktype2_4       k1_5           k2_5           ktype1_5       ktype2_5       k1_6           k2_6           ktype1_6       ktype2_6       k1_7           k2_7           ktype1_7       ktype2_7       k1_8           k2_8           ktype1_8       ktype2_8       k1_9           k2_9           ktype1_9       ktype2_9       
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.427190E+01  -0.357727E+01  -0.251980E+01  -0.335512E+01  -0.313320E+01  -0.329780E+01  -0.326319E+01  -0.278170E+01  -0.292902E+01  -0.276719E+01   0.951746E+02   0.161037E+01  -0.881776E+00  -0.330643E+00   0.122072E+00  -0.437001E-01   0.136046E+00   0.220726E-01   0.243309E+00   0.571146E+00   0.599355E+00   0.719280E+00   0.137239E+03   0.157742E+01   0.258097E-02   0.183956E-05  -0.357727E+01  -0.330643E+00   0.000000E+00   0.000000E+00  -0.251980E+01   0.122072E+00   0.000000E+00   0.000000E+00  -0.335512E+01  -0.437001E-01   0.000000E+00   0.000000E+00  -0.313320E+01   0.136046E+00   0.000000E+00   0.000000E+00  -0.329780E+01   0.220726E-01   0.000000E+00   0.000000E+00  -0.326319E+01   0.243309E+00   0.000000E+00   0.000000E+00  -0.278170E+01   0.571146E+00   0.000000E+00   0.000000E+00  -0.292902E+01   0.599355E+00   0.000000E+00   0.000000E+00  -0.276719E+01   0.719280E+00   0.000000E+00   0.000000E+00
Maximum          -0.948113E+00  -0.211798E+01  -0.167358E+01  -0.249989E+01  -0.228715E+01  -0.173758E+01  -0.206427E+01  -0.207091E+01  -0.219245E+01  -0.171556E+01   0.145192E+03   0.173141E+01   0.192801E+01   0.164135E+01   0.172004E+01   0.149593E+01   0.145629E+01   0.175407E+01   0.164937E+01   0.150212E+01   0.154512E+01   0.207157E+01   0.220817E+03   0.174408E+01   0.207215E+02   0.156182E-01  -0.211798E+01   0.164135E+01   0.000000E+00   0.000000E+00  -0.167358E+01   0.172004E+01   0.000000E+00   0.000000E+00  -0.249989E+01   0.149593E+01   0.000000E+00   0.000000E+00  -0.228715E+01   0.145629E+01   0.000000E+00   0.000000E+00  -0.173758E+01   0.175407E+01   0.000000E+00   0.000000E+00  -0.206427E+01   0.164937E+01   0.000000E+00   0.000000E+00  -0.207091E+01   0.150212E+01   0.000000E+00   0.000000E+00  -0.219245E+01   0.154512E+01   0.000000E+00   0.000000E+00  -0.171556E+01   0.207157E+01   0.000000E+00   0.000000E+00
Range             0.332379E+01   0.145929E+01   0.846220E+00   0.855230E+00   0.846050E+00   0.156022E+01   0.119892E+01   0.710790E+00   0.736570E+00   0.105163E+01   0.500174E+02   0.121040E+00   0.280979E+01   0.197199E+01   0.159797E+01   0.153963E+01   0.132024E+01   0.173200E+01   0.140606E+01   0.930974E+00   0.945765E+00   0.135229E+01   0.835780E+02   0.166660E+00   0.207189E+02   0.156164E-01   0.145929E+01   0.197199E+01   0.000000E+00   0.000000E+00   0.846220E+00   0.159797E+01   0.000000E+00   0.000000E+00   0.855230E+00   0.153963E+01   0.000000E+00   0.000000E+00   0.846050E+00   0.132024E+01   0.000000E+00   0.000000E+00   0.156022E+01   0.173200E+01   0.000000E+00   0.000000E+00   0.119892E+01   0.140606E+01   0.000000E+00   0.000000E+00   0.710790E+00   0.930974E+00   0.000000E+00   0.000000E+00   0.736570E+00   0.945765E+00   0.000000E+00   0.000000E+00   0.105163E+01   0.135229E+01   0.000000E+00   0.000000E+00
Mean             -0.287590E+01  -0.279977E+01  -0.208228E+01  -0.291323E+01  -0.268535E+01  -0.260229E+01  -0.264447E+01  -0.241956E+01  -0.255022E+01  -0.225280E+01   0.116852E+03   0.167312E+01   0.497169E+00   0.541517E+00   0.881654E+00   0.587142E+00   0.744585E+00   0.865634E+00   0.939164E+00   0.100562E+01   0.105229E+01   0.134337E+01   0.176073E+03   0.165447E+01   0.337083E+01   0.337280E-02  -0.279977E+01   0.541517E+00   0.000000E+00   0.000000E+00  -0.208228E+01   0.881654E+00   0.000000E+00   0.000000E+00  -0.291323E+01   0.587142E+00   0.000000E+00   0.000000E+00  -0.268535E+01   0.744585E+00   0.000000E+00   0.000000E+00  -0.260229E+01   0.865634E+00   0.000000E+00   0.000000E+00  -0.264447E+01   0.939164E+00   0.000000E+00   0.000000E+00  -0.241956E+01   0.100562E+01   0.000000E+00   0.000000E+00  -0.255022E+01   0.105229E+01   0.000000E+00   0.000000E+00  -0.225280E+01   0.134337E+01   0.000000E+00   0.000000E+00
Median           -0.287481E+01  -0.280030E+01  -0.208279E+01  -0.291775E+01  -0.268902E+01  -0.260611E+01  -0.264524E+01  -0.242089E+01  -0.254966E+01  -0.225950E+01   0.115361E+03   0.167389E+01   0.484402E+00   0.525127E+00   0.863706E+00   0.577400E+00   0.736680E+00   0.860000E+00   0.934639E+00   0.100096E+01   0.104709E+01   0.133907E+01   0.175618E+03   0.165355E+01   0.274383E+01   0.274161E-02  -0.280030E+01   0.525127E+00   0.000000E+00   0.000000E+00  -0.208279E+01   0.863706E+00   0.000000E+00   0.000000E+00  -0.291775E+01   0.577400E+00   0.000000E+00   0.000000E+00  -0.268902E+01   0.736680E+00   0.000000E+00   0.000000E+00  -0.260611E+01   0.860000E+00   0.000000E+00   0.000000E+00  -0.264524E+01   0.934639E+00   0.000000E+00   0.000000E+00  -0.242089E+01   0.100096E+01   0.000000E+00   0.000000E+00  -0.254966E+01   0.104709E+01   0.000000E+00   0.000000E+00  -0.225950E+01   0.133907E+01   0.000000E+00   0.000000E+00
Q10%             -0.347796E+01  -0.306419E+01  -0.227438E+01  -0.311187E+01  -0.289014E+01  -0.289523E+01  -0.287278E+01  -0.260212E+01  -0.274220E+01  -0.247900E+01   0.102769E+03   0.164404E+01  -0.442965E-01   0.148848E+00   0.556671E+00   0.351349E+00   0.491171E+00   0.548857E+00   0.657088E+00   0.806478E+00   0.849452E+00   0.110399E+01   0.159152E+03   0.162449E+01   0.452257E+00   0.411727E-03  -0.306419E+01   0.148848E+00   0.000000E+00   0.000000E+00  -0.227438E+01   0.556671E+00   0.000000E+00   0.000000E+00  -0.311187E+01   0.351349E+00   0.000000E+00   0.000000E+00  -0.289014E+01   0.491171E+00   0.000000E+00   0.000000E+00  -0.289523E+01   0.548857E+00   0.000000E+00   0.000000E+00  -0.287278E+01   0.657088E+00   0.000000E+00   0.000000E+00  -0.260212E+01   0.806478E+00   0.000000E+00   0.000000E+00  -0.274220E+01   0.849452E+00   0.000000E+00   0.000000E+00  -0.247900E+01   0.110399E+01   0.000000E+00   0.000000E+00
Q25%             -0.319995E+01  -0.293726E+01  -0.218596E+01  -0.302869E+01  -0.279486E+01  -0.275713E+01  -0.276704E+01  -0.252654E+01  -0.266891E+01  -0.238136E+01   0.107942E+03   0.165712E+01   0.195306E+00   0.307137E+00   0.697067E+00   0.452812E+00   0.598507E+00   0.692726E+00   0.793502E+00   0.904041E+00   0.944372E+00   0.121624E+01   0.167092E+03   0.163826E+01   0.115578E+01   0.113646E-02  -0.293726E+01   0.307137E+00   0.000000E+00   0.000000E+00  -0.218596E+01   0.697067E+00   0.000000E+00   0.000000E+00  -0.302869E+01   0.452812E+00   0.000000E+00   0.000000E+00  -0.279486E+01   0.598507E+00   0.000000E+00   0.000000E+00  -0.275713E+01   0.692726E+00   0.000000E+00   0.000000E+00  -0.276704E+01   0.793502E+00   0.000000E+00   0.000000E+00  -0.252654E+01   0.904041E+00   0.000000E+00   0.000000E+00  -0.266891E+01   0.944372E+00   0.000000E+00   0.000000E+00  -0.238136E+01   0.121624E+01   0.000000E+00   0.000000E+00
Q75%             -0.255835E+01  -0.265770E+01  -0.197910E+01  -0.279886E+01  -0.256862E+01  -0.244536E+01  -0.251743E+01  -0.231108E+01  -0.243751E+01  -0.211994E+01   0.124364E+03   0.168880E+01   0.798615E+00   0.757599E+00   0.105092E+01   0.707684E+00   0.881819E+00   0.103590E+01   0.109027E+01   0.111414E+01   0.115998E+01   0.146340E+01   0.184906E+03   0.166992E+01   0.489438E+01   0.494248E-02  -0.265770E+01   0.757599E+00   0.000000E+00   0.000000E+00  -0.197910E+01   0.105092E+01   0.000000E+00   0.000000E+00  -0.279886E+01   0.707684E+00   0.000000E+00   0.000000E+00  -0.256862E+01   0.881819E+00   0.000000E+00   0.000000E+00  -0.244536E+01   0.103590E+01   0.000000E+00   0.000000E+00  -0.251743E+01   0.109027E+01   0.000000E+00   0.000000E+00  -0.231108E+01   0.111414E+01   0.000000E+00   0.000000E+00  -0.243751E+01   0.115998E+01   0.000000E+00   0.000000E+00  -0.211994E+01   0.146340E+01   0.000000E+00   0.000000E+00
Q90%             -0.225470E+01  -0.254120E+01  -0.189073E+01  -0.269670E+01  -0.246794E+01  -0.231818E+01  -0.241236E+01  -0.222170E+01  -0.233868E+01  -0.201784E+01   0.132702E+03   0.170186E+01   0.107107E+01   0.965396E+00   0.123562E+01   0.837889E+00   0.100548E+01   0.119277E+01   0.122485E+01   0.121272E+01   0.126334E+01   0.159242E+01   0.193020E+03   0.168583E+01   0.710665E+01   0.729942E-02  -0.254120E+01   0.965396E+00   0.000000E+00   0.000000E+00  -0.189073E+01   0.123562E+01   0.000000E+00   0.000000E+00  -0.269670E+01   0.837889E+00   0.000000E+00   0.000000E+00  -0.246794E+01   0.100548E+01   0.000000E+00   0.000000E+00  -0.231818E+01   0.119277E+01   0.000000E+00   0.000000E+00  -0.241236E+01   0.122485E+01   0.000000E+00   0.000000E+00  -0.222170E+01   0.121272E+01   0.000000E+00   0.000000E+00  -0.233868E+01   0.126334E+01   0.000000E+00   0.000000E+00  -0.201784E+01   0.159242E+01   0.000000E+00   0.000000E+00
