"Pr" "Mp" "Qhyd_2" "Qhyd_9" "Qtot_2" "Qtot_9" "start"
100 11717.024 11107.937 13049.232 10482.014 15485.983 1816
1000 14791.593 13859.403 17277.858 12446.17 23663.565 1816
100 11322.107 11193.784 13093.131 10482.543 15483.935 1817
1000 14249.219 13942.791 17255.516 12456.764 23697.926 1817
100 12579.077 11163.95 13091.378 10475.819 15443.204 1818
1000 16047.821 13889.192 17262.585 12426.933 23514.243 1818
100 11677.875 11237.219 13129.096 10550.709 15515.44 1819
1000 14788.811 13981.994 17282.324 12475.819 23480.924 1819
100 11623.533 11167.962 13022.886 10546.704 15534.387 1820
1000 14640.462 13845.569 17216.228 12501.763 23773.185 1820
100 11392.585 11044.646 12860.382 10499.744 14996.637 1821
1000 14100.097 13428.583 16343.169 12257.088 21535.972 1821
100 11661.607 11030.256 12940.109 10515.353 15040.844 1822
1000 14468.146 13436.45 16739.783 12312.092 21726.274 1822
100 12117.629 11062.701 12825.397 10497.61 14923.303 1823
1000 14807.178 13448.948 16397.908 12266.797 21292.438 1823
100 12704.314 11083.147 12864.612 10509.761 14927.125 1824
1000 16239.199 13436.793 16350.614 12259.812 21292.398 1824
100 11450.161 10932.874 12761.808 10477.633 14842.37 1825
1000 13986.491 13211.468 16241.882 12228.676 21145.459 1825
100 11530.414 11066.71 12759.449 10491.715 14795.84 1826
1000 14009.573 13437.891 16357.147 12231.004 20994.582 1826
100 11552.365 11037.404 12738.17 10485.019 14802.608 1827
1000 14384.246 13316.676 16287.095 12221.3 21006.121 1827
100 12037.554 10989.276 12576.509 10428.248 14571.243 1828
1000 15211.405 13279.763 15910.977 12147.905 20576.387 1828
100 11876.174 10887.241 12559.724 10411.26 14660.476 1829
1000 15104.969 13073.582 15947.597 12117.97 20725.69 1829
100 11529.81 10991.968 12537.152 10423.665 14594.988 1830
1000 14072.012 13308.04 15786.504 12138.051 20638.144 1830
100 11757.441 10867.157 12440.897 10386.664 14557.564 1831
1000 14359.149 13102.31 15894.796 12098.083 20598.913 1831
100 12320.246 10930.008 12438.053 10418.224 14502.107 1832
1000 15273.626 13120.909 15706.232 12109.093 20323.343 1832
100 11327.288 10899.348 12409.479 10424.871 14399.712 1833
1000 13706.266 12993.83 15560.904 12092.723 20034.981 1833
100 11039.274 10941.21 12418.5 10416.284 14444.94 1834
1000 13457.653 13082.352 15557.611 12089.986 20122.934 1834
100 11471.472 10998.24 12581.083 10513.348 14675.736 1835
1000 13664.576 13175.829 15944.933 12187.041 20598.036 1835
100 12512.755 11082.46 12637.616 10548.984 14654.585 1836
1000 15487.766 13205.741 15846.76 12203.016 20394.632 1836
100 12709.741 10994.652 12519.853 10498.852 14532.87 1837
1000 16168.87 13043.801 15605.525 12149.806 20205.476 1837
100 12265.901 11034.468 12508.623 10510.812 14543.544 1838
1000 15443.414 13175.171 15575.617 12166.496 20211.155 1838
100 11939.598 10969.625 12569.666 10473.686 14519.389 1839
1000 14795.45 13125.791 15739.719 12126.958 20151.983 1839
100 12139.537 10928.811 12459.309 10465.209 14463.199 1840
1000 15271.678 13008.762 15657.258 12121.375 20121.057 1840
100 10377.058 10471.861 11740.928 10085.748 13431.298 1841
1000 12281.942 12263.645 14038.839 11515.464 17786.167 1841
100 10577.65 10491.706 11675.93 10027.819 13253.771 1842
1000 12390.701 12315.678 14096.668 11461.834 17481.707 1842
100 11338.997 10356.905 11657.494 10014.877 13302.83 1843
1000 13589.146 12147.364 13999.289 11463.616 17614.185 1843
100 11166.862 10412.44 11594.387 9977.492 13206.978 1844
1000 13557.725 12192.653 13927.126 11422.409 17435.286 1844
100 10998.829 10399.364 11588.118 9959.96 13211.375 1845
1000 13085.942 12257.466 13966.587 11407.486 17515.528 1845
100 11070.632 10423.048 11494.742 9974.714 13256.688 1846
1000 13433.557 12298.494 13916.993 11442.568 17659.414 1846
100 11035.47 10303.767 11518.576 9933.511 13209.565 1847
1000 13294.884 12159.214 13960.606 11400.835 17609.444 1847
100 10996.013 10412.243 11487.371 9946.194 13207.749 1848
1000 13108.073 12243.585 13944.758 11408.479 17561.839 1848
100 10946.052 10340.822 11491.543 9945.615 13217.264 1849
1000 13069.615 12278.628 13977.477 11425.019 17675.359 1849
100 10965.66 10358.211 11540.01 9929.617 13213.021 1850
1000 13224.744 12228.293 13982.745 11401.359 17661.771 1850
100 11193.943 10437.859 11692.899 10041.244 13405.012 1851
1000 13536.199 12349.113 14198.964 11517.788 17923.148 1851
100 11023.253 10522.012 11628.466 10043.951 13405.247 1852
1000 13141.901 12407.225 14229.555 11524.95 17945.508 1852
100 10972.035 10560.243 11679.217 10051.161 13410.417 1853
1000 13344.579 12440.731 14193.777 11535.669 17940.082 1853
100 11121.321 10551.593 11730.664 10063.597 13467.39 1854
1000 13242.419 12439.215 14246.164 11546.177 18091.455 1854
100 10853.111 10581.76 11732.66 10093.609 13470.638 1855
