"Pr" "Mp" "Qhyd_2" "Qhyd_9" "Qtot_2" "Qtot_9" "nyears"
100 12365.721 12019.549 13076.017 10367.078 24484.606 20
1000 15793.98 15117.979 17392.577 11819.231 48860.365 20
100 12207.135 11634.614 12580.68 10282.724 22876.965 22
1000 15319.992 14254.176 16351.665 11653.178 43929.212 22
100 12745.151 11643.38 12580.059 10266.684 22455.448 24
1000 16508.803 14169.264 16398.757 11652.771 43293.183 24
100 11926.221 11630.839 12429.13 10277.038 20720.482 26
1000 14498.524 13949.433 15658.458 11530.54 36793.343 26
100 12408.385 11910.197 12860.268 10587.961 20922.417 28
1000 14999.42 14153.267 16117.121 11676.336 36564.564 28
100 12348.913 11871.449 12818.397 10491.458 20853.477 30
1000 15491.522 14216.847 16255.243 11693.271 37171.222 30
100 12019.685 11824.106 13038.811 10412.946 20606.289 32
1000 15080.895 14444.172 17227.136 11753.828 37630.491 32
100 12119.247 11704.106 12592.296 10312.697 19072.512 34
1000 15237.142 14191.182 16256.771 11613.849 33116.943 34
100 12414.103 11682.547 12529.275 10286.846 18889.263 36
1000 15690.139 14334.906 16288.984 11672.874 33218.194 36
100 11899.51 11408.998 12383.857 10196.256 18193.421 38
1000 14894.688 13753.973 15961.499 11560.722 31296.373 38
100 11796.177 11326.942 12029.329 10150.976 17257.764 40
1000 14781.481 13664.78 15252.346 11462.671 28632.225 40
100 11507.951 11235.703 12148.474 10114.69 17248.947 42
1000 14092.916 13526.953 15548.726 11443.058 28990.72 42
100 11454.43 11089.579 11927.695 10102.218 16644.138 44
1000 14019.566 13100.603 15071.585 11338.08 26622.451 44
100 11577.301 11122.592 11743.112 10144.025 15820.184 46
1000 14023.946 12961.797 14319.388 11276.317 23511.355 46
100 11259.562 11151.336 11755.848 10089.408 15826.721 48
1000 13386.67 13127.874 14400.621 11263.257 24003.519 48
100 11208.265 10913.953 11648.61 10039.882 15539.88 50
1000 13580.013 12812.986 14352.246 11229.557 23366.384 50
100 11171.116 10966.193 11653.351 10024.287 15613.153 52
1000 13378.917 12906.5 14428.135 11284.411 23820.779 52
100 11182.425 11012.478 11635.418 9972.133 15555.297 54
1000 13443.11 13179.645 14529.575 11283.776 24216.729 54
100 11503.059 10998.615 11701.01 9964.392 15674.887 56
1000 14430.538 13247.284 14891.792 11346.415 24628.507 56
100 11262.102 10928.069 11712.144 9957.368 15354.668 58
1000 13817.571 13111.986 14868.561 11287.744 23659.675 58
100 11095.342 10934.81 11775.678 9917.19 15403.992 60
1000 13642.904 13252.942 15159.982 11326.399 24339.08 60
100 11294.841 10908.814 11499.882 9920.656 15199.495 62
1000 13893.575 13195.964 14609.217 11249.512 23515.256 62
100 11182.608 10821.744 11612.207 9938.007 14956.983 64
1000 13844.156 12827.558 14648.282 11222.294 22748.784 64
100 10917.346 10799.479 11468.507 9932.302 14708.225 66
1000 13041.994 12794.987 14194.834 11200.844 22049.11 66
100 11137.81 10808.477 11363.776 9913.229 14543.828 68
1000 13547.886 12825.7 13973.218 11161.063 21612.531 68
100 11152.583 10984.588 11543.797 10040.734 14872.237 70
1000 13580.2 13143.518 14507.101 11342.925 22414.847 70
100 11246.21 10906.854 11611.032 10008.205 14782.916 72
1000 13589.02 13038.578 14529.461 11361.031 22378.772 72
100 11099.561 10844.852 11502.595 9973.67 14455.454 74
1000 13605.312 12987.459 14400.789 11303.831 21556.965 74
100 11196.01 10845.923 11572.881 9943.493 14572.919 76
1000 14018.518 13040.687 14632.348 11338.296 22104.57 76
100 11325.831 10853.311 11398.117 9927.98 14360.722 78
1000 13999.373 13008.204 14233.722 11295.071 21429.154 78
100 10825.013 10737.461 11292.658 9883.167 14137.656 80
1000 13134.369 12816.905 14134.901 11241.667 20919.294 80
100 10904.375 10697.632 11254.649 9848.107 14020.058 82
1000 13416.564 12792.316 14059.461 11215.593 20632.97 82
100 11248.09 10691.004 11319.386 9821.743 13894.981 84
1000 14268.519 12838.157 14322.579 11196.906 20445.404 84
100 11501.447 10901.948 11556.44 9995.586 14222.635 86
1000 14339.818 13227.091 14540.613 11404.098 21112.847 86
