"an" "mp" "mp2.5" "mp97.5" "param2.5" "param97.5" "tot2.5" "tot97.5"
1971 5477.34 5340.38 5610.64 4829.93 5793.13 4851.61 5872.63
1972 5922.16 5792.89 6075.18 5277.11 6274.35 5233.06 6331.22
1973 5078.41 4934.7 5195.35 4455.28 5384.47 4410.95 5442.15
1974 3852.46 3743.17 3959.62 3292.72 4115.03 3337.73 4183.31
1975 3330.45 3233.7 3441.47 2810.47 3593.89 2817.99 3681.14
1976 8365.99 8196.83 8543.39 8149.21 8554.55 8071.11 8661.95
1977 7615.02 7450.92 7785.78 7433.85 7798.08 7309.59 7922.35
1978 7370.94 7209.94 7528.79 7174.12 7557.63 7072.08 7687.46
1979 6575.85 6447.2 6716.36 6424.78 6751.63 6309.04 6867.93
1980 4580.86 4462.68 4707.94 4464.51 4719.44 4351.33 4841.98
1981 6047.34 5912.28 6191.38 5911.81 6205.51 5774.16 6306.99
1982 7556.13 7406.92 7718.84 7387.17 7746.56 7290.84 7882.55
1983 6596.55 6461.29 6731.34 6455.72 6752.89 6345.04 6858.74
1984 5479.67 5347.52 5602.44 5344.33 5610.76 5232.8 5749.48
1985 4575.73 4464.38 4696.85 4449.48 4711.26 4335.96 4829.12
1986 6667.69 6536.03 6809.75 6511.68 6826.21 6423.77 6949.74
1987 6388.9 6243.72 6529.4 6238.18 6559.22 6124.18 6675.42
1988 6685.07 6528.53 6823.91 6521.97 6866.96 6421.48 6957.35
1989 5275.42 5155.21 5399.62 5138.76 5399.08 5026.76 5534.16
1990 5297.61 5185.1 5410.95 5184.39 5441.87 5077.09 5530.45
1991 5079.29 4954.27 5188.87 4947.44 5208.44 4853.73 5328.39
1992 5664.72 5523.32 5792.36 5508.15 5812.98 5390.09 5924.36
1993 9108.15 8923.82 9287.7 8872.37 9294.29 8751.65 9410.94
1994 9981.91 9765.44 10188.64 9687.91 10199.53 9595.43 10273.45
1995 6730.87 6593.18 6878.21 6588.53 6886.8 6424.27 7002.52
1996 8570.5 8411.62 8753.24 8362.7 8759.07 8264.4 8855.42
1997 7788.71 7640.15 7940.98 7611.4 7954.92 7499.86 8089.93
1998 4396.23 4285.44 4509.23 4278.53 4508.23 4154.21 4629.33
1999 6157.84 6019.07 6284.72 6006.78 6298.68 5912.83 6429.19
2000 7076.75 6924.91 7228.68 6904.81 7244.38 6802.31 7386.49
2001 6789.41 6667.16 6932.49 6657.29 6957.71 6490.79 7065.35
2002 9812.09 9622.8 9996.36 9554.57 9996.6 9449.5 10117.36
2003 11533.69 11300.39 11757.27 11208.34 11791.07 11133.93 11857.28
2004 5671.45 5548.93 5794.06 5439.31 6063.23 5371.22 6135.27
2005 4208.54 4091.71 4309.29 4046.53 4335.53 3961.51 4465.03
2006 5457.11 5329.57 5592.16 5310.47 5608.04 5214.95 5745.19
2007 3968.07 3863.98 4081.4 3845.24 4099.28 3734.56 4217.32
2008 6943.39 6807.43 7118.32 6785.07 7185.34 6699.62 7323.83
2009 6588.39 6446.12 6727.74 6407.81 6826.98 6338.22 6944.35
2010 6194.87 6047.72 6315.89 6026.99 6338.21 5948.19 6440.79
2011 7216.84 7077.52 7362.39 7036.64 7395.7 6907.13 7485.35
2012 5247.76 5120.83 5375.51 5086.6 5402.09 4999.99 5498.95
2013 7138.7 6987.76 7282.97 6960.45 7312.94 6844.47 7438.64
2014 7510.52 7361.92 7657.63 7320.45 7696.59 7202.4 7786.12
2015 4422.88 4296.01 4541.49 4284.68 4559.8 4157.27 4670.29
2016 8674.47 8500.39 8841.73 8454.93 8849.44 8385.88 8989.14
2017 4598.05 4490.48 4715.11 4466.11 4813.08 4383.23 4945.28
2018 6130.72 5990.28 6262.2 5973.38 6382.6 5900.43 6473.49
2019 7216.6 7064.01 7364.64 7049 7495.68 6949.54 7610.52
2020 4359.45 4238.57 4480.7 4224.26 4578.33 4098.27 4645.38
