"h" "inf" "sup" "maxpost" "period"
"1" -4 91.35 653.55 350.19 1
"2" -3.99 110.65 666.6 351.05 1
"3" -3.98 101.09 667.22 351.92 1
"4" -3.97 105.58 649.07 352.78 1
"5" -3.96 97.14 654.79 353.65 1
"6" -3.95 97.72 667.45 354.52 1
"7" -3.94 111.23 659.43 355.38 1
"8" -3.93 101.94 671.66 356.25 1
"9" -3.92 106.72 665.44 357.12 1
"10" -3.91 114.76 661.18 357.99 1
"11" -3.9 107.01 676.24 358.87 1
"12" -3.89 116.03 659.19 359.74 1
"13" -3.88 105.53 668.35 360.61 1
"14" -3.87 119.88 670.28 361.49 1
"15" -3.86 119.08 679.56 362.36 1
"16" -3.85 105.95 671.97 363.24 1
"17" -3.84 118.29 675.93 364.11 1
"18" -3.83 96.93 676.64 364.99 1
"19" -3.82 110.1 670.32 365.87 1
"20" -3.81 114.58 671.98 366.75 1
"21" -3.8 127.13 683.67 367.63 1
"22" -3.79 124.06 682.09 368.51 1
"23" -3.78 114.12 675.4 369.39 1
"24" -3.77 109.75 689.61 370.27 1
"25" -3.76 104.25 675.05 371.16 1
"26" -3.75 129.84 692.97 372.04 1
"27" -3.74 116.88 685.58 372.93 1
"28" -3.73 122.08 676.85 373.81 1
"29" -3.72 129.21 689.35 374.7 1
"30" -3.71 117.15 686.88 375.59 1
"31" -3.7 120.29 675.74 376.48 1
"32" -3.69 121.83 692.29 377.37 1
"33" -3.68 119.51 689.32 378.26 1
"34" -3.67 124.61 677.58 379.15 1
"35" -3.66 130.88 688.36 380.04 1
"36" -3.65 110.35 695.79 380.93 1
"37" -3.64 122.07 697.08 381.83 1
"38" -3.63 125.15 692.62 382.72 1
"39" -3.62 131.37 694.72 383.62 1
"40" -3.61 129.97 687.26 384.51 1
"41" -3.6 124.59 689.56 385.41 1
"42" -3.59 125.72 693.4 386.31 1
"43" -3.58 127.6 692.29 387.21 1
"44" -3.57 145.37 705.63 388.1 1
"45" -3.56 135.53 716.79 389.01 1
"46" -3.55 125.59 697.86 389.91 1
"47" -3.54 138.71 706.28 390.81 1
"48" -3.53 142.71 695.45 391.71 1
"49" -3.52 126.63 711.55 392.62 1
"50" -3.51 131.29 709.93 393.52 1
"51" -3.5 132.69 701.52 394.43 1
"52" -3.49 141.13 703.05 395.33 1
"53" -3.48 150.52 706.06 396.24 1
"54" -3.47 136.12 710.34 397.15 1
"55" -3.46 139.45 712.15 398.06 1
"56" -3.45 149.13 707.15 398.97 1
"57" -3.44 136.92 708.87 399.88 1
"58" -3.43 131.47 716.61 400.79 1
"59" -3.42 134.58 709.53 401.7 1
"60" -3.41 147.83 711.52 402.61 1
"61" -3.4 151.46 707.99 403.53 1
"62" -3.39 140.84 710.97 404.44 1
"63" -3.38 149.66 713.75 405.36 1
"64" -3.37 141.53 725.96 406.27 1
"65" -3.36 136.91 722.75 407.19 1
"66" -3.35 150.61 718.29 408.11 1
"67" -3.34 164.35 718.05 409.03 1
"68" -3.33 149.43 728.98 409.95 1
"69" -3.32 160.13 714.2 410.87 1
"70" -3.31 152.15 730.77 411.79 1
"71" -3.3 149.51 728.25 412.71 1
"72" -3.29 161.93 735.04 413.63 1
"73" -3.28 161.04 730.91 414.56 1
"74" -3.27 154.8 726.41 415.48 1
"75" -3.26 140.42 719.5 416.41 1
"76" -3.25 149.38 736.93 417.33 1
"77" -3.24 164.64 730.04 418.26 1
"78" -3.23 156.48 729.77 419.19 1
"79" -3.22 169.21 738.01 420.12 1
"80" -3.21 155.68 735.53 421.05 1
"81" -3.2 163.84 742.24 421.98 1
"82" -3.19 168.03 742.59 422.91 1
"83" -3.18 152.13 738.4 423.84 1
"84" -3.17 168.35 739.18 424.78 1
"85" -3.16 176.48 743.73 425.71 1
"86" -3.15 151.8 745.63 426.64 1
"87" -3.14 166.51 729.9 427.58 1
"88" -3.13 169.13 738.37 428.52 1
"89" -3.12 164.26 753.32 429.45 1
"90" -3.11 157.18 763.21 430.39 1
"91" -3.1 175.88 739.84 431.33 1
"92" -3.09 166.61 739.4 432.27 1
"93" -3.08 172.89 747.74 433.21 1
"94" -3.07 155.14 748.48 434.15 1
"95" -3.06 158.41 740.85 435.09 1
"96" -3.05 173.73 752.35 436.04 1
"97" -3.04 177.2 747.39 436.98 1
"98" -3.03 165.75 749.55 437.92 1
"99" -3.02 172.04 752.15 438.87 1
"100" -3.01 171.74 751.02 439.82 1
"101" -3 171.15 756.77 440.76 1
"102" -2.99 179.15 759.37 441.71 1
"103" -2.98 158.75 745.97 442.66 1
"104" -2.97 177.71 758.54 443.61 1
"105" -2.96 185.6 759.05 444.56 1
"106" -2.95 175.09 757.31 445.51 1
"107" -2.94 183.78 753.09 446.46 1
"108" -2.93 173.12 765.42 447.42 1
"109" -2.92 178.06 765.16 448.37 1
"110" -2.91 181.72 767.27 449.32 1
"111" -2.9 186.56 767.66 450.28 1
"112" -2.89 176.04 764.5 451.24 1
"113" -2.88 186.87 755.92 452.19 1
"114" -2.87 194.77 754.91 453.15 1
"115" -2.86 198.23 776.55 454.11 1
"116" -2.85 174.24 766.65 455.07 1
"117" -2.84 170 780.42 456.03 1
"118" -2.83 184.56 764.86 456.99 1
"119" -2.82 191.5 772.23 457.95 1
"120" -2.81 186.61 777.06 458.91 1
"121" -2.8 200.45 792.42 459.88 1
"122" -2.79 189.24 778.33 460.84 1
"123" -2.78 192.7 789.17 461.81 1
"124" -2.77 198.4 778.52 462.77 1
"125" -2.76 197.24 784.19 463.74 1
"126" -2.75 187.06 782.68 464.71 1
"127" -2.74 200.63 776.95 465.67 1
"128" -2.73 188.51 787.88 466.64 1
"129" -2.72 190.28 779.89 467.61 1
"130" -2.71 206.96 801.28 468.58 1
"131" -2.7 192.81 784.19 469.56 1
"132" -2.69 188.99 785.55 470.53 1
"133" -2.68 194.63 791.08 471.5 1
