b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      LogPost        k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
  -0.111965E+02  -0.612419E+01  -0.683622E+01  -0.552098E+01  -0.106984E+02  -0.876866E+01  -0.481562E+01  -0.443423E+01  -0.544680E+01  -0.708815E+01  -0.363113E+01   0.157208E+02   0.169405E+01  -0.114156E+01  -0.167146E+01  -0.178656E+01  -0.178526E+01  -0.241722E+01  -0.153008E+01  -0.183701E+01  -0.193463E+01  -0.172988E+01  -0.198646E+01  -0.202909E+01   0.133486E+03   0.171396E+01   0.780504E+01   0.744716E+02   0.164887E+01   0.970497E+02   0.253814E-02  -0.212159E+04  -0.111965E+02   0.273830E+01   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.612419E+01   0.693121E-01   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.683622E+01   0.183595E+00   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.552098E+01  -0.320673E+00   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.106984E+02   0.788189E+00   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.876866E+01   0.127781E+01   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.481562E+01  -0.664976E+00   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.443423E+01  -0.948294E+00   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.544680E+01  -0.272539E+00   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.708815E+01   0.366475E-02   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.363113E+01  -0.139237E+01   0.780504E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.111448E+02  -0.726773E+01  -0.814319E+01  -0.492854E+01  -0.552904E+01  -0.819603E+01  -0.839482E+01  -0.631041E+01  -0.747530E+01  -0.511344E+01  -0.388670E+01   0.136615E+02   0.164236E+01  -0.883478E+00  -0.171479E+01  -0.179638E+01  -0.181868E+01  -0.229234E+01  -0.159870E+01  -0.191166E+01  -0.194783E+01  -0.178388E+01  -0.198646E+01  -0.192759E+01   0.132653E+03   0.171451E+01   0.846747E+01   0.947111E+02   0.166390E+01   0.947716E+02   0.193116E-02  -0.211355E+04  -0.111448E+02   0.232244E+01   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.726773E+01   0.793777E-01   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.814319E+01   0.239315E+00   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.492854E+01  -0.781231E+00   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.552904E+01  -0.121497E+01   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.819603E+01   0.512865E+00   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.839482E+01   0.165337E+00   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.631041E+01  -0.519432E+00   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.747530E+01   0.525475E-01   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.511344E+01  -0.943617E+00   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.388670E+01  -0.125706E+01   0.846747E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.117675E+02  -0.869446E+01  -0.797871E+01  -0.628257E+01  -0.848355E+01  -0.580459E+01  -0.721577E+01  -0.622183E+01  -0.750690E+01  -0.642982E+01  -0.391695E+01   0.113113E+02   0.166161E+01  -0.918924E+00  -0.173702E+01  -0.179638E+01  -0.185303E+01  -0.187617E+01  -0.166002E+01  -0.195083E+01  -0.200051E+01  -0.175844E+01  -0.198203E+01  -0.199919E+01   0.131839E+03   0.171588E+01   0.839512E+01   0.103129E+03   0.165260E+01   0.933763E+02   0.193116E-02  -0.211496E+04  -0.117675E+02   0.213963E+01   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.869446E+01   0.259886E+00   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.797871E+01  -0.134552E-01   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.628257E+01  -0.558258E+00   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.848355E+01   0.242211E-01   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.580459E+01  -0.445278E+00   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.721577E+01  -0.422586E+00   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.622183E+01  -0.764186E+00   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.750690E+01  -0.957617E-01   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.642982E+01  -0.682143E+00   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.391695E+01  -0.141921E+01   0.839512E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.102817E+02  -0.914330E+01  -0.248473E+01  -0.116947E+02  -0.868815E+01  -0.671021E+01  -0.562590E+01  -0.525937E+01  -0.725632E+01  -0.618543E+01  -0.292180E+01   0.105266E+02   0.164422E+01  -0.918924E+00  -0.166620E+01  -0.178706E+01  -0.184406E+01  -0.204274E+01  -0.169791E+01  -0.186785E+01  -0.200051E+01  -0.200992E+01  -0.196706E+01  -0.202161E+01   0.132055E+03   0.171708E+01   0.830639E+01   0.824760E+02   0.164939E+01   0.102782E+03   0.193116E-02  -0.212927E+04  -0.102817E+02   0.151673E+01   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.914330E+01   0.302197E+00   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.248473E+01  -0.157845E+01   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.116947E+02   0.711622E+00   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.868815E+01  -0.282307E+00   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.671021E+01  -0.350044E+00   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.562590E+01  -0.841630E+00   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.525937E+01  -0.110380E+01   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.725632E+01  -0.602535E+00   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.618543E+01  -0.822230E+00   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.292180E+01  -0.175614E+01   0.830639E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.932731E+01  -0.696324E+01  -0.898673E+01  -0.649046E+01  -0.843631E+01  -0.712234E+01  -0.624748E+01  -0.637703E+01  -0.606401E+01  -0.576834E+01  -0.397719E+01   0.157267E+02   0.166874E+01  -0.965018E+00  -0.170491E+01  -0.179618E+01  -0.191733E+01  -0.232225E+01  -0.184593E+01  -0.180660E+01  -0.192837E+01  -0.164231E+01  -0.202614E+01  -0.209324E+01   0.132717E+03   0.171452E+01   0.884100E+01   0.621778E+02   0.167466E+01   0.111665E+03   0.993084E-03  -0.212332E+04  -0.932731E+01   0.212881E+01   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.696324E+01   0.273579E+00   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.898673E+01   0.878726E+00   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.649046E+01  -0.187880E+00   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.843631E+01  -0.343629E-01   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.712234E+01   0.139114E+00   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.624748E+01  -0.125374E+00   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.637703E+01  -0.244301E+00   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.606401E+01   0.319211E-01   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.576834E+01  -0.600541E+00   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.397719E+01  -0.135727E+01   0.884100E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.911948E+01  -0.677092E+01  -0.649169E+01  -0.618257E+01  -0.932532E+01  -0.904207E+01  -0.740451E+01  -0.790783E+01  -0.545479E+01  -0.509818E+01  -0.397264E+01   0.155037E+02   0.164945E+01  -0.102303E+01  -0.169006E+01  -0.178974E+01  -0.181597E+01  -0.198029E+01  -0.188344E+01  -0.186858E+01  -0.195777E+01  -0.188589E+01  -0.203532E+01  -0.198786E+01   0.132695E+03   0.171452E+01   0.838699E+01   0.725376E+02   0.166643E+01   0.858034E+02   0.343870E-02  -0.211807E+04  -0.911948E+01   0.183705E+01   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.677092E+01   0.147781E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.649169E+01  -0.822308E-01   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.618257E+01  -0.224240E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.932532E+01   0.627197E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.904207E+01   0.661197E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.740451E+01   0.125125E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.790783E+01   0.177234E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.545479E+01  -0.571442E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.509818E+01  -0.898374E+00   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.397264E+01  -0.123447E+01   0.838699E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.134906E+02  -0.730212E+01  -0.476883E+01  -0.597078E+01  -0.735019E+01  -0.587267E+01  -0.550209E+01  -0.757701E+01  -0.728858E+01  -0.539429E+01  -0.391380E+01   0.116486E+02   0.166059E+01  -0.933097E+00  -0.170983E+01  -0.180986E+01  -0.185795E+01  -0.209232E+01  -0.156797E+01  -0.196208E+01  -0.195155E+01  -0.172641E+01  -0.194731E+01  -0.202862E+01   0.133503E+03   0.171165E+01   0.828653E+01   0.902877E+02   0.170380E+01   0.819484E+02   0.109763E-02  -0.211938E+04  -0.134906E+02   0.263742E+01   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.730212E+01  -0.699624E-01   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.476883E+01  -0.920743E+00   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.597078E+01  -0.637645E+00   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.735019E+01  -0.546880E+00   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.587267E+01  -0.292965E+00   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.550209E+01  -0.905679E+00   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.757701E+01  -0.302331E+00   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.728858E+01  -0.950359E-01   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.539429E+01  -0.917612E+00   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.391380E+01  -0.145223E+01   0.828653E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.993139E+01  -0.704015E+01  -0.632213E+01  -0.684962E+01  -0.626309E+01  -0.652825E+01  -0.875974E+01  -0.884597E+01  -0.730380E+01  -0.564089E+01  -0.385599E+01   0.128697E+02   0.165392E+01  -0.113471E+01  -0.167289E+01  -0.180986E+01  -0.184622E+01  -0.192164E+01  -0.169183E+01  -0.195414E+01  -0.198493E+01  -0.174045E+01  -0.203489E+01  -0.202143E+01   0.134199E+03   0.170859E+01   0.838170E+01   0.711964E+02   0.165083E+01   0.960764E+02   0.240410E-02  -0.211800E+04  -0.993139E+01   0.156012E+01   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.704015E+01   0.539646E-02   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.632213E+01  -0.388693E+00   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.684962E+01  -0.277140E+00   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.626309E+01  -0.552077E+00   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.652825E+01  -0.172972E+00   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.875974E+01   0.153015E+00   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.884597E+01   0.138674E+00   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.730380E+01  -0.344638E-02   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.564089E+01  -0.888497E+00   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.385599E+01  -0.142145E+01   0.838170E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.994486E+01  -0.623739E+01  -0.682375E+01  -0.818542E+01  -0.790133E+01  -0.689311E+01  -0.487747E+01  -0.829786E+01  -0.683201E+01  -0.573246E+01  -0.342906E+01   0.153434E+02   0.168841E+01  -0.970902E+00  -0.169116E+01  -0.180387E+01  -0.177918E+01  -0.221930E+01  -0.181562E+01  -0.180214E+01  -0.198493E+01  -0.184098E+01  -0.199209E+01  -0.202143E+01   0.133756E+03   0.170816E+01   0.783582E+01   0.777300E+02   0.167970E+01   0.807753E+02   0.238911E-02  -0.211920E+04  -0.994486E+01   0.240629E+01   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.623739E+01   0.382968E-01   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.682375E+01   0.102760E+00   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.818542E+01   0.644610E+00   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.790133E+01  -0.654177E-01   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.689311E+01   0.112552E+00   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.487747E+01  -0.624939E+00   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.829786E+01   0.404115E+00   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.683201E+01   0.548642E-01   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.573246E+01  -0.564773E+00   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.342906E+01  -0.147585E+01   0.783582E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.122520E+02  -0.770390E+01  -0.102521E+02  -0.760899E+01  -0.636600E+01  -0.651526E+01  -0.591190E+01  -0.642437E+01  -0.523980E+01  -0.520025E+01  -0.370239E+01   0.138809E+02   0.168671E+01  -0.940261E+00  -0.175126E+01  -0.180387E+01  -0.169155E+01  -0.234191E+01  -0.134049E+01  -0.190802E+01  -0.197301E+01  -0.181690E+01  -0.201678E+01  -0.206504E+01   0.133115E+03   0.171297E+01   0.781710E+01   0.670125E+02   0.167970E+01   0.105680E+03   0.198575E-02  -0.211873E+04  -0.122520E+02   0.295776E+01   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.770390E+01   0.327232E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.102521E+02   0.112485E+01   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.760899E+01   0.374902E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.636600E+01  -0.925443E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.651526E+01   0.471609E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.591190E+01  -0.498519E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.642437E+01  -0.409398E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.523980E+01  -0.608023E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.520025E+01  -0.890782E+00   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.370239E+01  -0.147790E+01   0.781710E+01   0.000000E+00   0.300000E+01   0.000000E+00
