               b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.183220E+02  -0.107268E+02  -0.120489E+02  -0.116947E+02  -0.129036E+02  -0.118322E+02  -0.114468E+02  -0.108560E+02  -0.989246E+01  -0.797649E+01  -0.504270E+01   0.760251E+01   0.160516E+01  -0.143315E+01  -0.193727E+01  -0.203492E+01  -0.209610E+01  -0.287829E+01  -0.214579E+01  -0.218822E+01  -0.223170E+01  -0.213784E+01  -0.221997E+01  -0.230053E+01   0.115923E+03   0.168128E+01   0.712404E+01   0.255649E+02   0.160362E+01   0.740530E+02   0.376641E-04  -0.183220E+02   0.226395E+00   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.107268E+02  -0.176469E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.120489E+02  -0.184119E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.116947E+02  -0.172861E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.129036E+02  -0.228298E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.118322E+02  -0.183440E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.114468E+02  -0.172177E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.108560E+02  -0.189820E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.989246E+01  -0.179528E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.797649E+01  -0.170061E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.504270E+01  -0.205804E+01   0.712404E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum          -0.449755E+01  -0.168540E+01  -0.203166E+01  -0.184949E+01  -0.219042E+01  -0.184024E+01  -0.272352E+01  -0.275005E+01  -0.263062E+01  -0.300147E+01  -0.233551E+01   0.248198E+02   0.171398E+01   0.103302E+01  -0.152787E+01  -0.160548E+01  -0.155817E+01  -0.698887E+00  -0.107086E+01  -0.171016E+01  -0.182235E+01  -0.158278E+01  -0.178329E+01  -0.178967E+01   0.145996E+03   0.176272E+01   0.919723E+01   0.204216E+03   0.172736E+01   0.128604E+03   0.119725E-01  -0.449755E+01   0.562809E+01   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.168540E+01   0.748791E+00   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.203166E+01   0.159587E+01   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.184949E+01   0.993784E+00   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.219042E+01   0.294854E+01   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.184024E+01   0.260195E+01   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.272352E+01   0.787735E+00   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.275005E+01   0.103626E+01   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.263062E+01   0.174039E+01   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.300147E+01   0.508557E+00   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.233551E+01  -0.684411E+00   0.919723E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.138244E+02   0.904140E+01   0.100172E+02   0.984521E+01   0.107132E+02   0.999196E+01   0.872328E+01   0.810595E+01   0.726184E+01   0.497502E+01   0.270719E+01   0.172173E+02   0.108820E+00   0.246617E+01   0.409400E+00   0.429440E+00   0.537930E+00   0.217940E+01   0.107493E+01   0.478060E+00   0.409350E+00   0.555060E+00   0.436680E+00   0.510860E+00   0.300730E+02   0.814400E-01   0.207319E+01   0.178651E+03   0.123740E+00   0.545510E+02   0.119348E-01   0.138244E+02   0.540170E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.904140E+01   0.251348E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.100172E+02   0.343706E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.984521E+01   0.272239E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.107132E+02   0.523152E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.999196E+01   0.443635E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.872328E+01   0.250950E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.810595E+01   0.293446E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.726184E+01   0.353567E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.497502E+01   0.220917E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.270719E+01   0.137363E+01   0.207319E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.113324E+02  -0.639936E+01  -0.705038E+01  -0.682777E+01  -0.767061E+01  -0.686493E+01  -0.696616E+01  -0.683293E+01  -0.628801E+01  -0.569982E+01  -0.381489E+01   0.144825E+02   0.165926E+01  -0.907686E+00  -0.175009E+01  -0.185371E+01  -0.182989E+01  -0.217105E+01  -0.164403E+01  -0.194291E+01  -0.204373E+01  -0.185971E+01  -0.202857E+01  -0.207793E+01   0.128343E+03   0.172609E+01   0.821843E+01   0.771218E+02   0.166735E+01   0.977457E+02   0.262851E-02  -0.113324E+02   0.261864E+01   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.639936E+01  -0.106376E+00   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.705038E+01  -0.935302E-02   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.682777E+01  -0.562305E-01   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.767061E+01  -0.219916E+00   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.686493E+01   0.215149E+00   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.696616E+01  -0.168536E+00   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.683293E+01  -0.338305E+00   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.628801E+01  -0.276908E+00   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.569982E+01  -0.701212E+00   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.381489E+01  -0.142539E+01   0.821843E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.112743E+02  -0.652839E+01  -0.714037E+01  -0.690888E+01  -0.769122E+01  -0.683831E+01  -0.701361E+01  -0.686128E+01  -0.628334E+01  -0.571048E+01  -0.381180E+01   0.144012E+02   0.165905E+01  -0.949970E+00  -0.175248E+01  -0.185729E+01  -0.183123E+01  -0.217510E+01  -0.164536E+01  -0.194462E+01  -0.204729E+01  -0.185987E+01  -0.203118E+01  -0.208013E+01   0.127840E+03   0.172710E+01   0.821439E+01   0.741368E+02   0.166759E+01   0.975697E+02   0.220205E-02  -0.112743E+02   0.264332E+01   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.652839E+01  -0.306374E-01   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.714037E+01   0.705493E-02   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.690888E+01  -0.173935E-01   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.769122E+01  -0.241952E+00   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.683831E+01   0.191615E+00   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.701361E+01  -0.141960E+00   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.686128E+01  -0.351343E+00   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.628334E+01  -0.289508E+00   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.571048E+01  -0.715360E+00   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.381180E+01  -0.143185E+01   0.821439E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.132881E+02  -0.802743E+01  -0.922435E+01  -0.868093E+01  -0.973100E+01  -0.874875E+01  -0.845138E+01  -0.833724E+01  -0.759518E+01  -0.669663E+01  -0.428510E+01   0.113197E+02   0.163745E+01  -0.113994E+01  -0.182975E+01  -0.193191E+01  -0.192753E+01  -0.241455E+01  -0.182713E+01  -0.204072E+01  -0.212694E+01  -0.197442E+01  -0.211134E+01  -0.218067E+01   0.122226E+03   0.170756E+01   0.782125E+01   0.498429E+02   0.164528E+01   0.881157E+02   0.706241E-03  -0.132881E+02   0.194281E+01   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.802743E+01  -0.767600E+00   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.922435E+01  -0.842219E+00   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.868093E+01  -0.797569E+00   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.973100E+01  -0.108019E+01   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.874875E+01  -0.564052E+00   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.845138E+01  -0.743800E+00   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.833724E+01  -0.945192E+00   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.759518E+01  -0.803209E+00   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.669663E+01  -0.109783E+01   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.428510E+01  -0.165492E+01   0.782125E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.123098E+02  -0.736327E+01  -0.827233E+01  -0.793575E+01  -0.876850E+01  -0.788869E+01  -0.780405E+01  -0.764102E+01  -0.696824E+01  -0.621476E+01  -0.406742E+01   0.128183E+02   0.164792E+01  -0.105230E+01  -0.179481E+01  -0.189902E+01  -0.188279E+01  -0.229796E+01  -0.173623E+01  -0.199594E+01  -0.209089E+01  -0.191931E+01  -0.207526E+01  -0.213406E+01   0.124594E+03   0.171794E+01   0.801582E+01   0.608188E+02   0.165568E+01   0.926667E+02   0.127948E-02  -0.123098E+02   0.231095E+01   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.736327E+01  -0.398909E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.827233E+01  -0.447340E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.793575E+01  -0.436566E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.876850E+01  -0.675901E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.788869E+01  -0.203968E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.780405E+01  -0.453806E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.764102E+01  -0.657812E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.696824E+01  -0.557310E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.621476E+01  -0.927472E+00   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.406742E+01  -0.154947E+01   0.801582E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.102971E+02  -0.553256E+01  -0.592197E+01  -0.580836E+01  -0.659133E+01  -0.587264E+01  -0.617882E+01  -0.603928E+01  -0.560240E+01  -0.518209E+01  -0.356609E+01   0.160440E+02   0.167076E+01  -0.824654E+00  -0.170829E+01  -0.181266E+01  -0.177777E+01  -0.204279E+01  -0.154950E+01  -0.189122E+01  -0.199974E+01  -0.179882E+01  -0.198528E+01  -0.202303E+01   0.131231E+03   0.173570E+01   0.843222E+01   0.904930E+02   0.167888E+01   0.102725E+03   0.358368E-02  -0.102971E+02   0.292317E+01   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.553256E+01   0.255080E+00   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.592197E+01   0.465456E+00   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.580836E+01   0.370325E+00   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.659133E+01   0.246337E+00   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.587264E+01   0.620275E+00   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.617882E+01   0.154060E+00   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.603928E+01  -0.235386E-01   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.560240E+01   0.337312E-02   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.518209E+01  -0.502262E+00   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.356609E+01  -0.130603E+01   0.843222E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.948863E+01  -0.452957E+01  -0.475911E+01  -0.481222E+01  -0.557079E+01  -0.495033E+01  -0.541695E+01  -0.525953E+01  -0.497899E+01  -0.472321E+01  -0.334345E+01   0.176229E+02   0.168107E+01  -0.618018E+00  -0.166722E+01  -0.176721E+01  -0.173157E+01  -0.192755E+01  -0.146348E+01  -0.184314E+01  -0.195753E+01  -0.174511E+01  -0.194048E+01  -0.197087E+01   0.135471E+03   0.174272E+01   0.860675E+01   0.108746E+03   0.168959E+01   0.107691E+03   0.506086E-02  -0.948863E+01   0.324315E+01   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.452957E+01   0.440332E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.475911E+01   0.809962E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.481222E+01   0.654259E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.557079E+01   0.657120E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.495033E+01   0.102934E+01   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.541695E+01   0.368588E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.525953E+01   0.270410E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.497899E+01   0.263799E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.472321E+01  -0.279335E+00   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.334345E+01  -0.118530E+01   0.860675E+01   0.000000E+00   0.300000E+01   0.000000E+00
