"b1_1"     "a1"     "c1"     "b2_1"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-0.563936     182.575     1.60565     0.339839     206.052     1.67549     9.48376     86.9995     1.68319     76.9661     0.00232981     -1965.86     -1.50882     8.32939     9.48376     0     3     0
-0.465104     181.898     1.60565     0.0471521     205.78     1.67616     9.26923     40.0881     1.66397     77.1723     0.00232981     -1960.13     -1.56217     6.97385     9.26923     0     3     0
-0.613503     182.019     1.60494     -0.165096     205.388     1.67538     9.41968     68.0341     1.67183     83.7211     0.00232981     -1962.4     -1.50311     6.00165     9.41968     0     3     0
-0.529441     181.607     1.60393     0.577277     206.721     1.67399     9.44807     40.0904     1.65348     69.931     0.00307137     -1964.05     -1.40783     5.40659     9.44807     0     3     0
-0.529441     182.012     1.60419     -0.0167766     206.08     1.67307     9.48391     112.27     1.65744     73.9513     0.00423436     -1968.64     -1.53199     9.32706     9.48391     0     3     0
-0.585553     180.768     1.60841     0.36961     205.446     1.67307     9.41871     84.0845     1.65744     66.8522     0.00689303     -1960.76     -1.5369     8.50522     9.41871     0     3     0
-0.511477     181.004     1.60951     0.10866     205.812     1.67472     9.41871     81.1511     1.66392     85.7989     0.00144261     -1960.37     -1.52595     8.51056     9.41871     0     3     0
-0.566857     180.823     1.60951     0.000130669     205.812     1.67321     9.34624     39.4246     1.65261     85.6056     0.00144261     -1959.29     -1.50485     8.47851     9.34624     0     3     0
-0.46462     180.899     1.61126     -0.0380273     203.18     1.67758     9.73418     58.5813     1.69794     80.8017     0.00602945     -1968.55     -1.53596     7.59115     9.73418     0     3     0
-0.100143     181.651     1.61349     -0.0380273     204.422     1.67988     9.94498     38.4417     1.66544     96.059     0.00475225     -1977.63     -1.48254     5.22167     9.94498     0     3     0
-0.30102     180.675     1.61234     0.972106     208.46     1.67299     9.70465     80.7285     1.65     84.5249     0.00382593     -1965.6     -1.49322     8.24629     9.70465     0     3     0
-0.497412     180.911     1.60931     0.188848     208.881     1.67315     9.86247     87.0176     1.69053     75.5832     0.00476118     -1965.2     -1.55524     9.44605     9.86247     0     3     0
-0.460261     180.952     1.60582     1.04603     206.124     1.67595     9.55378     114.599     1.66189     72.3897     0.00502261     -1964.49     -1.49714     7.6009     9.55378     0     3     0
-0.460261     180.952     1.60582     0.187623     206.124     1.67595     9.40627     60.8348     1.66189     79.7157     0.00342507     -1958.81     -1.4844     8.27903     9.40627     0     3     0
-0.545032     181.646     1.6036     0.0131816     204.87     1.67766     9.39018     88.9215     1.64918     83.0602     0.0015164     -1966.44     -1.52041     8.71023     9.39018     0     3     0
-0.102217     181.361     1.60209     0.0988945     205.573     1.6794     9.41473     68.6294     1.62735     88.9989     0.0015164     -1967.65     -1.53148     8.43622     9.41473     0     3     0
-0.483545     180.726     1.60357     0.356505     210.572     1.6782     8.96955     57.0485     1.64063     70.8231     0.00407829     -1966.26     -1.53881     7.96066     8.96955     0     3     0
-0.483545     180.908     1.60257     0.28883     210.979     1.67201     9.14747     80.2711     1.64063     83.955     0.00430137     -1967.55     -1.57494     8.99861     9.14747     0     3     0
-0.505473     181.113     1.6024     0.887708     210.348     1.6723     9.22504     56.2775     1.68917     87.8031     0.00430137     -1966.15     -1.54322     8.90729     9.22504     0     3     0
-0.653251     180.89     1.60257     0.844382     211.394     1.67431     9.30586     84.9495     1.6741     77.8604     0.000588321     -1964.72     -1.50345     8.2547     9.30586     0     3     0
-0.555082     182.391     1.60352     0.241471     211.516     1.66876     9.45674     78.5832     1.68717     79.8621     0.00401328     -1960.04     -1.56122     8.37595     9.45674     0     3     0
-0.452004     183.211     1.60262     1.08847     211.752     1.66922     9.15144     74.8799     1.68717     75.1352     0.00579807     -1960.45     -1.56122     7.47915     9.15144     0     3     0
-0.114368     182.303     1.6052     -0.0326025     211.901     1.66298     9.37491     83.8951     1.62489     78.4219     0.00196841     -1963.65     -1.63489     8.16291     9.37491     0     3     0
-0.355993     182.243     1.60459     0.833261     210.385     1.66298     9.26546     55.9066     1.67736     80.0914     0.00195961     -1958.75     -1.59785     7.60918     9.26546     0     3     0
-0.469131     180.984     1.60751     0.746013     210.249     1.66363     9.39279     60.9139     1.67736     77.2067     0.00375233     -1959.55     -1.49667     8.79077     9.39279     0     3     0
-0.420859     179.987     1.60746     0.686794     210.264     1.66538     9.11046     48.9634     1.67736     76.8159     0.000621238     -1958.55     -1.56576     6.07588     9.11046     0     3     0
-0.58344     179.987     1.60746     0.2911     208.291     1.66938     9.11046     77.168     1.69355     80.7525     0.00347154     -1962.53     -1.56993     8.41937     9.11046     0     3     0
-0.644608     179.714     1.60799     -0.113176     208.078     1.67161     9.13998     43.3727     1.66829     79.1029     0.00377381     -1960.47     -1.53896     7.02273     9.13998     0     3     0
-0.464293     179.703     1.60532     0.566123     208.48     1.66795     9.22219     51.1918     1.66829     79.1287     0.00156696     -1961.93     -1.57773     7.49115     9.22219     0     3     0
-0.590525     179.703     1.602     0.498494     208.38     1.66964     9.22531     86.1435     1.66952     85.7172     0.00354572     -1965.8     -1.61231     5.87692     9.22531     0     3     0
-0.488899     179.731     1.60205     0.131022     208.458     1.67029     9.31827     49.6103     1.65326     83.8553     0.00177391     -1963.42     -1.60351     8.4934     9.31827     0     3     0
-0.580405     179.915     1.60352     0.213241     208.607     1.66929     9.40479     65.6024     1.66162     80.686     0.00644694     -1967.88     -1.56568     8.67416     9.40479     0     3     0
-0.534671     179.756     1.60394     0.89329     209.062     1.66193     9.48562     86.8958     1.66162     77.0454     0.00983199     -1968.06     -1.60483     8.8043     9.48562     0     3     0
-0.524376     179.883     1.60141     0.386235     204.219     1.66636     9.35378     96.383     1.65552     78.0884     0.00172406     -1965.53     -1.5466     8.7935     9.35378     0     3     0
