"an" "mp" "mp2.5" "mp97.5" "param2.5" "param97.5" "tot2.5" "tot97.5"
1971 6522.91 6350.87 6690.31 5296.25 7028.65 5223.64 7072.32
1972 7080.92 6919.14 7267.61 5771.31 7604.28 5710.06 7686.85
1973 6021.71 5841.09 6168.65 4911.84 6448.47 4848.83 6490.89
1974 4480.34 4342.93 4615.1 3675.14 4808.67 3639.84 4871.14
1975 3824.15 3702.59 3963.66 3163.49 4106.91 3134.7 4114.24
1976 8714.17 8533.08 8904.3 8446.98 9064.24 8390.01 9162.62
1977 7909.12 7730.05 8093.77 7627.11 8209.9 7536.25 8290.63
1978 7642.11 7463.63 7815.24 7366.42 7935.95 7277.97 8001.91
1979 6732.84 6581.45 6898.3 6475.76 6969.72 6392.17 7026.56
1980 4604.88 4487.95 4730.42 4459.82 4713.46 4373.65 4821.54
1981 6111.48 5952.96 6280.65 5897.6 6322.03 5794.31 6377.52
1982 7845.06 7681.73 8021.58 7543.09 8163.18 7521.31 8256.89
1983 6757.21 6598.02 6915.95 6499.69 6997.34 6432.72 7067.08
1984 5488.8 5359.4 5608.85 5321.29 5635.8 5217.88 5725.08
1985 4599.81 4489.63 4719.48 4457.1 4707.19 4359.74 4798.44
1986 6840.98 6685.97 7008.28 6572.31 7063.29 6501.52 7130.04
1987 6512.86 6342.17 6678.17 6260.33 6720.17 6191.57 6811.59
1988 6861.45 6677.14 7024.84 6555.08 7117.37 6504.54 7146.77
1989 5288.73 5170.77 5410.45 5134.9 5406.14 5027.75 5510.45
1990 5310.48 5200.11 5421.54 5163.18 5422.46 5080.44 5497.05
1991 5096.19 4973.22 5203.81 4943.73 5204.75 4854.55 5311.21
1992 5669.68 5531.49 5812.32 5507.58 5834.31 5396.09 5918.63
1993 9509.63 9312.13 9701.9 9240.13 9906.19 9191.13 9998.91
1994 10444.02 10212.82 10664.54 10214.4 10964.49 10171.75 11019.55
1995 6709.8 6576.62 6852.11 6550.27 6845.67 6437.06 6951.12
1996 8465.01 8298.29 8656.99 8230.41 8683.97 8129.3 8745.57
1997 7684.26 7552.99 7817.55 7501.42 7834.14 7385.45 7955.33
1998 4426.04 4316.13 4537.97 4296.11 4531.12 4187.81 4614.39
1999 6154.42 6019.46 6277.65 5984.33 6276.97 5908.73 6353.95
2000 7040.94 6897.18 7181.71 6873.15 7176.76 6776.42 7286.77
2001 6766.36 6648.19 6904.48 6604.48 6905.55 6485.98 6986.2
2002 9769.4 9570.68 9962.76 9526.43 10045.81 9449.39 10156.09
2003 11630.38 11386.29 11864.22 11414.85 12069.85 11378.26 12126.48
2004 5619.99 5500.73 5739.19 5510.4 7324.06 5439.91 7350.95
2005 4376.02 4235.88 4496.99 4179.68 4545.65 4117.4 4658.32
2006 5456.77 5331.94 5588.75 5292.11 5908.55 5243.03 5937.06
2007 3987.77 3884.04 4100.54 3858.41 4115.92 3774.87 4222.24
2008 7445.95 7283.8 7649.58 6796.29 7841.23 6846.88 7929.91
2009 7021.78 6851.69 7188.46 6438.8 7350.55 6404.4 7411.43
2010 6153.85 6011.12 6271.1 5966.88 6604.04 5915.81 6632.48
2011 7138.93 7005.99 7274.57 6958.76 7959.07 6898.76 7956.72
2012 5231.37 5107.04 5356.33 5072 5452.92 4988.76 5483.3
2013 7064.79 6919.63 7200.88 6907.14 7797.87 6810.98 7855.12
2014 7418.14 7274.14 7578.84 7236.38 8241.16 7161.39 8269.16
2015 4420.12 4294.64 4537.27 4266.43 4558.52 4161.76 4625.58
2016 8657.73 8474.56 8834.09 8328.66 9623.53 8260.73 9656.98
2017 4553.95 4448.14 4668.94 4382.01 4783.35 4322.82 4862.94
2018 6048.19 5912.24 6175.31 5879.1 6661.71 5806.6 6692.67
2019 7092.82 6947.25 7230.64 6977.87 8040.21 6906.62 8080.57
2020 4319.06 4199.81 4438.5 4172.28 4498.86 4071.05 4572.61
