"h" "inf" "sup" "maxpost" "period"
"1" -4 0 149.29 0 1
"2" -3.99 0 162.14 0 1
"3" -3.98 0 155.14 0 1
"4" -3.97 0 156.4 0 1
"5" -3.96 0 152.93 0 1
"6" -3.95 0 161.71 0 1
"7" -3.94 0 155.94 0 1
"8" -3.93 0 155.66 0 1
"9" -3.92 0 156.8 0 1
"10" -3.91 0 152.8 0 1
"11" -3.9 0 153.48 0 1
"12" -3.89 0 155.5 0 1
"13" -3.88 0 155.81 0 1
"14" -3.87 0 156.41 0 1
"15" -3.86 0 156.32 0 1
"16" -3.85 0 157.39 0 1
"17" -3.84 0 160.05 0 1
"18" -3.83 0 159.78 0 1
"19" -3.82 0 154.28 0 1
"20" -3.81 0 152.13 0 1
"21" -3.8 0 159.99 0 1
"22" -3.79 0 158.1 0 1
"23" -3.78 0 150.64 0 1
"24" -3.77 0 154.71 0 1
"25" -3.76 0 157.69 0 1
"26" -3.75 0 160.26 0 1
"27" -3.74 0 158.38 0 1
"28" -3.73 0 154.27 0 1
"29" -3.72 0 162.21 0 1
"30" -3.71 0 153.83 0 1
"31" -3.7 0 151.6 0 1
"32" -3.69 0 154.83 0 1
"33" -3.68 0 157.8 0 1
"34" -3.67 0 151.84 0 1
"35" -3.66 0 157.38 0 1
"36" -3.65 0 157.67 0 1
"37" -3.64 0 155.22 0 1
"38" -3.63 0 159.36 0 1
"39" -3.62 0 153.92 0 1
"40" -3.61 0 159.46 0 1
"41" -3.6 0 152 0 1
"42" -3.59 0 157.17 0 1
"43" -3.58 0 152.65 0 1
"44" -3.57 0 154.14 0 1
"45" -3.56 0 161.4 0 1
"46" -3.55 0 158.54 0 1
"47" -3.54 0 158.21 0 1
"48" -3.53 0 149.99 0 1
"49" -3.52 0 157.32 0 1
"50" -3.51 0 155.28 0 1
"51" -3.5 0 147.77 0 1
"52" -3.49 0 151.9 0 1
"53" -3.48 0 150.89 0 1
"54" -3.47 0 157.08 0 1
"55" -3.46 0 161.98 0 1
"56" -3.45 0 154.97 0 1
"57" -3.44 0 161.25 0 1
"58" -3.43 0 157.37 0 1
"59" -3.42 0 159.57 0 1
"60" -3.41 0 153.68 0 1
"61" -3.4 0 149.09 0 1
"62" -3.39 0 162.37 0 1
"63" -3.38 0 145.99 0 1
"64" -3.37 0 160.67 0 1
"65" -3.36 0 150.93 0 1
"66" -3.35 0 155.71 0 1
"67" -3.34 0 160.49 0 1
"68" -3.33 0 161.29 0 1
"69" -3.32 0 155.46 0 1
"70" -3.31 0 154.94 0 1
"71" -3.3 0 163.49 0 1
"72" -3.29 0 166.9 0 1
"73" -3.28 0 157.52 0 1
"74" -3.27 0 152.61 0 1
"75" -3.26 0 152.82 0 1
"76" -3.25 0 152.49 0 1
"77" -3.24 0 150.85 0 1
"78" -3.23 0 155.22 0 1
"79" -3.22 0 153.79 0 1
"80" -3.21 0 161.79 0 1
"81" -3.2 0 154.4 0 1
"82" -3.19 0 162.62 0 1
"83" -3.18 0 154.47 0 1
"84" -3.17 0 159.04 0 1
"85" -3.16 0 153.64 0 1
"86" -3.15 0 157.66 0 1
"87" -3.14 0 157.31 0 1
"88" -3.13 0 155.37 0 1
"89" -3.12 0 154.42 0 1
"90" -3.11 0 154.77 0 1
"91" -3.1 0 153.65 0 1
"92" -3.09 0 157.15 0 1
"93" -3.08 0 154.95 0 1
"94" -3.07 0 156.74 0 1
"95" -3.06 0 149.06 0 1
"96" -3.05 0 148.19 0 1
"97" -3.04 0 158.44 0 1
"98" -3.03 0 167.59 0 1
"99" -3.02 0 156.21 0 1
"100" -3.01 0 157.35 0 1
"101" -3 0 156.68 0 1
"102" -2.99 0 164.26 0 1
"103" -2.98 0 159.04 0 1
"104" -2.97 0 155.59 0 1
"105" -2.96 0 153.29 0 1
"106" -2.95 0 150.34 0 1
"107" -2.94 0 152.4 0 1
"108" -2.93 0 157.86 0 1
"109" -2.92 0 155.92 0 1
"110" -2.91 0 151.23 0 1
"111" -2.9 0 153.21 0 1
"112" -2.89 0 161.16 0 1
"113" -2.88 0 152.62 0 1
"114" -2.87 0 151.54 0 1
"115" -2.86 0 155.87 0 1
"116" -2.85 0 150.8 0 1
"117" -2.84 0 157.37 0 1
"118" -2.83 0 150.98 0 1
"119" -2.82 0 158.26 0 1
"120" -2.81 0 146.08 0 1
"121" -2.8 0 160.87 0 1
"122" -2.79 0 160.33 0 1
"123" -2.78 0 151.61 0 1
"124" -2.77 0 158.09 0 1
"125" -2.76 0 162.59 0 1
"126" -2.75 0 163.14 0 1
"127" -2.74 0 158.75 0 1
"128" -2.73 0 157.58 0 1
"129" -2.72 0 160.02 0 1
"130" -2.71 0 160.14 0 1
"131" -2.7 0 157.1 0 1
"132" -2.69 0 151.52 0 1
"133" -2.68 0 157.43 0 1
"134" -2.67 0 158.51 0 1
"135" -2.66 0 163.07 0 1
"136" -2.65 0 157.53 0 1
"137" -2.64 0 153.3 0 1
"138" -2.63 0 163.13 0 1
"139" -2.62 0 155.94 0 1
"140" -2.61 0 145.21 0 1
"141" -2.6 0 158.66 0 1
"142" -2.59 0 151.68 0 1
"143" -2.58 0 159.13 0 1
"144" -2.57 0 150.92 0 1
"145" -2.56 0 157.72 0 1
"146" -2.55 0 160.4 0 1
"147" -2.54 0 155.94 0 1
"148" -2.53 0 155.53 0 1
"149" -2.52 0 157.15 0 1
"150" -2.51 0 160.03 0 1
"151" -2.5 0 161.36 0 1
"152" -2.49 0 148.34 0 1
"153" -2.48 0 152.16 0 1
"154" -2.47 0 160.46 0 1
"155" -2.46 0 153.37 0 1
"156" -2.45 0 155.13 0 1
"157" -2.44 0 162.79 0 1
"158" -2.43 0 150.47 0 1
"159" -2.42 0 155.33 0 1
"160" -2.41 0 155.49 0 1
"161" -2.4 0 160.89 0 1
"162" -2.39 0 160.57 0 1
"163" -2.38 0 158.23 0 1
"164" -2.37 0 152.92 0 1
"165" -2.36 0 161.66 0 1
"166" -2.35 0 155.45 0 1
"167" -2.34 0 151.61 0 1
"168" -2.33 0 159.1 0 1
"169" -2.32 0 157.23 0 1
"170" -2.31 0 160.98 0 1
"171" -2.3 0 156.41 0 1
"172" -2.29 0 158.52 0 1
"173" -2.28 0 154.65 0 1
"174" -2.27 0 158.55 0 1
"175" -2.26 0 155.67 0 1
"176" -2.25 0 156.59 0 1
"177" -2.24 0 156.63 0 1
"178" -2.23 0 158.3 0 1
"179" -2.22 0 160.59 0 1
"180" -2.21 0 150.8 0 1
"181" -2.2 0 155.47 0 1
"182" -2.19 0 155.39 0 1
"183" -2.18 0 160.64 0 1
"184" -2.17 0 164.53 0 1
"185" -2.16 0 161.85 0 1
"186" -2.15 0 159.38 0 1
"187" -2.14 0 157.82 0 1
"188" -2.13 0 151.72 0 1
"189" -2.12 0 156.31 0 1
"190" -2.11 0 146.82 0 1
"191" -2.1 0 158.92 0 1
"192" -2.09 0 151.54 0 1
"193" -2.08 0 159.55 0 1
"194" -2.07 0 157.82 0 1
"195" -2.06 0 150.55 0 1
"196" -2.05 0 153.81 0 1
"197" -2.04 0 161.13 0 1
"198" -2.03 0 153.26 0 1
"199" -2.02 0 156.98 0 1
"200" -2.01 0 151.78 0 1
"201" -2 0 151.34 0 1
"202" -1.99 0 150.05 0 1
"203" -1.98 0 161.36 0 1
"204" -1.97 0 157.11 0 1
"205" -1.96 0 163.51 0 1
"206" -1.95 0 155.51 0 1
"207" -1.94 0 155.65 0 1
"208" -1.93 0 156.01 0 1
"209" -1.92 0 159.14 0 1
"210" -1.91 0 155.19 0 1
"211" -1.9 0 155.39 0 1
"212" -1.89 0 153.53 0 1
"213" -1.88 0 163.56 0 1
"214" -1.87 0 156.86 0 1
"215" -1.86 0 148.63 0 1
"216" -1.85 0 157.79 0 1
"217" -1.84 0 153.2 0 1
"218" -1.83 0 145.63 0 1
"219" -1.82 0 153.64 0 1
"220" -1.81 0 162.67 0 1
"221" -1.8 0 155.65 0 1
"222" -1.79 0 159.31 0 1
"223" -1.78 0 157.21 0 1
"224" -1.77 0 150.62 0 1
"225" -1.76 0 155.17 0 1
"226" -1.75 0 154.65 0 1
"227" -1.74 0 155.14 0 1
"228" -1.73 0 161.55 0 1
"229" -1.72 0 155.04 0 1
"230" -1.71 0 154.46 0 1
"231" -1.7 0 158.55 0 1
"232" -1.69 0 152.68 0 1
"233" -1.68 0 152.37 0 1
"234" -1.67 0 159.86 0 1
"235" -1.66 0 160.12 0 1
"236" -1.65 0 153.77 0 1
"237" -1.64 0 155.73 0 1
"238" -1.63 0 150.7 0 1
"239" -1.62 0 154.73 0 1
"240" -1.61 0 158.71 0 1
"241" -1.6 0 154.54 0 1
"242" -1.59 0 158.97 0 1
"243" -1.58 0 158.06 0 1
"244" -1.57 0 156.33 0 1
"245" -1.56 0 155.58 0 1
"246" -1.55 0 160.1 0 1
"247" -1.54 0 156.61 0 1
"248" -1.53 0 154.95 0 1
"249" -1.52 0 150.34 0 1
"250" -1.51 0 149.48 0 1
"251" -1.5 0 152.53 0 1
"252" -1.49 0 160.43 0 1
"253" -1.48 0 159.54 0 1
"254" -1.47 0 156.86 0 1
"255" -1.46 0 158.48 0 1
"256" -1.45 0 162.98 0 1
"257" -1.44 0 158.7 0 1
"258" -1.43 0 158.02 0 1
"259" -1.42 0 148.28 0 1
"260" -1.41 0 153.62 0 1
"261" -1.4 0 159.78 0 1
"262" -1.39 0 147.67 0 1
"263" -1.38 0 152.48 0 1
"264" -1.37 0 157.49 0 1
"265" -1.36 0 160.26 0 1
"266" -1.35 0 155.92 0 1
"267" -1.34 0 149.58 0 1
"268" -1.33 0 151.16 0 1
"269" -1.32 0 157.3 0 1
"270" -1.31 0 156.35 0 1
"271" -1.3 0 158.66 0 1
"272" -1.29 0 156.98 0 1
"273" -1.28 0 148.57 0 1
"274" -1.27 0 156.39 0 1
"275" -1.26 0 161.55 0 1
"276" -1.25 0 150.49 0 1
"277" -1.24 0 167.02 0 1
"278" -1.23 0 154.04 0 1
"279" -1.22 0 154.19 0 1
"280" -1.21 0 158.16 0 1
"281" -1.2 0 160.1 0 1
"282" -1.19 0 157.22 0 1
"283" -1.18 0 154.45 0 1
"284" -1.17 0 162.03 0 1
"285" -1.16 0 152.1 0 1
"286" -1.15 0 153.19 0 1
"287" -1.14 0 149.96 0 1
"288" -1.13 0 162.93 0 1
"289" -1.12 0 159.26 0 1
"290" -1.11 0 154.88 0 1
"291" -1.1 0 153.37 0 1
