b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      LogPost        k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
  -0.563936E+00  -0.127391E+01  -0.135849E+01  -0.129757E+01  -0.141584E+01  -0.944725E+00  -0.139436E+01  -0.152680E+01  -0.436055E+00  -0.153190E+01  -0.150882E+01   0.182575E+03   0.160565E+01   0.339839E+00   0.752216E-01   0.221450E+00   0.361108E+00   0.257201E+00   0.561284E+00  -0.730232E+00  -0.158452E+00  -0.285015E+00  -0.131780E+00   0.840714E-02   0.206052E+03   0.167549E+01   0.948376E+01   0.869995E+02   0.168319E+01   0.769661E+02   0.232981E-02  -0.196586E+04  -0.563936E+00   0.591985E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127391E+01   0.766961E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.135849E+01   0.880973E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.129757E+01   0.928229E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.141584E+01   0.923882E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.944725E+00   0.883423E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139436E+01   0.368993E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.152680E+01   0.751981E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.436055E+00   0.124853E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.153190E+01   0.768465E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.150882E+01   0.832939E+01   0.948376E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.465104E+00  -0.127228E+01  -0.138589E+01  -0.132580E+01  -0.124637E+01  -0.956321E+00  -0.130173E+01  -0.159948E+01  -0.283047E+00  -0.155642E+01  -0.156217E+01   0.181898E+03   0.160565E+01   0.471521E-01  -0.128570E-01   0.242944E+00   0.310683E+00   0.175346E+00   0.464702E+00  -0.653985E+00  -0.272341E+00  -0.285015E+00  -0.345446E+00  -0.272465E+00   0.205780E+03   0.167616E+01   0.926923E+01   0.400881E+02   0.166397E+01   0.771723E+02   0.232981E-02  -0.196013E+04  -0.465104E+00   0.364622E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127228E+01   0.710133E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.138589E+01   0.893371E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.132580E+01   0.903338E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.124637E+01   0.799123E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.956321E+00   0.827760E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.130173E+01   0.363210E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.159948E+01   0.713653E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.283047E+00  -0.166152E+00   0.926923E+01   0.000000E+00   0.400000E+01   0.000000E+00  -0.155642E+01   0.655616E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156217E+01   0.697385E+01   0.926923E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.613503E+00  -0.127228E+01  -0.139316E+01  -0.133611E+01  -0.157103E+01  -0.113712E+01  -0.131245E+01  -0.160344E+01  -0.326807E+00  -0.149318E+01  -0.150311E+01   0.182019E+03   0.160494E+01  -0.165096E+00  -0.898559E-01   0.197837E+00   0.310683E+00   0.323101E-01   0.147631E-01  -0.543329E+00   0.426039E-01  -0.285015E+00  -0.106203E+00  -0.413703E+00   0.205388E+03   0.167538E+01   0.941968E+01   0.680341E+02   0.167183E+01   0.837211E+02   0.232981E-02  -0.196240E+04  -0.613503E+00   0.312974E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127228E+01   0.674289E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139316E+01   0.879945E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.133611E+01   0.914701E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.157103E+01   0.868594E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.113712E+01   0.671117E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.131245E+01   0.437814E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.160344E+01   0.887576E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.326807E+00   0.403814E+00   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.149318E+01   0.762401E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.150311E+01   0.600165E+01   0.941968E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.529441E+00  -0.127228E+01  -0.141275E+01  -0.142892E+01  -0.161371E+01  -0.127468E+01  -0.134525E+01  -0.155115E+01  -0.385510E+00  -0.156159E+01  -0.140783E+01   0.181607E+03   0.160393E+01   0.577277E+00  -0.399612E-01   0.316408E+00   0.308937E+00   0.122123E+00  -0.199920E-01  -0.577083E+00  -0.272809E+00  -0.359158E+00  -0.296724E+00  -0.413703E+00   0.206721E+03   0.167399E+01   0.944807E+01   0.400904E+02   0.165348E+01   0.699310E+02   0.307137E-02  -0.196405E+04  -0.529441E+00   0.689979E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127228E+01   0.683188E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.141275E+01   0.927315E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.142892E+01   0.930115E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.161371E+01   0.910609E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127468E+01   0.694863E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.134525E+01   0.420124E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.155115E+01   0.679777E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.385510E+00   0.145594E+00   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156159E+01   0.671579E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.140783E+01   0.540659E+01   0.944807E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.529441E+00  -0.124277E+01  -0.140485E+01  -0.144601E+01  -0.161937E+01  -0.121564E+01  -0.133360E+01  -0.164741E+01  -0.409744E+00  -0.158216E+01  -0.153199E+01   0.182012E+03   0.160419E+01  -0.167766E-01  -0.976415E-02   0.179938E+00   0.277498E+00  -0.330425E+00  -0.477184E+00  -0.609495E+00  -0.709871E+00  -0.359158E+00  -0.153688E+00   0.187855E+00   0.206080E+03   0.167307E+01   0.948391E+01   0.112270E+03   0.165744E+01   0.739513E+02   0.423436E-02  -0.196864E+04  -0.529441E+00   0.359867E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.124277E+01   0.703649E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.140485E+01   0.875055E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.144601E+01   0.943201E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.161937E+01   0.696299E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.121564E+01   0.427755E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.133360E+01   0.407510E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.164741E+01   0.499390E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.409744E+00   0.392307E+00   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.158216E+01   0.774793E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.153199E+01   0.932706E+01   0.948391E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.585553E+00  -0.131229E+01  -0.140578E+01  -0.136767E+01  -0.144441E+01  -0.958908E+00  -0.127169E+01  -0.160213E+01  -0.855602E+00  -0.151085E+01  -0.153690E+01   0.180768E+03   0.160841E+01   0.369610E+00   0.334236E-01   0.270253E+00   0.301391E+00  -0.123434E+00  -0.427421E+00  -0.609495E+00  -0.111247E+00  -0.272133E+00   0.133138E+00  -0.397831E-02   0.205446E+03   0.167307E+01   0.941871E+01   0.840845E+02   0.165744E+01   0.668522E+02   0.689303E-02  -0.196076E+04  -0.585553E+00   0.624114E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.131229E+01   0.771094E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.140578E+01   0.940338E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.136767E+01   0.940435E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.144441E+01   0.744276E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.958908E+00   0.331903E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127169E+01   0.381816E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.160213E+01   0.821278E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.855602E+00   0.374866E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.151085E+01   0.912737E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.153690E+01   0.850522E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.511477E+00  -0.126601E+01  -0.140058E+01  -0.135724E+01  -0.118107E+01  -0.102513E+01  -0.140557E+01  -0.151694E+01  -0.608142E+00  -0.158174E+01  -0.152595E+01   0.181004E+03   0.160951E+01   0.108660E+00  -0.256800E-01   0.265960E+00   0.311211E+00  -0.521929E+00  -0.263111E+00  -0.624236E+00   0.671421E-01  -0.294088E+00  -0.544748E-01   0.134270E-01   0.205812E+03   0.167472E+01   0.941871E+01   0.811511E+02   0.166392E+01   0.857989E+02   0.144261E-02  -0.196037E+04  -0.511477E+00   0.430293E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.126601E+01   0.714189E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.140058E+01   0.931453E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.135724E+01   0.936801E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.118107E+01   0.387186E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.102513E+01   0.464670E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.140557E+01   0.438099E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.151694E+01   0.875899E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.608142E+00   0.222922E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.158174E+01   0.838976E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.152595E+01   0.851056E+01   0.941871E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.566857E+00  -0.126601E+01  -0.138776E+01  -0.137556E+01  -0.136925E+01  -0.989581E+00  -0.135641E+01  -0.157597E+01  -0.100963E+01  -0.155648E+01  -0.150485E+01   0.180823E+03   0.160951E+01   0.130669E-03   0.602908E-01   0.258890E+00   0.242156E+00  -0.547627E+00   0.381970E+00  -0.618946E+00  -0.126474E-01  -0.398477E+00  -0.162780E+00   0.134270E-01   0.205812E+03   0.167321E+01   0.934624E+01   0.394246E+02   0.165261E+01   0.856056E+02   0.144261E-02  -0.195929E+04  -0.566857E+00   0.393417E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.126601E+01   0.766641E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.138776E+01   0.928795E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.137556E+01   0.914476E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.136925E+01   0.468254E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.989581E+00   0.819237E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.135641E+01   0.419238E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.157597E+01   0.865121E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.100963E+01   0.376708E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.155648E+01   0.774720E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.150485E+01   0.847851E+01   0.934624E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.464620E+00  -0.126601E+01  -0.139145E+01  -0.143660E+01  -0.159175E+01  -0.880788E+00  -0.128653E+01  -0.154760E+01  -0.124407E+01  -0.156275E+01  -0.153596E+01   0.180899E+03   0.161126E+01  -0.380273E-01  -0.415666E-01   0.239518E+00   0.251776E+00  -0.713878E+00  -0.881849E+00  -0.753420E+00  -0.993668E-01   0.125518E+00  -0.343031E-02  -0.212495E+00   0.203180E+03   0.167758E+01   0.973418E+01   0.585813E+02   0.169794E+01   0.808017E+02   0.602945E-02  -0.196855E+04  -0.464620E+00   0.326919E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.126601E+01   0.730415E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139145E+01   0.942858E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.143660E+01   0.969411E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.159175E+01   0.497039E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.880788E+00  -0.736629E+00   0.973418E+01   0.000000E+00   0.400000E+01   0.000000E+00  -0.128653E+01   0.314699E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.154760E+01   0.827263E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.124407E+01   0.814031E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156275E+01   0.886731E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.153596E+01   0.759115E+01   0.973418E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.100143E+00  -0.123504E+01  -0.139145E+01  -0.143350E+01  -0.127348E+01  -0.983113E+00  -0.128619E+01  -0.159601E+01  -0.124407E+01  -0.150403E+01  -0.148254E+01   0.181651E+03   0.161349E+01  -0.380273E-01   0.480024E-01   0.298979E+00   0.271359E+00  -0.117498E+01  -0.881849E+00  -0.543799E+00  -0.679467E-01   0.242208E+00   0.836537E-01  -0.574707E+00   0.204422E+03   0.167988E+01   0.994498E+01   0.384417E+02   0.166544E+01   0.960590E+02   0.475225E-02  -0.197763E+04  -0.100143E+00   0.844223E+00   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.123504E+01   0.762130E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139145E+01   0.969779E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.143350E+01   0.973331E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127348E+01   0.664649E-02   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.983113E+00   0.321378E+00   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.128619E+01   0.442753E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.159601E+01   0.861382E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.124407E+01   0.873728E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.150403E+01   0.903019E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.148254E+01   0.522167E+01   0.994498E+01   0.000000E+00   0.300000E+01   0.000000E+00
