               b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.888401E+00  -0.147443E+01  -0.160216E+01  -0.156738E+01  -0.212606E+01  -0.146944E+01  -0.160649E+01  -0.177646E+01  -0.156677E+01  -0.175164E+01  -0.179297E+01   0.164023E+03   0.156975E+01  -0.301669E+00  -0.336427E+00  -0.780595E-01  -0.892418E-01  -0.155270E+01  -0.101680E+01  -0.902296E+00  -0.871477E+00  -0.554444E+00  -0.994983E+00  -0.742878E+00   0.191068E+03   0.160897E+01   0.860436E+01   0.200102E+02   0.159796E+01   0.595192E+02   0.428754E-04  -0.888401E+00  -0.104503E+00   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.147443E+01   0.608663E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.160216E+01   0.823223E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156738E+01   0.788192E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.212606E+01  -0.132032E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.146944E+01  -0.834841E+00   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.160649E+01   0.156601E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.177646E+01   0.436120E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156677E+01  -0.352475E+00   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.175164E+01   0.222532E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.179297E+01   0.363429E+01   0.860436E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum           0.220994E+00  -0.115332E+01  -0.127776E+01  -0.108863E+01  -0.742873E+00  -0.485935E+00  -0.111764E+01  -0.142771E+01   0.132288E+00  -0.131397E+01  -0.134364E+01   0.200278E+03   0.164192E+01   0.164653E+01   0.860078E+00   0.112362E+01   0.117627E+01   0.112820E+01   0.131984E+01   0.769656E+00   0.896772E+00   0.100480E+01   0.107380E+01   0.706494E+00   0.258231E+03   0.170442E+01   0.999002E+01   0.211092E+03   0.172256E+01   0.102950E+03   0.141446E-01   0.220994E+00   0.982873E+01   0.999002E+01   0.000000E+00   0.400000E+01   0.000000E+00  -0.115332E+01   0.901295E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127776E+01   0.987334E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.108863E+01   0.993329E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.742873E+00   0.981221E+01   0.999002E+01   0.000000E+00   0.400000E+01   0.000000E+00  -0.485935E+00   0.968408E+01   0.999002E+01   0.000000E+00   0.400000E+01   0.000000E+00  -0.111764E+01   0.990313E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.142771E+01   0.991673E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00   0.132288E+00   0.976767E+01   0.999002E+01   0.000000E+00   0.400000E+01   0.000000E+00  -0.131397E+01   0.983242E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.134364E+01   0.993623E+01   0.999002E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.110939E+01   0.321110E+00   0.324400E+00   0.478750E+00   0.138319E+01   0.983505E+00   0.488850E+00   0.348750E+00   0.169906E+01   0.437670E+00   0.449330E+00   0.362550E+02   0.721700E-01   0.194820E+01   0.119650E+01   0.120168E+01   0.126551E+01   0.268090E+01   0.233664E+01   0.167195E+01   0.176825E+01   0.155924E+01   0.206878E+01   0.144937E+01   0.671630E+02   0.954500E-01   0.138566E+01   0.191082E+03   0.124600E+00   0.434308E+02   0.141017E-01   0.110939E+01   0.993323E+01   0.138566E+01   0.000000E+00   0.100000E+01   0.000000E+00   0.321110E+00   0.292632E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.324400E+00   0.164111E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.478750E+00   0.205137E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.138319E+01   0.111325E+02   0.138566E+01   0.000000E+00   0.100000E+01   0.000000E+00   0.983505E+00   0.105189E+02   0.138566E+01   0.000000E+00   0.100000E+01   0.000000E+00   0.488850E+00   0.833712E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.348750E+00   0.555553E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.169906E+01   0.101201E+02   0.138566E+01   0.000000E+00   0.100000E+01   0.000000E+00   0.437670E+00   0.760710E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.449330E+00   0.630194E+01   0.138566E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.431357E+00  -0.130788E+01  -0.143114E+01  -0.137813E+01  -0.150942E+01  -0.107462E+01  -0.136448E+01  -0.160187E+01  -0.756132E+00  -0.156808E+01  -0.154279E+01   0.180666E+03   0.160563E+01   0.440871E+00   0.190436E+00   0.448968E+00   0.484683E+00  -0.335549E+00   0.637297E-02  -0.460829E+00  -0.237735E-01  -0.986940E-01   0.111990E+00  -0.565357E-01   0.217666E+03   0.166461E+01   0.938922E+01   0.687472E+02   0.166399E+01   0.795169E+02   0.327928E-02  -0.431357E+00   0.498279E+01   0.938922E+01   0.000000E+00   0.300120E+01   0.000000E+00  -0.130788E+01   0.742725E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.143114E+01   0.918547E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.137813E+01   0.915248E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.150942E+01   0.551329E+01   0.938922E+01   0.000000E+00   0.300040E+01   0.000000E+00  -0.107462E+01   0.548261E+01   0.938922E+01   0.000000E+00   0.300120E+01   0.000000E+00  -0.136448E+01   0.431202E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.160187E+01   0.753253E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.756132E+00   0.333755E+01   0.938922E+01   0.000000E+00   0.300080E+01   0.000000E+00  -0.156808E+01   0.805956E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.154279E+01   0.716388E+01   0.938922E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.463307E+00  -0.130868E+01  -0.143058E+01  -0.137986E+01  -0.152282E+01  -0.108939E+01  -0.136379E+01  -0.160244E+01  -0.702076E+00  -0.156808E+01  -0.154310E+01   0.180111E+03   0.160606E+01   0.396572E+00   0.176633E+00   0.438384E+00   0.467803E+00  -0.274239E+00   0.407926E-01  -0.482420E+00  -0.233937E-01  -0.162913E+00   0.124934E+00  -0.553520E-01   0.214541E+03   0.166584E+01   0.939184E+01   0.656536E+02   0.166408E+01   0.793884E+02   0.283291E-02  -0.463307E+00   0.524003E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.130868E+01   0.740367E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.143058E+01   0.919766E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.137986E+01   0.917327E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.152282E+01   0.618532E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.108939E+01   0.606787E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.136379E+01   0.425833E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.160244E+01   0.765542E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.702076E+00   0.261797E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156808E+01   0.831332E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.154310E+01   0.715343E+01   0.939184E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.621943E+00  -0.137383E+01  -0.149811E+01  -0.146084E+01  -0.172536E+01  -0.125422E+01  -0.145698E+01  -0.167171E+01  -0.131167E+01  -0.163997E+01  -0.162799E+01   0.172213E+03   0.158662E+01  -0.800775E-01  -0.550787E-01   0.186719E+00   0.215503E+00  -0.108330E+01  -0.674653E+00  -0.654434E+00  -0.405761E+00  -0.354868E+00  -0.240299E+00  -0.361300E+00   0.203814E+03   0.164421E+01   0.910388E+01   0.402234E+02   0.164078E+01   0.716445E+02   0.100040E-02  -0.621943E+00   0.107489E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.137383E+01   0.689250E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.149811E+01   0.885727E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.146084E+01   0.880042E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.172536E+01   0.713966E+00   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.125422E+01   0.947363E+00   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.145698E+01   0.368804E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.167171E+01   0.575963E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.131167E+01   0.420951E+00   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.163997E+01   0.657614E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.162799E+01   0.559564E+01   0.910388E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.549545E+00  -0.134295E+01  -0.146616E+01  -0.142193E+01  -0.163274E+01  -0.117724E+01  -0.141196E+01  -0.163977E+01  -0.112488E+01  -0.160503E+01  -0.158763E+01   0.175724E+03   0.159535E+01   0.564585E-01   0.480268E-01   0.303207E+00   0.336332E+00  -0.746266E+00  -0.408473E+00  -0.579177E+00  -0.231738E+00  -0.273460E+00  -0.533575E-01  -0.216299E+00   0.208019E+03   0.165426E+01   0.924104E+01   0.509924E+02   0.165197E+01   0.752070E+02   0.167600E-02  -0.549545E+00   0.252006E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.134295E+01   0.713861E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.146616E+01   0.902077E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.142193E+01   0.897724E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.163274E+01   0.357431E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.117724E+01   0.346306E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.141196E+01   0.396869E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.163977E+01   0.653083E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.112488E+01   0.107050E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.160503E+01   0.744869E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.158763E+01   0.619432E+01   0.924104E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.349206E+00  -0.127133E+01  -0.139444E+01  -0.133716E+01  -0.139359E+01  -0.992837E+00  -0.131817E+01  -0.156325E+01  -0.399794E+00  -0.152977E+01  -0.149716E+01   0.185554E+03   0.161577E+01   0.794666E+00   0.316823E+00   0.585832E+00   0.629719E+00   0.748105E-01   0.382642E+00  -0.364336E+00   0.179959E+00   0.839705E-02   0.298276E+00   0.106587E+00   0.225823E+03   0.167659E+01   0.954031E+01   0.827411E+02   0.167640E+01   0.838281E+02   0.447550E-02  -0.349206E+00   0.731592E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127133E+01   0.771993E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139444E+01   0.936627E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.133716E+01   0.935173E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.139359E+01   0.793210E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.992837E+00   0.783377E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.131817E+01   0.454181E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.156325E+01   0.860778E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.399794E+00   0.513157E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.152977E+01   0.890584E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.149716E+01   0.815588E+01   0.954031E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.174242E+00  -0.124076E+01  -0.136338E+01  -0.129170E+01  -0.127372E+01  -0.876103E+00  -0.127310E+01  -0.153146E+01  -0.260603E+00  -0.149769E+01  -0.145507E+01   0.190048E+03   0.162291E+01   0.106123E+01   0.447568E+00   0.721791E+00   0.760087E+00   0.297738E+00   0.625270E+00  -0.257622E+00   0.349286E+00   0.248872E+00   0.450419E+00   0.241204E+00   0.235433E+03   0.168422E+01   0.966053E+01   0.101222E+03   0.168649E+01   0.875739E+02   0.606038E-02  -0.174242E+00   0.853843E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.124076E+01   0.799266E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.136338E+01   0.950254E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.129170E+01   0.949104E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127372E+01   0.885613E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.876103E+00   0.875671E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.127310E+01   0.479640E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.153146E+01   0.908999E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.260603E+00   0.719862E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.149769E+01   0.922207E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.145507E+01   0.879339E+01   0.966053E+01   0.000000E+00   0.300000E+01   0.000000E+00
