"b1_2"     "a1"     "c1"     "b2_2"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-6.27754     19.2372     1.65983     -2.17828     100.139     1.79744     8.36287     106.091     1.69705     145.474     0.0049301     -2206.6     -4.90662     -1.76313     8.36287     0     3     0
-6.8721     14.7106     1.66297     -2.17828     100.608     1.79791     8.30541     77.6545     1.66544     138.352     0.0019575     -2207.85     -5.06987     -1.8673     8.30541     0     3     0
-5.78756     21.9666     1.66762     -2.13395     100.55     1.80186     8.27034     95.3334     1.66131     128.313     0.00417303     -2205.79     -4.68536     -1.80662     8.27034     0     3     0
-5.3357     23.0394     1.66762     -2.07957     100.19     1.80137     8.28717     119.361     1.64102     133.733     0.00578677     -2209.43     -4.96494     -1.42553     8.28717     0     3     0
-5.70785     23.0394     1.65068     -2.14171     100.584     1.7981     8.35955     114.453     1.64325     126.022     0.00158015     -2197.79     -4.50499     -1.72178     8.35955     0     3     0
-7.62135     18.0399     1.65368     -2.14171     101.511     1.79328     8.39831     101.474     1.65428     122.679     0.00530552     -2208.08     -4.4382     -1.99407     8.39831     0     3     0
-5.3257     16.8134     1.67295     -2.07054     101.531     1.79428     8.57617     159.334     1.65275     142.602     0.00120917     -2208.33     -4.5622     -2.03079     8.57617     0     3     0
-7.36792     16.4741     1.66457     -2.13556     100.616     1.7939     8.44831     143.37     1.65905     129.186     0.00269472     -2207.62     -4.37999     -2.12926     8.44831     0     3     0
-7.74567     19.268     1.64439     -2.20421     101.319     1.79144     7.94745     44.0716     1.66343     149.382     0.00152884     -2204.83     -4.78589     -1.85626     7.94745     0     3     0
-3.99153     20.6873     1.66613     -2.12714     103.935     1.78487     7.78691     107.108     1.68512     144.078     0.00185424     -2210.96     -4.63493     -1.8082     7.78691     0     3     0
-6.17041     18.7707     1.67305     -2.11547     102.848     1.78887     8.2004     67.9038     1.67603     140.198     0.00161318     -2201.25     -4.5203     -1.91769     8.2004     0     3     0
-6.17041     17.0598     1.655     -2.11547     102.154     1.79     8.2004     51.4798     1.65571     134.814     0.00370401     -2207.51     -4.74138     -1.94732     8.2004     0     3     0
-7.50757     19.6865     1.65623     -2.16132     102.154     1.7891     8.12377     64.5624     1.65709     139.938     0.00370401     -2204.92     -4.90743     -1.65761     8.12377     0     3     0
-6.88654     17.9274     1.6425     -2.16132     101.248     1.78706     7.82049     53.0638     1.70171     144.979     0.00247611     -2212.37     -4.34172     -2.02094     7.82049     0     3     0
