"an" "mp" "mp2.5" "mp97.5" "param2.5" "param97.5" "tot2.5" "tot97.5"
1971 5578.41 5442.3 5714.05 4593.67 5790.99 4555.46 5860.71
1972 6040.6 5903.96 6200.34 4926.18 6244.26 4894.03 6310.59
1973 5182.23 5039.58 5298.31 4154.84 5370.45 4207.92 5463.57
1974 3965.51 3857.05 4071.86 3089.96 4124.73 3091.22 4241.29
1975 3447.38 3351.32 3557.58 2637.08 3595.56 2637.34 3734.3
1976 8321.49 8150.74 8500.43 8085.67 8526.95 7958.59 8687.29
1977 7562.16 7395.63 7735.16 7338.18 7723.18 7141.02 7904.73
1978 7314.33 7150.38 7474.69 7104.16 7502.53 6943.7 7657.26
1979 6496.7 6366.01 6641.76 6341.77 6658.86 6153.17 6858.67
1980 4535.49 4419.9 4659.8 4398.99 4684.03 4233.29 4856.89
1981 5972.08 5839.59 6113.4 5812.15 6120.9 5613.87 6286.42
1982 7502.44 7350.92 7667.37 7303.75 7682.71 7126.45 7878.21
1983 6517.93 6380.2 6657.35 6346.77 6674.57 6189.64 6828.35
1984 5415.48 5285.99 5535.81 5266.71 5546.17 5058.71 5755.68
1985 4530.47 4421.56 4648.96 4389.47 4661.22 4211.73 4840.9
1986 6591.28 6456.01 6739.26 6428.54 6757.93 6288.34 6929.96
1987 6307.62 6164.78 6449.25 6132.46 6463.76 5961.18 6668.71
1988 6609.27 6448.36 6754 6410.95 6764.5 6249.74 6914.79
1989 5215.36 5097.63 5337.05 5076.01 5342.46 4873.58 5551.59
1990 5237.1 5126.9 5348.15 5103.12 5374.04 4928.32 5522.33
1991 5023.29 4900.89 5130.59 4875.52 5155.07 4721.38 5326.15
1992 5596.85 5458.26 5721.99 5428.82 5739.97 5253.85 5926.66
1993 9069.44 8883.83 9250.18 8825.89 9307.57 8641.44 9428.97
1994 9948.47 9730.81 10156.24 9643.86 10242.69 9469.21 10384.3
1995 6669.02 6528.51 6821.78 6493.39 6818.8 6223.85 6998.11
1996 8545.26 8384.77 8729.73 8312.75 8731.2 8170.38 8867.12
1997 7754.22 7603.37 7908.61 7528.7 7897.92 7350.8 8065.78
1998 4370.53 4262.03 4481.2 4229.61 4475.56 4033.96 4663.05
1999 6098.56 5962.23 6223.23 5914.49 6210.42 5747.34 6415.27
2000 7027.96 6870.65 7183.92 6800.74 7170.03 6653.21 7377
2001 6729.44 6603.71 6878.58 6554.06 6857.15 6322.71 7015.58
2002 9796.81 9606.21 9982.3 9519.89 10033.86 9400.55 10146
2003 11442.41 11208.54 11666.52 11226.38 11828.65 11131.38 11976.02
2004 5576.69 5456.85 5696.65 5192.35 6050.32 5167.49 6133.8
2005 4139.64 4025.85 4237.81 3999.72 4318.3 3856.22 4474.63
2006 5402.12 5277.07 5534.56 5220.45 5544.57 5091.42 5706.57
2007 3944.06 3842.28 4054.88 3795.69 4055.88 3623.52 4240.57
2008 6955.02 6812.61 7136.04 6749.28 7211.12 6604.95 7406.62
2009 6586.4 6443.08 6729.68 6363.22 6856.55 6260.79 7014.02
2010 6127.71 5983.23 6246.57 5915.62 6259.66 5760.82 6432.43
2011 7154.73 7009.66 7304.55 6925 7321.28 6721.33 7468.22
2012 5198.4 5073.99 5323.65 4989.65 5334.36 4839.06 5482.56
2013 7073.61 6916.48 7222.95 6820.13 7232.59 6648.47 7417.81
2014 7456.17 7304.08 7606.2 7191.13 7629.14 7017.48 7778.47
2015 4390.38 4266.21 4506.49 4211.85 4517.55 4030.68 4682.94
2016 8636.58 8460.7 8805.46 8337.53 8842.43 8218.1 8965.02
2017 5023.99 4914.12 5143.53 4789.12 5157.25 4643.75 5351.11
2018 6586.48 6443.49 6720.32 6327.97 6748.35 6164.97 6886.62
2019 7713.05 7549.04 7870.25 7392.84 7875.94 7264.89 8035.84
2020 4780.22 4656.64 4904.12 4551.4 4928.36 4356.05 5031.36
