"h" "inf" "sup" "maxpost" "period"
"1" -4 0 654.83 283.02 1
"2" -3.99 0 683.39 283.97 1
"3" -3.98 0 667.67 284.92 1
"4" -3.97 0 668.84 285.87 1
"5" -3.96 0 668.33 286.83 1
"6" -3.95 0 664.67 287.78 1
"7" -3.94 0 673.47 288.73 1
"8" -3.93 11.47 673.74 289.69 1
"9" -3.92 0 675.56 290.65 1
"10" -3.91 0 654.46 291.61 1
"11" -3.9 0 678.71 292.57 1
"12" -3.89 0 674.87 293.53 1
"13" -3.88 0 662.81 294.49 1
"14" -3.87 0 674.47 295.45 1
"15" -3.86 0 678.17 296.42 1
"16" -3.85 0.73 678.7 297.39 1
"17" -3.84 0 696.09 298.35 1
"18" -3.83 1.43 694.61 299.32 1
"19" -3.82 0 679.38 300.29 1
"20" -3.81 1.33 672.56 301.26 1
"21" -3.8 2.28 693.65 302.24 1
"22" -3.79 9.53 702.99 303.21 1
"23" -3.78 0 673.97 304.19 1
"24" -3.77 0 681.98 305.16 1
"25" -3.76 0 691.28 306.14 1
"26" -3.75 17.54 694.63 307.12 1
"27" -3.74 18.32 685.01 308.1 1
"28" -3.73 13.53 677.95 309.08 1
"29" -3.72 19.95 697.52 310.06 1
"30" -3.71 3.25 679.86 311.05 1
"31" -3.7 17.66 675.35 312.03 1
"32" -3.69 14.98 686.35 313.02 1
"33" -3.68 26.82 705.47 314.01 1
"34" -3.67 0.09 697.32 315 1
"35" -3.66 13.05 701.57 315.99 1
"36" -3.65 29.07 706.56 316.98 1
"37" -3.64 27.74 689.61 317.97 1
"38" -3.63 14.4 729.71 318.96 1
"39" -3.62 23.06 695.46 319.96 1
"40" -3.61 13.86 710.61 320.96 1
"41" -3.6 23.01 708.93 321.95 1
"42" -3.59 29.5 702.55 322.95 1
"43" -3.58 26.8 704.07 323.95 1
"44" -3.57 18.14 700.42 324.95 1
"45" -3.56 14.8 719.59 325.96 1
"46" -3.55 22.17 702.32 326.96 1
"47" -3.54 17.6 712.45 327.97 1
"48" -3.53 32.88 699.82 328.97 1
"49" -3.52 31.3 721.35 329.98 1
"50" -3.51 28.16 724.28 330.99 1
"51" -3.5 16.36 717.8 332 1
"52" -3.49 29.64 703.91 333.01 1
"53" -3.48 43.66 717.98 334.02 1
"54" -3.47 27.21 713.77 335.04 1
"55" -3.46 47.34 720.03 336.05 1
"56" -3.45 38.84 715.85 337.07 1
"57" -3.44 45 718.85 338.09 1
"58" -3.43 41.21 738.64 339.11 1
"59" -3.42 30.01 734.4 340.13 1
"60" -3.41 33.58 711.99 341.15 1
"61" -3.4 35.77 708.74 342.17 1
"62" -3.39 27.95 730.37 343.19 1
"63" -3.38 29.04 728.07 344.22 1
"64" -3.37 36.43 730.43 345.24 1
"65" -3.36 50.65 729.39 346.27 1
"66" -3.35 41.95 730.24 347.3 1
"67" -3.34 53.21 747.67 348.33 1
"68" -3.33 46.56 729.77 349.36 1
"69" -3.32 55.71 732.4 350.39 1
"70" -3.31 51.96 736.96 351.43 1
"71" -3.3 54.15 756.6 352.46 1
"72" -3.29 46.15 747.65 353.5 1
"73" -3.28 69.03 739.55 354.53 1
"74" -3.27 56.69 727.26 355.57 1
"75" -3.26 62.31 733.17 356.61 1
"76" -3.25 28.14 744.14 357.65 1
"77" -3.24 68.81 740.9 358.69 1
"78" -3.23 61.22 744.97 359.74 1
"79" -3.22 52.37 759.05 360.78 1
"80" -3.21 52.72 757.65 361.83 1
"81" -3.2 45.8 754.14 362.87 1
"82" -3.19 70.23 753.76 363.92 1
"83" -3.18 55.37 761.48 364.97 1
"84" -3.17 64.3 751.53 366.02 1
"85" -3.16 45.65 755.48 367.07 1
"86" -3.15 45.99 746.63 368.13 1
"87" -3.14 41.92 759.9 369.18 1
"88" -3.13 63.34 764.04 370.24 1
"89" -3.12 49.17 761.75 371.29 1
"90" -3.11 65.11 752.76 372.35 1
"91" -3.1 78.79 761.21 373.41 1
"92" -3.09 73.46 748.82 374.47 1
"93" -3.08 61.18 766.71 375.53 1
"94" -3.07 82.81 753.95 376.59 1
"95" -3.06 52.14 748.27 377.66 1
"96" -3.05 69.15 758.99 378.72 1
"97" -3.04 69.52 766.83 379.79 1
"98" -3.03 72.85 779.92 380.86 1
"99" -3.02 46.3 777.2 381.93 1
"100" -3.01 71.75 774.48 383 1
"101" -3 69.07 775.37 384.07 1
"102" -2.99 79.76 774.92 385.14 1
"103" -2.98 62.25 762.22 386.21 1
"104" -2.97 70.34 770.08 387.29 1
"105" -2.96 76.12 771.21 388.36 1
"106" -2.95 66.64 772.62 389.44 1
"107" -2.94 79.95 768.92 390.52 1
"108" -2.93 69.88 785.31 391.6 1
"109" -2.92 76.55 781.17 392.68 1
"110" -2.91 77.42 786.87 393.76 1
"111" -2.9 71.9 780.09 394.84 1
"112" -2.89 81.56 791.83 395.93 1
"113" -2.88 88.38 796.82 397.01 1
"114" -2.87 83.29 786.53 398.1 1
"115" -2.86 103.42 783.48 399.19 1
"116" -2.85 86.91 786.95 400.28 1
"117" -2.84 72.51 786.32 401.37 1
"118" -2.83 79.14 781.35 402.46 1
"119" -2.82 69.9 801.07 403.55 1
"120" -2.81 76.36 779.18 404.64 1
"121" -2.8 85.55 798.74 405.74 1
"122" -2.79 84.77 806.24 406.84 1
"123" -2.78 93.48 784.44 407.93 1
"124" -2.77 90.42 789.87 409.03 1
"125" -2.76 93.94 800.99 410.13 1
"126" -2.75 81.89 815.62 411.23 1
"127" -2.74 97.39 809.19 412.33 1
"128" -2.73 88.19 811.74 413.44 1
"129" -2.72 111.35 807.18 414.54 1
"130" -2.71 92.53 809.62 415.65 1
"131" -2.7 100.92 813.69 416.75 1
"132" -2.69 112.42 810.98 417.86 1
"133" -2.68 97.52 801.65 418.97 1
"134" -2.67 102.26 819.61 420.08 1
"135" -2.66 103.67 823.78 421.19 1
"136" -2.65 121.27 803.63 422.31 1
"137" -2.64 107.81 806.68 423.42 1
"138" -2.63 85.97 807.91 424.53 1
"139" -2.62 105.1 816.79 425.65 1
"140" -2.61 116.98 810.76 426.77 1
"141" -2.6 103.52 832.49 427.89 1
"142" -2.59 123.79 806.92 429.01 1
"143" -2.58 97.17 828.98 430.13 1
"144" -2.57 119.99 816.04 431.25 1
"145" -2.56 123.15 827.46 432.37 1
"146" -2.55 108.01 817.73 433.5 1
"147" -2.54 112.69 827.63 434.62 1
"148" -2.53 124.34 823.69 435.75 1
"149" -2.52 113.55 816.85 436.88 1
"150" -2.51 106.53 840.06 438.01 1
"151" -2.5 126.19 825.05 439.14 1
"152" -2.49 114.99 807.44 440.27 1
"153" -2.48 131.24 834.2 441.4 1
"154" -2.47 110.31 816.76 442.54 1
"155" -2.46 110.16 835.98 443.67 1
"156" -2.45 126.5 827.05 444.81 1
"157" -2.44 127.85 840.17 445.94 1
"158" -2.43 125.14 825.7 447.08 1
"159" -2.42 114.96 836.54 448.22 1
"160" -2.41 142.12 837.66 449.36 1
"161" -2.4 128.34 840.55 450.51 1
"162" -2.39 109.23 851.58 451.65 1
"163" -2.38 131.44 844.04 452.79 1
"164" -2.37 139.9 847.33 453.94 1
"165" -2.36 134.2 852.9 455.08 1
"166" -2.35 137.03 858.21 456.23 1
"167" -2.34 120.53 844.61 457.38 1
"168" -2.33 133.2 850.96 458.53 1
"169" -2.32 137.2 842.49 459.68 1
"170" -2.31 138.54 848.19 460.84 1
"171" -2.3 147.3 846.01 461.99 1
"172" -2.29 141.19 864.35 463.14 1
"173" -2.28 141.94 855.1 464.3 1
"174" -2.27 131.17 862.05 465.46 1
"175" -2.26 139.52 859.27 466.62 1
"176" -2.25 155.22 865.87 467.77 1
"177" -2.24 140.38 855.4 468.94 1
"178" -2.23 152.73 872.44 470.1 1
"179" -2.22 143.57 857.74 471.26 1
"180" -2.21 143.25 847.99 472.42 1
"181" -2.2 150.97 867.29 473.59 1
"182" -2.19 148.62 868.36 474.76 1
"183" -2.18 160.55 878.88 475.92 1
"184" -2.17 154.92 870.79 477.09 1
"185" -2.16 148.25 875.27 478.26 1
"186" -2.15 162.96 871.53 479.43 1
"187" -2.14 160.96 888.05 480.6 1
"188" -2.13 139.43 871.72 481.78 1
"189" -2.12 153.09 883 482.95 1
"190" -2.11 155.88 859 484.13 1
"191" -2.1 157.61 881.76 485.3 1
"192" -2.09 157.89 872.05 486.48 1
"193" -2.08 153.24 876.65 487.66 1
"194" -2.07 169.8 885.5 488.84 1
"195" -2.06 164.04 880.01 490.02 1
"196" -2.05 172.53 884.14 491.2 1
"197" -2.04 167.7 898.38 492.39 1
"198" -2.03 155.4 873.78 493.57 1
"199" -2.02 174.04 885.82 494.76 1
"200" -2.01 167.22 893.15 495.95 1
"201" -2 169.8 887.99 497.13 1
"202" -1.99 166.65 875.32 498.32 1
"203" -1.98 169.12 893.07 499.51 1
"204" -1.97 166.76 887.13 500.7 1
"205" -1.96 190.36 907.22 501.9 1
"206" -1.95 156.58 895.11 503.09 1
