b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      LogPost        k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
  -0.101868E+02  -0.627754E+01  -0.782226E+01  -0.324326E+01  -0.812898E+01  -0.655913E+01  -0.685062E+01  -0.761122E+01  -0.380835E+01  -0.590293E+01  -0.490662E+01   0.192372E+02   0.165983E+01  -0.146544E+01  -0.217828E+01  -0.227077E+01  -0.216742E+01  -0.238664E+01  -0.223640E+01  -0.235517E+01  -0.247890E+01  -0.224640E+01  -0.243022E+01  -0.291322E+01   0.100139E+03   0.179744E+01   0.836287E+01   0.106091E+03   0.169705E+01   0.145474E+03   0.493010E-02  -0.220660E+04  -0.101868E+02   0.279559E+01   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.627754E+01  -0.327605E-04   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.782226E+01   0.580574E+00   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.324326E+01  -0.150027E+01   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.812898E+01   0.551650E+00   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.655913E+01   0.469182E-01   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.685062E+01   0.893626E-02   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.761122E+01   0.180367E+00   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.380835E+01  -0.131934E+01   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.590293E+01  -0.549997E+00   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.490662E+01  -0.176313E+01   0.836287E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.123629E+02  -0.687210E+01  -0.889250E+01  -0.673230E+01  -0.790186E+01  -0.243958E+01  -0.778876E+01  -0.653102E+01  -0.498460E+01  -0.761211E+01  -0.506987E+01   0.147106E+02   0.166297E+01  -0.107701E+01  -0.217828E+01  -0.225063E+01  -0.222774E+01  -0.259348E+01  -0.199862E+01  -0.239177E+01  -0.247027E+01  -0.223539E+01  -0.236496E+01  -0.287453E+01   0.100608E+03   0.179791E+01   0.830541E+01   0.776545E+02   0.166544E+01   0.138352E+03   0.195750E-02  -0.220785E+04  -0.123629E+02   0.329439E+01   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.687210E+01  -0.189406E+00   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.889250E+01   0.464755E+00   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.673230E+01  -0.310896E+00   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.790186E+01  -0.372638E+00   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.243958E+01  -0.175779E+01   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.778876E+01  -0.137709E+00   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.653102E+01  -0.723575E+00   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.498460E+01  -0.100362E+01   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.761211E+01  -0.167101E+00   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.506987E+01  -0.186730E+01   0.830541E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.839825E+01  -0.578756E+01  -0.569726E+01  -0.749887E+01  -0.772720E+01  -0.727755E+01  -0.544949E+01  -0.632925E+01  -0.633388E+01  -0.585770E+01  -0.468536E+01   0.219666E+02   0.166762E+01  -0.111742E+01  -0.213395E+01  -0.226325E+01  -0.221772E+01  -0.268507E+01  -0.225874E+01  -0.223208E+01  -0.246729E+01  -0.227510E+01  -0.235298E+01  -0.295045E+01   0.100550E+03   0.180186E+01   0.827034E+01   0.953334E+02   0.166131E+01   0.128313E+03   0.417303E-02  -0.220579E+04  -0.839825E+01   0.295545E+01   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.578756E+01   0.753920E-01   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.569726E+01  -0.171925E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.749887E+01   0.844877E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.772720E+01   0.254260E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.727755E+01   0.668522E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.544949E+01  -0.257945E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.632925E+01  -0.146728E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.633388E+01   0.149939E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.585770E+01  -0.223567E+00   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.468536E+01  -0.180662E+01   0.827034E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.791393E+01  -0.533570E+01  -0.750808E+01  -0.436445E+01  -0.823837E+01  -0.773203E+01  -0.733816E+01  -0.814483E+01  -0.639191E+01  -0.727202E+01  -0.496494E+01   0.230394E+02   0.166762E+01  -0.137915E+01  -0.207957E+01  -0.223162E+01  -0.221772E+01  -0.222466E+01  -0.193230E+01  -0.236921E+01  -0.239265E+01  -0.237722E+01  -0.235279E+01  -0.285050E+01   0.100190E+03   0.180137E+01   0.828717E+01   0.119361E+03   0.164102E+01   0.133733E+03   0.578677E-02  -0.220943E+04  -0.791393E+01   0.248578E+01   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.533570E+01   0.642932E-02   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.750808E+01   0.965880E+00   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.436445E+01  -0.773590E+00   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.823837E+01   0.136575E+01   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.773203E+01   0.154464E+01   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.733816E+01   0.662668E+00   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.814483E+01   0.105901E+01   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.639191E+01   0.133123E+00   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.727202E+01   0.652195E+00   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.496494E+01  -0.142553E+01   0.828717E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.791393E+01  -0.570785E+01  -0.767032E+01  -0.719587E+01  -0.704935E+01  -0.738333E+01  -0.605758E+01  -0.683373E+01  -0.613317E+01  -0.574244E+01  -0.450499E+01   0.230394E+02   0.165068E+01  -0.114650E+01  -0.214171E+01  -0.219304E+01  -0.216399E+01  -0.217658E+01  -0.212137E+01  -0.237307E+01  -0.243082E+01  -0.224476E+01  -0.241918E+01  -0.284933E+01   0.100584E+03   0.179810E+01   0.835955E+01   0.114453E+03   0.164325E+01   0.126022E+03   0.158015E-02  -0.219779E+04  -0.791393E+01   0.270981E+01   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.570785E+01   0.592004E-01   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.767032E+01   0.101069E+01   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.719587E+01   0.810388E+00   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.704935E+01   0.715295E+00   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.738333E+01   0.971781E+00   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.605758E+01  -0.108450E+00   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.683373E+01   0.215490E+00   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.613317E+01   0.129027E+00   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.574244E+01  -0.349808E+00   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.450499E+01  -0.172178E+01   0.835955E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.848006E+01  -0.762135E+01  -0.811062E+01  -0.796086E+01  -0.525287E+01  -0.101816E+02  -0.612900E+01  -0.687448E+01  -0.796271E+01  -0.613360E+01  -0.443820E+01   0.180399E+02   0.165368E+01  -0.157171E+01  -0.214171E+01  -0.222280E+01  -0.221364E+01  -0.232023E+01  -0.190480E+01  -0.230896E+01  -0.236144E+01  -0.216253E+01  -0.238185E+01  -0.286408E+01   0.101511E+03   0.179328E+01   0.839831E+01   0.101474E+03   0.165428E+01   0.122679E+03   0.530552E-02  -0.220808E+04  -0.848006E+01   0.165903E+01   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.762135E+01   0.487416E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.811062E+01   0.579743E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.796086E+01   0.529324E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.525287E+01  -0.810919E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.101816E+02   0.188974E+01   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.612900E+01  -0.400734E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.687448E+01  -0.148775E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.796271E+01   0.602899E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.613360E+01  -0.503939E+00   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.443820E+01  -0.199407E+01   0.839831E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.115364E+02  -0.532570E+01  -0.662881E+01  -0.535422E+01  -0.543813E+01  -0.750733E+01  -0.685275E+01  -0.637679E+01  -0.649010E+01  -0.741723E+01  -0.456220E+01   0.168134E+02   0.167295E+01  -0.158432E+01  -0.207054E+01  -0.222459E+01  -0.208003E+01  -0.325933E+01  -0.212000E+01  -0.228371E+01  -0.243373E+01  -0.237682E+01  -0.238185E+01  -0.290345E+01   0.101531E+03   0.179428E+01   0.857617E+01   0.159334E+03   0.165275E+01   0.142602E+03   0.120917E-02  -0.220833E+04  -0.115364E+02   0.281554E+01   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.532570E+01  -0.468184E+00   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.662881E+01  -0.119421E+00   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.535422E+01  -0.469231E+00   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.543813E+01  -0.214367E+01   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.750733E+01   0.405491E+00   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.685275E+01  -0.107508E+00   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.637679E+01  -0.528669E+00   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.649010E+01  -0.397642E+00   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.741723E+01  -0.593644E-02   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.456220E+01  -0.203079E+01   0.857617E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.103021E+02  -0.736792E+01  -0.834671E+01  -0.557706E+01  -0.752600E+01  -0.729176E+01  -0.618498E+01  -0.876993E+01  -0.627244E+01  -0.618644E+01  -0.437999E+01   0.164741E+02   0.166457E+01  -0.177254E+00  -0.213556E+01  -0.227520E+01  -0.224738E+01  -0.263801E+01  -0.218982E+01  -0.247866E+01  -0.243210E+01  -0.236902E+01  -0.236262E+01  -0.290345E+01   0.100616E+03   0.179390E+01   0.844831E+01   0.143370E+03   0.165905E+01   0.129186E+03   0.269472E-02  -0.220762E+04  -0.103021E+02   0.417796E+01   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.736792E+01   0.270201E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.834671E+01   0.474491E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.557706E+01  -0.643816E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.752600E+01  -0.374937E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.729176E+01   0.162008E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.618498E+01  -0.713312E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.876993E+01   0.425741E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.627244E+01  -0.519682E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.618644E+01  -0.547151E+00   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.437999E+01  -0.212926E+01   0.844831E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.985779E+01  -0.774567E+01  -0.870231E+01  -0.456357E+01  -0.537672E+01  -0.628432E+01  -0.796157E+01  -0.707640E+01  -0.700185E+01  -0.614645E+01  -0.478589E+01   0.192680E+02   0.164439E+01  -0.165121E+01  -0.220421E+01  -0.226959E+01  -0.239637E+01  -0.259335E+01  -0.231496E+01  -0.241525E+01  -0.249754E+01  -0.229209E+01  -0.241693E+01  -0.291822E+01   0.101319E+03   0.179144E+01   0.794745E+01   0.440716E+02   0.166343E+01   0.149382E+03   0.152884E-02  -0.220483E+04  -0.985779E+01   0.225736E+01   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.774567E+01   0.559556E+00   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.870231E+01   0.882775E+00   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.456357E+01  -0.118638E+01   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.537672E+01  -0.108595E+01   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.628432E+01  -0.255166E+00   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.796157E+01   0.350654E+00   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.707640E+01  -0.161610E+00   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.700185E+01   0.102572E+00   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.614645E+01  -0.467117E+00   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.478589E+01  -0.185626E+01   0.794745E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.916499E+01  -0.399153E+01  -0.885252E+01  -0.771727E+01  -0.689328E+01  -0.861877E+01  -0.620526E+01  -0.541322E+01  -0.522119E+01  -0.681977E+01  -0.463493E+01   0.206873E+02   0.166613E+01  -0.153661E+01  -0.212714E+01  -0.229128E+01  -0.206284E+01  -0.244015E+01  -0.195945E+01  -0.237210E+01  -0.244807E+01  -0.251546E+01  -0.236856E+01  -0.287599E+01   0.103935E+03   0.178487E+01   0.778691E+01   0.107108E+03   0.168512E+01   0.144078E+03   0.185424E-02  -0.221096E+04  -0.916499E+01   0.246065E+01   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.399153E+01  -0.100208E+01   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.885252E+01   0.119805E+01   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.771727E+01   0.988686E+00   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.689328E+01   0.207116E-01   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.861877E+01   0.157687E+01   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.620526E+01  -0.221879E+00   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.541322E+01  -0.741273E+00   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.522119E+01  -0.943516E+00   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.681977E+01   0.913478E-01   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.463493E+01  -0.180820E+01   0.778691E+01   0.000000E+00   0.300000E+01   0.000000E+00
