               b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
N                 0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04   0.250000E+04
Minimum          -0.149125E+02  -0.100830E+02  -0.108448E+02  -0.105474E+02  -0.123247E+02  -0.111168E+02  -0.101042E+02  -0.101212E+02  -0.995163E+01  -0.912785E+01  -0.533857E+01   0.901808E+01   0.159750E+01  -0.194788E+01  -0.242509E+01  -0.250040E+01  -0.250694E+01  -0.359897E+01  -0.277890E+01  -0.266455E+01  -0.269020E+01  -0.269808E+01  -0.271662E+01  -0.315993E+01   0.906602E+02   0.174174E+01   0.692272E+01   0.268400E+02   0.159787E+01   0.111859E+03   0.278554E-04  -0.149125E+02   0.192969E+00   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.100830E+02  -0.216745E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.108448E+02  -0.230917E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.105474E+02  -0.216075E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.123247E+02  -0.296689E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.111168E+02  -0.204792E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.101042E+02  -0.201548E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.101212E+02  -0.243585E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.995163E+01  -0.201858E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.912785E+01  -0.180650E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.533857E+01  -0.240810E+01   0.692272E+01   0.000000E+00   0.300000E+01   0.000000E+00
Maximum          -0.470383E+01  -0.230024E+01  -0.226461E+01  -0.230539E+01  -0.267901E+01  -0.188399E+01  -0.316648E+01  -0.261275E+01  -0.302686E+01  -0.366701E+01  -0.407664E+01   0.276735E+02   0.171681E+01   0.577034E+00  -0.195250E+01  -0.204185E+01  -0.190519E+01  -0.158320E+01  -0.113053E+01  -0.209723E+01  -0.217082E+01  -0.201082E+01  -0.220568E+01  -0.284021E+01   0.113663E+03   0.183075E+01   0.895873E+01   0.229262E+03   0.172625E+01   0.179664E+03   0.101915E-01  -0.470383E+01   0.533032E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.230024E+01   0.893913E+00   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.226461E+01   0.150914E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.230539E+01   0.111096E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.267901E+01   0.243707E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.188399E+01   0.294232E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.316648E+01   0.905986E+00   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.261275E+01   0.112202E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.302686E+01   0.259688E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.366701E+01   0.923960E+00   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.407664E+01  -0.132994E+01   0.895873E+01   0.000000E+00   0.300000E+01   0.000000E+00
Range             0.102087E+02   0.778276E+01   0.858019E+01   0.824201E+01   0.964569E+01   0.923281E+01   0.693772E+01   0.750845E+01   0.692477E+01   0.546084E+01   0.126193E+01   0.186554E+02   0.119310E+00   0.252491E+01   0.472590E+00   0.458550E+00   0.601750E+00   0.201577E+01   0.164837E+01   0.567320E+00   0.519380E+00   0.687260E+00   0.510940E+00   0.319720E+00   0.230028E+02   0.890100E-01   0.203601E+01   0.202422E+03   0.128380E+00   0.678050E+02   0.101636E-01   0.102087E+02   0.513735E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.778276E+01   0.306136E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.858019E+01   0.381831E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.824201E+01   0.327171E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.964569E+01   0.540396E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.923281E+01   0.499024E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.693772E+01   0.292147E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.750845E+01   0.355787E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.692477E+01   0.461546E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.546084E+01   0.273046E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.126193E+01   0.107816E+01   0.203601E+01   0.000000E+00   0.000000E+00   0.000000E+00
Mean             -0.970277E+01  -0.618773E+01  -0.694759E+01  -0.644328E+01  -0.764730E+01  -0.684978E+01  -0.685636E+01  -0.683854E+01  -0.636599E+01  -0.601203E+01  -0.468038E+01   0.184699E+02   0.165940E+01  -0.129568E+01  -0.217090E+01  -0.227451E+01  -0.219876E+01  -0.261452E+01  -0.203405E+01  -0.237549E+01  -0.245359E+01  -0.234694E+01  -0.244301E+01  -0.288885E+01   0.100793E+03   0.179291E+01   0.800140E+01   0.100716E+03   0.166558E+01   0.139998E+03   0.220614E-02  -0.970277E+01   0.265416E+01   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.618773E+01  -0.130092E+00   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.694759E+01   0.779661E-01   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.644328E+01  -0.472909E-01   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.764730E+01  -0.950160E-01   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.684978E+01   0.388880E+00   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.685636E+01  -0.116083E+00   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.683854E+01  -0.225362E+00   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.636599E+01  -0.283031E+00   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.601203E+01  -0.586707E+00   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.468038E+01  -0.188225E+01   0.800140E+01   0.000000E+00   0.300000E+01   0.000000E+00
Median           -0.973475E+01  -0.630919E+01  -0.705593E+01  -0.655342E+01  -0.770999E+01  -0.684789E+01  -0.692173E+01  -0.688150E+01  -0.636268E+01  -0.601295E+01  -0.468122E+01   0.184948E+02   0.165974E+01  -0.134033E+01  -0.217047E+01  -0.227407E+01  -0.219588E+01  -0.262048E+01  -0.203416E+01  -0.237482E+01  -0.245357E+01  -0.234724E+01  -0.244252E+01  -0.287480E+01   0.100611E+03   0.179239E+01   0.801694E+01   0.974896E+02   0.166548E+01   0.139748E+03   0.181558E-02  -0.973475E+01   0.268478E+01   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.630919E+01  -0.254830E-01   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.705593E+01   0.130345E+00   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.655342E+01   0.437488E-01   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.770999E+01  -0.100399E+00   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.684789E+01   0.368253E+00   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.692173E+01  -0.534077E-01   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.688150E+01  -0.218465E+00   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.636268E+01  -0.305526E+00   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.601295E+01  -0.603163E+00   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.468122E+01  -0.188587E+01   0.801694E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q10%             -0.114179E+02  -0.758870E+01  -0.871225E+01  -0.809528E+01  -0.966752E+01  -0.867218E+01  -0.812054E+01  -0.822062E+01  -0.762481E+01  -0.685018E+01  -0.490667E+01   0.151618E+02   0.163626E+01  -0.157603E+01  -0.225905E+01  -0.236614E+01  -0.231984E+01  -0.295836E+01  -0.228699E+01  -0.248919E+01  -0.254957E+01  -0.248226E+01  -0.254134E+01  -0.295700E+01   0.957891E+02   0.177527E+01   0.760903E+01   0.649870E+02   0.164321E+01   0.128579E+03   0.553524E-03  -0.114179E+02   0.188725E+01   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.758870E+01  -0.878171E+00   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.871225E+01  -0.898456E+00   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.809528E+01  -0.920322E+00   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.966752E+01  -0.120311E+01   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.867218E+01  -0.638413E+00   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.812054E+01  -0.805490E+00   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.822062E+01  -0.962469E+00   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.762481E+01  -0.947952E+00   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.685018E+01  -0.108268E+01   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.490667E+01  -0.208108E+01   0.760903E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q25%             -0.105330E+02  -0.702812E+01  -0.797249E+01  -0.742398E+01  -0.877406E+01  -0.784312E+01  -0.758304E+01  -0.761892E+01  -0.698308E+01  -0.646251E+01  -0.479881E+01   0.165634E+02   0.164793E+01  -0.147630E+01  -0.221941E+01  -0.232673E+01  -0.226391E+01  -0.280763E+01  -0.217328E+01  -0.243473E+01  -0.250477E+01  -0.241849E+01  -0.249376E+01  -0.291079E+01   0.978882E+02   0.178403E+01   0.778965E+01   0.797131E+02   0.165398E+01   0.133180E+03   0.103432E-02  -0.105330E+02   0.233062E+01   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.702812E+01  -0.438693E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.797249E+01  -0.390040E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.742398E+01  -0.484759E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.877406E+01  -0.672377E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.784312E+01  -0.142981E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.758304E+01  -0.439314E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.761892E+01  -0.623964E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.698308E+01  -0.658525E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.646251E+01  -0.845125E+00   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.479881E+01  -0.199472E+01   0.778965E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q75%             -0.883556E+01  -0.543197E+01  -0.602787E+01  -0.555439E+01  -0.654664E+01  -0.589841E+01  -0.618582E+01  -0.610227E+01  -0.570090E+01  -0.556778E+01  -0.455251E+01   0.201228E+02   0.167093E+01  -0.117792E+01  -0.212570E+01  -0.222529E+01  -0.213582E+01  -0.244060E+01  -0.190633E+01  -0.231704E+01  -0.240370E+01  -0.227559E+01  -0.239035E+01  -0.285070E+01   0.103492E+03   0.180351E+01   0.821198E+01   0.118372E+03   0.167702E+01   0.146145E+03   0.301371E-02  -0.883556E+01   0.298949E+01   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.543197E+01   0.290155E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.602787E+01   0.627473E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.555439E+01   0.470279E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.654664E+01   0.506930E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.589841E+01   0.940563E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.618582E+01   0.265214E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.610227E+01   0.181631E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.570090E+01   0.642074E-01   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.556778E+01  -0.332099E+00   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.455251E+01  -0.177534E+01   0.821198E+01   0.000000E+00   0.300000E+01   0.000000E+00
Q90%             -0.802944E+01  -0.454854E+01  -0.499679E+01  -0.460909E+01  -0.558920E+01  -0.502192E+01  -0.545341E+01  -0.539790E+01  -0.516189E+01  -0.515693E+01  -0.445594E+01   0.218171E+02   0.168164E+01  -0.956174E+00  -0.208097E+01  -0.218347E+01  -0.207845E+01  -0.226142E+01  -0.177765E+01  -0.226396E+01  -0.235387E+01  -0.221117E+01  -0.234607E+01  -0.284381E+01   0.106031E+03   0.181068E+01   0.839674E+01   0.140147E+03   0.168779E+01   0.151817E+03   0.431836E-02  -0.802944E+01   0.336357E+01   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.454854E+01   0.469995E+00   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.499679E+01   0.987692E+00   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.460909E+01   0.733493E+00   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.558920E+01   0.103649E+01   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.502192E+01   0.144084E+01   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.545341E+01   0.467453E+00   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.539790E+01   0.549687E+00   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.516189E+01   0.408834E+00   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.515693E+01  -0.747058E-01   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.445594E+01  -0.167291E+01   0.839674E+01   0.000000E+00   0.300000E+01   0.000000E+00
