"b1_2"     "a1"     "c1"     "b2_2"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-5.58342     20.8601     1.62399     -1.31644     171.311     1.63387     8.34917     93.7262     1.63298     79.0244     0.00234193     -1931.1     -5.09091     -0.144418     8.34917     0     3     0
-5.58342     23.7649     1.60913     -1.2987     171.24     1.63387     8.46532     80.0382     1.69089     83.4347     9.356e-05     -1937.04     -4.55919     -0.320708     8.46532     0     3     0
-4.38926     39.3312     1.60348     -1.33871     171.416     1.63316     8.21785     70.3661     1.67627     75.5289     0.00187303     -1937.66     -4.41691     0.149955     8.21785     0     3     0
-3.93317     34.5437     1.6231     -1.28789     172.481     1.62963     8.3727     88.5254     1.69499     83.9053     0.00187303     -1929     -4.6085     0.0851018     8.3727     0     3     0
-3.5275     26.7974     1.58964     -1.35687     171.633     1.63093     8.06218     70.5552     1.71135     103.356     0.000189702     -1935.22     -4.48323     -0.310111     8.06218     0     3     0
-3.65134     11.4335     1.62251     -1.36831     170.603     1.62974     8.58347     83.4207     1.6831     92.011     0.000189702     -1937.34     -4.23055     -1.12587     8.58347     0     3     0
-3.29027     21.3582     1.62379     -1.41028     169.323     1.63107     7.73507     68.7372     1.6831     82.9108     0.00482359     -1935.23     -4.23055     -0.580959     7.73507     0     3     0
-4.99792     29.9923     1.60304     -1.34646     169.896     1.63103     7.86683     52.8543     1.68691     92.1748     0.000386269     -1934.05     -4.95217     -0.0146889     7.86683     0     3     0
-3.54907     20.2467     1.59446     -1.32834     171.574     1.63137     8.16198     57.9638     1.63662     83.6362     0.000613017     -1935.84     -4.33762     -0.581619     8.16198     0     3     0
-4.42674     26.1731     1.62272     -1.34209     170.705     1.63137     7.89315     54.5581     1.70322     89.1704     0.00281186     -1933.89     -3.56961     -0.643458     7.89315     0     3     0
-3.57252     25.619     1.6018     -1.35461     173.089     1.62855     8.04596     60.7446     1.63026     80.0369     0.00366438     -1938.44     -4.21291     -0.419953     8.04596     0     3     0
-3.60776     36.3494     1.62986     -1.30928     172.699     1.63007     8.2797     107.767     1.68434     92.3525     0.0094532     -1941.11     -4.92852     0.424679     8.2797     0     3     0
-3.12545     26.6631     1.62986     -1.33711     172.474     1.63007     8.2681     72.428     1.66881     80.7958     0.00227357     -1929.01     -4.79336     -0.0572599     8.2681     0     3     0
-3.6254     31.5616     1.62782     -1.40328     168.596     1.63472     8.25887     14.9846     1.69764     78.939     0.00266078     -1941.33     -3.9332     -0.289798     8.25887     0     3     0
-5.43445     19.4225     1.62198     -1.40841     167.73     1.63488     8.05943     79.5168     1.63422     75.9518     0.00142191     -1932.96     -5.47269     -0.169946     8.05943     0     3     0
-4.62308     23.7217     1.58534     -1.35999     167.73     1.63889     8.36343     86.357     1.7045     80.3877     0.00160848     -1938.56     -4.65479     -0.482936     8.36343     0     3     0
-2.49239     38.4209     1.6297     -1.32669     168.212     1.63956     8.88673     120.005     1.71305     85.9949     0.00177967     -1930.07     -4.23092     0.153483     8.88673     0     3     0
-3.55383     20.2735     1.62641     -1.36329     167.626     1.6386     8.30256     129.445     1.64791     74.4936     0.00242498     -1930.99     -4.83054     -0.416491     8.30256     0     3     0
-3.1596     23.5427     1.63706     -1.38917     167.329     1.6386     8.41853     80.9     1.66596     80.3029     0.00039086     -1925.79     -4.76362     -0.337344     8.41853     0     3     0
-3.55911     17.9839     1.63782     -1.38917     167.211     1.63784     8.57255     58.0406     1.68259     76.3085     0.000561096     -1934.45     -5.02822     -0.457026     8.57255     0     3     0
-2.73181     22.4513     1.61701     -1.3672     168.222     1.63784     8.35214     72.3622     1.66485     79.1189     0.000350223     -1931.27     -5.15265     -0.325535     8.35214     0     3     0
-1.78496     16.3672     1.63466     -1.372     167.458     1.63601     7.86591     59.0785     1.68225     102.598     0.00278473     -1942.6     -4.35309     -0.69447     7.86591     0     3     0
-2.0365     20.4686     1.62551     -1.38029     166.433     1.64161     8.07262     40.0358     1.70216     75.7094     0.00589717     -1940.87     -4.26543     -0.655429     8.07262     0     3     0
-1.91661     30.3468     1.61683     -1.38229     166.303     1.64098     7.60447     79.6916     1.62725     84.8871     0.00376197     -1937.5     -4.02857     -0.378807     7.60447     0     3     0
-4.31839     18.4331     1.60942     -1.37248     166.092     1.64158     8.26508     88.1094     1.68048     84.9177     0.00187802     -1941.8     -4.30898     -0.833745     8.26508     0     3     0
-4.5937     30.2372     1.63722     -1.36083     166.092     1.64394     8.22204     54.7142     1.68877     80.9161     0.00180688     -1929.13     -5.08182     0.349131     8.22204     0     3     0
-4.884     25.7319     1.6432     -1.33771     166.155     1.64857     7.98605     48.7385     1.68877     84.4725     0.00362705     -1932.24     -5.09781     0.0609626     7.98605     0     3     0
-4.20688     27.8432     1.62657     -1.34903     163.755     1.65328     8.04399     33.352     1.68877     76.2088     0.00394197     -1931.78     -4.66261     -0.0901772     8.04399     0     3     0
-4.15872     33.1412     1.62466     -1.34871     165.288     1.64931     8.12429     76.9122     1.716     88.9461     0.00145048     -1936.17     -4.69647     0.176964     8.12429     0     3     0
-5.05057     24.1408     1.63721     -1.37553     164.534     1.64854     8.12429     34.6898     1.66986     81.414     0.000137619     -1931.24     -4.8437     -0.302497     8.12429     0     3     0
-4.42231     30.6127     1.63685     -1.37553     164.306     1.64852     8.50374     63.8349     1.65116     81.7568     0.00366668     -1934.14     -4.58619     0.0283252     8.50374     0     3     0
-4.21166     15.9677     1.62085     -1.37659     164.034     1.6498     8.78628     94.2668     1.65371     89.7276     6.87122e-05     -1929.24     -4.89625     -0.609866     8.78628     0     3     0
-3.42239     36.7537     1.62618     -1.37659     164.097     1.64937     9.18858     86.3117     1.66655     95.9003     6.87122e-05     -1934.95     -4.7445     0.306816     9.18858     0     3     0
-2.71984     36.1762     1.62236     -1.35813     164.914     1.64937     7.74287     51.1246     1.68413     85.9271     0.00252782     -1936.64     -4.40232     0.0667283     7.74287     0     3     0
-2.35851     25.4052     1.63738     -1.43027     164.358     1.64552     9.05507     98.2511     1.66301     86.8581     0.000699577     -1931.64     -4.84325     -0.0656308     9.05507     0     3     0
-2.08859     24.3036     1.63238     -1.44545     162.069     1.64715     8.26586     102.857     1.66645     80.5831     0.00084561     -1931.75     -5.27732     0.0878254     8.26586     0     3     0
-1.70431     31.3754     1.64547     -1.44545     162.212     1.6464     8.12395     104.452     1.66645     89.8052     0.00084561     -1928.21     -4.87943     0.162875     8.12395     0     3     0
-1.7355     23.0789     1.6431     -1.46104     164.444     1.64605     9.16108     44.1113     1.6483     87.3458     0.00113625     -1939.71     -5.27267     -0.0810877     9.16108     0     3     0
-2.59166     28.048     1.62078     -1.41991     164.473     1.64469     8.66202     153.338     1.66792     93.6492     0.00482616     -1939.86     -5.01468     0.191511     8.66202     0     3     0
-4.45833     25.8361     1.64039     -1.38778     163.828     1.64878     8.9172     76.3253     1.65977     83.9695     0.00300189     -1932.92     -4.84557     -0.0798782     8.9172     0     3     0
-2.0136     38.8471     1.63879     -1.36296     164.162     1.64988     8.62452     119.616     1.62772     86.5587     0.000585821     -1933.73     -4.22598     0.113226     8.62452     0     3     0
-3.33389     40.7179     1.60025     -1.41741     163.599     1.6498     8.78942     98.073     1.68332     75.6054     0.00503072     -1932.48     -4.15297     0.191467     8.78942     0     3     0
-3.64416     20.1333     1.61313     -1.40468     164.892     1.63892     8.75302     135.125     1.65581     86.08     0.000348289     -1937.28     -4.15297     -0.762669     8.75302     0     3     0
-2.04287     39.3315     1.62103     -1.37841     166.313     1.63847     8.56801     114.84     1.69288     81.8284     0.00309596     -1934.48     -3.8537     -0.020689     8.56801     0     3     0
-2.36971     33.4573     1.63312     -1.31678     168.934     1.64025     8.42188     104.593     1.67856     87.6554     0.00252532     -1931.35     -4.72873     0.262076     8.42188     0     3     0
-2.7232     18.3869     1.63264     -1.28604     170.854     1.64149     9.03704     41.0331     1.69858     79.2606     0.00252532     -1935.39     -4.60221     -0.573027     9.03704     0     3     0
-3.53004     31.4477     1.63729     -1.27805     172.274     1.63999     8.1511     38.5916     1.64446     75.3708     0.000695546     -1933.59     -4.60221     0.152579     8.1511     0     3     0
-3.96471     21.0658     1.63346     -1.30387     171.765     1.64029     8.4398     57.837     1.65166     90.9347     0.000248497     -1934.93     -4.62067     -0.451943     8.4398     0     3     0
-3.45076     17.6358     1.63847     -1.30618     171.223     1.63915     7.68518     36.736     1.73772     72.5051     0.0102673     -1942.04     -4.90531     -0.470679     7.68518     0     3     0
-2.9197     20.9617     1.6193     -1.27955     171.294     1.63818     7.93996     39.075     1.73432     71.6324     0.0011789     -1943.16     -5.64847     -0.0941612     7.93996     0     3     0
-2.35453     27.15     1.6311     -1.29688     173.87     1.63218     7.92527     70.3108     1.66923     92.693     0.00311365     -1939.23     -4.91729     0.074906     7.92527     0     3     0
-3.26424     35.2649     1.59638     -1.37097     171.62     1.63037     7.88281     78.2519     1.66923     94.5708     0.000363705     -1933.1     -4.16601     -0.104684     7.88281     0     3     0
-3.21196     25.0907     1.6268     -1.34731     171.605     1.63037     8.763     135.822     1.65767     82.3392     0.000363705     -1928.16     -4.7305     -0.185598     8.763     0     3     0
-3.2716     37.1277     1.62146     -1.34731     171.992     1.62942     7.85119     56.224     1.64024     82.5398     0.00085366     -1929.04     -4.48617     0.209556     7.85119     0     3     0
-3.60744     27.0533     1.61712     -1.32311     172.299     1.62942     8.27297     78.7036     1.64163     81.59     0.00308667     -1931.51     -5.37571     0.107709     8.27297     0     3     0
-3.31362     25.1984     1.61175     -1.37687     171.948     1.62828     8.95383     93.568     1.68077     79.1856     0.00319982     -1933.1     -4.15369     -0.454189     8.95383     0     3     0
-2.0981     24.3958     1.6181     -1.3373     171.793     1.63302     8.26829     43.7648     1.66189     74.4956     0.00549812     -1929.06     -5.10876     0.0221924     8.26829     0     3     0
-3.1359     24.0523     1.61848     -1.31767     172.956     1.63372     8.31154     49.8941     1.69105     79.0912     0.000992014     -1928.24     -4.2979     -0.398822     8.31154     0     3     0
-1.71928     19.8877     1.59952     -1.33392     172.837     1.62936     8.53809     83.589     1.68128     84.8585     0.000539831     -1930.84     -4.94908     -0.224232     8.53809     0     3     0
-2.62798     25.852     1.60637     -1.29673     174.011     1.62842     8.64426     85.5521     1.70988     85.2302     0.00492008     -1935.21     -4.73451     -0.163792     8.64426     0     3     0
-3.22666     22.7984     1.62697     -1.28725     173.046     1.63537     8.43803     75.1343     1.6512     79.1915     0.00134244     -1927.61     -5.04727     -0.203949     8.43803     0     3     0
-3.03139     28.2521     1.62956     -1.30512     172.702     1.63413     8.65593     53.9581     1.66869     88.2302     0.000911137     -1931.55     -5.28575     0.158156     8.65593     0     3     0
-3.62594     32.3685     1.62956     -1.29057     171.658     1.6355     8.00882     54.1109     1.69768     92.9135     0.0036126     -1931.52     -4.63212     0.0753835     8.00882     0     3     0
-2.01215     32.153     1.6261     -1.28324     171.986     1.6355     8.31485     89.2953     1.6858     78.8539     0.00591297     -1934.88     -4.86883     0.237293     8.31485     0     3     0
-3.07934     27.0363     1.57918     -1.35446     171.789     1.63101     8.49593     72.2475     1.67367     80.7956     0.00291399     -1935.31     -5.24205     0.0264432     8.49593     0     3     0
-4.28234     18.2019     1.58143     -1.317     174.175     1.62467     8.49593     116.234     1.63226     85.3368     0.00222434     -1935.22     -5.37024     -0.391347     8.49593     0     3     0
-5.08633     15.4512     1.61372     -1.34814     173.39     1.62592     8.16425     62.8599     1.65108     82.8905     0.00285748     -1931.79     -4.79787     -0.684496     8.16425     0     3     0
-5.08633     18.1365     1.59886     -1.36273     173.724     1.62749     8.45443     89.9594     1.71081     78.641     0.00268038     -1928.27     -4.91795     -0.470895     8.45443     0     3     0
-4.00271     31.1112     1.62369     -1.32977     173.724     1.6265     7.9721     27.1007     1.59152     76.9193     0.0018255     -1943.29     -4.74523     0.0696324     7.9721     0     3     0
-4.16555     30.4767     1.63036     -1.33257     172.864     1.63196     8.04434     42.2381     1.66797     90.1956     0.0018255     -1928.88     -4.8654     0.101007     8.04434     0     3     0
-2.83457     25.1833     1.62282     -1.32294     170.481     1.63358     8.1096     103.059     1.64646     82.4923     0.000662691     -1932.02     -4.66173     -0.110718     8.1096     0     3     0
-2.58612     20.4463     1.56973     -1.34098     170.805     1.62788     8.0611     53.9332     1.65793     78.3087     0.00382307     -1942.76     -6.08889     -0.0530314     8.0611     0     3     0
-4.99467     24.7955     1.62569     -1.33517     171.021     1.63198     8.0611     71.168     1.68826     77.6694     0.000125556     -1927.91     -4.64903     -0.257926     8.0611     0     3     0
-4.3322     26.0247     1.60274     -1.33841     168.752     1.63575     8.21626     105.425     1.67509     79.4546     0.00148281     -1935.59     -5.04803     -0.0550984     8.21626     0     3     0
-4.70927     21.1839     1.62917     -1.35157     169.309     1.63845     7.65301     63.7234     1.67509     82.9518     0.00284065     -1936.05     -5.0331     -0.361813     7.65301     0     3     0
-5.80347     24.789     1.62917     -1.40575     169.081     1.63125     8.44056     100.893     1.66159     77.4188     0.00597376     -1929.82     -5.4205     0.0170677     8.44056     0     3     0
-4.72073     22.8496     1.60494     -1.35232     169.705     1.63283     7.84783     81.7665     1.66459     80.3695     0.00451178     -1932.72     -5.33801     -0.0460841     7.84783     0     3     0
-5.53279     19.1825     1.62014     -1.37532     170.711     1.63163     8.19469     60.687     1.67167     82.8979     0.00168301     -1925.42     -4.91038     -0.467958     8.19469     0     3     0
-5.8837     19.5418     1.63127     -1.35721     171.15     1.63425     8.57057     81.5963     1.74526     94.0243     0.00168301     -1935.26     -5.64227     -0.197388     8.57057     0     3     0
-6.72832     9.12039     1.62418     -1.29255     172.774     1.6333     9.01804     46.6627     1.66599     83.5298     0.00287914     -1935.1     -5.2763     -0.819773     9.01804     0     3     0
-6.80068     13.6795     1.59056     -1.27985     174.244     1.62841     8.04578     79.9513     1.62402     81.0645     0.00129543     -1934.19     -4.43709     -0.8606     8.04578     0     3     0
-5.94921     13.2436     1.62629     -1.23818     176.77     1.62823     8.30056     22.0847     1.62246     90.2645     0.00510356     -1939.96     -5.15713     -0.67572     8.30056     0     3     0
-5.46158     24.2549     1.62291     -1.26044     176.973     1.62634     7.28825     22.2806     1.67352     91.5243     0.00235747     -1935.74     -5.05146     0.0257741     7.28825     0     3     0
-5.64387     24.2549     1.60903     -1.27486     176.411     1.62615     7.94996     50.165     1.66002     89.0556     0.00235747     -1935.27     -5.0232     0.0134381     7.94996     0     3     0
-4.52768     30.3521     1.60183     -1.28     175.833     1.62785     8.66869     30.0349     1.61763     84.1176     0.00235747     -1939.77     -4.84314     0.00464024     8.66869     0     3     0
-4.75651     28.8316     1.62408     -1.29817     174.601     1.62956     8.2839     106.885     1.62592     81.8882     0.00378255     -1934.79     -4.79688     0.0666623     8.2839     0     3     0
-3.37791     24.3787     1.62408     -1.29884     174.388     1.63043     8.25032     62.8069     1.62592     81.6763     0.00532039     -1931.45     -5.53301     0.218941     8.25032     0     3     0
-3.91379     22.865     1.59808     -1.34289     174.539     1.62561     8.53527     55.5588     1.65001     86.2596     0.00223724     -1935.91     -5.10794     -0.0452355     8.53527     0     3     0
-2.49032     46.5123     1.5989     -1.36378     174.193     1.62851     7.98584     55.5588     1.66401     79.7402     0.00223724     -1945.67     -3.99736     0.411723     7.98584     0     3     0
-5.33212     30.6609     1.61444     -1.283     173.936     1.62458     8.36053     76.8235     1.63919     114.665     0.000612772     -1945.41     -4.70747     -0.0933235     8.36053     0     3     0
-4.94447     21.9202     1.60749     -1.283     173.936     1.6304     8.76851     73.9522     1.68681     71.6278     0.0026257     -1930.78     -5.17304     -0.121557     8.76851     0     3     0
-6.49089     14.0655     1.59031     -1.30048     172.746     1.63414     8.71649     68.0258     1.66659     69.7181     0.00179811     -1932.45     -5.07382     -0.648506     8.71649     0     3     0
-5.47699     18.9078     1.6207     -1.28258     172.746     1.63316     8.32985     73.8941     1.66659     77.8328     0.00380382     -1933.5     -3.61362     -0.859642     8.32985     0     3     0
-5.74905     10.9349     1.60224     -1.31733     174.394     1.63036     8.75339     98.4543     1.65511     83.6249     0.00252174     -1937.78     -5.0105     -0.863506     8.75339     0     3     0
-4.75763     29.4124     1.62078     -1.31151     174.394     1.62732     8.65728     75.3327     1.62266     85.5841     0.000612179     -1934.66     -5.26737     0.276171     8.65728     0     3     0
-5.55046     26.3506     1.6095     -1.34999     174.667     1.6242     8.73144     101.064     1.69666     85.4101     0.000408137     -1931.83     -5.49867     0.218429     8.73144     0     3     0
-3.65608     17.2351     1.6217     -1.33218     174.667     1.62337     8.52933     93.0333     1.70141     76.2588     0.00353008     -1935.16     -3.98081     -0.773205     8.52933     0     3     0
-3.30927     18.4703     1.60563     -1.35019     174.667     1.62467     8.54871     94.5332     1.70141     80.8696     0.0014693     -1933.63     -5.34891     -0.365572     8.54871     0     3     0
-3.47332     18.6727     1.60907     -1.3374     175.382     1.62117     8.34933     103.887     1.64877     72.8969     0.00821775     -1931.13     -5.47132     -0.350665     8.34933     0     3     0
