"an" "mp" "mp2.5" "mp97.5" "param2.5" "param97.5" "tot2.5" "tot97.5"
1971 5612.54 5558.65 5666.63 5434.84 5845.73 5365.81 5934.23
1972 6028.62 5973.22 6078.93 5863.43 6285.1 5762.71 6338.25
1973 5239.55 5187.07 5292.22 5062.96 5471.5 5023.35 5546.18
1974 3971.11 3923.98 4018.46 3835.23 4196.18 3764.74 4274.87
1975 3473.65 3428.89 3518.63 3337.67 3677.55 3277.66 3741.19
1976 8336.72 8266.96 8406.92 8219.94 8475.91 8125.37 8613.23
1977 7620.9 7543.36 7686.09 7534.21 7737.12 7399.54 7834
1978 7415.91 7353.06 7479.35 7332.2 7546.06 7236.67 7648
1979 6607.07 6549.67 6664.66 6536.3 6707.81 6406.34 6847.43
1980 4615.29 4570.07 4665.46 4568.24 4699.93 4429.05 4822.18
1981 6097.46 6041.81 6153.3 6022.74 6188.88 5880.57 6297.73
1982 7556.23 7492.11 7620.9 7468.27 7680.77 7360.04 7798.53
1983 6664.66 6607.07 6722.45 6586.26 6768.16 6468.97 6880.77
1984 5474.86 5421.49 5528.44 5403.68 5565.05 5299.62 5693.74
1985 4625.31 4575.31 4675.52 4571.16 4707.98 4436.16 4829.45
1986 6757.21 6699.31 6803.67 6674.97 6860.68 6581.48 6975.93
1987 6458.23 6401.33 6515.32 6382.15 6550.16 6248.66 6665.06
1988 6757.21 6699.31 6815.3 6675.39 6856.44 6569.46 6968.59
1989 5304.77 5252.05 5368.31 5249.03 5401.71 5133.15 5530.2
1990 5389.56 5336.51 5442.81 5323.25 5480.79 5210.81 5586.14
1991 5115.91 5063.92 5168.11 5056.72 5198 4937.54 5317.49
1992 5668.67 5614.57 5722.97 5600.58 5758.85 5502.65 5893.6
1993 8954.32 8880.92 9028.12 8840.24 9091.43 8729.44 9228.53
1994 9960.16 9897.29 10047.4 9790.85 10126.21 9706.16 10237.26
1995 6766.18 6708.25 6824.3 6673.19 6848.43 6550.94 7005.89
1996 8442.58 8358.73 8512.94 8319.64 8547.76 8199.19 8658.51
1997 7764.31 7712.18 7829.94 7663.97 7854.41 7562.71 7981.77
1998 4463.8 4414.48 4513.33 4399.26 4521.14 4276.45 4643.37
1999 6206.79 6150.76 6263.02 6114.83 6267.86 6006.77 6389.56
2000 7094.13 7035.13 7153.32 6991.3 7181.55 6888.21 7303.36
2001 6894.3 6835.95 6952.85 6808.97 6976.8 6668.64 7078.71
2002 9788.32 9710.95 9850.49 9607.53 9907.91 9504.26 10002.39
2003 11641 11555.4 11744.1 11377.23 11887.04 11327.14 11986.97
2004 5708.47 5654.23 5762.92 5572.2 6001.44 5531.94 6070.81
2005 4164.7 4116.68 4212.92 4070.83 4262.89 3976.99 4371.27
2006 5470.29 5416.94 5523.85 5381.97 5560.68 5299.84 5683.31
2007 4073.29 4025.69 4121.11 4001.8 4158.56 3904.45 4269.48
2008 6907.37 6848.97 6965.95 6753.92 7037.58 6680.05 7168.89
2009 6686.48 6617.3 6744.34 6514.8 6802.2 6425.87 6892.98
2010 6264.91 6219.91 6321.34 6166.92 6372.37 6094.98 6490.12
2011 7238.51 7179.05 7298.16 7145.73 7368.14 7022.81 7475.28
2012 5272.49 5219.89 5314.72 5192.59 5359.61 5076.59 5494.75
2013 7179.05 7119.77 7238.51 7093.85 7303.24 6960.19 7421.39
2014 7577.68 7515.56 7640.52 7482.83 7711.2 7364.5 7811.39
2015 4435.84 4386.64 4480.55 4362.44 4518.93 4231.79 4618.84
2016 8606.21 8535.91 8676.95 8495.73 8757.51 8416.2 8870.8
2017 4519.04 4469.48 4568.8 4404.4 4636.03 4331.68 4747.41
2018 6090.19 6034.57 6146.01 5961.45 6223.76 5849.3 6328.98
2019 7219.54 7160.14 7279.14 7071.16 7369.63 6979.74 7489.6
2020 4263.67 4215.22 4312.33 4153.48 4386.92 4064.9 4455.97
