"h" "inf" "sup" "maxpost" "period"
"1" -4 0 181.83 5.17 1
"2" -3.99 0 187.08 5.35 1
"3" -3.98 0 179.47 5.54 1
"4" -3.97 0 175.66 5.73 1
"5" -3.96 0 175.43 5.92 1
"6" -3.95 0 185.74 6.11 1
"7" -3.94 0 184.23 6.31 1
"8" -3.93 0 182.55 6.51 1
"9" -3.92 0 183.5 6.71 1
"10" -3.91 0 190.55 6.92 1
"11" -3.9 0 182.18 7.12 1
"12" -3.89 0 182.4 7.33 1
"13" -3.88 0 181.43 7.54 1
"14" -3.87 0 184.92 7.76 1
"15" -3.86 0 178.95 7.97 1
"16" -3.85 0 194.64 8.19 1
"17" -3.84 0 186.15 8.41 1
"18" -3.83 0 184.46 8.63 1
"19" -3.82 0 179.08 8.85 1
"20" -3.81 0 184.8 9.08 1
"21" -3.8 0 186.98 9.31 1
"22" -3.79 0 184.96 9.54 1
"23" -3.78 0 188.52 9.77 1
"24" -3.77 0 193.57 10.01 1
"25" -3.76 0 185.83 10.25 1
"26" -3.75 0 186.45 10.49 1
"27" -3.74 0 187.74 10.73 1
"28" -3.73 0 187.2 10.97 1
"29" -3.72 0 182.2 11.22 1
"30" -3.71 0 192.91 11.47 1
"31" -3.7 0 191.04 11.72 1
"32" -3.69 0 190.37 11.97 1
"33" -3.68 0 186.45 12.22 1
"34" -3.67 0 184.39 12.48 1
"35" -3.66 0 186.74 12.74 1
"36" -3.65 0 188.8 13 1
"37" -3.64 0 186.45 13.26 1
"38" -3.63 0 185.43 13.52 1
"39" -3.62 0 186.85 13.79 1
"40" -3.61 0 185.55 14.06 1
"41" -3.6 0 188.64 14.33 1
"42" -3.59 0 184.11 14.6 1
"43" -3.58 0 202.02 14.87 1
"44" -3.57 0 184.65 15.15 1
"45" -3.56 0 182.32 15.43 1
"46" -3.55 0 193.47 15.71 1
"47" -3.54 0 180.83 15.99 1
"48" -3.53 0 181.31 16.27 1
"49" -3.52 0 187.22 16.56 1
"50" -3.51 0 197.35 16.85 1
"51" -3.5 0 200.48 17.14 1
"52" -3.49 0 187.96 17.43 1
"53" -3.48 0 183.25 17.72 1
"54" -3.47 0 195.2 18.02 1
"55" -3.46 0 192.7 18.31 1
"56" -3.45 0 201 18.61 1
"57" -3.44 0 193.37 18.91 1
"58" -3.43 0 193.84 19.22 1
"59" -3.42 0 182.48 19.52 1
"60" -3.41 0 189.68 19.83 1
"61" -3.4 0 197.45 20.14 1
"62" -3.39 0 190.12 20.45 1
"63" -3.38 0 195.34 20.76 1
"64" -3.37 0 198.64 21.07 1
"65" -3.36 0 187.65 21.39 1
"66" -3.35 0 192.49 21.7 1
"67" -3.34 0 193.42 22.02 1
"68" -3.33 0 196.87 22.34 1
"69" -3.32 0 199.41 22.67 1
"70" -3.31 0 205.07 22.99 1
"71" -3.3 0 204.98 23.32 1
"72" -3.29 0 202.92 23.64 1
"73" -3.28 0 191.96 23.97 1
"74" -3.27 0 203.4 24.3 1
"75" -3.26 0 203.22 24.64 1
"76" -3.25 0 204.18 24.97 1
"77" -3.24 0 207.35 25.31 1
"78" -3.23 0 203.7 25.65 1
"79" -3.22 0 199.49 25.99 1
"80" -3.21 0 196.05 26.33 1
"81" -3.2 0 200.85 26.67 1
"82" -3.19 0 204.6 27.02 1
"83" -3.18 0 197.89 27.36 1
"84" -3.17 0 196.37 27.71 1
"85" -3.16 0 200.3 28.06 1
"86" -3.15 0 208.04 28.42 1
"87" -3.14 0 213.63 28.77 1
"88" -3.13 0 202.71 29.12 1
"89" -3.12 0 208.96 29.48 1
"90" -3.11 0 202.42 29.84 1
"91" -3.1 0 213.36 30.2 1
"92" -3.09 0 203.54 30.56 1
"93" -3.08 0 203.36 30.93 1
"94" -3.07 0 206.82 31.29 1
"95" -3.06 0 205.13 31.66 1
"96" -3.05 0 201.64 32.03 1
"97" -3.04 0 202.78 32.4 1
"98" -3.03 0 209.86 32.77 1
"99" -3.02 0 195.56 33.14 1
"100" -3.01 0 212.6 33.52 1
"101" -3 0 199.95 33.89 1
"102" -2.99 0 205.43 34.27 1
"103" -2.98 0 217.33 34.65 1
"104" -2.97 0 212.7 35.03 1
"105" -2.96 0 207.56 35.42 1
"106" -2.95 0 213.88 35.8 1
"107" -2.94 0 211.45 36.19 1
"108" -2.93 0 213.97 36.57 1
"109" -2.92 0 218.49 36.96 1
"110" -2.91 0 213.9 37.35 1
"111" -2.9 0 217.97 37.75 1
"112" -2.89 0 209.56 38.14 1
"113" -2.88 0 220.57 38.54 1
"114" -2.87 0 230.28 38.93 1
"115" -2.86 0 214.95 39.33 1
"116" -2.85 0 216.37 39.73 1
"117" -2.84 0 221.56 40.14 1
"118" -2.83 0 217.3 40.54 1
"119" -2.82 0 226.76 40.94 1
"120" -2.81 0 227.85 41.35 1
"121" -2.8 0 225.69 41.76 1
"122" -2.79 0 220.6 42.17 1
"123" -2.78 0 216.85 42.58 1
"124" -2.77 0 212.21 42.99 1
"125" -2.76 0 222.64 43.41 1
"126" -2.75 0 229.98 43.82 1
"127" -2.74 0 218.68 44.24 1
"128" -2.73 0 211.56 44.66 1
"129" -2.72 0 233.49 45.08 1
"130" -2.71 0 220.31 45.5 1
"131" -2.7 0 225.87 45.92 1
"132" -2.69 0 219.73 46.35 1
"133" -2.68 0 217.44 46.78 1
"134" -2.67 0 223.26 47.2 1
"135" -2.66 0 223.2 47.63 1
"136" -2.65 0 231.83 48.06 1
"137" -2.64 0 232.18 48.5 1
"138" -2.63 0 219.52 48.93 1
"139" -2.62 0 222.68 49.36 1
"140" -2.61 0 234.86 49.8 1
"141" -2.6 0 228.47 50.24 1
"142" -2.59 0 232.72 50.68 1
"143" -2.58 0 234.74 51.12 1
"144" -2.57 0 227.64 51.56 1
"145" -2.56 0 229.87 52.01 1
"146" -2.55 0 232.68 52.45 1
"147" -2.54 0 225.83 52.9 1
"148" -2.53 0 239.98 53.35 1
"149" -2.52 0 247.74 53.8 1
"150" -2.51 0 247.26 54.25 1
"151" -2.5 0 229.94 54.7 1
"152" -2.49 0 229.17 55.16 1
"153" -2.48 0 236.57 55.61 1
"154" -2.47 0 239.08 56.07 1
"155" -2.46 0 233.89 56.53 1
"156" -2.45 0 236.88 56.99 1
"157" -2.44 0 243.96 57.45 1
"158" -2.43 0 245.27 57.91 1
"159" -2.42 0 235.7 58.38 1
"160" -2.41 0 235.85 58.84 1
"161" -2.4 0 243.21 59.31 1
"162" -2.39 0 244.71 59.78 1
"163" -2.38 0 241.42 60.25 1
"164" -2.37 0 240.53 60.72 1
"165" -2.36 0 242.73 61.19 1
"166" -2.35 0 254.37 61.67 1
"167" -2.34 0 246.57 62.14 1
"168" -2.33 0 249.45 62.62 1
"169" -2.32 0 252.09 63.1 1
"170" -2.31 0 252.66 63.58 1
"171" -2.3 0 244.85 64.06 1
"172" -2.29 0 241.78 64.54 1
"173" -2.28 0 250.09 65.03 1
"174" -2.27 0 246.4 65.51 1
"175" -2.26 0 261.64 66 1
"176" -2.25 0 250.9 66.49 1
"177" -2.24 0 250.45 66.97 1
"178" -2.23 0 252.83 67.47 1
"179" -2.22 0 256.21 67.96 1
"180" -2.21 0 253.15 68.45 1
"181" -2.2 0 253.65 68.95 1
"182" -2.19 0 250.73 69.44 1
"183" -2.18 0 253.89 69.94 1
"184" -2.17 0 253.01 70.44 1
"185" -2.16 0 260.55 70.94 1
"186" -2.15 0 258.1 71.44 1
"187" -2.14 0 262.36 71.95 1
"188" -2.13 0 258.13 72.45 1
"189" -2.12 0 264.95 72.96 1
"190" -2.11 0 272.72 73.46 1
"191" -2.1 0 260.84 73.97 1
"192" -2.09 0 264.11 74.48 1
"193" -2.08 0 259.28 74.99 1
"194" -2.07 0 262.59 75.51 1
"195" -2.06 0 260.11 76.02 1
"196" -2.05 0 258.02 76.53 1
"197" -2.04 0 269.84 77.05 1
"198" -2.03 0 258.84 77.57 1
"199" -2.02 0 273.08 78.09 1
"200" -2.01 0 267.26 78.61 1
"201" -2 0 274.15 79.13 1
"202" -1.99 0 268.96 79.65 1
"203" -1.98 0 274.83 80.18 1
"204" -1.97 0 268.34 80.7 1
"205" -1.96 0 262.84 81.23 1
"206" -1.95 0 271.17 81.76 1
"207" -1.94 0 277.83 82.29 1
"208" -1.93 0 273.42 82.82 1
"209" -1.92 0 278.1 83.35 1
"210" -1.91 0 269.52 83.89 1
"211" -1.9 0 281.24 84.42 1
"212" -1.89 0 270.65 84.96 1
"213" -1.88 0 278.17 85.5 1
"214" -1.87 0 277.89 86.04 1
"215" -1.86 0 282.08 86.58 1
"216" -1.85 0 274.49 87.12 1
"217" -1.84 0 290.61 87.66 1
"218" -1.83 0 285.17 88.2 1
"219" -1.82 0 278.47 88.75 1
"220" -1.81 0 284.8 89.3 1
"221" -1.8 0 283.08 89.84 1
"222" -1.79 0 291.5 90.39 1
"223" -1.78 0 287.41 90.94 1
"224" -1.77 0 280.67 91.5 1
"225" -1.76 0 286.24 92.05 1
"226" -1.75 0 275.12 92.6 1
"227" -1.74 0 288.01 93.16 1
"228" -1.73 0 290.73 93.72 1
"229" -1.72 0 285.24 94.28 1
"230" -1.71 0 282.37 94.83 1
"231" -1.7 0 290.74 95.4 1
"232" -1.69 0 295.88 95.96 1
"233" -1.68 0 290.51 96.52 1
"234" -1.67 0 298.86 97.09 1
"235" -1.66 0 293.67 97.65 1
"236" -1.65 0 293.73 98.22 1
"237" -1.64 0 298.06 98.79 1
"238" -1.63 0 292.98 99.36 1
"239" -1.62 0 291.28 99.93 1
"240" -1.61 0 303.84 100.5 1
"241" -1.6 0 294.31 101.07 1
"242" -1.59 0 314.55 101.65 1
"243" -1.58 0 295.54 102.22 1
"244" -1.57 0 297.35 102.8 1
"245" -1.56 0 294.04 103.38 1
"246" -1.55 0 289.82 103.96 1
"247" -1.54 0 312.63 104.54 1
"248" -1.53 0 314.99 105.12 1
"249" -1.52 0 312.43 105.71 1
"250" -1.51 0 303.12 106.29 1
"251" -1.5 0 313.87 106.88 1
"252" -1.49 0 308.87 107.46 1
"253" -1.48 0 312.24 108.05 1
"254" -1.47 0 316.02 108.64 1
"255" -1.46 0 318.34 109.23 1
"256" -1.45 0 319.47 109.82 1
"257" -1.44 0 312.28 110.42 1
"258" -1.43 0 320.13 111.01 1
"259" -1.42 0 316.2 111.61 1
"260" -1.41 0 314.54 112.2 1
"261" -1.4 0 322.44 112.8 1
"262" -1.39 0 319.3 113.4 1
"263" -1.38 0 312.51 114 1
"264" -1.37 0 325.51 114.6 1
"265" -1.36 0 314.87 115.21 1
"266" -1.35 0 318.27 115.81 1
"267" -1.34 0 325.87 116.42 1
"268" -1.33 0 322.23 117.02 1
"269" -1.32 0 325.16 117.63 1
"270" -1.31 0 326.43 118.24 1
"271" -1.3 0 341.13 118.85 1
"272" -1.29 0 325.04 119.46 1
"273" -1.28 0 320.21 120.07 1
"274" -1.27 0 328.83 120.69 1
"275" -1.26 0 330.64 121.3 1
"276" -1.25 0 330.71 121.92 1
"277" -1.24 0 338.87 122.54 1
"278" -1.23 0 332.77 123.16 1
"279" -1.22 0 328.47 123.78 1
"280" -1.21 0 338.31 124.4 1
"281" -1.2 0 334.04 125.02 1
"282" -1.19 0 329.77 125.64 1
"283" -1.18 0 337.16 126.27 1
"284" -1.17 0 341.28 126.89 1
"285" -1.16 0 352.97 127.52 1
"286" -1.15 0 341.98 128.15 1
"287" -1.14 0 336.25 128.78 1
"288" -1.13 0 336.89 129.41 1
"289" -1.12 0 346.8 130.04 1
"290" -1.11 0 350.35 130.67 1
"291" -1.1 0 338.29 131.31 1
"292" -1.09 0 338.09 131.94 1
"293" -1.08 0 339.71 132.58 1
"294" -1.07 0 349.53 133.22 1
"295" -1.06 0 342.91 133.86 1
"296" -1.05 0 344.78 134.5 1
"297" -1.04 0 349.24 135.14 1
