b1_1           b1_2           b1_3           b1_4           b1_5           b1_6           b1_7           b1_8           b1_9           b1_10          b1_11          a1             c1             b2_1           b2_2           b2_3           b2_4           b2_5           b2_6           b2_7           b2_8           b2_9           b2_10          b2_11          a2             c2             b3             a3             c3             Y1_gamma1      Y1_gamma2      LogPost        k1_1           k2_1           k3_1           ktype1_1       ktype2_1       ktype3_1       k1_2           k2_2           k3_2           ktype1_2       ktype2_2       ktype3_2       k1_3           k2_3           k3_3           ktype1_3       ktype2_3       ktype3_3       k1_4           k2_4           k3_4           ktype1_4       ktype2_4       ktype3_4       k1_5           k2_5           k3_5           ktype1_5       ktype2_5       ktype3_5       k1_6           k2_6           k3_6           ktype1_6       ktype2_6       ktype3_6       k1_7           k2_7           k3_7           ktype1_7       ktype2_7       ktype3_7       k1_8           k2_8           k3_8           ktype1_8       ktype2_8       ktype3_8       k1_9           k2_9           k3_9           ktype1_9       ktype2_9       ktype3_9       k1_10          k2_10          k3_10          ktype1_10      ktype2_10      ktype3_10      k1_11          k2_11          k3_11          ktype1_11      ktype2_11      ktype3_11      
  -0.519336E+01  -0.558342E+01  -0.563550E+01  -0.628297E+01  -0.639212E+01  -0.550012E+01  -0.610767E+01  -0.437967E+01  -0.367580E+01  -0.472336E+01  -0.509091E+01   0.208601E+02   0.162399E+01  -0.581995E+00  -0.131644E+01  -0.140716E+01  -0.141080E+01  -0.150161E+01  -0.123452E+01  -0.147809E+01  -0.162852E+01  -0.136887E+01  -0.164610E+01  -0.149463E+01   0.171311E+03   0.163387E+01   0.834917E+01   0.937262E+02   0.163298E+01   0.790244E+02   0.234193E-02  -0.193110E+04  -0.519336E+01   0.114575E+01   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.558342E+01   0.283306E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.563550E+01   0.178222E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.628297E+01   0.413834E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.639212E+01   0.329831E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.550012E+01   0.364719E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.610767E+01   0.256429E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.437967E+01  -0.593309E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.367580E+01  -0.499546E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.472336E+01  -0.489253E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.509091E+01  -0.144418E+00   0.834917E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.537694E+01  -0.558342E+01  -0.605832E+01  -0.459105E+01  -0.331735E+01  -0.481573E+01  -0.371008E+01  -0.330956E+01  -0.378022E+01  -0.415777E+01  -0.455919E+01   0.237649E+02   0.160913E+01  -0.718044E+00  -0.129870E+01  -0.143063E+01  -0.145920E+01  -0.143533E+01  -0.107862E+01  -0.144909E+01  -0.156116E+01  -0.138728E+01  -0.159816E+01  -0.155889E+01   0.171240E+03   0.163387E+01   0.846532E+01   0.800382E+02   0.169089E+01   0.834347E+02   0.935600E-04  -0.193704E+04  -0.537694E+01   0.118673E+01   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.558342E+01   0.456201E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.605832E+01   0.461655E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.459105E+01  -0.167918E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.331735E+01  -0.650897E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.481573E+01   0.456453E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.371008E+01  -0.510376E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.330956E+01  -0.831278E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.378022E+01  -0.394989E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.415777E+01  -0.538272E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.455919E+01  -0.320708E+00   0.846532E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.484142E+01  -0.438926E+01  -0.533575E+01  -0.483306E+01  -0.402389E+01  -0.285227E+01  -0.278914E+01  -0.252326E+01  -0.405287E+01  -0.370957E+01  -0.441691E+01   0.393312E+02   0.160348E+01  -0.660937E+00  -0.133871E+01  -0.141228E+01  -0.149412E+01  -0.163252E+01  -0.122897E+01  -0.143591E+01  -0.160594E+01  -0.126877E+01  -0.157945E+01  -0.165377E+01   0.171416E+03   0.163316E+01   0.821785E+01   0.703661E+02   0.167627E+01   0.755289E+02   0.187303E-02  -0.193766E+04  -0.484142E+01   0.203475E+01   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.438926E+01   0.646795E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.533575E+01   0.112243E+01   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.483306E+01   0.673286E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.402389E+01  -0.647668E-01   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.285227E+01  -0.152389E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.278914E+01  -0.533545E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.252326E+01  -0.987087E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.405287E+01   0.548233E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.370957E+01  -0.178144E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.441691E+01   0.149955E+00   0.821785E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.358010E+01  -0.393317E+01  -0.383458E+01  -0.446592E+01  -0.392724E+01  -0.334515E+01  -0.265099E+01  -0.366714E+01  -0.352136E+01  -0.380831E+01  -0.460850E+01   0.345437E+02   0.162310E+01  -0.599361E+00  -0.128789E+01  -0.143786E+01  -0.151448E+01  -0.147497E+01  -0.135337E+01  -0.152174E+01  -0.161850E+01  -0.137903E+01  -0.161489E+01  -0.165377E+01   0.172481E+03   0.162963E+01   0.837270E+01   0.885254E+02   0.169499E+01   0.839053E+02   0.187303E-02  -0.192900E+04  -0.358010E+01   0.115473E+01   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.393317E+01   0.269965E+00   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.383458E+01  -0.254976E-01   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.446592E+01   0.222466E+00   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.392724E+01  -0.300780E-01   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.334515E+01  -0.178256E+00   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.265099E+01  -0.853092E+00   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.366714E+01  -0.410054E+00   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.352136E+01  -0.115669E+00   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.380831E+01  -0.321606E+00   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.460850E+01   0.851018E-01   0.837270E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.323576E+01  -0.352750E+01  -0.435462E+01  -0.380996E+01  -0.376384E+01  -0.234517E+01  -0.289482E+01  -0.326156E+01  -0.311488E+01  -0.401038E+01  -0.448323E+01   0.267974E+02   0.158964E+01  -0.720385E+00  -0.135687E+01  -0.145450E+01  -0.145055E+01  -0.175204E+01  -0.135072E+01  -0.154144E+01  -0.162217E+01  -0.149819E+01  -0.159889E+01  -0.159908E+01   0.171633E+03   0.163093E+01   0.806218E+01   0.705552E+02   0.171135E+01   0.103356E+03   0.189702E-03  -0.193522E+04  -0.323576E+01   0.409365E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.352750E+01  -0.376730E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.435462E+01  -0.158649E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.380996E+01  -0.388388E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.376384E+01  -0.841108E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.234517E+01  -0.888705E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.289482E+01  -0.919715E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.326156E+01  -0.874310E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.311488E+01  -0.760311E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.401038E+01  -0.514141E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.448323E+01  -0.310111E+00   0.806218E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.216727E+01  -0.365134E+01  -0.366030E+01  -0.287145E+01  -0.438616E+01  -0.400687E+01  -0.324334E+01  -0.396316E+01  -0.311488E+01  -0.344009E+01  -0.423055E+01   0.114335E+02   0.162251E+01  -0.609258E+00  -0.136831E+01  -0.143846E+01  -0.143852E+01  -0.169981E+01  -0.146123E+01  -0.162105E+01  -0.167721E+01  -0.148805E+01  -0.162473E+01  -0.171417E+01   0.170603E+03   0.162974E+01   0.858347E+01   0.834207E+02   0.168310E+01   0.920110E+02   0.189702E-03  -0.193734E+04  -0.216727E+01  -0.244061E+00   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.365134E+01  -0.834293E+00   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.366030E+01  -0.918667E+00   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.287145E+01  -0.110248E+01   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.438616E+01  -0.107201E+01   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.400687E+01  -0.866132E+00   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.324334E+01  -0.124087E+01   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.396316E+01  -0.114251E+01   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.311488E+01  -0.110681E+01   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.344009E+01  -0.119956E+01   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.423055E+01  -0.112587E+01   0.858347E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.289365E+01  -0.329027E+01  -0.324914E+01  -0.389997E+01  -0.454107E+01  -0.338824E+01  -0.346793E+01  -0.454908E+01  -0.410051E+01  -0.530486E+01  -0.423055E+01   0.213582E+02   0.162379E+01  -0.726355E+00  -0.141028E+01  -0.148421E+01  -0.156909E+01  -0.150650E+01  -0.137248E+01  -0.159228E+01  -0.165705E+01  -0.137880E+01  -0.169072E+01  -0.160065E+01   0.169323E+03   0.163107E+01   0.773507E+01   0.687372E+02   0.168310E+01   0.829108E+02   0.482359E-02  -0.193523E+04  -0.289365E+01   0.114978E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.329027E+01  -0.679838E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.324914E+01  -0.798198E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.389997E+01  -0.664669E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.454107E+01  -0.330945E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.338824E+01  -0.589615E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.346793E+01  -0.863509E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.454908E+01  -0.536379E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.410051E+01  -0.323727E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.530486E+01  -0.292153E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.423055E+01  -0.580959E+00   0.773507E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.394747E+01  -0.499792E+01  -0.433247E+01  -0.321295E+01  -0.374276E+01  -0.384650E+01  -0.448014E+01  -0.566713E+01  -0.558180E+01  -0.552284E+01  -0.495217E+01   0.299923E+02   0.160304E+01  -0.773825E+00  -0.134646E+01  -0.143346E+01  -0.144681E+01  -0.155393E+01  -0.117623E+01  -0.155455E+01  -0.168025E+01  -0.140260E+01  -0.165236E+01  -0.167361E+01   0.169896E+03   0.163103E+01   0.786683E+01   0.528543E+02   0.168691E+01   0.921748E+02   0.386269E-03  -0.193405E+04  -0.394747E+01   0.833349E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.499792E+01   0.496054E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.433247E+01   0.380436E-01   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.321295E+01  -0.538835E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.374276E+01  -0.434852E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.384650E+01   0.182025E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.448014E+01  -0.698951E-01   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.566713E+01   0.326994E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.558180E+01   0.698932E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.552284E+01   0.297757E+00   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.495217E+01  -0.146889E-01   0.786683E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.378870E+01  -0.354907E+01  -0.484760E+01  -0.556889E+01  -0.628366E+01  -0.497251E+01  -0.398398E+01  -0.533822E+01  -0.493872E+01  -0.394746E+01  -0.433762E+01   0.202467E+02   0.159446E+01  -0.773825E+00  -0.132834E+01  -0.143776E+01  -0.150859E+01  -0.160014E+01  -0.120720E+01  -0.147347E+01  -0.163143E+01  -0.150765E+01  -0.162771E+01  -0.156522E+01   0.171574E+03   0.163137E+01   0.816198E+01   0.579638E+02   0.163662E+01   0.836362E+02   0.613017E-03  -0.193584E+04  -0.378870E+01   0.293076E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.354907E+01  -0.535128E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.484760E+01  -0.235594E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.556889E+01  -0.846575E-01   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.628366E+01   0.352548E-01   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.497251E+01   0.116300E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.398398E+01  -0.580095E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.533822E+01  -0.327878E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.493872E+01  -0.298230E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.394746E+01  -0.800230E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.433762E+01  -0.581619E+00   0.816198E+01   0.000000E+00   0.300000E+01   0.000000E+00
  -0.256712E+01  -0.442674E+01  -0.589536E+01  -0.655389E+01  -0.682591E+01  -0.483933E+01  -0.425721E+01  -0.449988E+01  -0.415429E+01  -0.400283E+01  -0.356961E+01   0.261731E+02   0.162272E+01  -0.650525E+00  -0.134209E+01  -0.143776E+01  -0.146273E+01  -0.170982E+01  -0.123204E+01  -0.152205E+01  -0.161815E+01  -0.140637E+01  -0.160773E+01  -0.156522E+01   0.170705E+03   0.163137E+01   0.789315E+01   0.545581E+02   0.170322E+01   0.891704E+02   0.281186E-02  -0.193389E+04  -0.256712E+01   0.231161E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.442674E+01   0.717284E-01   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.589536E+01   0.599548E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.655389E+01   0.861765E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.682591E+01   0.625973E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.483933E+01   0.419328E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.425721E+01  -0.267249E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.449988E+01  -0.296642E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.415429E+01  -0.145757E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.400283E+01  -0.507813E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00  -0.356961E+01  -0.643458E+00   0.789315E+01   0.000000E+00   0.300000E+01   0.000000E+00
